entry_time,exit_time,direction,instrument,entry_price,exit_price,pct_return_gross,exit_reason,stop_price
2016-01-28,2016-01-28,long,NLY,9.432,9.483,0.005407124681933828,eod_close,
2016-01-29,2016-01-29,long,FFIN,10.82,11.04,0.020332717190387983,eod_close,
2016-01-29,2016-01-29,long,WYNN,56.28,59.49,0.057036247334754764,eod_close,
2016-02-03,2016-02-03,long,KN,12.74,12.8,0.004709576138147709,eod_close,
2016-02-03,2016-02-03,long,NKE,56.01,55.67,-0.006070344581324716,eod_close,
2016-02-03,2016-02-03,long,PG,62.46,62.94,0.007684918347742542,eod_close,
2016-02-03,2016-02-03,long,IP,23.16,22.8,-0.015544041450777146,eod_close,
2016-02-03,2016-02-03,long,KHC,50.54,49.56,-0.01939058171745145,eod_close,
2016-02-03,2016-02-03,long,V,69.03,69.61,0.00840214399536432,eod_close,
2016-02-03,2016-02-03,long,MO,32.03,31.68,-0.010927255697783411,eod_close,
2016-02-03,2016-02-03,long,DEA,25.6,24.8,-0.03125,eod_close,
2016-02-03,2016-02-03,long,AEP,44.48,45.22,0.016636690647481966,eod_close,
2016-02-05,2016-02-05,long,DUK,52.76,53.35,0.011182714177407238,eod_close,
2016-02-05,2016-02-05,long,ARLP,5.806,5.596,-0.03616947984843266,eod_close,
2016-02-05,2016-02-05,long,BP,19.5,19.48,-0.0010256410256409554,eod_close,
2016-02-06,2016-02-06,long,BBL,13.57,13.79,0.016212232866617438,eod_close,
2016-02-07,2016-02-07,long,RBC,55.32,57.13,0.03271872740419379,eod_close,
2016-02-07,2016-02-07,long,UMBF,39.88,40.22,0.008525576730190387,eod_close,
2016-02-07,2016-02-07,long,DLB,32.22,32.54,0.009931719428926122,eod_close,
2016-02-07,2016-02-07,long,NUE,32.02,31.65,-0.01155527795128064,eod_close,
2016-02-07,2016-02-07,long,XHR,9.646,9.744,0.010159651669085612,eod_close,
2016-02-07,2016-02-07,long,CMC,11.27,11.18,-0.007985803016858917,eod_close,
2016-02-07,2016-02-07,long,GNRC,28.4,28.93,0.018661971830985946,eod_close,
2016-02-07,2016-02-07,long,SJI,19.13,19.48,0.018295870360690136,eod_close,
2016-02-07,2016-02-07,long,CREE,28.35,28.93,0.020458553791887102,eod_close,
2016-02-07,2016-02-07,long,APC,36.54,38.62,0.056923918992884515,eod_close,
2016-02-07,2016-02-07,long,DBD,25.05,24.46,-0.023552894211576803,eod_close,
2016-02-07,2016-02-07,long,KN,12.64,11.97,-0.053006329113924,eod_close,
2016-02-07,2016-02-07,long,GWR,51.93,53.01,0.020797227036395194,eod_close,
