date,equity
2016-01-05,100000.0
2016-01-06,100192.65592002092
2016-01-07,101167.02069358621
2016-01-08,102410.39236603359
2016-01-11,102877.92545058933
2016-01-12,102604.11721632365
2016-01-13,103769.26499364208
2016-01-14,103550.4367078256
2016-01-15,103264.15851400711
2016-01-18,103264.15851400711
2016-01-19,103610.92985620425
2016-01-20,103461.76281459472
2016-01-21,103504.64879163262
2016-01-22,103983.21124581927
2016-01-25,103873.62971254959
2016-01-26,104056.24644455944
2016-01-27,103632.77706764574
2016-01-28,103594.07971133835
2016-01-29,105671.60474610346
2016-02-01,106403.98061548878
2016-02-02,106744.74058375589
2016-02-03,107356.165490167
2016-02-04,107219.32423906686
2016-02-05,108824.74048278076
2016-02-08,108908.93539083586
2016-02-09,108552.055592114
2016-02-10,108135.67502928521
2016-02-11,107990.18454162803
2016-02-12,108718.63070838958
2016-02-15,108718.63070838958
2016-02-16,109837.2291786539
2016-02-17,111087.80893614508
2016-02-18,110879.23542441422
2016-02-19,110675.97505574467
2016-02-22,111353.77923048723
2016-02-23,111463.64470074436
2016-02-24,111095.37980171798
2016-02-25,112503.62864018329
2016-02-26,112012.55940193663
2016-02-29,111975.92880335289
2016-03-01,113731.09500305013
2016-03-02,114622.88633125217
2016-03-03,115643.56247703961
2016-03-04,116389.0893078471
2016-03-07,117151.22701772641
2016-03-08,117144.21458965127
2016-03-09,116930.29203616914
2016-03-10,116176.5930338316
2016-03-11,117539.02760496624
2016-03-14,118149.14639421793
2016-03-15,118148.14404234142
2016-03-16,119161.79927969759
2016-03-17,121147.56455920417
2016-03-18,121345.11475660787
2016-03-21,121460.58162085705
2016-03-22,122004.05055855305
2016-03-23,122850.41948428671
2016-03-24,121814.26405941645
2016-03-25,121814.26405941645
2016-03-28,121280.88630219676
2016-03-29,123973.47802751733
2016-03-30,123326.29185592633
2016-03-31,123081.32359322206
2016-04-01,124400.32541473358
2016-04-04,124052.33466460415
2016-04-05,125085.8625128323
2016-04-06,125757.89108189406
2016-04-07,126508.8915360959
2016-04-08,126173.80499370075
2016-04-11,125980.58134157381
2016-04-12,126222.93544413989
2016-04-13,127778.51799031068
2016-04-14,127856.00485430931
2016-04-15,127598.99498029887
2016-04-18,129109.67125860622
2016-04-19,129129.12074984655
2016-04-20,129264.96447282998
2016-04-21,129789.80379907308
2016-04-22,129860.93908690235
2016-04-25,129549.89672669992
2016-04-26,129969.31351316653
2016-04-27,130469.37457759974
2016-04-28,130695.66058572341
2016-04-29,131779.86973678216
2016-05-02,132439.93752682855
2016-05-03,131853.29878537107
2016-05-04,132199.7397668151
2016-05-05,132114.85018085354
2016-05-06,131872.0570811687
2016-05-09,132531.83808126394
2016-05-10,135590.1104114107
2016-05-11,135566.2497079432
2016-05-12,135643.7861047764
2016-05-13,137259.59252443345
2016-05-16,137174.44136904055
2016-05-17,138609.9160645637
2016-05-18,138016.83752548337
2016-05-19,137865.33815023716
2016-05-20,137883.7302569746
2016-05-23,137171.2920272136
2016-05-24,139434.6635221969
2016-05-25,140237.51052437376
2016-05-26,139910.68881398122
2016-05-27,140802.23815740307
2016-05-30,140802.23815740307
2016-05-31,140101.94774074564
2016-06-01,140387.6013586669
2016-06-02,141745.96154798454
2016-06-03,141336.67348677735
2016-06-06,142396.0204399221
2016-06-07,142767.5636222648
2016-06-08,143042.19812497532
2016-06-09,143199.0059242665
2016-06-10,144181.52740555824
2016-06-13,146377.99205444715
2016-06-14,146327.86601389275
2016-06-15,145961.7825783399
2016-06-16,145584.28080612395
2016-06-17,145338.00575459105
2016-06-20,144327.8297899399
2016-06-21,144083.38991424546
2016-06-22,143657.9829330088
2016-06-23,145987.59290212387
2016-06-24,146823.63719606597
2016-06-27,148943.37072704663
2016-06-28,149318.68062786202
2016-06-29,150907.51781757546
2016-06-30,153234.47807069283
2016-07-01,153649.35177486358
2016-07-04,153649.35177486358
2016-07-05,153905.46460656283
2016-07-06,153949.63242541187
2016-07-07,153596.0153154407
2016-07-08,155034.31050516004
2016-07-11,155422.60562654276
2016-07-12,155861.25023153712
2016-07-13,155722.18943517192
2016-07-14,155513.53298277513
2016-07-15,154974.14305094173
2016-07-18,155072.2896208101
2016-07-19,154816.73181836284
2016-07-20,155242.28728722516
2016-07-21,155169.73272488505
2016-07-22,155489.7392777878
2016-07-25,154787.27973050898
2016-07-26,154274.16703901457
2016-07-27,153957.608090395
2016-07-28,154103.88879202143
2016-07-29,154458.31465122316
2016-08-01,154735.19693276886
2016-08-02,156297.0052590172
2016-08-03,156718.26101384798
2016-08-04,157040.46478967945
2016-08-05,159045.13947851947
2016-08-08,158827.52851299781
2016-08-09,158149.56593594293
2016-08-10,158292.11768145618
2016-08-11,159065.96105062356
