date,equity
2016-01-05,100000.0
2016-01-06,100145.50282024876
2016-01-07,100945.70186455837
2016-01-08,101992.75100581396
2016-01-11,102376.45637707597
2016-01-12,102126.0377956149
2016-01-13,103094.42629099873
2016-01-14,102895.94948954986
2016-01-15,102633.1076846334
2016-01-18,102633.1076846334
2016-01-19,102911.58672872577
2016-01-20,102779.06187270979
2016-01-21,102800.42665193716
2016-01-22,103186.67309366856
2016-01-25,103113.59310651515
2016-01-26,103244.14310028656
2016-01-27,103046.0081607531
2016-01-28,102937.53333884812
2016-01-29,104093.71445811955
2016-02-01,104629.00148249506
2016-02-02,104912.6898623149
2016-02-03,105428.62442697195
2016-02-04,105234.11602012336
2016-02-05,106142.48078750841
2016-02-08,106193.62778184224
2016-02-09,106159.27216241926
2016-02-10,105988.17541953128
2016-02-11,105778.65327310626
2016-02-12,106271.45521376826
2016-02-15,106271.45521376826
2016-02-16,106847.97433367537
2016-02-17,107757.77136162101
2016-02-18,107583.50098120591
2016-02-19,107435.39685259362
2016-02-22,107761.41611979195
2016-02-23,107915.2247954957
2016-02-24,107702.97296301025
2016-02-25,108387.13728591683
2016-02-26,108062.67240427373
2016-02-29,108093.44730763671
2016-03-01,108814.24298161887
2016-03-02,109317.44429188683
2016-03-03,109736.11751204872
2016-03-04,110121.65482733845
2016-03-07,110566.38447092564
2016-03-08,110611.77735257219
2016-03-09,110629.67615064321
2016-03-10,110290.87892707463
2016-03-11,110750.16328404025
2016-03-14,110969.72952235404
2016-03-15,110945.35616400639
2016-03-16,111392.02037798567
2016-03-17,112141.21852401883
2016-03-18,112215.83770496334
2016-03-21,112231.47306621411
2016-03-22,112315.59742921154
2016-03-23,112614.90177434847
2016-03-24,112262.66897044863
2016-03-25,112262.66897044863
2016-03-28,112033.09248294888
2016-03-29,112699.11476843398
2016-03-30,112439.68825178796
2016-03-31,112325.43798818192
2016-04-01,112624.8691193048
2016-04-04,112700.53760335379
2016-04-05,112863.79729051708
2016-04-06,113079.73789241901
2016-04-07,113195.43082200683
