date,equity
2016-01-05,100000.0
2016-01-06,100031.71784003658
2016-01-07,100214.4637859433
2016-01-08,100451.1402632253
2016-01-11,100535.36755214511
2016-01-12,100478.87322380272
2016-01-13,100938.79226854476
2016-01-14,100835.3093778931
2016-01-15,100503.82654823118
2016-01-18,100503.82654823118
2016-01-19,100787.2592775408
2016-01-20,100583.24196246327
2016-01-21,100568.9576577658
2016-01-22,101192.45517820178
2016-01-25,100856.35415311367
2016-01-26,100949.39033132761
2016-01-27,100596.26447482963
2016-01-28,100537.27753762549
2016-01-29,102968.77312851693
2016-02-01,103639.50012986039
2016-02-02,103952.16946343612
2016-02-03,104519.43167573289
2016-02-04,104323.8900154807
2016-02-05,105491.73234585195
2016-02-08,105563.90078239715
2016-02-09,105355.71081538443
2016-02-10,105083.96884262653
2016-02-11,104848.11597466405
2016-02-12,105540.18774496559
2016-02-15,105540.18774496559
2016-02-16,106479.64549099264
2016-02-17,107649.6887010561
2016-02-18,107433.72776709383
2016-02-19,107189.07278421793
2016-02-22,107765.01230096127
2016-02-23,107925.33172416703
2016-02-24,107515.571371518
2016-02-25,108917.13130011606
2016-02-26,108441.35856146613
2016-02-29,108474.14264529297
2016-03-01,109847.56877686267
2016-03-02,110606.5769643755
2016-03-03,111355.80622344452
2016-03-04,111905.8706790023
2016-03-07,112407.83036699377
2016-03-08,112373.8991469437
2016-03-09,112229.68306259494
2016-03-10,111588.32338333045
2016-03-11,112592.36858282324
2016-03-14,113063.74410342828
2016-03-15,113038.49934594106
2016-03-16,113868.28027910147
2016-03-17,115357.90773031735
2016-03-18,115430.8760140943
2016-03-21,115494.61186124066
2016-03-22,115689.91908414103
2016-03-23,116248.21416950287
2016-03-24,115567.41011387034
2016-03-25,115567.41011387034
2016-03-28,115160.66187112484
2016-03-29,116681.78278883788
2016-03-30,116233.33724381118
2016-03-31,116019.24150641539
2016-04-01,116640.02998100122
2016-04-04,116715.59745867855
2016-04-05,117096.39665408689
2016-04-06,117468.79534057567
2016-04-07,117765.49835247391
2016-04-08,117556.12890438884
2016-04-11,117448.73149326605
2016-04-12,117646.2983003873
2016-04-13,118694.9368175072
2016-04-14,118729.34574964357
2016-04-15,118515.40826644374
2016-04-18,119476.46509720999
2016-04-19,119492.30381082297
2016-04-20,119647.80299868026
2016-04-21,119857.32339981268
2016-04-22,119877.26376236806
2016-04-25,119675.50789096486
2016-04-26,119970.75632938852
2016-04-27,120231.83201864388
2016-04-28,120387.86822944175
2016-04-29,120954.89558618638
2016-05-02,121366.9128003339
2016-05-03,121060.35578864304
2016-05-04,121185.91741717933
2016-05-05,121076.19905187681
2016-05-06,120854.78291304196
2016-05-09,121319.41972960295
2016-05-10,123135.2147849682
2016-05-11,123135.14660013936
2016-05-12,123211.1572868794
2016-05-13,124128.0048481769
2016-05-16,124095.01265430717
2016-05-17,125008.44591493461
2016-05-18,124626.20113890013
2016-05-19,124517.9779216449
2016-05-20,124459.12808863434
2016-05-23,123903.24983100222
2016-05-24,125380.57118303263
2016-05-25,125915.79251029578
2016-05-26,125658.4718903774
2016-05-27,126204.25345232296
2016-05-30,126204.25345232296
2016-05-31,125667.18238876444
2016-06-01,125785.33388178465
2016-06-02,126484.757618981
2016-06-03,126200.49438164027
2016-06-06,126776.4607760646
2016-06-07,127024.16308038932
2016-06-08,127053.93430110774
2016-06-09,127146.0215805404
2016-06-10,127758.22309575189
2016-06-13,128816.19691497
2016-06-14,128735.06278622178
2016-06-15,128612.45955834597
2016-06-16,128522.94661294203
2016-06-17,128437.50812001903
2016-06-20,127939.02860294923
2016-06-21,127839.79945558698
2016-06-22,127562.02489867616
2016-06-23,128703.84657016044
2016-06-24,129083.6859022134
2016-06-27,131222.8946248892
2016-06-28,131564.01860827146
2016-06-29,133023.52568823012
2016-06-30,135044.6859312448
2016-07-01,135420.40371838148
2016-07-04,135420.40371838148
2016-07-05,135701.0068445136
2016-07-06,135645.2736309964
2016-07-07,135487.08278037587
2016-07-08,136575.4240092088
2016-07-11,136951.39426287063
2016-07-12,137385.26113699598
2016-07-13,137235.49775131122
2016-07-14,136983.8505927975
2016-07-15,136453.1362514107
2016-07-18,136489.34793730028
2016-07-19,136378.9187037557
2016-07-20,136496.93183396055
2016-07-21,136654.48125226982
2016-07-22,136764.54237115305
2016-07-25,136292.80114699286
2016-07-26,135965.2844895931
2016-07-27,135860.21915239765
2016-07-28,135993.34294266588
2016-07-29,136087.69319474368
2016-08-01,136281.6178329512
2016-08-02,136927.69033966796
2016-08-03,137179.34092644718
2016-08-04,137407.79214881433
2016-08-05,138303.35185578009
2016-08-08,138205.2721351895
2016-08-09,137811.54544773613
2016-08-10,137876.17180682998
2016-08-11,138258.25120813077
2016-08-12,138152.9496481964
2016-08-15,138426.19978378908
2016-08-16,139208.3466447311
2016-08-17,139239.6405016678
2016-08-18,139860.01061172827
2016-08-19,139911.20287929222
2016-08-22,139939.1541718556
2016-08-23,139729.97343202762
2016-08-24,140477.34890766884
2016-08-25,140448.1391042901
2016-08-26,139954.5445762941
2016-08-29,139733.48170644467
2016-08-30,139616.8338438195
2016-08-31,139993.79852025205
2016-09-01,139743.9196788021
2016-09-02,139927.83452474925
2016-09-05,139927.83452474925
2016-09-06,140505.6106808212
2016-09-07,140528.50964447914
2016-09-08,140502.0579285715
2016-09-09,144578.95959327003
2016-09-12,144280.3351065261
2016-09-13,144912.1987019582
2016-09-14,145149.9575493925
2016-09-15,145266.2845641378
2016-09-16,144827.92141865776
2016-09-19,144599.55307837288
2016-09-20,144317.7655229206
2016-09-21,145532.4957146724
2016-09-22,145799.08660261924
2016-09-23,145644.30175747015
2016-09-26,146055.39984711914
2016-09-27,145956.90103309506
2016-09-28,146436.0574837234
2016-09-29,146821.20066082382
2016-09-30,146602.85757598668
2016-10-03,146252.21509720644
2016-10-04,147307.88691757008
2016-10-05,147080.2908063971
2016-10-06,146506.9411834892
2016-10-07,146348.64730116003
2016-10-10,145924.52749734386
2016-10-11,147214.8642047512
2016-10-12,146761.91663669542
2016-10-13,145932.7970764662
2016-10-14,145349.62341431584
2016-10-17,145677.94072844795
2016-10-18,145773.465373332
2016-10-19,145944.120587662
2016-10-20,145842.9960012111
2016-10-21,145290.83672446254
2016-10-24,145169.17313885113
2016-10-25,145186.89045786724
2016-10-26,145211.46279743203
2016-10-27,146383.3003278466
2016-10-28,146524.69852424302
2016-10-31,147014.34891736662
2016-11-01,148615.29032454526
2016-11-02,149777.07524026232
2016-11-03,150998.10965242045
2016-11-04,150970.33598716845
2016-11-07,152252.55433174683
2016-11-08,153370.73938398252
2016-11-09,157432.59034261914
2016-11-10,157591.583620754
2016-11-11,157891.12665151578
2016-11-14,158268.53957477972
2016-11-15,159112.5606432484
2016-11-16,159175.9622696801
2016-11-17,159640.8758516178
2016-11-18,159216.85587669964
2016-11-21,160058.4911434189
2016-11-22,160171.2492161004
2016-11-23,160335.77544191526
2016-11-24,160335.77544191526
2016-11-25,161329.70081587275
2016-11-28,161206.4135252769
2016-11-29,161010.76672700903
2016-11-30,161676.94721935087
2016-12-01,163176.4791442016
2016-12-02,162987.4530484066
2016-12-05,162990.96370060995
2016-12-06,163662.6266602281
2016-12-07,166659.37489021252
2016-12-08,167353.26284669753
2016-12-09,167961.8144822956
2016-12-12,167883.58288391167
2016-12-13,168166.55802055963
2016-12-14,168743.53311969046
2016-12-15,168258.97809011073
2016-12-16,168462.33580233686
2016-12-19,167986.1264665553
2016-12-20,168216.083267742
2016-12-21,168019.38764202676
2016-12-22,168029.7493725407
2016-12-23,167734.63269982522
2016-12-26,167734.63269982522
2016-12-27,167715.53018770044
2016-12-28,169029.92954566618
2016-12-29,169277.45126157018
2016-12-30,170227.6799221113
2017-01-02,170227.6799221113
2017-01-03,169821.75419411968
2017-01-04,170766.91781313278
2017-01-05,170986.12639813652
2017-01-06,171761.49812407457
2017-01-09,172470.14112974997
2017-01-10,172687.40108051966
2017-01-11,172388.6511112579
2017-01-12,171749.75869835008
2017-01-13,171414.57844667477
2017-01-16,171414.57844667477
2017-01-17,171627.73099411835
2017-01-18,171303.53992874088
2017-01-19,171477.51216212581
2017-01-20,171153.380179494
2017-01-23,170890.73458287536
2017-01-24,172220.4458799803
2017-01-25,172781.17893916435
2017-01-26,172347.1426985378
2017-01-27,172205.96832141015
2017-01-30,172465.79430182622
2017-01-31,172393.1412950026
2017-02-01,171894.09264085273
2017-02-02,171784.2718610615
2017-02-03,172566.9931128252
2017-02-06,172821.65135667278
2017-02-07,172555.46603905965
2017-02-08,172586.66083395944
2017-02-09,173631.81240550044
2017-02-10,174076.37631023128
2017-02-13,174642.38672494525
2017-02-14,175525.68861195946
2017-02-15,177303.47393384774
2017-02-16,177216.45786389243
2017-02-17,178073.89973049046
2017-02-20,178073.89973049046
2017-02-21,179187.82644817402
2017-02-22,179369.0450793996
2017-02-23,179348.58276045337
2017-02-24,180111.68691395788
2017-02-27,181151.9620339373
2017-02-28,181010.76383780426
2017-03-01,182203.95421885105
2017-03-02,182385.40669555464
2017-03-03,182064.4511141983
2017-03-06,181554.48837768246
2017-03-07,182013.27136070796
2017-03-08,183660.27287958167
2017-03-09,183932.2499108376
2017-03-10,184090.34185240956
2017-03-13,184241.2421161057
2017-03-14,183855.87357021938
2017-03-15,185865.6880611445
2017-03-16,185153.2615428801
2017-03-17,184912.4772082702
2017-03-20,184817.7716194511
2017-03-21,188948.13952101275
2017-03-22,188480.23906352615
2017-03-23,188194.44493453068
2017-03-24,188146.91679258196
2017-03-27,187183.46779695107
2017-03-28,187799.2692517208
2017-03-29,188855.28596421654
2017-03-30,189667.97659663862
2017-03-31,189623.6396622273
2017-04-03,189593.6508431947
2017-04-04,189407.48223380736
2017-04-05,189307.1422095379
2017-04-06,188737.98301054328
2017-04-07,188181.95352783133
2017-04-10,187368.16538441248
2017-04-11,187269.73914769726
2017-04-12,187698.71322919926
2017-04-13,188944.37775487266
2017-04-14,188944.37775487266
2017-04-17,189015.79511188267
2017-04-18,188579.41063024962
2017-04-19,189277.44869157003
2017-04-20,190186.2240998048
2017-04-21,190081.1699936
2017-04-24,190375.67984406612
2017-04-25,191040.66084285773
2017-04-26,190820.3271946065
2017-04-27,190722.4916558755
2017-04-28,191134.58663350245
2017-05-01,191655.9433389603
2017-05-02,191658.63707384522
2017-05-03,191459.3058254562
2017-05-04,192188.74694975282
2017-05-05,192823.16058730698
2017-05-08,192569.5373627667
2017-05-09,192166.42228949067
2017-05-10,192597.29436814482
2017-05-11,192118.60478123423
2017-05-12,192025.02339232888
2017-05-15,192201.66016326495
2017-05-16,192074.0767476355
2017-05-17,195303.1162910633
2017-05-18,194524.1897960495
2017-05-19,194937.97075321374
2017-05-22,195599.43726323728
2017-05-23,195859.54683118136
2017-05-24,195905.1195459419
2017-05-25,197592.92241326498
2017-05-26,197612.99410891847
2017-05-29,197612.99410891847
2017-05-30,197705.95804436074
2017-05-31,197956.09851267637
2017-06-01,200098.23850528855
2017-06-02,200947.89477103745
2017-06-05,200721.55954693028
2017-06-06,200771.66566405282
2017-06-07,200695.8105759269
2017-06-08,200829.9574185564
2017-06-09,201101.51885895984
2017-06-12,200694.80693385063
2017-06-13,201207.37549515767
2017-06-14,200983.6024182304
2017-06-15,201043.51507994655
2017-06-16,200883.31501602926
2017-06-19,202081.97358489502
2017-06-20,202393.93359113822
2017-06-21,203731.2546605892
2017-06-22,203595.50995488706
2017-06-23,203204.7780204348
2017-06-26,202758.9703258396
2017-06-27,204587.20383507124
2017-06-28,204704.91659496492
2017-06-29,205493.48235772556
2017-06-30,205567.4166765513
2017-07-03,206123.3955577474
2017-07-04,206123.3955577474
2017-07-05,206106.59812451014
2017-07-06,207071.22481648912
2017-07-07,207246.5980333283
2017-07-10,207256.30494931224
2017-07-11,207175.86816096614
2017-07-12,207354.04658214873
2017-07-13,207584.20559456918
2017-07-14,208960.98615617066
2017-07-17,208936.15919771016
2017-07-18,208615.90884314626
2017-07-19,210030.18930607563
2017-07-20,209856.61181200956
2017-07-21,210281.9180260358
2017-07-24,210138.1602042785
2017-07-25,210946.3118391648
2017-07-26,210884.0178403616
2017-07-27,210905.5971627625
2017-07-28,211113.6970085788
2017-07-31,211186.5558907484
2017-08-01,211388.10990554624
2017-08-02,211434.40508675415
2017-08-03,211484.77530375833
2017-08-04,211518.25134087255
2017-08-07,211277.19369594756
2017-08-08,210667.71627281696
2017-08-09,210687.8413504462
2017-08-10,215045.39675787528
2017-08-11,214785.24682820868
2017-08-14,215292.42274339966
2017-08-15,214740.44424136268
2017-08-16,214843.26134525667
2017-08-17,218835.11201127476
2017-08-18,219283.48987042747
2017-08-21,218825.06131322923
2017-08-22,220003.18601742346
2017-08-23,220020.96448474546
2017-08-24,219928.24961281416
2017-08-25,219318.66234671584
2017-08-28,219645.41221992267
2017-08-29,219501.9028506847
2017-08-30,220714.71722909313
2017-08-31,222295.67690181182
2017-09-01,222613.49967866336
2017-09-04,222613.49967866336
2017-09-05,222852.76058682834
2017-09-06,222548.5845881647
2017-09-07,222958.3810840315
2017-09-08,223600.02370973822
2017-09-11,224651.48547325173
2017-09-12,225126.71073040686
2017-09-13,225777.7416832854
2017-09-14,225714.7922061419
2017-09-15,226281.03841042687
2017-09-18,226409.67047346567
2017-09-19,226748.7421356465
2017-09-20,226786.49802722989
2017-09-21,226855.51384207056
2017-09-22,226127.44885033846
2017-09-25,227886.61873325036
2017-09-26,227753.33354902387
2017-09-27,228685.41267456007
2017-09-28,229033.63555620977
2017-09-29,229879.7575347017
2017-10-02,231268.2809726189
2017-10-03,231976.4853733108
2017-10-04,232630.2577431027
2017-10-05,233994.75508200098
2017-10-06,234434.5064922769
2017-10-09,234194.62324001477
2017-10-10,234449.49389526455
2017-10-11,235116.9653886604
2017-10-12,234738.7413601208
2017-10-13,234242.90636946628
2017-10-16,234045.0044716735
2017-10-17,233926.59977453382
2017-10-18,233601.3456733274
2017-10-19,233635.8175368376
2017-10-20,234698.79203686045
2017-10-23,234452.4663764889
2017-10-24,234148.64632724356
2017-10-25,234473.77819778
2017-10-26,234637.09424810368
2017-10-27,236916.35877914514
2017-10-30,237526.41553435067
2017-10-31,237867.25541940978
2017-11-01,237193.7266011255
2017-11-02,236837.44264687505
2017-11-03,237802.19478430704
2017-11-06,238728.87811657425
2017-11-07,238218.5224246679
2017-11-08,238473.7290960439
2017-11-09,238281.29133615253
2017-11-10,237700.22096282413
2017-11-13,238230.55708469424
2017-11-14,238673.4680185157
2017-11-15,238781.24656269987
2017-11-16,239316.09564164391
2017-11-17,239843.33125004638
2017-11-20,239749.85966308689
2017-11-21,241013.6835565038
2017-11-22,240591.35502744123
2017-11-23,240591.35502744123
2017-11-24,240534.45553594118
2017-11-27,240276.58573939354
2017-11-28,242985.7828526596
2017-11-29,243873.74996505983
2017-11-30,245251.17846199215
2017-12-01,244519.09895117354
2017-12-04,244801.2014344829
2017-12-05,245988.51874633945
2017-12-06,246750.6506147247
2017-12-07,246330.89124863414
2017-12-08,246623.99320116604
2017-12-11,247484.2806685527
2017-12-12,247559.73165122297
2017-12-13,247511.26818084283
2017-12-14,248734.39859515915
2017-12-15,249060.14298453293
2017-12-18,248880.7296108131
2017-12-19,248607.3990737337
2017-12-20,248963.460346106
2017-12-21,248874.98575728288
2017-12-22,249002.57957133258
2017-12-25,249002.57957133258
2017-12-26,249608.3460740297
2017-12-27,248993.9755002499
2017-12-28,249072.29916147812
2017-12-29,249459.15458561282
2018-01-01,249459.15458561282
2018-01-02,250127.98211189162
2018-01-03,252198.41130673283
2018-01-04,252227.21551626932
2018-01-05,253652.1831499223
2018-01-08,254699.8261723199
2018-01-09,255724.56088490735
2018-01-10,255148.18713092798
2018-01-11,257519.06942415898
2018-01-12,259779.40019749722
2018-01-15,259779.40019749722
2018-01-16,259102.3041528038
2018-01-17,260275.86648274772
2018-01-18,259381.11886780395
2018-01-19,260294.89182945646
2018-01-22,262591.5045686542
2018-01-23,263548.23522382637
2018-01-24,263871.92295721977
2018-01-25,263277.4047193684
2018-01-26,266388.5924354271
2018-01-29,265057.8212097848
2018-01-30,266516.0546131522
2018-01-31,267065.5391893329
2018-02-01,266405.65534116066
2018-02-02,272210.57092603936
2018-02-05,284130.93342435546
2018-02-06,283834.2474017072
2018-02-07,284353.0974187002
2018-02-08,291379.439433801
2018-02-09,291320.09122773155
2018-02-12,291805.92274176894
2018-02-13,292410.647113356
2018-02-14,296349.74008234555
2018-02-15,297959.3979380499
2018-02-16,298537.21782003983
2018-02-19,298537.21782003983
2018-02-20,298075.40496604925
2018-02-21,297268.879199932
2018-02-22,298178.42733460985
2018-02-23,300257.06484978803
2018-02-26,302429.85211927927
2018-02-27,302419.55491432286
2018-02-28,308220.9711634473
2018-03-01,312749.6687348998
2018-03-02,311036.32746156165
2018-03-05,313176.9477483465
2018-03-06,313157.24938276305
2018-03-07,315879.4755419719
2018-03-08,316420.5470398547
2018-03-09,320163.76797461597
2018-03-12,319172.5503975133
2018-03-13,317984.9997227552
2018-03-14,320937.2078243902
2018-03-15,321293.3176135485
2018-03-16,320865.11048215575
2018-03-19,324137.3842386592
2018-03-20,323504.1256502973
2018-03-21,323372.189111094
2018-03-22,331870.3344589066
2018-03-23,338635.6360047684
