date,equity
2016-01-05,100000.0
2016-01-06,100049.95566860847
2016-01-07,100755.37521406209
2016-01-08,101736.7318723347
2016-01-11,102065.7481346413
2016-01-12,101717.30563554677
2016-01-13,102541.48296153173
2016-01-14,102253.9312423972
2016-01-15,101847.80296510938
2016-01-18,101847.80296510938
2016-01-19,102057.30433800317
2016-01-20,101883.87311018772
2016-01-21,101821.45558433782
2016-01-22,102127.84209539733
2016-01-25,101934.86937979567
2016-01-26,101985.38553494262
2016-01-27,101631.73996884233
2016-01-28,101432.36559768849
2016-01-29,102541.48847134868
2016-02-01,103002.70928231918
2016-02-02,103211.1538250124
2016-02-03,103694.6793441095
2016-02-04,103374.14410010874
2016-02-05,104220.55894575825
2016-02-08,104233.17984691718
2016-02-09,104115.62409358461
2016-02-10,103853.01442561837
2016-02-11,103562.21959207466
2016-02-12,103973.8470168093
2016-02-15,103973.8470168093
2016-02-16,104457.18095739148
2016-02-17,105318.50284736445
2016-02-18,105039.22527795512
2016-02-19,104814.92975265537
2016-02-22,105106.79301881153
2016-02-23,105207.43284703609
2016-02-24,104886.46797808743
2016-02-25,105470.13909991462
2016-02-26,105029.861924893
2016-02-29,104973.79834894807
2016-03-01,105621.96177704955
2016-03-02,106014.87946426412
2016-03-03,106323.07355442595
2016-03-04,106630.77677977883
2016-03-07,106998.4384517172
2016-03-08,106898.24725446066
2016-03-09,106845.82959125622
2016-03-10,106352.30026636296
2016-03-11,106743.30265158565
2016-03-14,106923.452362459
2016-03-15,106820.3691270492
2016-03-16,107184.03698333603
2016-03-17,107847.0733769604
2016-03-18,107851.0004662136
2016-03-21,107795.97786693407
2016-03-22,107818.0195691998
2016-03-23,108014.58176393727
2016-03-24,107546.6301566615
2016-03-25,107546.6301566615
2016-03-28,107213.73855287388
2016-03-29,107769.67097603143
2016-03-30,107390.25070673852
2016-03-31,107235.32551963381
2016-04-01,107428.43657195984
2016-04-04,107398.49240493748
2016-04-05,107494.01748271353
2016-04-06,107570.1797233708
2016-04-07,107583.76012577413
2016-04-08,107428.84824625791
2016-04-11,107282.60073762931
