entry_time,exit_time,entry_price,exit_price,stop_price,direction,instrument,basket
2016-01-05 09:35:00-05:00,2016-01-05 09:40:00-05:00,103.0443,103.00875,103.00875,long,GLD,commodities
2016-01-05 09:45:00-05:00,2016-01-05 10:50:00-05:00,102.97,102.93445,102.93445,long,GLD,commodities
2016-01-05 10:55:00-05:00,2016-01-05 15:55:00-05:00,102.97,103.18,102.93445,long,GLD,commodities
2016-01-06 09:30:00-05:00,2016-01-06 09:35:00-05:00,104.39,104.35683,104.35683,long,GLD,commodities
2016-01-06 09:40:00-05:00,2016-01-06 09:50:00-05:00,104.33,104.29683,104.29683,long,GLD,commodities
2016-01-06 09:55:00-05:00,2016-01-06 10:05:00-05:00,104.32,104.28683,104.28683,long,GLD,commodities
2016-01-06 10:10:00-05:00,2016-01-06 10:20:00-05:00,104.23,104.19683,104.19683,long,GLD,commodities
2016-01-06 10:25:00-05:00,2016-01-06 10:35:00-05:00,104.08,104.04683,104.04683,long,GLD,commodities
2016-01-06 10:40:00-05:00,2016-01-06 15:55:00-05:00,104.04,104.66,104.00683000000001,long,GLD,commodities
2016-01-07 09:30:00-05:00,2016-01-07 09:35:00-05:00,105.83,105.79477266666666,105.79477266666666,long,GLD,commodities
2016-01-07 09:40:00-05:00,2016-01-07 09:45:00-05:00,105.71,105.67477266666666,105.67477266666666,long,GLD,commodities
2016-01-07 09:50:00-05:00,2016-01-07 10:30:00-05:00,105.63,105.59477266666666,105.59477266666666,long,GLD,commodities
2016-01-07 10:35:00-05:00,2016-01-07 10:40:00-05:00,105.64,105.60477266666666,105.60477266666666,long,GLD,commodities
2016-01-07 10:45:00-05:00,2016-01-07 15:55:00-05:00,105.39,106.15,105.35477266666666,long,GLD,commodities
2016-01-08 09:30:00-05:00,2016-01-08 09:35:00-05:00,105.48,105.44316164444444,105.44316164444444,long,GLD,commodities
2016-01-08 11:40:00-05:00,2016-01-08 11:45:00-05:00,105.66,105.62316164444444,105.62316164444444,long,GLD,commodities
2016-01-08 11:50:00-05:00,2016-01-08 11:55:00-05:00,105.63,105.59316164444444,105.59316164444444,long,GLD,commodities
2016-01-08 12:00:00-05:00,2016-01-08 12:05:00-05:00,105.575,105.53816164444444,105.53816164444444,long,GLD,commodities
2016-01-08 12:10:00-05:00,2016-01-08 12:15:00-05:00,105.5,105.46316164444444,105.46316164444444,long,GLD,commodities
2016-01-08 12:20:00-05:00,2016-01-08 12:25:00-05:00,105.48,105.44316164444444,105.44316164444444,long,GLD,commodities
2016-01-08 14:05:00-05:00,2016-01-08 14:10:00-05:00,105.09,105.12683835555556,105.12683835555556,short,GLD,commodities
2016-01-08 14:15:00-05:00,2016-01-08 14:20:00-05:00,105.16,105.19683835555556,105.19683835555556,short,GLD,commodities
2016-01-08 14:25:00-05:00,2016-01-08 14:30:00-05:00,105.26,105.29683835555556,105.29683835555556,short,GLD,commodities
2016-01-08 14:35:00-05:00,2016-01-08 14:40:00-05:00,105.31,105.34683835555556,105.34683835555556,short,GLD,commodities
2016-01-08 14:45:00-05:00,2016-01-08 14:50:00-05:00,105.46,105.49683835555555,105.49683835555555,short,GLD,commodities
2016-01-08 14:55:00-05:00,2016-01-08 15:15:00-05:00,105.5,105.53683835555556,105.53683835555556,short,GLD,commodities
2016-01-08 15:20:00-05:00,2016-01-08 15:25:00-05:00,105.5258,105.48896164444444,105.48896164444444,long,GLD,commodities
2016-01-08 15:30:00-05:00,2016-01-08 15:55:00-05:00,105.47,105.66,105.43316164444444,long,GLD,commodities
2016-01-11 09:30:00-05:00,2016-01-11 09:35:00-05:00,105.47,105.43363342518518,105.43363342518518,long,GLD,commodities
2016-01-11 10:40:00-05:00,2016-01-11 10:45:00-05:00,104.95,104.98636657481482,104.98636657481482,short,GLD,commodities
2016-01-11 10:50:00-05:00,2016-01-11 10:55:00-05:00,105.1,105.13636657481482,105.13636657481482,short,GLD,commodities
2016-01-11 11:00:00-05:00,2016-01-11 11:05:00-05:00,105.2,105.23636657481482,105.23636657481482,short,GLD,commodities
2016-01-11 11:10:00-05:00,2016-01-11 11:15:00-05:00,105.3,105.33636657481482,105.33636657481482,short,GLD,commodities
2016-01-11 11:20:00-05:00,2016-01-11 11:25:00-05:00,105.26,105.29636657481483,105.29636657481483,short,GLD,commodities
2016-01-11 11:30:00-05:00,2016-01-11 15:55:00-05:00,105.24,104.75,105.27636657481482,short,GLD,commodities
2016-01-12 09:30:00-05:00,2016-01-12 10:50:00-05:00,104.09,104.12531769817284,104.12531769817284,short,GLD,commodities
2016-01-12 10:55:00-05:00,2016-01-12 11:00:00-05:00,104.08,104.11531769817283,104.11531769817283,short,GLD,commodities
2016-01-12 11:05:00-05:00,2016-01-12 11:10:00-05:00,104.06,104.09531769817283,104.09531769817283,short,GLD,commodities
2016-01-12 11:15:00-05:00,2016-01-12 14:15:00-05:00,104.2,104.23531769817284,104.23531769817284,short,GLD,commodities
2016-01-12 14:20:00-05:00,2016-01-12 14:25:00-05:00,104.29,104.32531769817284,104.32531769817284,short,GLD,commodities
2016-01-13 09:35:00-05:00,2016-01-13 09:40:00-05:00,103.84,103.8750086717498,103.8750086717498,short,GLD,commodities
2016-01-13 09:45:00-05:00,2016-01-13 09:50:00-05:00,104.1385,104.17350867174979,104.17350867174979,short,GLD,commodities
2016-01-13 09:55:00-05:00,2016-01-13 10:40:00-05:00,104.16,104.19500867174979,104.19500867174979,short,GLD,commodities
2016-01-13 14:35:00-05:00,2016-01-13 14:40:00-05:00,104.78,104.74499132825021,104.74499132825021,long,GLD,commodities
2016-01-13 14:45:00-05:00,2016-01-13 14:50:00-05:00,104.78,104.74499132825021,104.74499132825021,long,GLD,commodities
2016-01-13 14:55:00-05:00,2016-01-13 15:00:00-05:00,104.6651,104.6300913282502,104.6300913282502,long,GLD,commodities
2016-01-13 15:05:00-05:00,2016-01-13 15:10:00-05:00,104.59,104.55499132825021,104.55499132825021,long,GLD,commodities
2016-01-13 15:15:00-05:00,2016-01-13 15:55:00-05:00,104.5619,104.73,104.5268913282502,long,GLD,commodities
2016-01-14 09:30:00-05:00,2016-01-14 10:25:00-05:00,103.75,103.71549955115017,103.71549955115017,long,GLD,commodities
2016-01-14 10:30:00-05:00,2016-01-14 15:55:00-05:00,103.71,103.02,103.74450044884982,short,GLD,commodities
2016-01-15 09:30:00-05:00,2016-01-15 15:55:00-05:00,104.92,104.09,104.95882638900318,short,GLD,commodities
2016-01-19 10:25:00-05:00,2016-01-19 10:30:00-05:00,103.7834,103.82480953713609,103.82480953713609,short,GLD,commodities
2016-01-19 10:35:00-05:00,2016-01-19 11:10:00-05:00,103.92,103.96140953713609,103.96140953713609,short,GLD,commodities
2016-01-19 11:15:00-05:00,2016-01-19 11:50:00-05:00,103.9,103.9414095371361,103.9414095371361,short,GLD,commodities
2016-01-19 11:55:00-05:00,2016-01-19 12:35:00-05:00,103.98,104.0214095371361,104.0214095371361,short,GLD,commodities
2016-01-19 12:40:00-05:00,2016-01-19 12:45:00-05:00,104.07,104.11140953713608,104.11140953713608,short,GLD,commodities
2016-01-19 13:25:00-05:00,2016-01-19 14:35:00-05:00,104.22,104.17859046286391,104.17859046286391,long,GLD,commodities
2016-01-19 14:40:00-05:00,2016-01-19 14:50:00-05:00,104.17,104.12859046286391,104.12859046286391,long,GLD,commodities
2016-01-19 14:55:00-05:00,2016-01-19 15:00:00-05:00,104.09,104.04859046286391,104.04859046286391,long,GLD,commodities
2016-01-19 15:05:00-05:00,2016-01-19 15:55:00-05:00,104.0,103.95859046286391,103.95859046286391,long,GLD,commodities
2016-01-20 09:35:00-05:00,2016-01-20 15:55:00-05:00,105.121,105.38,105.08191173448205,long,GLD,commodities
2016-01-21 11:05:00-05:00,2016-01-21 11:10:00-05:00,104.57,104.61253649678221,104.61253649678221,short,GLD,commodities
2016-01-21 11:15:00-05:00,2016-01-21 11:20:00-05:00,104.66,104.70253649678222,104.70253649678222,short,GLD,commodities
2016-01-21 11:25:00-05:00,2016-01-21 12:10:00-05:00,104.71,104.75253649678221,104.75253649678221,short,GLD,commodities
2016-01-21 12:15:00-05:00,2016-01-21 13:20:00-05:00,104.85,104.89253649678221,104.89253649678221,short,GLD,commodities
2016-01-21 13:25:00-05:00,2016-01-21 13:30:00-05:00,104.928,104.97053649678222,104.97053649678222,short,GLD,commodities
2016-01-21 13:35:00-05:00,2016-01-21 13:55:00-05:00,105.23,105.27253649678222,105.27253649678222,short,GLD,commodities
2016-01-21 14:20:00-05:00,2016-01-21 15:55:00-05:00,105.26,105.48,105.21746350321779,long,GLD,commodities
2016-01-22 09:30:00-05:00,2016-01-22 09:35:00-05:00,104.93,104.88923503612209,104.88923503612209,long,GLD,commodities
2016-01-22 09:40:00-05:00,2016-01-22 10:15:00-05:00,104.94,104.98076496387792,104.98076496387792,short,GLD,commodities
2016-01-22 10:20:00-05:00,2016-01-22 10:25:00-05:00,104.98,105.02076496387792,105.02076496387792,short,GLD,commodities
2016-01-22 10:30:00-05:00,2016-01-22 10:35:00-05:00,105.25,105.29076496387792,105.29076496387792,short,GLD,commodities
2016-01-22 10:45:00-05:00,2016-01-22 10:50:00-05:00,105.32,105.27923503612207,105.27923503612207,long,GLD,commodities
2016-01-22 10:55:00-05:00,2016-01-22 11:00:00-05:00,105.2699,105.22913503612209,105.22913503612209,long,GLD,commodities
2016-01-22 11:05:00-05:00,2016-01-22 11:25:00-05:00,105.24,105.19923503612208,105.19923503612208,long,GLD,commodities
2016-01-22 11:30:00-05:00,2016-01-22 11:35:00-05:00,105.16,105.11923503612208,105.11923503612208,long,GLD,commodities
2016-01-22 11:40:00-05:00,2016-01-22 11:45:00-05:00,105.115,105.07423503612208,105.07423503612208,long,GLD,commodities
2016-01-22 11:50:00-05:00,2016-01-22 12:05:00-05:00,105.01,104.96923503612209,104.96923503612209,long,GLD,commodities
2016-01-22 12:10:00-05:00,2016-01-22 12:40:00-05:00,105.09,105.04923503612208,105.04923503612208,long,GLD,commodities
2016-01-22 12:45:00-05:00,2016-01-22 13:10:00-05:00,105.03,104.98923503612208,104.98923503612208,long,GLD,commodities
