entry_time,exit_time,entry_price,exit_price,stop_price,direction,instrument,basket
2016-01-06 09:40:00-05:00,2016-01-06 09:45:00-05:00,76.23,76.25712,76.25712,short,IWD,us_factor
2016-01-06 09:50:00-05:00,2016-01-06 09:55:00-05:00,76.29,76.31712,76.31712,short,IWD,us_factor
2016-01-06 10:00:00-05:00,2016-01-06 10:20:00-05:00,76.39,76.41712,76.41712,short,IWD,us_factor
2016-01-06 10:25:00-05:00,2016-01-06 11:20:00-05:00,76.47,76.49712,76.49712,short,IWD,us_factor
2016-01-06 11:25:00-05:00,2016-01-06 11:40:00-05:00,76.54,76.56712,76.56712,short,IWD,us_factor
2016-01-06 11:45:00-05:00,2016-01-06 12:35:00-05:00,76.43,76.45712,76.45712,short,IWD,us_factor
2016-01-06 12:40:00-05:00,2016-01-06 15:55:00-05:00,76.42,76.13,76.44712,short,IWD,us_factor
2016-01-07 09:30:00-05:00,2016-01-07 09:35:00-05:00,74.81,74.840104,74.840104,short,IWD,us_factor
2016-01-07 09:40:00-05:00,2016-01-07 09:45:00-05:00,75.02,75.05010399999999,75.05010399999999,short,IWD,us_factor
2016-01-07 09:50:00-05:00,2016-01-07 10:30:00-05:00,75.2,75.230104,75.230104,short,IWD,us_factor
2016-01-07 10:35:00-05:00,2016-01-07 10:50:00-05:00,75.38,75.41010399999999,75.41010399999999,short,IWD,us_factor
2016-01-07 10:55:00-05:00,2016-01-07 15:55:00-05:00,75.53,74.38,75.560104,short,IWD,us_factor
2016-01-08 09:30:00-05:00,2016-01-08 09:35:00-05:00,74.84,74.87409013333334,74.87409013333334,short,IWD,us_factor
2016-01-08 09:40:00-05:00,2016-01-08 15:55:00-05:00,74.69,73.43,74.72409013333333,short,IWD,us_factor
2016-01-11 09:30:00-05:00,2016-01-11 09:35:00-05:00,73.81,73.84618478222222,73.84618478222222,short,IWD,us_factor
2016-01-11 09:40:00-05:00,2016-01-11 09:45:00-05:00,73.69,73.72618478222222,73.72618478222222,short,IWD,us_factor
2016-01-11 09:50:00-05:00,2016-01-11 10:00:00-05:00,73.58,73.61618478222222,73.61618478222222,short,IWD,us_factor
2016-01-11 10:05:00-05:00,2016-01-11 10:10:00-05:00,73.51,73.54618478222223,73.54618478222223,short,IWD,us_factor
2016-01-11 10:15:00-05:00,2016-01-11 10:20:00-05:00,73.53,73.56618478222222,73.56618478222222,short,IWD,us_factor
2016-01-11 10:25:00-05:00,2016-01-11 10:30:00-05:00,73.58,73.61618478222222,73.61618478222222,short,IWD,us_factor
2016-01-11 10:35:00-05:00,2016-01-11 15:55:00-05:00,73.73,73.4,73.76618478222223,short,IWD,us_factor
2016-01-12 11:45:00-05:00,2016-01-12 11:50:00-05:00,73.16,73.1966001445926,73.1966001445926,short,IWD,us_factor
2016-01-12 11:55:00-05:00,2016-01-12 12:00:00-05:00,73.26,73.2966001445926,73.2966001445926,short,IWD,us_factor
2016-01-12 12:05:00-05:00,2016-01-12 15:15:00-05:00,73.46,73.49660014459259,73.49660014459259,short,IWD,us_factor
2016-01-13 11:30:00-05:00,2016-01-13 11:35:00-05:00,73.76,73.72259987468642,73.72259987468642,long,IWD,us_factor
2016-01-13 11:40:00-05:00,2016-01-13 11:45:00-05:00,73.69,73.65259987468642,73.65259987468642,long,IWD,us_factor
2016-01-13 12:10:00-05:00,2016-01-13 12:15:00-05:00,73.38,73.41740012531358,73.41740012531358,short,IWD,us_factor
2016-01-13 12:20:00-05:00,2016-01-13 12:25:00-05:00,73.41,73.44740012531358,73.44740012531358,short,IWD,us_factor
2016-01-13 12:30:00-05:00,2016-01-13 15:55:00-05:00,73.46,72.24,73.49740012531358,short,IWD,us_factor
2016-01-14 09:30:00-05:00,2016-01-14 10:15:00-05:00,72.49,72.53201344193843,72.53201344193843,short,IWD,us_factor
2016-01-14 10:20:00-05:00,2016-01-14 10:25:00-05:00,72.55,72.59201344193843,72.59201344193843,short,IWD,us_factor
2016-01-14 10:30:00-05:00,2016-01-14 10:35:00-05:00,72.87,72.91201344193844,72.91201344193844,short,IWD,us_factor
2016-01-14 10:40:00-05:00,2016-01-14 10:45:00-05:00,73.11,73.15201344193844,73.15201344193844,short,IWD,us_factor
2016-01-14 10:50:00-05:00,2016-01-14 13:05:00-05:00,73.36,73.40201344193844,73.40201344193844,short,IWD,us_factor
2016-01-14 14:55:00-05:00,2016-01-14 15:30:00-05:00,73.66,73.61798655806156,73.61798655806156,long,IWD,us_factor
2016-01-14 15:35:00-05:00,2016-01-14 15:40:00-05:00,73.49,73.44798655806156,73.44798655806156,long,IWD,us_factor
2016-01-14 15:45:00-05:00,2016-01-14 15:50:00-05:00,73.54,73.49798655806157,73.49798655806157,long,IWD,us_factor
2016-01-14 15:55:00-05:00,2016-01-14 15:55:00-05:00,73.39,73.37,73.34798655806156,long,IWD,us_factor
2016-01-15 09:30:00-05:00,2016-01-15 12:00:00-05:00,71.37,71.32594835032003,71.32594835032003,long,IWD,us_factor
2016-01-15 12:05:00-05:00,2016-01-15 12:10:00-05:00,71.33,71.37405164967997,71.37405164967997,short,IWD,us_factor
2016-01-15 12:15:00-05:00,2016-01-15 13:40:00-05:00,71.37,71.41405164967998,71.41405164967998,short,IWD,us_factor
2016-01-15 13:45:00-05:00,2016-01-15 13:50:00-05:00,71.38,71.42405164967997,71.42405164967997,short,IWD,us_factor
2016-01-15 13:55:00-05:00,2016-01-15 14:45:00-05:00,71.51,71.55405164967998,71.55405164967998,short,IWD,us_factor
2016-01-15 14:50:00-05:00,2016-01-15 14:55:00-05:00,71.57,71.61405164967996,71.61405164967996,short,IWD,us_factor
2016-01-15 15:00:00-05:00,2016-01-15 15:05:00-05:00,71.88,71.92405164967997,71.92405164967997,short,IWD,us_factor
2016-01-15 15:10:00-05:00,2016-01-15 15:30:00-05:00,71.81,71.85405164967997,71.85405164967997,short,IWD,us_factor
2016-01-15 15:35:00-05:00,2016-01-15 15:45:00-05:00,71.8,71.84405164967997,71.84405164967997,short,IWD,us_factor
2016-01-15 15:50:00-05:00,2016-01-15 15:55:00-05:00,71.82,71.76,71.86405164967996,short,IWD,us_factor
2016-01-19 12:50:00-05:00,2016-01-19 12:55:00-05:00,71.69,71.73829809638931,71.73829809638931,short,IWD,us_factor
2016-01-19 13:00:00-05:00,2016-01-19 13:15:00-05:00,71.8,71.84829809638931,71.84829809638931,short,IWD,us_factor
2016-01-19 13:20:00-05:00,2016-01-19 15:55:00-05:00,71.86,71.57,71.90829809638932,short,IWD,us_factor
2016-01-20 09:30:00-05:00,2016-01-20 09:35:00-05:00,70.4,70.44829835020408,70.44829835020408,short,IWD,us_factor
2016-01-20 09:40:00-05:00,2016-01-20 09:45:00-05:00,70.22,70.26829835020408,70.26829835020408,short,IWD,us_factor
2016-01-20 09:50:00-05:00,2016-01-20 15:15:00-05:00,70.34,70.38829835020408,70.38829835020408,short,IWD,us_factor
2016-01-21 12:40:00-05:00,2016-01-21 12:45:00-05:00,71.48,71.42690142982315,71.42690142982315,long,IWD,us_factor
2016-01-21 12:50:00-05:00,2016-01-21 12:55:00-05:00,71.36,71.30690142982314,71.30690142982314,long,IWD,us_factor
2016-01-21 13:00:00-05:00,2016-01-21 13:15:00-05:00,71.35,71.29690142982314,71.29690142982314,long,IWD,us_factor
2016-01-21 13:20:00-05:00,2016-01-21 13:25:00-05:00,71.3,71.24690142982314,71.24690142982314,long,IWD,us_factor
2016-01-21 13:30:00-05:00,2016-01-21 13:35:00-05:00,71.0,70.94690142982314,70.94690142982314,long,IWD,us_factor
2016-01-21 13:40:00-05:00,2016-01-21 13:50:00-05:00,71.06,71.00690142982315,71.00690142982315,long,IWD,us_factor
2016-01-21 13:55:00-05:00,2016-01-21 14:00:00-05:00,70.93,70.87690142982315,70.87690142982315,long,IWD,us_factor
2016-01-21 14:05:00-05:00,2016-01-21 14:10:00-05:00,70.97,70.91690142982314,70.91690142982314,long,IWD,us_factor
2016-01-21 14:15:00-05:00,2016-01-21 14:20:00-05:00,70.64,70.58690142982314,70.58690142982314,long,IWD,us_factor
2016-01-21 14:25:00-05:00,2016-01-21 15:55:00-05:00,70.54,70.79,70.48690142982315,long,IWD,us_factor
2016-01-22 09:30:00-05:00,2016-01-22 09:35:00-05:00,72.0,71.94746123918006,71.94746123918006,long,IWD,us_factor
2016-01-22 09:40:00-05:00,2016-01-22 09:45:00-05:00,71.89,71.83746123918006,71.83746123918006,long,IWD,us_factor
2016-01-22 09:50:00-05:00,2016-01-22 10:40:00-05:00,71.95,71.89746123918006,71.89746123918006,long,IWD,us_factor
2016-01-22 10:45:00-05:00,2016-01-22 10:50:00-05:00,71.92,71.86746123918006,71.86746123918006,long,IWD,us_factor
2016-01-22 10:55:00-05:00,2016-01-22 11:00:00-05:00,71.8,71.74746123918005,71.74746123918005,long,IWD,us_factor
2016-01-22 11:05:00-05:00,2016-01-22 11:10:00-05:00,71.74,71.68746123918005,71.68746123918005,long,IWD,us_factor
2016-01-22 11:15:00-05:00,2016-01-22 11:40:00-05:00,71.68,71.62746123918006,71.62746123918006,long,IWD,us_factor
2016-01-22 11:45:00-05:00,2016-01-22 11:50:00-05:00,71.68,71.62746123918006,71.62746123918006,long,IWD,us_factor
2016-01-22 11:55:00-05:00,2016-01-22 12:00:00-05:00,71.67,71.61746123918006,71.61746123918006,long,IWD,us_factor
2016-01-22 12:05:00-05:00,2016-01-22 15:55:00-05:00,71.64,72.16,71.58746123918006,long,IWD,us_factor
2016-01-25 09:30:00-05:00,2016-01-25 09:35:00-05:00,72.01,71.95850640728938,71.95850640728938,long,IWD,us_factor
2016-01-25 09:40:00-05:00,2016-01-25 09:45:00-05:00,71.72,71.66850640728937,71.66850640728937,long,IWD,us_factor
2016-01-25 09:50:00-05:00,2016-01-25 10:35:00-05:00,71.58,71.52850640728937,71.52850640728937,long,IWD,us_factor
2016-01-25 15:10:00-05:00,2016-01-25 15:55:00-05:00,71.16,70.81,71.21149359271062,short,IWD,us_factor
2016-01-26 09:30:00-05:00,2016-01-26 09:35:00-05:00,71.14,71.1903477803492,71.1903477803492,short,IWD,us_factor
2016-01-26 09:40:00-05:00,2016-01-26 09:45:00-05:00,71.37,71.4203477803492,71.4203477803492,short,IWD,us_factor
2016-01-26 09:50:00-05:00,2016-01-26 09:55:00-05:00,71.25,71.3003477803492,71.3003477803492,short,IWD,us_factor
2016-01-26 10:00:00-05:00,2016-01-26 10:05:00-05:00,71.33,71.3803477803492,71.3803477803492,short,IWD,us_factor
2016-01-26 10:10:00-05:00,2016-01-26 10:15:00-05:00,71.72,71.7703477803492,71.7703477803492,short,IWD,us_factor
2016-01-26 10:20:00-05:00,2016-01-26 10:25:00-05:00,71.83,71.8803477803492,71.8803477803492,short,IWD,us_factor
2016-01-26 10:50:00-05:00,2016-01-26 10:55:00-05:00,71.86,71.8096522196508,71.8096522196508,long,IWD,us_factor
2016-01-26 11:00:00-05:00,2016-01-26 15:55:00-05:00,71.78,72.16,71.7296522196508,long,IWD,us_factor
2016-01-27 09:30:00-05:00,2016-01-27 09:35:00-05:00,71.98,71.93064525703069,71.93064525703069,long,IWD,us_factor
2016-01-27 09:40:00-05:00,2016-01-27 10:00:00-05:00,72.04,71.99064525703069,71.99064525703069,long,IWD,us_factor
2016-01-27 10:05:00-05:00,2016-01-27 10:10:00-05:00,71.91,71.86064525703068,71.86064525703068,long,IWD,us_factor
2016-01-27 10:15:00-05:00,2016-01-27 15:00:00-05:00,71.77,71.72064525703068,71.72064525703068,long,IWD,us_factor
2016-01-28 12:00:00-05:00,2016-01-28 12:05:00-05:00,71.6,71.6494541105734,71.6494541105734,short,IWD,us_factor
2016-01-28 12:10:00-05:00,2016-01-28 12:15:00-05:00,71.79,71.83945411057341,71.83945411057341,short,IWD,us_factor
2016-01-28 12:20:00-05:00,2016-01-28 12:25:00-05:00,71.88,71.9294541105734,71.9294541105734,short,IWD,us_factor
2016-01-28 12:30:00-05:00,2016-01-28 12:35:00-05:00,72.13,72.1794541105734,72.1794541105734,short,IWD,us_factor
2016-01-28 12:40:00-05:00,2016-01-28 12:45:00-05:00,72.2,72.24945411057341,72.24945411057341,short,IWD,us_factor
2016-01-28 13:10:00-05:00,2016-01-28 13:15:00-05:00,72.16,72.11054588942659,72.11054588942659,long,IWD,us_factor
2016-01-28 13:20:00-05:00,2016-01-28 13:25:00-05:00,71.95,71.9005458894266,71.9005458894266,long,IWD,us_factor
2016-01-28 13:30:00-05:00,2016-01-28 13:55:00-05:00,72.07,72.02054588942659,72.02054588942659,long,IWD,us_factor
2016-01-28 14:00:00-05:00,2016-01-28 15:55:00-05:00,71.93,72.07,71.8805458894266,long,IWD,us_factor
2016-01-29 09:30:00-05:00,2016-01-29 15:55:00-05:00,72.48,73.99,72.43261977083638,long,IWD,us_factor
2016-02-01 09:30:00-05:00,2016-02-01 09:35:00-05:00,73.5,73.45113713472486,73.45113713472486,long,IWD,us_factor
2016-02-01 09:40:00-05:00,2016-02-01 09:45:00-05:00,73.45,73.40113713472486,73.40113713472486,long,IWD,us_factor
2016-02-01 09:50:00-05:00,2016-02-01 10:00:00-05:00,73.25,73.20113713472486,73.20113713472486,long,IWD,us_factor
2016-02-01 10:05:00-05:00,2016-02-01 15:55:00-05:00,73.15,73.8,73.10113713472487,long,IWD,us_factor
2016-02-02 09:30:00-05:00,2016-02-02 09:35:00-05:00,72.91,72.86349218342822,72.86349218342822,long,IWD,us_factor
2016-02-02 11:00:00-05:00,2016-02-02 11:05:00-05:00,72.42,72.46650781657178,72.46650781657178,short,IWD,us_factor
2016-02-02 11:10:00-05:00,2016-02-02 11:15:00-05:00,72.48,72.52650781657178,72.52650781657178,short,IWD,us_factor
2016-02-02 11:25:00-05:00,2016-02-02 11:30:00-05:00,72.56,72.60650781657178,72.60650781657178,short,IWD,us_factor
2016-02-02 11:35:00-05:00,2016-02-02 11:40:00-05:00,72.69,72.73650781657177,72.73650781657177,short,IWD,us_factor
2016-02-02 11:45:00-05:00,2016-02-02 15:55:00-05:00,72.65,72.31,72.69650781657178,short,IWD,us_factor
2016-02-03 09:30:00-05:00,2016-02-03 14:40:00-05:00,72.73,72.77730677436222,72.77730677436222,short,IWD,us_factor
2016-02-04 09:45:00-05:00,2016-02-04 15:55:00-05:00,72.79,73.29,72.74096079555275,long,IWD,us_factor
2016-02-05 09:30:00-05:00,2016-02-05 09:35:00-05:00,73.12,73.07329935614572,73.07329935614572,long,IWD,us_factor
2016-02-05 09:40:00-05:00,2016-02-05 09:45:00-05:00,73.04,72.99329935614573,72.99329935614573,long,IWD,us_factor
2016-02-05 12:00:00-05:00,2016-02-05 12:25:00-05:00,72.66,72.70670064385428,72.70670064385428,short,IWD,us_factor
2016-02-05 12:30:00-05:00,2016-02-05 12:35:00-05:00,72.64,72.68670064385428,72.68670064385428,short,IWD,us_factor
2016-02-05 12:40:00-05:00,2016-02-05 15:55:00-05:00,72.71,72.33,72.75670064385427,short,IWD,us_factor
2016-02-08 09:30:00-05:00,2016-02-08 15:55:00-05:00,71.57,71.35,71.61539389134037,short,IWD,us_factor
2016-02-09 09:45:00-05:00,2016-02-09 09:50:00-05:00,70.96,71.00678137249498,71.00678137249498,short,IWD,us_factor
2016-02-09 10:55:00-05:00,2016-02-09 11:00:00-05:00,70.69,70.73678137249499,70.73678137249499,short,IWD,us_factor
2016-02-09 11:05:00-05:00,2016-02-09 11:10:00-05:00,70.76,70.806781372495,70.806781372495,short,IWD,us_factor
2016-02-09 11:15:00-05:00,2016-02-09 11:20:00-05:00,71.04,71.086781372495,71.086781372495,short,IWD,us_factor
2016-02-09 11:25:00-05:00,2016-02-09 14:40:00-05:00,71.17,71.21678137249499,71.21678137249499,short,IWD,us_factor
2016-02-10 12:25:00-05:00,2016-02-10 13:30:00-05:00,71.56,71.51473614383767,71.51473614383767,long,IWD,us_factor
2016-02-10 13:35:00-05:00,2016-02-10 14:35:00-05:00,71.51,71.46473614383767,71.46473614383767,long,IWD,us_factor
2016-02-10 14:40:00-05:00,2016-02-10 14:45:00-05:00,71.44,71.39473614383766,71.39473614383766,long,IWD,us_factor
2016-02-10 14:50:00-05:00,2016-02-10 15:15:00-05:00,71.37,71.32473614383767,71.32473614383767,long,IWD,us_factor
2016-02-10 15:55:00-05:00,2016-02-10 15:55:00-05:00,70.96,70.95,71.00526385616233,short,IWD,us_factor
2016-02-11 09:30:00-05:00,2016-02-11 09:35:00-05:00,69.77,69.81390867534068,69.81390867534068,short,IWD,us_factor
2016-02-11 09:40:00-05:00,2016-02-11 09:45:00-05:00,69.7,69.74390867534069,69.74390867534069,short,IWD,us_factor
2016-02-11 09:50:00-05:00,2016-02-11 09:55:00-05:00,69.81,69.85390867534069,69.85390867534069,short,IWD,us_factor
2016-02-11 10:00:00-05:00,2016-02-11 10:05:00-05:00,70.11,70.15390867534069,70.15390867534069,short,IWD,us_factor
2016-02-11 10:10:00-05:00,2016-02-11 15:40:00-05:00,70.1,70.14390867534068,70.14390867534068,short,IWD,us_factor
2016-02-11 15:45:00-05:00,2016-02-11 15:55:00-05:00,70.12,69.78,70.16390867534069,short,IWD,us_factor
2016-02-12 12:25:00-05:00,2016-02-12 12:50:00-05:00,71.06,71.01446581470474,71.01446581470474,long,IWD,us_factor
2016-02-12 12:55:00-05:00,2016-02-12 13:00:00-05:00,71.08,71.03446581470473,71.03446581470473,long,IWD,us_factor
2016-02-12 13:05:00-05:00,2016-02-12 13:10:00-05:00,71.05,71.00446581470473,71.00446581470473,long,IWD,us_factor
2016-02-12 13:15:00-05:00,2016-02-12 13:20:00-05:00,70.92,70.87446581470473,70.87446581470473,long,IWD,us_factor
2016-02-12 13:25:00-05:00,2016-02-12 15:55:00-05:00,70.83,71.39,70.78446581470473,long,IWD,us_factor
2016-02-16 09:30:00-05:00,2016-02-16 09:35:00-05:00,72.22,72.17405703941077,72.17405703941077,long,IWD,us_factor
2016-02-16 09:40:00-05:00,2016-02-16 09:45:00-05:00,72.04,71.99405703941078,71.99405703941078,long,IWD,us_factor
2016-02-16 09:50:00-05:00,2016-02-16 09:55:00-05:00,71.96,71.91405703941076,71.91405703941076,long,IWD,us_factor
2016-02-16 10:00:00-05:00,2016-02-16 10:05:00-05:00,71.88,71.83405703941077,71.83405703941077,long,IWD,us_factor
2016-02-16 10:10:00-05:00,2016-02-16 15:55:00-05:00,71.77,72.51,71.72405703941077,long,IWD,us_factor
2016-02-17 09:30:00-05:00,2016-02-17 15:55:00-05:00,73.07,73.63,73.02558276748933,long,IWD,us_factor
2016-02-18 09:30:00-05:00,2016-02-18 09:35:00-05:00,73.64,73.59618506515743,73.59618506515743,long,IWD,us_factor
2016-02-18 09:40:00-05:00,2016-02-18 09:45:00-05:00,73.57,73.52618506515742,73.52618506515742,long,IWD,us_factor
2016-02-18 09:50:00-05:00,2016-02-18 11:00:00-05:00,73.57,73.52618506515742,73.52618506515742,long,IWD,us_factor
2016-02-18 11:05:00-05:00,2016-02-18 11:10:00-05:00,73.46,73.41618506515742,73.41618506515742,long,IWD,us_factor
2016-02-18 13:10:00-05:00,2016-02-18 13:15:00-05:00,73.6,73.55618506515742,73.55618506515742,long,IWD,us_factor
