date,equity
2016-01-08,99750.04999999999
2016-01-11,99748.39
2016-01-12,99857.20999999999
2016-01-13,99563.65239999998
2016-01-14,99563.65239999998
2016-01-15,99563.65239999998
2016-01-18,99563.65239999998
2016-01-19,99563.65239999998
2016-01-20,99563.65239999998
2016-01-21,99563.65239999998
2016-01-22,99563.65239999998
2016-01-25,99563.65239999998
2016-01-26,99709.99239999997
2016-01-27,99588.61239999998
2016-01-28,99655.93239999998
2016-01-29,99655.93239999998
2016-02-01,99655.93239999998
2016-02-02,99655.93239999998
2016-02-03,99601.87239999998
2016-02-04,99601.36239999998
2016-02-05,99510.29169999999
2016-02-08,99472.2217
2016-02-09,99440.03169999998
2016-02-10,99438.98169999997
2016-02-11,99381.41169999997
2016-02-12,99642.30169999998
2016-02-15,99642.30169999998
2016-02-16,99642.30169999998
2016-02-17,99642.30169999998
2016-02-18,99642.30169999998
2016-02-19,99676.62169999997
2016-02-22,99756.18169999997
2016-02-23,99756.18169999997
2016-02-24,100021.24169999997
2016-02-25,100021.24169999997
2016-02-26,100021.24169999997
2016-02-29,99977.74169999997
2016-03-01,100268.25169999996
2016-03-02,100268.25169999996
2016-03-03,100268.25169999996
2016-03-04,100268.25169999996
2016-03-07,100268.25169999996
2016-03-08,100268.25169999996
2016-03-09,100288.11169999998
2016-03-10,100252.51169999997
2016-03-11,100432.71169999997
2016-03-14,100426.55169999998
2016-03-15,100418.71169999997
2016-03-16,100505.01169999997
2016-03-17,100612.13169999997
2016-03-18,100605.97169999997
2016-03-21,100612.97169999997
2016-03-22,100610.45169999998
2016-03-23,100577.97169999997
2016-03-24,100619.69169999998
2016-03-25,100619.69169999998
2016-03-28,100619.69169999998
2016-03-29,100619.69169999998
2016-03-30,100619.69169999998
2016-03-31,100619.69169999998
2016-04-01,100681.01169999997
2016-04-04,100681.01169999997
2016-04-05,100660.10169999997
2016-04-06,100840.77169999998
2016-04-07,100840.77169999998
2016-04-08,100840.77169999998
2016-04-11,100840.77169999998
2016-04-12,100970.80169999997
2016-04-13,100970.80169999997
2016-04-14,100970.80169999997
2016-04-15,100970.80169999997
2016-04-18,100970.80169999997
2016-04-19,100970.80169999997
2016-04-20,100970.80169999997
2016-04-21,100970.80169999997
2016-04-22,100970.80169999997
2016-04-25,100970.80169999997
2016-04-26,100970.80169999997
2016-04-27,100970.80169999997
2016-04-28,100970.80169999997
2016-04-29,100915.03169999998
2016-05-02,101043.57169999997
2016-05-03,101043.57169999997
2016-05-04,101043.57169999997
2016-05-05,101043.57169999997
2016-05-06,101093.04169999997
2016-05-09,101093.04169999997
2016-05-10,101093.04169999997
2016-05-11,101093.04169999997
2016-05-12,101002.9117
2016-05-13,100910.43169999999
2016-05-16,101079.37169999999
2016-05-17,100894.9117
2016-05-18,100938.46169999999
2016-05-19,100857.67169999998
2016-05-20,100991.59169999999
2016-05-23,100985.2217
2016-05-24,101154.24169999998
2016-05-25,101154.24169999998
2016-05-26,101154.24169999998
2016-05-27,101154.24169999998
2016-05-30,101154.24169999998
2016-05-31,101154.24169999998
2016-06-01,101154.24169999998
2016-06-02,101154.24169999998
2016-06-03,101154.24169999998
2016-06-06,101154.24169999998
2016-06-07,101154.24169999998
2016-06-08,101154.7217
2016-06-09,101146.56169999999
2016-06-10,101090.8817
2016-06-13,101050.56169999999
2016-06-14,101055.29169999997
2016-06-15,101038.32169999999
2016-06-16,101066.54169999997
2016-06-17,101066.54169999997
2016-06-20,101040.57169999997
2016-06-21,101047.73169999999
2016-06-22,101008.54169999997
2016-06-23,101235.8217
2016-06-24,101235.8217
2016-06-27,101122.9417
2016-06-28,101347.90169999999
2016-06-29,101460.1017
2016-06-30,101460.1017
2016-07-01,101460.1017
2016-07-04,101460.1017
2016-07-05,101460.1017
2016-07-06,101460.1017
2016-07-07,101460.1017
2016-07-08,101460.1017
2016-07-11,101460.1017
2016-07-12,101460.1017
2016-07-13,101460.1017
2016-07-14,101461.0417
2016-07-15,101445.06169999999
2016-07-18,101485.95169999999
2016-07-19,101442.71169999999
2016-07-20,101532.48169999997
2016-07-21,101497.70169999998
2016-07-22,101555.0417
2016-07-25,101555.0417
2016-07-26,101555.0417
2016-07-27,101555.0417
2016-07-28,101555.0417
2016-07-29,101555.0417
2016-08-01,101555.0417
2016-08-02,101524.2217
2016-08-03,101586.8517
2016-08-04,101586.8517
2016-08-05,101586.8517
2016-08-08,101586.8517
2016-08-09,101586.8517
2016-08-10,101586.8517
2016-08-11,101586.8517
2016-08-12,101586.8517
2016-08-15,101586.8517
2016-08-16,101586.8517
2016-08-17,101586.2617
2016-08-18,101623.9817
