entry_time,exit_time,entry_price,exit_price,stop_price,direction,instrument,basket,exit_reason
2016-01-12,2016-01-14,12.6,12.347999999999999,12.347999999999999,long,GDX,commodities,stop
2016-01-15,2016-01-15,12.43,12.1814,12.1814,long,GDX,commodities,stop
2016-01-19,2016-01-19,12.07,11.8286,11.8286,long,GDX,commodities,stop
2016-01-20,2016-01-21,11.68,11.8,,long,GDX,commodities,signal
2016-02-09,2016-02-09,16.2,15.876,15.876,long,GDX,commodities,stop
2016-02-10,2016-02-10,15.28,15.66,,long,GDX,commodities,signal
2016-02-17,2016-02-18,16.03,17.27,,long,GDX,commodities,signal
2016-02-22,2016-02-25,16.28,17.72,,long,GDX,commodities,signal
2016-02-29,2016-02-29,17.33,17.71,,long,GDX,commodities,signal
2016-03-02,2016-03-10,17.11,18.62,,long,GDX,commodities,signal
2016-03-14,2016-03-14,18.41,18.0418,18.0418,long,GDX,commodities,stop
2016-03-15,2016-03-15,17.47,17.85,,long,GDX,commodities,signal
2016-03-18,2016-03-23,18.61,18.2378,18.2378,long,GDX,commodities,stop
2016-03-24,2016-03-29,17.59,18.77,,long,GDX,commodities,signal
2016-04-01,2016-04-01,17.78,18.39,,long,GDX,commodities,signal
2016-04-05,2016-04-05,18.33,18.4,,long,GDX,commodities,signal
2016-04-14,2016-04-14,20.24,19.835199999999997,19.835199999999997,long,GDX,commodities,stop
2016-04-21,2016-04-22,21.43,21.0014,21.0014,long,GDX,commodities,stop
2016-04-25,2016-04-26,20.77,21.01,,long,GDX,commodities,signal
2016-05-04,2016-05-04,22.12,21.6776,21.6776,long,GDX,commodities,stop
2016-05-05,2016-05-10,21.77,22.3,,long,GDX,commodities,signal
2016-05-13,2016-05-18,22.46,22.0108,22.0108,long,GDX,commodities,stop
2016-05-19,2016-05-19,21.01,21.9,,long,GDX,commodities,signal
2016-05-25,2016-05-25,20.43,21.05,,long,GDX,commodities,signal
2016-05-27,2016-05-27,20.78,20.3644,20.3644,long,GDX,commodities,stop
2016-05-31,2016-06-03,20.39,23.15,,long,GDX,commodities,signal
2016-06-08,2016-06-14,23.93,23.4514,23.4514,long,GDX,commodities,stop
2016-06-15,2016-06-22,23.16,23.3,,long,GDX,commodities,signal
2016-06-24,2016-06-24,25.29,24.7842,24.7842,long,GDX,commodities,stop
2016-06-29,2016-06-30,24.68,25.32,,long,GDX,commodities,signal
2016-07-13,2016-07-14,27.5,27.61,,long,GDX,commodities,signal
2016-07-20,2016-07-20,26.47,25.9406,25.9406,long,GDX,commodities,stop
2016-07-21,2016-07-25,25.87,25.3526,25.3526,long,GDX,commodities,stop
2016-08-12,2016-08-12,29.02,28.4396,28.4396,long,GDX,commodities,stop
2016-08-15,2016-08-17,28.42,27.8516,27.8516,long,GDX,commodities,stop
2016-08-22,2016-08-24,26.96,26.4208,26.4208,long,GDX,commodities,stop
2016-08-25,2016-08-30,24.64,24.1472,24.1472,long,GDX,commodities,stop
