entry_time,exit_time,entry_price,exit_price,stop_price,direction,instrument,basket,exit_reason
2016-01-05,2016-01-21,13.31,13.46,,long,SLV,commodities,signal
2016-01-25,2016-01-25,13.56,13.58,,long,SLV,commodities,signal
2016-02-10,2016-02-10,14.51,14.55,,long,SLV,commodities,signal
2016-02-17,2016-02-26,14.55,14.259,14.259,long,SLV,commodities,stop
2016-02-29,2016-02-29,14.04,14.2,,long,SLV,commodities,signal
2016-03-09,2016-03-16,14.5,14.87,,long,SLV,commodities,signal
2016-03-24,2016-03-29,14.57,14.6,,long,SLV,commodities,signal
2016-03-31,2016-04-01,14.7,14.405999999999999,14.405999999999999,long,SLV,commodities,stop
2016-04-05,2016-04-12,14.41,15.41,,long,SLV,commodities,signal
2016-04-15,2016-04-28,15.4,16.77,,long,SLV,commodities,signal
2016-05-03,2016-05-09,16.75,16.415,16.415,long,SLV,commodities,stop
2016-05-10,2016-05-13,16.25,16.28,,long,SLV,commodities,signal
2016-05-17,2016-05-19,16.31,15.983799999999999,15.983799999999999,long,SLV,commodities,stop
2016-05-25,2016-06-01,15.48,15.1704,15.1704,long,SLV,commodities,stop
2016-06-17,2016-06-17,16.6,16.6,,long,SLV,commodities,signal
2016-07-20,2016-07-21,18.49,18.88,,long,SLV,commodities,signal
2016-08-04,2016-08-05,19.28,18.8944,18.8944,long,SLV,commodities,stop
2016-08-08,2016-08-09,18.76,18.87,,long,SLV,commodities,signal
2016-08-11,2016-08-12,19.16,18.7768,18.7768,long,SLV,commodities,stop
2016-08-15,2016-08-19,18.77,18.3946,18.3946,long,SLV,commodities,stop
2016-08-22,2016-08-24,18.01,17.649800000000003,17.649800000000003,long,SLV,commodities,stop
2016-08-25,2016-08-29,17.61,17.9,,long,SLV,commodities,signal
2016-08-31,2016-09-02,17.7,18.44,,long,SLV,commodities,signal
2016-09-08,2016-09-09,18.78,18.404400000000003,18.404400000000003,long,SLV,commodities,stop
2016-09-12,2016-09-12,17.92,18.17,,long,SLV,commodities,signal
2016-09-15,2016-09-16,18.02,17.86,,long,SLV,commodities,signal
2016-09-20,2016-09-21,18.15,18.85,,long,SLV,commodities,signal
2016-09-23,2016-09-26,18.81,18.433799999999998,18.433799999999998,long,SLV,commodities,stop
2016-09-27,2016-09-28,18.26,18.21,,long,SLV,commodities,signal
2016-10-03,2016-10-04,18.1,17.738,17.738,long,SLV,commodities,stop
2016-10-05,2016-10-06,17.0,16.66,16.66,long,SLV,commodities,stop
2016-10-11,2016-10-21,16.7,16.65,,long,SLV,commodities,signal
2016-10-25,2016-11-07,16.8,17.29,,long,SLV,commodities,signal
2016-11-09,2016-11-09,17.86,17.5028,17.5028,long,SLV,commodities,stop
2016-11-10,2016-11-11,17.65,17.296999999999997,17.296999999999997,long,SLV,commodities,stop
2016-11-14,2016-11-17,16.19,15.866200000000001,15.866200000000001,long,SLV,commodities,stop
2016-11-18,2016-12-15,15.78,15.4644,15.4644,long,SLV,commodities,stop
2016-12-22,2016-12-27,15.05,15.13,,long,SLV,commodities,signal
2017-01-03,2017-01-13,15.25,15.94,,long,SLV,commodities,signal
2017-01-19,2017-01-25,15.945,16.1,,long,SLV,commodities,signal
2017-02-21,2017-02-22,16.96,17.11,,long,SLV,commodities,signal
2017-02-28,2017-03-02,17.42,17.0716,17.0716,long,SLV,commodities,stop
2017-03-03,2017-03-08,16.81,16.473799999999997,16.473799999999997,long,SLV,commodities,stop
2017-03-09,2017-03-10,16.32,16.15,,long,SLV,commodities,signal
2017-03-15,2017-03-15,16.03,16.43,,long,SLV,commodities,signal
2017-03-31,2017-04-05,17.23,17.32,,long,SLV,commodities,signal
2017-04-10,2017-04-10,16.93,17.0,,long,SLV,commodities,signal
2017-04-28,2017-05-02,16.31,15.983799999999999,15.983799999999999,long,SLV,commodities,stop
2017-05-04,2017-05-05,15.48,15.5,,long,SLV,commodities,signal
2017-05-16,2017-05-24,15.82,16.28,,long,SLV,commodities,signal
2017-05-26,2017-06-01,16.38,16.38,,long,SLV,commodities,signal
2017-06-13,2017-06-28,15.85,15.92,,long,SLV,commodities,signal
2017-06-30,2017-07-03,15.72,15.4056,15.4056,long,SLV,commodities,stop
