entry_time,exit_time,entry_price,exit_price,stop_price,direction,instrument,basket,exit_reason
2016-01-07,2016-01-08,36.65,35.916999999999994,35.916999999999994,long,EWW,em_regional,stop
2016-01-11,2016-01-14,35.97,36.47,,long,EWW,em_regional,signal
2016-01-22,2016-01-25,35.78,35.0644,35.0644,long,EWW,em_regional,stop
2016-01-26,2016-01-26,35.36,35.89,,long,EWW,em_regional,signal
2016-02-08,2016-02-09,36.43,35.7014,35.7014,long,EWW,em_regional,stop
2016-02-19,2016-02-24,37.52,37.53,,long,EWW,em_regional,signal
2016-02-29,2016-03-01,37.91,39.17,,long,EWW,em_regional,signal
2016-03-07,2016-03-07,39.79,40.32,,long,EWW,em_regional,signal
2016-03-09,2016-03-16,39.85,40.35,,long,EWW,em_regional,signal
2016-03-21,2016-03-22,41.56,41.74,,long,EWW,em_regional,signal
2016-03-31,2016-04-01,42.72,42.14,,long,EWW,em_regional,signal
2016-04-05,2016-04-06,40.81,40.86,,long,EWW,em_regional,signal
2016-04-11,2016-04-12,40.65,41.27,,long,EWW,em_regional,signal
2016-04-15,2016-04-19,41.38,42.26,,long,EWW,em_regional,signal
2016-04-22,2016-04-26,41.61,41.86,,long,EWW,em_regional,signal
2016-04-29,2016-05-03,42.37,41.5226,41.5226,long,EWW,em_regional,stop
2016-05-04,2016-05-06,40.6,40.33,,long,EWW,em_regional,signal
2016-05-16,2016-05-17,39.78,39.88,,long,EWW,em_regional,signal
2016-05-24,2016-05-26,39.1,39.66,,long,EWW,em_regional,signal
2016-06-01,2016-06-01,38.72,39.09,,long,EWW,em_regional,signal
2016-06-03,2016-06-07,39.09,39.88,,long,EWW,em_regional,signal
2016-06-10,2016-06-13,39.06,38.278800000000004,38.278800000000004,long,EWW,em_regional,stop
2016-06-14,2016-06-16,37.45,37.95,,long,EWW,em_regional,signal
2016-06-27,2016-06-29,37.37,39.18,,long,EWW,em_regional,signal
2016-07-06,2016-07-06,38.63,38.52,,long,EWW,em_regional,signal
2016-07-14,2016-07-18,40.6,40.75,,long,EWW,em_regional,signal
2016-07-26,2016-07-29,39.93,39.45,,long,EWW,em_regional,signal
2016-08-17,2016-08-23,42.27,41.424600000000005,41.424600000000005,long,EWW,em_regional,stop
2016-08-24,2016-08-24,40.71,41.06,,long,EWW,em_regional,signal
2016-08-29,2016-09-01,40.54,40.28,,long,EWW,em_regional,signal
2016-09-09,2016-09-12,39.77,39.28,,long,EWW,em_regional,signal
2016-09-15,2016-09-19,37.86,37.1028,37.1028,long,EWW,em_regional,stop
2016-09-21,2016-09-21,37.2,37.81,,long,EWW,em_regional,signal
2016-09-26,2016-09-27,37.99,38.87,,long,EWW,em_regional,signal
2016-09-30,2016-10-03,38.98,39.04,,long,EWW,em_regional,signal
2016-10-07,2016-10-18,39.51,40.93,,long,EWW,em_regional,signal
2016-10-21,2016-10-21,40.75,41.25,,long,EWW,em_regional,signal
2016-10-26,2016-11-01,40.75,39.935,39.935,long,EWW,em_regional,stop
2016-11-02,2016-11-09,38.81,38.35,,long,EWW,em_regional,signal
2016-11-11,2016-11-23,34.38,34.68,,long,EWW,em_regional,signal
2016-11-29,2016-12-08,34.87,36.17,,long,EWW,em_regional,signal
2016-12-15,2016-12-15,35.57,35.82,,long,EWW,em_regional,signal
2016-12-19,2016-12-22,35.17,34.51,,long,EWW,em_regional,signal
2016-12-28,2016-12-28,34.87,34.88,,long,EWW,em_regional,signal
2017-01-03,2017-01-04,35.32,34.6136,34.6136,long,EWW,em_regional,stop
2017-01-09,2017-01-10,34.34,33.653200000000005,33.653200000000005,long,EWW,em_regional,stop
2017-01-11,2017-01-20,33.46,34.02,,long,EWW,em_regional,signal
2017-02-01,2017-02-02,35.98,36.4,,long,EWW,em_regional,signal
2017-02-17,2017-02-21,36.47,37.58,,long,EWW,em_regional,signal
2017-03-01,2017-03-01,37.13,37.72,,long,EWW,em_regional,signal
2017-03-03,2017-03-06,37.96,38.56,,long,EWW,em_regional,signal
2017-03-09,2017-03-14,37.65,37.68,,long,EWW,em_regional,signal
2017-03-22,2017-03-24,39.86,41.13,,long,EWW,em_regional,signal
2017-03-29,2017-04-03,41.06,41.2,,long,EWW,em_regional,signal
2017-04-06,2017-04-17,41.16,41.32,,long,EWW,em_regional,signal
2017-04-19,2017-04-20,40.97,41.06,,long,EWW,em_regional,signal
2017-04-25,2017-04-25,41.27,41.52,,long,EWW,em_regional,signal
