entry_time,exit_time,entry_price,exit_price,stop_price,direction,instrument,basket,exit_reason
2016-01-08,2016-01-14,23.34,23.1,,long,INDA,em_regional,signal
2016-01-26,2016-01-26,22.39,22.5,,long,INDA,em_regional,signal
2016-02-03,2016-02-03,22.36,22.65,,long,INDA,em_regional,signal
2016-02-11,2016-02-12,21.06,21.4,,long,INDA,em_regional,signal
2016-02-19,2016-02-22,21.62,22.05,,long,INDA,em_regional,signal
2016-02-24,2016-02-24,21.28,21.48,,long,INDA,em_regional,signal
2016-02-29,2016-03-01,21.41,22.44,,long,INDA,em_regional,signal
2016-03-23,2016-03-24,23.85,23.73,,long,INDA,em_regional,signal
2016-03-29,2016-03-29,23.55,23.84,,long,INDA,em_regional,signal
2016-03-31,2016-04-01,24.1,24.05,,long,INDA,em_regional,signal
2016-04-05,2016-04-06,23.54,23.7,,long,INDA,em_regional,signal
2016-04-21,2016-04-26,24.43,24.57,,long,INDA,em_regional,signal
2016-04-29,2016-05-02,24.1,24.17,,long,INDA,em_regional,signal
2016-05-04,2016-05-10,23.68,24.21,,long,INDA,em_regional,signal
2016-05-12,2016-05-13,24.16,23.6768,23.6768,long,INDA,em_regional,stop
2016-05-16,2016-05-19,23.97,23.490599999999997,23.490599999999997,long,INDA,em_regional,stop
2016-06-01,2016-06-01,24.57,24.65,,long,INDA,em_regional,signal
2016-06-14,2016-06-16,24.37,24.57,,long,INDA,em_regional,signal
2016-06-23,2016-06-23,24.9,25.11,,long,INDA,em_regional,signal
2016-06-27,2016-06-28,24.01,24.41,,long,INDA,em_regional,signal
2016-07-06,2016-07-06,24.89,25.05,,long,INDA,em_regional,signal
2016-07-12,2016-07-13,25.86,25.88,,long,INDA,em_regional,signal
2016-08-02,2016-08-03,26.47,26.31,,long,INDA,em_regional,signal
2016-08-16,2016-08-17,26.47,26.38,,long,INDA,em_regional,signal
2016-08-24,2016-08-25,26.23,26.14,,long,INDA,em_regional,signal
2016-08-31,2016-09-01,26.43,26.66,,long,INDA,em_regional,signal
2016-09-12,2016-09-12,26.27,26.6,,long,INDA,em_regional,signal
2016-09-14,2016-09-15,26.27,26.58,,long,INDA,em_regional,signal
2016-09-21,2016-09-21,26.47,26.76,,long,INDA,em_regional,signal
2016-09-26,2016-09-27,26.49,26.55,,long,INDA,em_regional,signal
2016-09-30,2016-10-03,26.25,26.87,,long,INDA,em_regional,signal
2016-10-17,2016-10-18,25.98,26.5,,long,INDA,em_regional,signal
2016-10-21,2016-10-31,26.39,26.06,,long,INDA,em_regional,signal
2016-11-07,2016-11-07,25.48,25.79,,long,INDA,em_regional,signal
2016-11-09,2016-11-09,25.17,25.31,,long,INDA,em_regional,signal
2016-11-14,2016-11-15,23.86,23.93,,long,INDA,em_regional,signal
2016-11-21,2016-11-22,23.2,23.38,,long,INDA,em_regional,signal
2016-11-28,2016-12-05,23.76,24.0,,long,INDA,em_regional,signal
2016-12-13,2016-12-13,24.32,24.51,,long,INDA,em_regional,signal
2016-12-15,2016-12-22,24.09,23.6082,23.6082,long,INDA,em_regional,stop
2017-01-10,2017-01-11,24.39,24.79,,long,INDA,em_regional,signal
2017-01-18,2017-01-23,24.88,24.83,,long,INDA,em_regional,signal
2017-02-17,2017-02-21,26.19,26.64,,long,INDA,em_regional,signal
2017-03-03,2017-03-03,26.73,26.82,,long,INDA,em_regional,signal
2017-03-09,2017-03-09,26.75,26.83,,long,INDA,em_regional,signal
2017-03-20,2017-03-20,28.0,28.11,,long,INDA,em_regional,signal
2017-03-22,2017-03-22,27.57,27.71,,long,INDA,em_regional,signal
2017-04-03,2017-04-03,28.47,28.58,,long,INDA,em_regional,signal
