entry_time,exit_time,entry_price,exit_price,stop_price,direction,instrument,basket,exit_reason
2016-01-08,2016-01-13,42.17,41.3266,41.3266,long,EFA,intl_liquid,stop
2016-01-14,2016-01-15,41.31,40.4838,40.4838,long,EFA,intl_liquid,stop
2016-01-26,2016-01-26,40.75,41.25,,long,EFA,intl_liquid,signal
2016-02-11,2016-02-12,38.77,39.42,,long,EFA,intl_liquid,signal
2016-02-19,2016-02-19,40.39,40.65,,long,EFA,intl_liquid,signal
2016-02-24,2016-02-24,39.77,40.3,,long,EFA,intl_liquid,signal
2016-03-01,2016-03-01,41.02,41.47,,long,EFA,intl_liquid,signal
2016-04-01,2016-04-01,42.21,42.63,,long,EFA,intl_liquid,signal
2016-04-12,2016-04-12,42.93,43.22,,long,EFA,intl_liquid,signal
2016-04-18,2016-04-18,43.89,44.33,,long,EFA,intl_liquid,signal
2016-05-10,2016-05-10,43.49,43.77,,long,EFA,intl_liquid,signal
2016-05-12,2016-05-16,43.78,43.46,,long,EFA,intl_liquid,signal
2016-05-18,2016-06-01,43.19,43.98,,long,EFA,intl_liquid,signal
2016-06-21,2016-06-23,43.98,45.17,,long,EFA,intl_liquid,signal
2016-06-27,2016-06-28,40.71,41.56,,long,EFA,intl_liquid,signal
2016-07-14,2016-08-03,44.08,43.99,,long,EFA,intl_liquid,signal
2016-08-11,2016-08-18,45.26,45.57,,long,EFA,intl_liquid,signal
2016-08-24,2016-08-29,45.5,45.05,,long,EFA,intl_liquid,signal
2016-09-12,2016-09-12,44.7,45.4,,long,EFA,intl_liquid,signal
2016-09-20,2016-09-21,44.89,45.52,,long,EFA,intl_liquid,signal
2016-09-23,2016-09-27,45.61,45.38,,long,EFA,intl_liquid,signal
2016-10-17,2016-10-21,44.27,44.77,,long,EFA,intl_liquid,signal
2016-11-07,2016-11-07,44.07,44.13,,long,EFA,intl_liquid,signal
2016-11-17,2016-11-21,43.6,43.61,,long,EFA,intl_liquid,signal
2016-12-15,2017-01-03,44.63,45.15,,long,EFA,intl_liquid,signal
2017-03-03,2017-03-06,47.19,47.22,,long,EFA,intl_liquid,signal
2017-03-22,2017-03-29,47.9,48.66,,long,EFA,intl_liquid,signal
2017-03-31,2017-04-03,48.28,48.36,,long,EFA,intl_liquid,signal
2017-04-06,2017-04-11,48.11,48.23,,long,EFA,intl_liquid,signal
2017-04-21,2017-05-02,48.16,50.06,,long,EFA,intl_liquid,signal
