entry_time,exit_time,entry_price,exit_price,stop_price,direction,instrument,basket,exit_reason
2016-01-11,2016-01-15,18.98,18.6004,18.6004,long,EWG,intl_liquid,stop
2016-01-26,2016-01-26,18.55,18.79,,long,EWG,intl_liquid,signal
2016-02-03,2016-02-03,18.44,18.57,,long,EWG,intl_liquid,signal
2016-02-11,2016-02-12,17.63,17.78,,long,EWG,intl_liquid,signal
2016-02-24,2016-02-24,17.76,18.0,,long,EWG,intl_liquid,signal
2016-03-01,2016-03-01,18.39,18.64,,long,EWG,intl_liquid,signal
2016-03-09,2016-03-11,18.77,19.31,,long,EWG,intl_liquid,signal
2016-03-24,2016-03-29,19.3,19.68,,long,EWG,intl_liquid,signal
2016-04-01,2016-04-01,19.39,19.63,,long,EWG,intl_liquid,signal
2016-04-05,2016-04-06,19.14,19.34,,long,EWG,intl_liquid,signal
2016-04-12,2016-04-12,19.4,19.56,,long,EWG,intl_liquid,signal
2016-04-15,2016-04-18,19.9,20.06,,long,EWG,intl_liquid,signal
2016-05-10,2016-05-10,19.96,20.06,,long,EWG,intl_liquid,signal
2016-06-08,2016-06-10,20.38,19.9724,19.9724,long,EWG,intl_liquid,stop
2016-06-16,2016-06-16,18.55,18.99,,long,EWG,intl_liquid,signal
2016-06-21,2016-06-23,19.76,20.51,,long,EWG,intl_liquid,signal
2016-06-27,2016-06-30,18.13,18.95,,long,EWG,intl_liquid,signal
2016-07-05,2016-07-06,18.66,18.36,,long,EWG,intl_liquid,signal
2016-07-12,2016-08-03,19.33,19.92,,long,EWG,intl_liquid,signal
2016-08-11,2016-08-18,20.9,21.06,,long,EWG,intl_liquid,signal
2016-08-24,2016-08-29,20.92,20.7,,long,EWG,intl_liquid,signal
2016-09-12,2016-09-12,20.33,20.68,,long,EWG,intl_liquid,signal
2016-09-21,2016-09-21,20.4,20.59,,long,EWG,intl_liquid,signal
2016-09-23,2016-09-27,20.82,20.44,,long,EWG,intl_liquid,signal
2016-10-17,2016-10-21,20.25,20.36,,long,EWG,intl_liquid,signal
2016-12-20,2017-01-04,20.55,21.01,,long,EWG,intl_liquid,signal
2017-01-11,2017-01-11,21.09,21.34,,long,EWG,intl_liquid,signal
2017-02-14,2017-02-15,21.63,21.66,,long,EWG,intl_liquid,signal
2017-03-03,2017-03-03,21.94,22.06,,long,EWG,intl_liquid,signal
2017-03-20,2017-03-27,22.41,22.55,,long,EWG,intl_liquid,signal
2017-03-31,2017-04-04,22.59,22.64,,long,EWG,intl_liquid,signal
2017-04-11,2017-04-12,22.37,22.37,,long,EWG,intl_liquid,signal
2017-04-21,2017-05-02,22.32,23.62,,long,EWG,intl_liquid,signal
2017-05-18,2017-05-18,24.01,24.14,,long,EWG,intl_liquid,signal
2017-05-24,2017-05-24,24.38,24.44,,long,EWG,intl_liquid,signal
2017-06-27,2017-06-28,24.6,24.81,,long,EWG,intl_liquid,signal
2017-07-26,2017-07-31,24.66,24.67,,long,EWG,intl_liquid,signal
2017-08-02,2017-08-07,24.98,24.91,,long,EWG,intl_liquid,signal
2017-08-11,2017-08-22,24.44,24.77,,long,EWG,intl_liquid,signal
2017-08-25,2017-08-31,24.81,24.71,,long,EWG,intl_liquid,signal
2017-09-05,2017-09-14,24.88,25.66,,long,EWG,intl_liquid,signal
2017-10-24,2017-10-30,26.22,26.42,,long,EWG,intl_liquid,signal
2017-11-02,2017-11-02,26.85,26.91,,long,EWG,intl_liquid,signal
2017-11-21,2017-12-22,26.54,26.66,,long,EWG,intl_liquid,signal
2018-01-05,2018-01-05,27.58,27.66,,long,EWG,intl_liquid,signal
2018-01-17,2018-01-22,27.86,28.56,,long,EWG,intl_liquid,signal
2018-01-31,2018-02-02,28.35,27.783,27.783,long,EWG,intl_liquid,stop
2018-02-05,2018-02-05,27.1,26.558,26.558,long,EWG,intl_liquid,stop
2018-02-09,2018-02-09,25.76,25.83,,long,EWG,intl_liquid,signal
2018-02-22,2018-02-26,26.41,26.8,,long,EWG,intl_liquid,signal
2018-02-28,2018-03-01,26.41,25.8818,25.8818,long,EWG,intl_liquid,stop
2018-03-14,2018-03-22,26.37,25.8426,25.8426,long,EWG,intl_liquid,stop
2018-03-23,2018-03-26,25.55,25.73,,long,EWG,intl_liquid,signal
2018-05-01,2018-05-04,26.08,26.45,,long,EWG,intl_liquid,signal
2018-06-28,2018-07-13,24.26,25.25,,long,EWG,intl_liquid,signal
2018-08-10,2018-08-14,24.57,24.41,,long,EWG,intl_liquid,signal
2018-08-29,2018-08-29,25.42,25.56,,long,EWG,intl_liquid,signal
2018-09-18,2018-10-08,24.56,24.0688,24.0688,long,EWG,intl_liquid,stop
2018-10-25,2018-10-30,22.07,22.29,,long,EWG,intl_liquid,signal
2018-11-13,2018-11-15,22.17,22.51,,long,EWG,intl_liquid,signal
