entry_time,exit_time,entry_price,exit_price,stop_price,direction,instrument,basket,exit_reason
2016-01-11,2016-01-13,20.25,19.845,19.845,long,EWU,intl_liquid,stop
2016-01-14,2016-01-15,19.93,19.531399999999998,19.531399999999998,long,EWU,intl_liquid,stop
2016-01-26,2016-01-26,19.67,19.95,,long,EWU,intl_liquid,signal
2016-02-11,2016-02-12,18.91,19.53,,long,EWU,intl_liquid,signal
2016-02-24,2016-02-24,19.29,19.55,,long,EWU,intl_liquid,signal
2016-03-01,2016-03-01,20.15,20.35,,long,EWU,intl_liquid,signal
2016-03-21,2016-03-23,21.03,20.6094,20.6094,long,EWU,intl_liquid,stop
2016-03-24,2016-03-29,20.38,20.91,,long,EWU,intl_liquid,signal
2016-04-01,2016-04-06,20.49,20.66,,long,EWU,intl_liquid,signal
2016-04-08,2016-04-12,20.69,21.15,,long,EWU,intl_liquid,signal
2016-05-18,2016-05-24,21.26,21.77,,long,EWU,intl_liquid,signal
2016-06-01,2016-06-01,21.22,21.38,,long,EWU,intl_liquid,signal
2016-06-09,2016-06-10,21.66,21.2268,21.2268,long,EWU,intl_liquid,stop
2016-06-21,2016-06-23,21.82,22.62,,long,EWU,intl_liquid,signal
2016-06-27,2016-06-28,19.15,19.94,,long,EWU,intl_liquid,signal
2016-08-02,2016-08-18,21.26,21.87,,long,EWU,intl_liquid,signal
2016-09-23,2016-09-28,21.6,21.68,,long,EWU,intl_liquid,signal
2016-10-05,2016-10-05,21.71,21.72,,long,EWU,intl_liquid,signal
2016-10-17,2016-11-07,20.5,20.44,,long,EWU,intl_liquid,signal
2016-12-01,2016-12-07,20.6,21.26,,long,EWU,intl_liquid,signal
2016-12-15,2017-01-04,21.13,21.56,,long,EWU,intl_liquid,signal
2017-01-11,2017-01-11,21.49,21.62,,long,EWU,intl_liquid,signal
2017-03-09,2017-03-09,21.8,21.83,,long,EWU,intl_liquid,signal
2017-03-22,2017-03-22,22.38,22.52,,long,EWU,intl_liquid,signal
2017-03-31,2017-04-04,22.48,22.45,,long,EWU,intl_liquid,signal
2017-04-06,2017-04-11,22.38,22.69,,long,EWU,intl_liquid,signal
2017-04-17,2017-04-17,22.61,22.64,,long,EWU,intl_liquid,signal
2017-04-27,2017-04-27,23.01,23.01,,long,EWU,intl_liquid,signal
2017-05-02,2017-05-02,23.05,23.12,,long,EWU,intl_liquid,signal
2017-05-18,2017-05-19,23.88,24.14,,long,EWU,intl_liquid,signal
2017-07-18,2017-07-18,23.84,23.93,,long,EWU,intl_liquid,signal
2017-08-11,2017-08-15,23.67,23.73,,long,EWU,intl_liquid,signal
2017-08-18,2017-08-23,23.51,23.66,,long,EWU,intl_liquid,signal
2017-08-25,2017-08-29,23.79,23.76,,long,EWU,intl_liquid,signal
2017-09-05,2017-09-14,24.01,24.44,,long,EWU,intl_liquid,signal
2017-10-16,2017-10-18,25.02,24.87,,long,EWU,intl_liquid,signal
2017-10-24,2017-10-27,24.69,24.56,,long,EWU,intl_liquid,signal
2017-11-02,2017-11-02,24.6,24.68,,long,EWU,intl_liquid,signal
2017-11-21,2017-11-28,24.55,24.87,,long,EWU,intl_liquid,signal
2017-12-05,2017-12-15,24.68,25.02,,long,EWU,intl_liquid,signal
2018-01-02,2018-01-02,26.0,26.09,,long,EWU,intl_liquid,signal
2018-02-05,2018-02-05,25.85,25.333000000000002,25.333000000000002,long,EWU,intl_liquid,stop
2018-02-06,2018-02-06,24.9,25.47,,long,EWU,intl_liquid,signal
2018-02-09,2018-02-09,24.72,24.74,,long,EWU,intl_liquid,signal
2018-02-22,2018-02-26,25.35,25.78,,long,EWU,intl_liquid,signal
2018-02-28,2018-03-01,25.4,24.892,24.892,long,EWU,intl_liquid,stop
2018-03-14,2018-03-22,25.28,24.7744,24.7744,long,EWU,intl_liquid,stop
2018-03-23,2018-03-26,24.79,24.98,,long,EWU,intl_liquid,signal
2018-05-03,2018-05-03,25.95,25.96,,long,EWU,intl_liquid,signal
2018-05-14,2018-05-23,26.63,26.53,,long,EWU,intl_liquid,signal
2018-06-05,2018-06-06,26.17,26.39,,long,EWU,intl_liquid,signal
2018-06-15,2018-06-18,26.0,25.82,,long,EWU,intl_liquid,signal
2018-06-26,2018-07-05,25.53,25.74,,long,EWU,intl_liquid,signal
2018-07-31,2018-08-02,26.06,25.5388,25.5388,long,EWU,intl_liquid,stop
2018-08-08,2018-08-13,25.57,25.0586,25.0586,long,EWU,intl_liquid,stop
2018-08-17,2018-08-29,24.59,25.34,,long,EWU,intl_liquid,signal
2018-09-18,2018-10-02,24.72,25.05,,long,EWU,intl_liquid,signal
2018-10-11,2018-10-18,24.18,23.6964,23.6964,long,EWU,intl_liquid,stop
