entry_time,exit_time,entry_price,exit_price,stop_price,direction,instrument,basket,exit_reason
2016-01-08,2016-01-11,93.53,91.6594,91.6594,long,IWM,us_equity_broad,stop
2016-01-26,2016-01-26,87.91,89.3,,long,IWM,us_equity_broad,signal
2016-02-08,2016-02-11,85.7,83.986,83.986,long,IWM,us_equity_broad,stop
2016-02-24,2016-02-24,88.01,89.77,,long,IWM,us_equity_broad,signal
2016-03-01,2016-03-01,91.54,92.71,,long,IWM,us_equity_broad,signal
2016-03-09,2016-03-11,94.19,95.59,,long,IWM,us_equity_broad,signal
2016-03-24,2016-03-24,94.14,94.99,,long,IWM,us_equity_broad,signal
2016-04-05,2016-04-06,96.92,97.6,,long,IWM,us_equity_broad,signal
2016-04-12,2016-04-12,96.4,97.42,,long,IWM,us_equity_broad,signal
2016-05-06,2016-05-06,97.3,98.28,,long,IWM,us_equity_broad,signal
2016-05-12,2016-05-19,98.55,96.579,96.579,long,IWM,us_equity_broad,stop
2016-06-14,2016-06-16,101.37,101.51,,long,IWM,us_equity_broad,signal
2016-06-21,2016-06-23,102.21,103.52,,long,IWM,us_equity_broad,signal
2016-07-15,2016-08-03,106.82,107.35,,long,IWM,us_equity_broad,signal
2016-09-12,2016-09-12,107.53,109.54,,long,IWM,us_equity_broad,signal
2016-09-21,2016-09-21,109.22,110.44,,long,IWM,us_equity_broad,signal
2016-09-26,2016-09-27,110.61,110.55,,long,IWM,us_equity_broad,signal
2016-09-30,2016-10-14,110.27,108.0646,108.0646,long,IWM,us_equity_broad,stop
2016-10-17,2016-10-28,107.73,105.5754,105.5754,long,IWM,us_equity_broad,stop
2016-11-03,2016-11-09,103.56,109.48,,long,IWM,us_equity_broad,signal
2016-11-29,2016-12-05,118.39,119.0,,long,IWM,us_equity_broad,signal
2016-12-15,2016-12-23,120.95,122.05,,long,IWM,us_equity_broad,signal
2017-01-09,2017-01-18,121.6,120.98,,long,IWM,us_equity_broad,signal
2017-03-01,2017-03-07,125.29,122.7842,122.7842,long,IWM,us_equity_broad,stop
2017-03-09,2017-03-27,121.86,121.2,,long,IWM,us_equity_broad,signal
2017-04-06,2017-04-06,121.04,121.97,,long,IWM,us_equity_broad,signal
2017-04-13,2017-04-17,121.36,121.7,,long,IWM,us_equity_broad,signal
2017-05-01,2017-05-05,125.64,125.02,,long,IWM,us_equity_broad,signal
2017-05-18,2017-06-01,121.08,125.02,,long,IWM,us_equity_broad,signal
2017-06-06,2017-06-16,124.27,126.16,,long,IWM,us_equity_broad,signal
2017-06-21,2017-06-23,126.01,126.75,,long,IWM,us_equity_broad,signal
2017-06-28,2017-07-07,126.57,126.97,,long,IWM,us_equity_broad,signal
2017-08-09,2017-08-10,125.72,123.20559999999999,123.20559999999999,long,IWM,us_equity_broad,stop
2017-08-11,2017-08-14,123.09,125.17,,long,IWM,us_equity_broad,signal
2017-08-16,2017-08-21,124.41,121.92179999999999,121.92179999999999,long,IWM,us_equity_broad,stop
2017-10-24,2017-10-27,135.33,135.67,,long,IWM,us_equity_broad,signal
2017-11-24,2017-11-28,136.98,138.47,,long,IWM,us_equity_broad,signal
2017-12-05,2017-12-28,138.55,139.8,,long,IWM,us_equity_broad,signal
2018-01-02,2018-01-02,139.29,139.91,,long,IWM,us_equity_broad,signal
2018-01-10,2018-01-11,140.46,143.2,,long,IWM,us_equity_broad,signal
2018-01-17,2018-01-19,142.58,144.21,,long,IWM,us_equity_broad,signal
2018-01-30,2018-02-02,143.36,140.49280000000002,140.49280000000002,long,IWM,us_equity_broad,stop
2018-02-05,2018-02-05,138.82,136.0436,136.0436,long,IWM,us_equity_broad,stop
2018-02-06,2018-02-06,132.33,136.06,,long,IWM,us_equity_broad,signal
2018-02-09,2018-02-14,133.45,137.47,,long,IWM,us_equity_broad,signal
2018-02-22,2018-02-23,138.94,140.0,,long,IWM,us_equity_broad,signal
2018-02-28,2018-03-01,139.25,136.465,136.465,long,IWM,us_equity_broad,stop
2018-03-23,2018-03-23,139.96,137.1608,137.1608,long,IWM,us_equity_broad,stop
2018-03-26,2018-03-26,138.62,139.74,,long,IWM,us_equity_broad,signal
2018-04-03,2018-04-04,135.82,138.69,,long,IWM,us_equity_broad,signal
2018-04-10,2018-05-01,138.67,140.38,,long,IWM,us_equity_broad,signal
