entry_time,exit_time,entry_price,exit_price,stop_price,direction,instrument,basket,exit_reason
2016-01-08,2016-01-13,167.87,164.5126,164.5126,long,SPY,us_equity_broad,stop
2016-01-14,2016-01-20,163.02,159.7596,159.7596,long,SPY,us_equity_broad,stop
2016-01-26,2016-01-26,162.05,163.58,,long,SPY,us_equity_broad,signal
2016-02-11,2016-02-12,156.82,160.51,,long,SPY,us_equity_broad,signal
2016-02-24,2016-02-24,163.95,166.16,,long,SPY,us_equity_broad,signal
2016-02-29,2016-03-01,167.8,170.38,,long,SPY,us_equity_broad,signal
2016-03-09,2016-03-24,171.45,174.69,,long,SPY,us_equity_broad,signal
2016-04-06,2016-04-06,175.69,177.53,,long,SPY,us_equity_broad,signal
2016-04-12,2016-04-12,175.63,177.1,,long,SPY,us_equity_broad,signal
2016-05-12,2016-05-27,178.27,180.81,,long,SPY,us_equity_broad,signal
2016-06-14,2016-06-16,178.88,179.2,,long,SPY,us_equity_broad,signal
2016-06-21,2016-06-23,180.08,182.25,,long,SPY,us_equity_broad,signal
2016-06-27,2016-06-28,174.28,175.67,,long,SPY,us_equity_broad,signal
2016-08-17,2016-08-17,188.46,188.78,,long,SPY,us_equity_broad,signal
2016-08-24,2016-09-06,189.16,189.35,,long,SPY,us_equity_broad,signal
2016-09-12,2016-09-12,183.61,187.03,,long,SPY,us_equity_broad,signal
2016-09-21,2016-09-21,186.15,187.49,,long,SPY,us_equity_broad,signal
2016-09-26,2016-09-27,186.86,187.3,,long,SPY,us_equity_broad,signal
2016-10-11,2016-10-21,187.39,185.85,,long,SPY,us_equity_broad,signal
2016-10-28,2016-11-03,185.2,181.49599999999998,181.49599999999998,long,SPY,us_equity_broad,stop
2016-11-07,2016-11-07,183.73,185.21,,long,SPY,us_equity_broad,signal
2016-12-01,2016-12-06,191.79,192.6,,long,SPY,us_equity_broad,signal
2016-12-22,2016-12-23,197.18,197.27,,long,SPY,us_equity_broad,signal
2016-12-29,2017-01-11,196.2,198.43,,long,SPY,us_equity_broad,signal
2017-03-03,2017-03-13,208.17,207.84,,long,SPY,us_equity_broad,signal
2017-03-20,2017-03-27,208.07,205.04,,long,SPY,us_equity_broad,signal
2017-04-03,2017-04-04,206.99,206.75,,long,SPY,us_equity_broad,signal
2017-04-06,2017-04-11,206.24,206.32,,long,SPY,us_equity_broad,signal
2017-04-17,2017-04-17,204.63,205.91,,long,SPY,us_equity_broad,signal
2017-04-27,2017-05-05,209.6,210.4,,long,SPY,us_equity_broad,signal
2017-05-18,2017-06-01,206.93,213.58,,long,SPY,us_equity_broad,signal
2017-06-07,2017-06-12,213.84,213.62,,long,SPY,us_equity_broad,signal
2017-06-21,2017-07-07,214.72,213.56,,long,SPY,us_equity_broad,signal
2017-08-11,2017-08-22,215.25,216.45,,long,SPY,us_equity_broad,signal
2017-08-28,2017-08-29,216.27,215.99,,long,SPY,us_equity_broad,signal
2017-10-24,2017-10-27,227.47,228.44,,long,SPY,us_equity_broad,signal
2017-11-20,2017-11-21,228.84,230.42,,long,SPY,us_equity_broad,signal
2017-12-05,2017-12-08,234.41,235.34,,long,SPY,us_equity_broad,signal
2017-12-14,2017-12-28,236.79,238.66,,long,SPY,us_equity_broad,signal
2018-01-30,2018-02-02,251.79,246.7542,246.7542,long,SPY,us_equity_broad,stop
2018-02-05,2018-02-05,243.64,238.76719999999997,238.76719999999997,long,SPY,us_equity_broad,stop
2018-02-06,2018-02-06,231.6,239.73,,long,SPY,us_equity_broad,signal
2018-02-08,2018-02-08,238.79,234.0142,234.0142,long,SPY,us_equity_broad,stop
2018-02-09,2018-02-14,232.37,240.27,,long,SPY,us_equity_broad,signal
2018-02-22,2018-02-23,241.54,244.71,,long,SPY,us_equity_broad,signal
2018-02-28,2018-03-01,245.63,240.7174,240.7174,long,SPY,us_equity_broad,stop
2018-03-19,2018-03-22,244.52,239.6296,239.6296,long,SPY,us_equity_broad,stop
2018-03-23,2018-03-23,236.31,231.5838,231.5838,long,SPY,us_equity_broad,stop
2018-03-26,2018-03-26,234.49,237.18,,long,SPY,us_equity_broad,signal
2018-04-12,2018-05-01,237.29,237.02,,long,SPY,us_equity_broad,signal
2018-05-03,2018-05-09,234.6,241.05,,long,SPY,us_equity_broad,signal
2018-06-14,2018-06-18,249.59,247.42,,long,SPY,us_equity_broad,signal
2018-06-28,2018-07-02,240.89,243.17,,long,SPY,us_equity_broad,signal
2018-08-14,2018-08-24,253.08,257.2,,long,SPY,us_equity_broad,signal
2018-09-27,2018-10-10,260.96,255.74079999999998,255.74079999999998,long,SPY,us_equity_broad,stop
2018-10-11,2018-10-16,248.98,251.82,,long,SPY,us_equity_broad,signal
2018-10-25,2018-10-30,240.27,240.72,,long,SPY,us_equity_broad,signal
2018-11-13,2018-11-15,245.4,245.33,,long,SPY,us_equity_broad,signal
2018-11-23,2018-11-26,236.49,240.31,,long,SPY,us_equity_broad,signal
2018-12-06,2018-12-06,238.95,242.41,,long,SPY,us_equity_broad,signal
2018-12-10,2018-12-17,236.66,231.9268,231.9268,long,SPY,us_equity_broad,stop
2018-12-24,2018-12-26,216.08,222.29,,long,SPY,us_equity_broad,signal
2019-01-04,2019-01-04,223.81,228.15,,long,SPY,us_equity_broad,signal
2019-02-26,2019-03-08,252.29,248.13,,long,SPY,us_equity_broad,signal
2019-03-25,2019-04-05,253.19,261.95,,long,SPY,us_equity_broad,signal
2019-04-25,2019-04-26,265.22,266.39,,long,SPY,us_equity_broad,signal
2019-05-02,2019-05-03,264.82,266.91,,long,SPY,us_equity_broad,signal
