entry_time,exit_time,entry_price,exit_price,stop_price,direction,instrument,basket,exit_reason
2016-01-11,2016-01-13,74.96,73.46079999999999,73.46079999999999,long,IWD,us_factor,stop
2016-01-26,2016-01-26,72.26,73.27,,long,IWD,us_factor,signal
2016-02-11,2016-02-12,70.86,72.52,,long,IWD,us_factor,signal
2016-03-01,2016-03-01,75.7,76.87,,long,IWD,us_factor,signal
2016-03-09,2016-03-11,78.08,79.52,,long,IWD,us_factor,signal
2016-03-24,2016-03-24,79.35,79.8,,long,IWD,us_factor,signal
2016-04-12,2016-04-12,79.96,80.68,,long,IWD,us_factor,signal
2016-05-12,2016-05-27,82.28,83.63,,long,IWD,us_factor,signal
2016-06-14,2016-06-16,82.78,82.88,,long,IWD,us_factor,signal
2016-06-21,2016-06-23,83.63,84.87,,long,IWD,us_factor,signal
2016-06-27,2016-06-28,80.88,81.43,,long,IWD,us_factor,signal
2016-08-24,2016-09-06,87.4,87.97,,long,IWD,us_factor,signal
2016-09-12,2016-09-12,85.45,87.09,,long,IWD,us_factor,signal
2016-09-21,2016-09-21,86.02,86.75,,long,IWD,us_factor,signal
2016-10-17,2016-10-21,85.83,85.94,,long,IWD,us_factor,signal
2016-12-01,2016-12-06,90.95,91.78,,long,IWD,us_factor,signal
2016-12-22,2016-12-23,93.74,93.83,,long,IWD,us_factor,signal
2016-12-29,2017-01-04,93.23,94.31,,long,IWD,us_factor,signal
2017-01-10,2017-01-11,93.43,93.8,,long,IWD,us_factor,signal
2017-03-03,2017-03-14,97.49,96.34,,long,IWD,us_factor,signal
2017-03-20,2017-03-27,96.72,94.83,,long,IWD,us_factor,signal
2017-04-06,2017-04-17,95.49,95.22,,long,IWD,us_factor,signal
2017-05-18,2017-06-01,93.97,96.45,,long,IWD,us_factor,signal
2017-06-21,2017-07-07,97.31,97.06,,long,IWD,us_factor,signal
2017-08-11,2017-08-29,96.93,96.55,,long,IWD,us_factor,signal
2017-10-24,2017-10-27,101.74,101.33,,long,IWD,us_factor,signal
2017-11-27,2017-11-28,101.29,102.47,,long,IWD,us_factor,signal
2017-12-05,2017-12-08,104.54,104.29,,long,IWD,us_factor,signal
2017-12-14,2017-12-28,104.71,105.9,,long,IWD,us_factor,signal
2018-01-02,2018-01-02,105.91,106.02,,long,IWD,us_factor,signal
2018-01-30,2018-02-02,110.17,107.9666,107.9666,long,IWD,us_factor,stop
2018-02-05,2018-02-05,106.47,104.3406,104.3406,long,IWD,us_factor,stop
2018-02-06,2018-02-06,101.11,104.19,,long,IWD,us_factor,signal
2018-02-09,2018-02-14,101.62,104.51,,long,IWD,us_factor,signal
2018-02-22,2018-02-23,104.47,105.68,,long,IWD,us_factor,signal
2018-02-28,2018-03-01,106.06,103.9388,103.9388,long,IWD,us_factor,stop
2018-03-23,2018-03-23,102.17,100.1266,100.1266,long,IWD,us_factor,stop
2018-03-26,2018-03-26,101.31,102.26,,long,IWD,us_factor,signal
2018-04-19,2018-04-25,104.21,103.22,,long,IWD,us_factor,signal
2018-05-01,2018-05-01,102.35,102.51,,long,IWD,us_factor,signal
2018-05-23,2018-05-23,104.47,104.88,,long,IWD,us_factor,signal
2018-06-12,2018-06-15,106.17,105.23,,long,IWD,us_factor,signal
2018-06-25,2018-07-02,104.27,103.56,,long,IWD,us_factor,signal
2018-09-11,2018-10-11,108.44,106.2712,106.2712,long,IWD,us_factor,stop
2018-10-16,2018-10-16,105.11,106.28,,long,IWD,us_factor,signal
2018-10-23,2018-10-30,103.29,103.2,,long,IWD,us_factor,signal
2018-11-23,2018-11-27,102.95,104.61,,long,IWD,us_factor,signal
2018-12-06,2018-12-06,103.2,104.08,,long,IWD,us_factor,signal
2018-12-13,2018-12-17,102.24,100.1952,100.1952,long,IWD,us_factor,stop
2018-12-24,2018-12-24,93.24,91.37519999999999,91.37519999999999,long,IWD,us_factor,stop
2018-12-26,2018-12-26,91.61,95.01,,long,IWD,us_factor,signal
2019-02-26,2019-03-08,107.72,105.61,,long,IWD,us_factor,signal
2019-03-25,2019-03-29,106.69,108.06,,long,IWD,us_factor,signal
2019-05-02,2019-05-09,110.83,109.05,,long,IWD,us_factor,signal
2019-05-29,2019-06-04,106.1,107.57,,long,IWD,us_factor,signal
2019-06-26,2019-07-02,111.34,112.89,,long,IWD,us_factor,signal
2019-07-18,2019-07-23,112.68,113.72,,long,IWD,us_factor,signal
2019-08-15,2019-08-16,106.99,108.59,,long,IWD,us_factor,signal
2019-08-21,2019-08-23,109.57,107.37859999999999,107.37859999999999,long,IWD,us_factor,stop
2019-10-02,2019-10-03,111.36,110.64,,long,IWD,us_factor,signal
2019-10-08,2019-10-21,110.74,114.2,,long,IWD,us_factor,signal
2019-12-10,2019-12-31,118.94,121.9,,long,IWD,us_factor,signal
2020-01-30,2020-01-30,120.11,121.44,,long,IWD,us_factor,signal
2020-02-26,2020-02-27,116.12,113.7976,113.7976,long,IWD,us_factor,stop
2020-02-28,2020-02-28,106.15,107.92,,long,IWD,us_factor,signal
2020-03-23,2020-03-23,79.03,77.4494,77.4494,long,IWD,us_factor,stop
2020-04-08,2020-04-08,92.96,95.58,,long,IWD,us_factor,signal
2020-04-24,2020-05-04,95.65,96.26,,long,IWD,us_factor,signal
2020-05-06,2020-05-06,97.19,95.2462,95.2462,long,IWD,us_factor,stop
2020-05-07,2020-05-08,96.45,98.7,,long,IWD,us_factor,signal
2020-05-13,2020-05-13,95.19,93.2862,93.2862,long,IWD,us_factor,stop
2020-05-20,2020-05-22,98.63,98.41,,long,IWD,us_factor,signal
2020-06-11,2020-06-11,104.43,102.34140000000001,102.34140000000001,long,IWD,us_factor,stop
2020-06-12,2020-06-15,104.15,103.72,,long,IWD,us_factor,signal
2020-06-24,2020-06-24,102.45,100.401,100.401,long,IWD,us_factor,stop
2020-07-14,2020-07-14,102.3,104.09,,long,IWD,us_factor,signal
2020-07-29,2020-07-29,106.53,107.56,,long,IWD,us_factor,signal
2020-09-01,2020-09-01,110.2,110.81,,long,IWD,us_factor,signal
2020-09-11,2020-09-23,108.29,106.1242,106.1242,long,IWD,us_factor,stop
2020-09-24,2020-09-25,104.44,106.03,,long,IWD,us_factor,signal
2020-10-07,2020-10-08,109.98,112.21,,long,IWD,us_factor,signal
2020-10-20,2020-10-22,111.16,112.33,,long,IWD,us_factor,signal
2020-10-28,2020-11-02,106.72,108.42,,long,IWD,us_factor,signal
2020-11-10,2020-11-10,117.18,118.17,,long,IWD,us_factor,signal
2020-11-19,2020-11-19,118.55,119.2,,long,IWD,us_factor,signal
2020-12-15,2020-12-15,123.12,124.02,,long,IWD,us_factor,signal
2020-12-23,2020-12-24,123.04,123.71,,long,IWD,us_factor,signal
2020-12-29,2020-12-31,124.58,125.22,,long,IWD,us_factor,signal
2021-01-27,2021-02-04,126.2,129.3,,long,IWD,us_factor,signal
2021-03-04,2021-03-05,133.81,135.05,,long,IWD,us_factor,signal
2021-03-10,2021-03-12,136.74,139.48,,long,IWD,us_factor,signal
2021-03-25,2021-03-25,135.9,137.95,,long,IWD,us_factor,signal
2021-04-01,2021-04-01,139.61,140.57,,long,IWD,us_factor,signal
2021-05-11,2021-05-12,147.24,144.2952,144.2952,long,IWD,us_factor,stop
2021-05-13,2021-05-19,144.04,145.46,,long,IWD,us_factor,signal
