entry_time,exit_time,entry_price,exit_price,stop_price,direction,instrument,basket,exit_reason
2016-01-08,2016-01-13,87.17,85.4266,85.4266,long,IWF,us_factor,stop
2016-01-14,2016-01-22,84.33,85.37,,long,IWF,us_factor,signal
2016-01-26,2016-01-29,84.57,86.04,,long,IWF,us_factor,signal
2016-02-11,2016-02-12,80.5,82.34,,long,IWF,us_factor,signal
2016-02-24,2016-02-24,84.44,85.82,,long,IWF,us_factor,signal
2016-03-01,2016-03-01,86.7,88.24,,long,IWF,us_factor,signal
2016-04-12,2016-04-12,91.35,92.02,,long,IWF,us_factor,signal
2016-05-12,2016-05-27,91.61,92.78,,long,IWF,us_factor,signal
2016-06-14,2016-06-16,91.72,92.01,,long,IWF,us_factor,signal
2016-06-23,2016-06-23,92.6,93.06,,long,IWF,us_factor,signal
2016-06-27,2016-06-28,89.3,89.84,,long,IWF,us_factor,signal
2016-08-17,2016-09-01,97.04,96.42,,long,IWF,us_factor,signal
2016-09-12,2016-09-12,93.88,95.58,,long,IWF,us_factor,signal
2016-10-17,2016-10-21,94.82,95.56,,long,IWF,us_factor,signal
2016-11-01,2016-11-03,94.38,92.49239999999999,92.49239999999999,long,IWF,us_factor,stop
2016-11-21,2016-11-21,96.35,96.84,,long,IWF,us_factor,signal
2016-11-29,2016-12-06,97.09,96.52,,long,IWF,us_factor,signal
2016-12-22,2016-12-23,98.77,98.62,,long,IWF,us_factor,signal
2016-12-29,2017-01-04,98.26,99.12,,long,IWF,us_factor,signal
2017-03-22,2017-03-22,105.05,105.42,,long,IWF,us_factor,signal
2017-04-06,2017-04-17,105.79,105.84,,long,IWF,us_factor,signal
2017-05-18,2017-05-22,107.94,109.92,,long,IWF,us_factor,signal
2017-06-21,2017-06-28,112.21,112.29,,long,IWF,us_factor,signal
2017-07-05,2017-07-18,110.99,114.0,,long,IWF,us_factor,signal
2017-08-11,2017-08-21,112.73,113.03,,long,IWF,us_factor,signal
2017-08-28,2017-08-29,114.03,114.32,,long,IWF,us_factor,signal
2017-10-24,2017-10-27,120.53,122.01,,long,IWF,us_factor,signal
2017-12-05,2017-12-11,124.37,126.16,,long,IWF,us_factor,signal
2017-12-15,2018-01-02,126.64,128.08,,long,IWF,us_factor,signal
2018-01-30,2018-02-02,135.45,132.74099999999999,132.74099999999999,long,IWF,us_factor,stop
2018-02-05,2018-02-05,131.37,128.7426,128.7426,long,IWF,us_factor,stop
2018-02-06,2018-02-06,124.9,130.07,,long,IWF,us_factor,signal
2018-02-08,2018-02-08,129.35,126.76299999999999,126.76299999999999,long,IWF,us_factor,stop
2018-02-09,2018-02-14,125.38,130.43,,long,IWF,us_factor,signal
2018-02-22,2018-02-23,131.76,133.58,,long,IWF,us_factor,signal
