entry_time,exit_time,entry_price,exit_price,stop_price,direction,instrument,basket,exit_reason
2016-01-14,2016-01-22,33.56,33.79,,long,USMV,us_factor,signal
2016-01-26,2016-01-26,33.62,33.95,,long,USMV,us_factor,signal
2016-02-24,2016-02-24,34.72,35.04,,long,USMV,us_factor,signal
2016-02-29,2016-03-01,35.21,35.5,,long,USMV,us_factor,signal
2016-04-12,2016-04-12,36.95,37.16,,long,USMV,us_factor,signal
2016-04-21,2016-04-22,37.35,37.01,,long,USMV,us_factor,signal
2016-05-12,2016-05-16,37.54,37.63,,long,USMV,us_factor,signal
2016-06-14,2016-06-14,37.75,37.82,,long,USMV,us_factor,signal
2016-06-21,2016-06-23,38.05,38.4,,long,USMV,us_factor,signal
2016-07-21,2016-07-22,39.82,39.99,,long,USMV,us_factor,signal
2016-08-04,2016-08-05,39.48,39.56,,long,USMV,us_factor,signal
2016-08-17,2016-08-17,39.21,39.27,,long,USMV,us_factor,signal
2016-08-24,2016-08-29,39.32,39.2,,long,USMV,us_factor,signal
2016-09-12,2016-09-12,37.93,38.6,,long,USMV,us_factor,signal
2016-09-21,2016-09-21,38.45,38.88,,long,USMV,us_factor,signal
2016-09-30,2016-10-11,38.7,37.926,37.926,long,USMV,us_factor,stop
2016-10-17,2016-10-31,37.89,37.64,,long,USMV,us_factor,signal
2016-11-03,2016-11-07,37.2,37.66,,long,USMV,us_factor,signal
2016-12-01,2016-12-06,37.84,37.88,,long,USMV,us_factor,signal
2016-12-29,2016-12-29,38.76,38.92,,long,USMV,us_factor,signal
2017-01-10,2017-01-11,38.98,39.05,,long,USMV,us_factor,signal
2017-03-22,2017-03-29,41.16,41.14,,long,USMV,us_factor,signal
2017-05-17,2017-05-22,41.35,41.83,,long,USMV,us_factor,signal
2017-06-07,2017-06-12,42.78,42.59,,long,USMV,us_factor,signal
2017-06-23,2017-07-17,42.83,42.69,,long,USMV,us_factor,signal
2017-08-11,2017-08-14,42.91,43.32,,long,USMV,us_factor,signal
2017-08-18,2017-08-22,43.09,43.42,,long,USMV,us_factor,signal
2017-08-25,2017-09-14,43.21,43.88,,long,USMV,us_factor,signal
2017-09-27,2017-10-02,43.6,43.94,,long,USMV,us_factor,signal
2017-10-10,2017-10-17,44.2,44.46,,long,USMV,us_factor,signal
2017-11-02,2017-11-07,44.69,44.87,,long,USMV,us_factor,signal
2017-11-16,2017-11-24,44.94,45.21,,long,USMV,us_factor,signal
2017-12-05,2017-12-08,45.88,45.98,,long,USMV,us_factor,signal
2017-12-15,2018-01-05,46.08,46.61,,long,USMV,us_factor,signal
2018-01-30,2018-02-02,47.74,46.7852,46.7852,long,USMV,us_factor,stop
2018-02-05,2018-02-05,46.46,45.5308,45.5308,long,USMV,us_factor,stop
2018-02-06,2018-02-06,44.21,45.42,,long,USMV,us_factor,signal
2018-02-08,2018-02-08,45.34,44.4332,44.4332,long,USMV,us_factor,stop
2018-02-09,2018-02-14,44.25,45.59,,long,USMV,us_factor,signal
2018-02-22,2018-02-23,45.6,46.21,,long,USMV,us_factor,signal
2018-02-28,2018-03-01,46.2,45.276,45.276,long,USMV,us_factor,stop
2018-03-23,2018-03-26,45.21,45.38,,long,USMV,us_factor,signal
2018-04-19,2018-04-24,46.45,45.521,45.521,long,USMV,us_factor,stop
2018-05-01,2018-05-01,45.61,45.61,,long,USMV,us_factor,signal
2018-05-03,2018-05-21,45.03,46.22,,long,USMV,us_factor,signal
2018-06-14,2018-06-15,47.12,47.29,,long,USMV,us_factor,signal
2018-06-28,2018-07-02,46.45,47.01,,long,USMV,us_factor,signal
2018-08-22,2018-08-24,49.71,49.8,,long,USMV,us_factor,signal
2018-09-20,2018-09-20,50.59,50.72,,long,USMV,us_factor,signal
2018-09-27,2018-09-28,50.34,50.58,,long,USMV,us_factor,signal
2018-10-11,2018-10-16,48.85,49.31,,long,USMV,us_factor,signal
2018-10-25,2018-10-30,48.2,48.44,,long,USMV,us_factor,signal
2018-11-23,2018-11-26,48.49,48.92,,long,USMV,us_factor,signal
2018-12-06,2018-12-06,49.31,49.62,,long,USMV,us_factor,signal
2018-12-24,2018-12-24,45.45,44.541000000000004,44.541000000000004,long,USMV,us_factor,stop
2018-12-26,2018-12-26,44.56,45.9,,long,USMV,us_factor,signal
2019-01-04,2019-01-04,46.13,46.69,,long,USMV,us_factor,signal
2019-03-25,2019-03-29,51.92,52.68,,long,USMV,us_factor,signal
2019-05-02,2019-05-06,53.29,53.49,,long,USMV,us_factor,signal
2019-05-29,2019-06-03,53.03,53.26,,long,USMV,us_factor,signal
2019-06-26,2019-07-02,55.86,56.27,,long,USMV,us_factor,signal
2019-07-18,2019-07-18,56.89,57.17,,long,USMV,us_factor,signal
2019-07-22,2019-07-23,56.77,56.84,,long,USMV,us_factor,signal
2019-08-15,2019-08-21,55.94,57.22,,long,USMV,us_factor,signal
2019-09-06,2019-09-11,58.3,57.5,,long,USMV,us_factor,signal
2019-10-02,2019-10-03,57.32,57.1,,long,USMV,us_factor,signal
2019-10-09,2019-10-16,57.32,57.77,,long,USMV,us_factor,signal
2019-10-23,2019-10-30,57.64,57.95,,long,USMV,us_factor,signal
2019-12-10,2019-12-13,58.7,58.82,,long,USMV,us_factor,signal
2019-12-18,2019-12-19,59.18,59.27,,long,USMV,us_factor,signal
2020-01-30,2020-01-30,61.24,61.86,,long,USMV,us_factor,signal
2020-02-26,2020-02-27,60.38,59.1724,59.1724,long,USMV,us_factor,stop
2020-02-28,2020-03-02,55.45,58.85,,long,USMV,us_factor,signal
2020-03-23,2020-03-23,44.0,43.12,43.12,long,USMV,us_factor,stop
2020-04-08,2020-04-08,51.37,52.74,,long,USMV,us_factor,signal
2020-04-21,2020-05-04,52.7,53.14,,long,USMV,us_factor,signal
2020-05-07,2020-05-14,53.39,53.03,,long,USMV,us_factor,signal
2020-05-20,2020-05-22,54.71,54.39,,long,USMV,us_factor,signal
2020-06-12,2020-06-15,55.99,55.58,,long,USMV,us_factor,signal
2020-06-24,2020-06-25,55.5,55.35,,long,USMV,us_factor,signal
2020-07-14,2020-07-14,55.69,56.84,,long,USMV,us_factor,signal
2020-09-17,2020-09-23,59.12,57.937599999999996,57.937599999999996,long,USMV,us_factor,stop
2020-09-24,2020-09-25,57.12,58.21,,long,USMV,us_factor,signal
2020-10-07,2020-10-08,59.56,60.4,,long,USMV,us_factor,signal
2020-10-19,2020-10-23,60.55,60.15,,long,USMV,us_factor,signal
2020-10-28,2020-11-10,57.88,61.6,,long,USMV,us_factor,signal
2020-11-19,2020-11-19,61.18,61.48,,long,USMV,us_factor,signal
2020-12-15,2020-12-15,61.87,62.27,,long,USMV,us_factor,signal
2020-12-24,2020-12-31,62.15,63.07,,long,USMV,us_factor,signal
2021-01-29,2021-02-04,61.92,62.6,,long,USMV,us_factor,signal
2021-02-17,2021-02-17,62.52,62.93,,long,USMV,us_factor,signal
2021-02-22,2021-03-04,62.03,60.7894,60.7894,long,USMV,us_factor,stop
2021-03-10,2021-03-12,62.58,63.3,,long,USMV,us_factor,signal
2021-03-19,2021-03-22,63.05,63.54,,long,USMV,us_factor,signal
2021-03-25,2021-03-25,63.22,63.75,,long,USMV,us_factor,signal
2021-04-01,2021-04-01,64.76,65.04,,long,USMV,us_factor,signal
2021-05-11,2021-05-19,67.5,66.91,,long,USMV,us_factor,signal
2021-06-02,2021-06-04,67.42,68.01,,long,USMV,us_factor,signal
2021-06-21,2021-06-21,67.61,68.07,,long,USMV,us_factor,signal
2021-06-24,2021-06-25,68.33,68.82,,long,USMV,us_factor,signal
2021-08-19,2021-08-20,71.31,72.59,,long,USMV,us_factor,signal
2021-08-25,2021-08-27,72.53,72.47,,long,USMV,us_factor,signal
2021-09-08,2021-09-08,72.41,72.79,,long,USMV,us_factor,signal
2021-09-10,2021-09-20,72.44,70.99119999999999,70.99119999999999,long,USMV,us_factor,stop
2021-09-22,2021-09-30,70.61,69.1978,69.1978,long,USMV,us_factor,stop
2021-10-01,2021-10-06,69.29,69.56,,long,USMV,us_factor,signal
