entry_time,exit_time,entry_price,exit_price,stop_price,direction,instrument,basket,exit_reason
2018-06-22,2018-06-25,47.38,46.4324,46.4324,long,XLC,us_sectors,stop
2018-06-28,2018-07-02,45.98,46.67,,long,XLC,us_sectors,signal
2018-07-05,2018-07-05,46.44,46.81,,long,XLC,us_sectors,signal
2018-07-20,2018-07-23,47.81,47.84,,long,XLC,us_sectors,signal
2018-07-30,2018-08-02,45.91,45.49,,long,XLC,us_sectors,signal
2018-08-08,2018-08-14,46.4,46.4,,long,XLC,us_sectors,signal
2018-08-17,2018-08-24,45.57,46.3,,long,XLC,us_sectors,signal
2018-08-29,2018-08-29,46.66,46.81,,long,XLC,us_sectors,signal
2018-09-04,2018-09-05,45.93,45.0114,45.0114,long,XLC,us_sectors,stop
2018-09-06,2018-09-11,44.87,45.19,,long,XLC,us_sectors,signal
2018-09-18,2018-09-19,44.9,45.3,,long,XLC,us_sectors,signal
2018-09-24,2018-09-24,45.27,45.59,,long,XLC,us_sectors,signal
2018-09-27,2018-10-05,46.07,45.1486,45.1486,long,XLC,us_sectors,stop
2018-10-10,2018-10-10,44.63,43.7374,43.7374,long,XLC,us_sectors,stop
2018-10-11,2018-10-12,42.88,43.54,,long,XLC,us_sectors,signal
2018-10-22,2018-10-23,44.12,43.75,,long,XLC,us_sectors,signal
2018-10-25,2018-10-29,42.42,41.571600000000004,41.571600000000004,long,XLC,us_sectors,stop
2018-11-05,2018-11-07,43.13,43.91,,long,XLC,us_sectors,signal
2018-11-13,2018-11-15,42.15,42.35,,long,XLC,us_sectors,signal
2018-11-20,2018-11-26,40.13,41.19,,long,XLC,us_sectors,signal
2018-12-04,2018-12-04,42.26,41.4148,41.4148,long,XLC,us_sectors,stop
2018-12-06,2018-12-06,40.47,41.54,,long,XLC,us_sectors,signal
2018-12-10,2018-12-19,40.87,40.0526,40.0526,long,XLC,us_sectors,stop
2018-12-20,2018-12-21,39.23,38.4454,38.4454,long,XLC,us_sectors,stop
2018-12-24,2018-12-26,37.24,38.78,,long,XLC,us_sectors,signal
2019-01-04,2019-01-04,39.39,40.42,,long,XLC,us_sectors,signal
2019-01-17,2019-01-24,41.77,41.49,,long,XLC,us_sectors,signal
2019-01-30,2019-01-30,41.41,41.76,,long,XLC,us_sectors,signal
2019-02-04,2019-02-04,43.35,43.72,,long,XLC,us_sectors,signal
2019-02-07,2019-02-08,42.82,43.09,,long,XLC,us_sectors,signal
2019-02-12,2019-02-22,43.05,43.41,,long,XLC,us_sectors,signal
2019-02-26,2019-03-01,43.32,43.6,,long,XLC,us_sectors,signal
2019-03-25,2019-04-01,44.21,44.81,,long,XLC,us_sectors,signal
2019-04-04,2019-04-08,45.41,45.52,,long,XLC,us_sectors,signal
2019-04-25,2019-04-26,47.82,47.91,,long,XLC,us_sectors,signal
2019-05-02,2019-05-03,47.05,47.28,,long,XLC,us_sectors,signal
2019-05-09,2019-05-10,45.99,46.35,,long,XLC,us_sectors,signal
2019-05-14,2019-05-15,45.18,46.18,,long,XLC,us_sectors,signal
2019-05-20,2019-05-31,45.78,44.8644,44.8644,long,XLC,us_sectors,stop
2019-06-03,2019-06-03,44.01,43.129799999999996,43.129799999999996,long,XLC,us_sectors,stop
2019-06-04,2019-06-04,43.41,43.97,,long,XLC,us_sectors,signal
2019-06-11,2019-06-13,45.35,45.33,,long,XLC,us_sectors,signal
2019-06-19,2019-06-19,46.19,46.25,,long,XLC,us_sectors,signal
2019-06-26,2019-06-28,46.12,46.57,,long,XLC,us_sectors,signal
2019-07-18,2019-07-18,47.48,47.53,,long,XLC,us_sectors,signal
2019-07-22,2019-07-22,47.06,47.1,,long,XLC,us_sectors,signal
2019-08-02,2019-08-05,47.58,46.6284,46.6284,long,XLC,us_sectors,stop
2019-08-15,2019-08-16,45.6,46.11,,long,XLC,us_sectors,signal
2019-08-21,2019-08-23,46.83,45.8934,45.8934,long,XLC,us_sectors,stop
2019-08-26,2019-08-26,45.74,46.0,,long,XLC,us_sectors,signal
2019-08-28,2019-08-28,45.9,46.2,,long,XLC,us_sectors,signal
2019-09-04,2019-09-04,46.85,47.3,,long,XLC,us_sectors,signal
2019-09-13,2019-09-17,48.61,48.39,,long,XLC,us_sectors,signal
2019-09-25,2019-09-25,47.12,47.72,,long,XLC,us_sectors,signal
2019-10-02,2019-10-03,46.13,46.23,,long,XLC,us_sectors,signal
2019-10-09,2019-10-15,46.38,47.89,,long,XLC,us_sectors,signal
2019-10-23,2019-10-23,47.51,47.89,,long,XLC,us_sectors,signal
2019-10-30,2019-11-01,47.84,48.32,,long,XLC,us_sectors,signal
2019-12-02,2019-12-03,49.89,49.28,,long,XLC,us_sectors,signal
2019-12-10,2019-12-11,49.83,49.9,,long,XLC,us_sectors,signal
2019-12-24,2019-12-26,51.18,51.5,,long,XLC,us_sectors,signal
2019-12-31,2020-01-02,50.79,51.57,,long,XLC,us_sectors,signal
2020-01-13,2020-01-13,52.67,52.92,,long,XLC,us_sectors,signal
2020-01-15,2020-01-16,52.92,53.45,,long,XLC,us_sectors,signal
2020-01-23,2020-01-27,53.7,52.626000000000005,52.626000000000005,long,XLC,us_sectors,stop
2020-02-03,2020-02-04,51.65,52.39,,long,XLC,us_sectors,signal
2020-02-12,2020-02-12,53.61,54.04,,long,XLC,us_sectors,signal
2020-02-24,2020-02-25,51.7,50.666000000000004,50.666000000000004,long,XLC,us_sectors,stop
2020-02-26,2020-02-27,50.47,49.4606,49.4606,long,XLC,us_sectors,stop
2020-02-28,2020-02-28,46.76,48.24,,long,XLC,us_sectors,signal
2020-03-04,2020-03-04,49.1,50.01,,long,XLC,us_sectors,signal
2020-03-23,2020-03-24,38.13,40.79,,long,XLC,us_sectors,signal
2020-03-30,2020-03-30,41.13,42.24,,long,XLC,us_sectors,signal
2020-04-08,2020-04-08,43.64,44.06,,long,XLC,us_sectors,signal
2020-04-21,2020-04-24,45.13,46.38,,long,XLC,us_sectors,signal
2020-04-29,2020-05-04,47.56,47.53,,long,XLC,us_sectors,signal
2020-05-06,2020-05-08,48.17,49.43,,long,XLC,us_sectors,signal
2020-05-13,2020-05-14,48.46,48.16,,long,XLC,us_sectors,signal
2020-05-22,2020-05-22,50.86,51.19,,long,XLC,us_sectors,signal
2020-05-27,2020-05-27,51.37,51.69,,long,XLC,us_sectors,signal
2020-05-29,2020-05-29,51.17,51.48,,long,XLC,us_sectors,signal
2020-06-12,2020-06-15,52.26,52.41,,long,XLC,us_sectors,signal
2020-06-29,2020-06-29,49.83,51.03,,long,XLC,us_sectors,signal
2020-07-06,2020-07-06,53.31,53.77,,long,XLC,us_sectors,signal
2020-07-08,2020-07-08,53.69,54.1,,long,XLC,us_sectors,signal
2020-07-14,2020-07-14,53.45,54.53,,long,XLC,us_sectors,signal
2020-07-22,2020-07-22,55.21,55.27,,long,XLC,us_sectors,signal
2020-07-24,2020-07-27,54.0,54.66,,long,XLC,us_sectors,signal
2020-07-29,2020-07-30,54.29,54.75,,long,XLC,us_sectors,signal
2020-08-12,2020-08-20,56.51,58.27,,long,XLC,us_sectors,signal
2020-09-01,2020-09-01,60.53,60.91,,long,XLC,us_sectors,signal
2020-09-09,2020-09-17,58.18,57.0164,57.0164,long,XLC,us_sectors,stop
2020-09-24,2020-09-25,54.82,56.0,,long,XLC,us_sectors,signal
2020-10-05,2020-10-05,56.88,57.43,,long,XLC,us_sectors,signal
2020-10-07,2020-10-08,56.73,57.39,,long,XLC,us_sectors,signal
2020-10-15,2020-10-22,57.91,58.88,,long,XLC,us_sectors,signal
2020-10-29,2020-11-10,56.88,60.25,,long,XLC,us_sectors,signal
2020-11-19,2020-11-19,60.65,61.28,,long,XLC,us_sectors,signal
2020-11-23,2020-11-24,61.35,62.42,,long,XLC,us_sectors,signal
2020-12-04,2020-12-08,64.04,64.41,,long,XLC,us_sectors,signal
2020-12-15,2020-12-15,64.18,64.39,,long,XLC,us_sectors,signal
2020-12-18,2020-12-21,64.32,63.68,,long,XLC,us_sectors,signal
2020-12-30,2020-12-31,64.85,64.67,,long,XLC,us_sectors,signal
