entry_time,exit_time,entry_price,exit_price,stop_price,direction,instrument,basket,exit_reason
2016-01-08,2016-01-12,42.99,42.52,,long,XLI,us_sectors,signal
2016-01-14,2016-01-20,41.55,40.718999999999994,40.718999999999994,long,XLI,us_sectors,stop
2016-01-26,2016-01-26,40.82,41.5,,long,XLI,us_sectors,signal
2016-01-28,2016-01-29,41.24,42.38,,long,XLI,us_sectors,signal
2016-02-03,2016-02-03,41.76,42.1,,long,XLI,us_sectors,signal
2016-02-11,2016-02-12,41.39,42.11,,long,XLI,us_sectors,signal
2016-02-24,2016-02-24,43.29,43.83,,long,XLI,us_sectors,signal
2016-02-29,2016-03-01,44.47,45.05,,long,XLI,us_sectors,signal
2016-03-09,2016-03-15,45.21,45.83,,long,XLI,us_sectors,signal
2016-03-24,2016-03-24,46.6,46.73,,long,XLI,us_sectors,signal
2016-03-31,2016-04-01,47.23,47.25,,long,XLI,us_sectors,signal
2016-04-05,2016-04-06,46.4,46.66,,long,XLI,us_sectors,signal
2016-04-11,2016-04-26,46.61,48.02,,long,XLI,us_sectors,signal
2016-04-29,2016-05-02,47.62,47.86,,long,XLI,us_sectors,signal
2016-05-12,2016-05-16,47.38,47.25,,long,XLI,us_sectors,signal
2016-05-18,2016-05-27,46.89,47.42,,long,XLI,us_sectors,signal
2016-06-14,2016-06-16,47.3,47.47,,long,XLI,us_sectors,signal
2016-06-21,2016-06-23,47.98,48.33,,long,XLI,us_sectors,signal
2016-06-27,2016-06-28,45.9,46.04,,long,XLI,us_sectors,signal
2016-07-22,2016-07-22,49.19,49.69,,long,XLI,us_sectors,signal
2016-08-03,2016-08-03,48.96,49.2,,long,XLI,us_sectors,signal
2016-08-17,2016-08-17,49.93,50.18,,long,XLI,us_sectors,signal
2016-08-24,2016-08-29,50.25,50.37,,long,XLI,us_sectors,signal
2016-09-12,2016-09-12,48.43,49.32,,long,XLI,us_sectors,signal
2016-09-14,2016-09-15,48.58,48.93,,long,XLI,us_sectors,signal
2016-09-19,2016-09-21,48.75,49.42,,long,XLI,us_sectors,signal
2016-09-26,2016-09-27,49.29,49.61,,long,XLI,us_sectors,signal
2016-09-30,2016-10-03,49.82,50.09,,long,XLI,us_sectors,signal
2016-10-05,2016-10-06,49.8,50.01,,long,XLI,us_sectors,signal
2016-10-11,2016-10-13,49.29,48.95,,long,XLI,us_sectors,signal
2016-10-17,2016-10-21,49.06,48.85,,long,XLI,us_sectors,signal
2016-10-25,2016-11-07,48.75,49.6,,long,XLI,us_sectors,signal
2016-11-29,2016-12-06,53.35,53.9,,long,XLI,us_sectors,signal
2016-12-15,2016-12-19,53.96,54.26,,long,XLI,us_sectors,signal
2016-12-22,2017-01-11,54.25,54.54,,long,XLI,us_sectors,signal
2017-02-08,2017-02-10,55.0,55.83,,long,XLI,us_sectors,signal
