entry_time,exit_time,entry_price,exit_price,stop_price,direction,instrument,basket,exit_reason
2016-01-11,2016-01-19,32.07,32.76,,long,XLU,us_sectors,signal
2016-02-05,2016-02-05,34.31,34.62,,long,XLU,us_sectors,signal
2016-02-12,2016-02-16,33.95,34.09,,long,XLU,us_sectors,signal
2016-02-29,2016-03-02,34.27,34.43,,long,XLU,us_sectors,signal
2016-03-21,2016-03-24,36.04,36.36,,long,XLU,us_sectors,signal
2016-03-29,2016-03-29,36.34,36.76,,long,XLU,us_sectors,signal
2016-04-06,2016-04-06,36.13,36.14,,long,XLU,us_sectors,signal
2016-04-12,2016-04-12,36.16,36.41,,long,XLU,us_sectors,signal
2016-04-21,2016-04-22,35.54,35.2,,long,XLU,us_sectors,signal
2016-05-06,2016-05-09,36.44,36.51,,long,XLU,us_sectors,signal
2016-05-19,2016-05-19,35.33,35.82,,long,XLU,us_sectors,signal
2016-05-24,2016-05-24,35.64,35.94,,long,XLU,us_sectors,signal
2016-06-08,2016-06-08,37.14,37.37,,long,XLU,us_sectors,signal
2016-06-14,2016-06-14,37.57,37.75,,long,XLU,us_sectors,signal
2016-06-23,2016-06-23,37.55,37.72,,long,XLU,us_sectors,signal
2016-07-08,2016-07-08,38.64,39.38,,long,XLU,us_sectors,signal
2016-07-13,2016-07-13,38.97,39.12,,long,XLU,us_sectors,signal
2016-07-21,2016-07-21,38.62,39.03,,long,XLU,us_sectors,signal
2016-07-27,2016-08-05,39.04,38.2592,38.2592,long,XLU,us_sectors,stop
2016-08-08,2016-08-11,38.01,38.1,,long,XLU,us_sectors,signal
2016-08-15,2016-08-16,38.15,37.387,37.387,long,XLU,us_sectors,stop
2016-08-17,2016-08-17,37.08,37.68,,long,XLU,us_sectors,signal
2016-08-24,2016-08-24,37.55,37.59,,long,XLU,us_sectors,signal
2016-08-29,2016-08-31,36.95,36.9,,long,XLU,us_sectors,signal
2016-09-02,2016-09-02,36.84,37.2,,long,XLU,us_sectors,signal
2016-09-12,2016-09-12,36.26,36.96,,long,XLU,us_sectors,signal
2016-09-21,2016-09-21,37.6,38.3,,long,XLU,us_sectors,signal
2016-09-28,2016-09-30,37.93,37.1714,37.1714,long,XLU,us_sectors,stop
2016-10-05,2016-10-10,35.83,35.91,,long,XLU,us_sectors,signal
2016-10-12,2016-10-12,35.52,35.85,,long,XLU,us_sectors,signal
2016-10-17,2016-10-18,36.2,36.6,,long,XLU,us_sectors,signal
2016-10-21,2016-10-25,36.33,36.64,,long,XLU,us_sectors,signal
2016-11-02,2016-11-07,36.54,36.88,,long,XLU,us_sectors,signal
2016-11-10,2016-11-11,35.61,34.8978,34.8978,long,XLU,us_sectors,stop
2016-11-14,2016-11-14,34.53,34.77,,long,XLU,us_sectors,signal
2016-12-01,2016-12-05,35.04,35.42,,long,XLU,us_sectors,signal
2016-12-15,2016-12-15,36.17,36.5,,long,XLU,us_sectors,signal
2016-12-22,2016-12-29,36.95,37.27,,long,XLU,us_sectors,signal
2017-01-10,2017-01-11,36.76,37.04,,long,XLU,us_sectors,signal
2017-01-19,2017-01-25,37.16,36.92,,long,XLU,us_sectors,signal
2017-02-02,2017-02-02,36.99,37.27,,long,XLU,us_sectors,signal
2017-02-07,2017-02-08,37.3,37.69,,long,XLU,us_sectors,signal
2017-02-10,2017-02-10,37.28,37.61,,long,XLU,us_sectors,signal
2017-02-28,2017-02-28,39.14,39.5,,long,XLU,us_sectors,signal
2017-03-09,2017-03-13,38.74,39.0,,long,XLU,us_sectors,signal
2017-03-17,2017-04-03,39.29,39.44,,long,XLU,us_sectors,signal
2017-04-10,2017-04-10,39.54,39.59,,long,XLU,us_sectors,signal
2017-04-27,2017-05-04,39.79,39.56,,long,XLU,us_sectors,signal
2017-05-10,2017-05-11,39.49,39.58,,long,XLU,us_sectors,signal
2017-05-17,2017-05-19,39.75,40.04,,long,XLU,us_sectors,signal
2017-06-07,2017-06-09,41.51,41.26,,long,XLU,us_sectors,signal
2017-06-23,2017-06-29,41.39,40.5622,40.5622,long,XLU,us_sectors,stop
2017-07-03,2017-07-17,40.33,40.43,,long,XLU,us_sectors,signal
2017-07-25,2017-07-26,40.83,41.07,,long,XLU,us_sectors,signal
2017-08-10,2017-08-14,41.7,41.89,,long,XLU,us_sectors,signal
2017-08-18,2017-08-22,41.85,42.49,,long,XLU,us_sectors,signal
