date,equity
2016-01-27,100000.0
2016-01-28,100000.0
2016-01-29,100202.40709050401
2016-02-01,100216.43230764264
2016-02-02,100196.51448128895
2016-02-03,100152.11811049047
2016-02-04,99664.58008991605
2016-02-05,100724.8915178497
2016-02-08,99865.59032697244
2016-02-09,99710.80843423407
2016-02-10,98950.23721610257
2016-02-11,98950.23721610257
2016-02-12,98950.23721610257
2016-02-15,98950.23721610257
2016-02-16,98950.23721610257
2016-02-17,98903.48268507519
2016-02-18,98903.48268507519
2016-02-19,98903.48268507519
2016-02-22,98903.48268507519
2016-02-23,98830.70622287878
2016-02-24,98830.70622287878
2016-02-25,98830.70622287878
2016-02-26,98830.70622287878
2016-02-29,98830.70622287878
2016-03-01,99465.82640218604
2016-03-02,99432.68047535126
2016-03-03,99432.68047535126
2016-03-04,99429.38887373114
2016-03-07,99317.39344178574
2016-03-08,99159.2252016973
2016-03-09,99159.2252016973
2016-03-10,98123.84868019974
2016-03-11,98155.17009981768
2016-03-14,98155.17009981768
2016-03-15,98185.3982354722
2016-03-16,98151.26185270201
2016-03-17,98593.14068883755
2016-03-18,98621.20082493592
2016-03-21,98621.20082493592
2016-03-22,98621.20082493592
2016-03-23,98705.0539522625
2016-03-24,98705.0539522625
2016-03-25,98705.0539522625
2016-03-28,98705.0539522625
2016-03-29,99970.81703458988
2016-03-30,99994.30412520868
2016-03-31,99994.30412520868
2016-04-01,100425.81621564852
2016-04-04,100553.67776354816
2016-04-05,100553.67776354816
2016-04-06,101184.56823386408
2016-04-07,101117.3904945407
2016-04-08,101073.31566233865
2016-04-11,100632.56909164276
2016-04-12,101043.00715758132
2016-04-13,101226.02430437769
2016-04-14,101226.02430437769
2016-04-15,101226.02430437769
2016-04-18,101318.09458283112
2016-04-19,101030.91842907097
2016-04-20,100959.38703879956
2016-04-21,100645.71427441124
2016-04-22,100121.54941004331
2016-04-25,100135.33216876037
2016-04-26,99993.81609101214
2016-04-27,99891.30083480472
2016-04-28,99919.2158944442
2016-04-29,98904.39601853702
2016-05-02,99012.35992025153
2016-05-03,98952.1843770128
2016-05-04,98952.1843770128
2016-05-05,98952.1843770128
2016-05-06,98927.36276970274
2016-05-09,99006.79191309494
2016-05-10,99719.13411609233
2016-05-11,99858.41589661842
2016-05-12,99339.80144016408
2016-05-13,99246.13913092275
2016-05-16,100478.61330618654
2016-05-17,101371.82560221544
2016-05-18,100385.72296688099
2016-05-19,100193.10939449383
2016-05-20,99903.76810853771
2016-05-23,99903.76810853771
2016-05-24,101226.63600349946
2016-05-25,101143.88383952455
2016-05-26,101143.88383952455
2016-05-27,101040.0703201197
2016-05-30,101040.0703201197
2016-05-31,100879.91189423567
2016-06-01,100879.91189423567
2016-06-02,100879.91189423567
2016-06-03,100587.62981352683
2016-06-06,100649.4076398999
2016-06-07,100649.4076398999
2016-06-08,100707.18346244357
2016-06-09,100747.59424995448
2016-06-10,100747.59424995448
2016-06-13,100747.59424995448
2016-06-14,100730.43277778116
2016-06-15,100688.5084776294
2016-06-16,100193.17619772881
2016-06-17,100229.00687207602
2016-06-20,100078.64019093549
2016-06-21,100078.64019093549
2016-06-22,100078.64019093549
2016-06-23,99995.50400929457
2016-06-24,99995.50400929457
2016-06-27,100429.73897939839
2016-06-28,100283.78383222339
2016-06-29,100895.39936805033
2016-06-30,101702.75709669488
2016-07-01,101565.52153929265
2016-07-04,101565.52153929265
2016-07-05,101482.99830493539
2016-07-06,101460.82817531432
2016-07-07,101464.09708150255
2016-07-08,101771.84824172425
2016-07-11,101771.84824172425
2016-07-12,101733.37698630012
2016-07-13,101733.37698630012
2016-07-14,101733.37698630012
2016-07-15,101733.37698630012
2016-07-18,101748.10205347564
2016-07-19,101748.10205347564
2016-07-20,101744.66417622185
2016-07-21,101806.81909533973
2016-07-22,101848.13799043513
2016-07-25,101879.48874189466
2016-07-26,101751.94402640841
2016-07-27,101688.17469380696
2016-07-28,101640.6102730857
2016-07-29,101646.23045002541
2016-08-01,101489.19242990142
2016-08-02,101974.11272600736
2016-08-03,102029.5577390841
2016-08-04,102029.5577390841
2016-08-05,102434.10989285841
2016-08-08,102426.18917670459
2016-08-09,102418.29873080358
2016-08-10,102028.91606316705
2016-08-11,102019.48765560602
2016-08-12,102019.48765560602
2016-08-15,102177.07436560225
2016-08-16,102355.72494152539
2016-08-17,101194.29149751383
2016-08-18,101279.59998800581
2016-08-19,100667.41607276192
2016-08-22,100581.06513155886
2016-08-23,100584.92065112983
2016-08-24,100952.71717779068
2016-08-25,100952.71717779068
2016-08-26,98797.22728803055
2016-08-29,99112.21310139791
2016-08-30,98820.33909032962
2016-08-31,98261.28699698587
2016-09-01,97191.09102554392
2016-09-02,97143.91475467222
2016-09-05,97143.91475467222
2016-09-06,97161.8521398695
2016-09-07,97184.40347821827
2016-09-08,97085.36201286309
2016-09-09,100679.90408022124
2016-09-12,103235.76111843786
2016-09-13,103680.22806939033
2016-09-14,103302.72874162646
2016-09-15,104226.37740914799
2016-09-16,104110.47588966014
2016-09-19,103769.17409783084
2016-09-20,103769.17409783084
2016-09-21,103740.52745312297
2016-09-22,103710.33792097999
2016-09-23,103710.33792097999
2016-09-26,103678.07650085898
2016-09-27,103498.93707782487
