entry_time,exit_time,entry_price,exit_price,direction,instrument,basket
2016-02-03 10:15:00-05:00,2016-02-03 11:40:00-05:00,86.53,87.3,short,IWM,us_equity_broad
2016-02-04 10:35:00-05:00,2016-02-04 11:35:00-05:00,88.99,88.28,long,IWM,us_equity_broad
2016-02-05 11:25:00-05:00,2016-02-05 12:40:00-05:00,86.37,86.69,short,IWM,us_equity_broad
2016-02-05 13:05:00-05:00,2016-02-05 15:30:00-05:00,86.65,86.02,short,IWM,us_equity_broad
2016-02-08 10:10:00-05:00,2016-02-08 10:45:00-05:00,83.88,83.9,short,IWM,us_equity_broad
2016-02-08 11:20:00-05:00,2016-02-08 12:25:00-05:00,83.41,84.16,short,IWM,us_equity_broad
2016-02-08 14:20:00-05:00,2016-02-08 15:05:00-05:00,83.17,83.56,short,IWM,us_equity_broad
2016-02-10 10:35:00-05:00,2016-02-10 11:10:00-05:00,85.14,84.61,long,IWM,us_equity_broad
2016-02-17 10:35:00-05:00,2016-02-17 12:15:00-05:00,88.18,88.0,long,IWM,us_equity_broad
2016-03-04 12:05:00-05:00,2016-03-04 12:35:00-05:00,94.56,94.51,long,IWM,us_equity_broad
2016-03-04 13:05:00-05:00,2016-03-04 13:35:00-05:00,94.48,94.68,long,IWM,us_equity_broad
2016-03-07 11:45:00-05:00,2016-03-07 13:40:00-05:00,95.2,94.9,long,IWM,us_equity_broad
2016-03-08 10:55:00-05:00,2016-03-08 13:40:00-05:00,93.43,93.95,short,IWM,us_equity_broad
2016-03-08 15:10:00-05:00,2016-03-08 15:30:00-05:00,93.46,93.3,short,IWM,us_equity_broad
2016-03-10 11:05:00-05:00,2016-03-10 15:35:00-05:00,92.75,92.55,short,IWM,us_equity_broad
2016-03-11 15:35:00-05:00,2016-03-11 15:30:00-05:00,94.51,94.52,long,IWM,us_equity_broad
2016-03-15 10:10:00-04:00,2016-03-15 10:35:00-04:00,93.42,93.39,short,IWM,us_equity_broad
2016-03-15 11:05:00-04:00,2016-03-15 11:35:00-04:00,93.25,93.17,short,IWM,us_equity_broad
2016-03-15 15:10:00-04:00,2016-03-15 15:35:00-04:00,92.92,92.89,short,IWM,us_equity_broad
2016-03-17 13:05:00-04:00,2016-03-17 15:30:00-04:00,94.52,95.35,long,IWM,us_equity_broad
2016-03-18 10:15:00-04:00,2016-03-18 11:45:00-04:00,95.76,95.89,long,IWM,us_equity_broad
2016-03-18 12:05:00-04:00,2016-03-18 12:35:00-04:00,95.96,95.99,long,IWM,us_equity_broad
2016-03-23 10:10:00-04:00,2016-03-23 12:05:00-04:00,94.7,94.41,short,IWM,us_equity_broad
2016-03-23 13:40:00-04:00,2016-03-23 14:10:00-04:00,94.32,94.39,short,IWM,us_equity_broad
2016-03-23 15:05:00-04:00,2016-03-23 15:30:00-04:00,94.06,93.99,short,IWM,us_equity_broad
2016-03-29 12:50:00-04:00,2016-03-29 15:30:00-04:00,95.46,96.49,long,IWM,us_equity_broad
