entry_time,exit_time,entry_price,exit_price,direction,instrument,basket
2016-02-03 10:15:00-05:00,2016-02-03 11:45:00-05:00,160.48,161.3,short,SPY,us_equity_broad
2016-02-05 11:10:00-05:00,2016-02-05 15:30:00-05:00,160.72,159.85,short,SPY,us_equity_broad
2016-02-08 11:50:00-05:00,2016-02-08 12:25:00-05:00,156.38,157.07,short,SPY,us_equity_broad
2016-02-08 14:35:00-05:00,2016-02-08 15:05:00-05:00,155.86,156.16,short,SPY,us_equity_broad
2016-02-10 10:35:00-05:00,2016-02-10 11:10:00-05:00,159.82,158.86,long,SPY,us_equity_broad
2016-03-01 12:10:00-05:00,2016-03-01 15:30:00-05:00,167.8,168.39,long,SPY,us_equity_broad
2016-03-10 11:35:00-05:00,2016-03-10 12:05:00-05:00,168.93,169.18,short,SPY,us_equity_broad
2016-03-10 12:45:00-05:00,2016-03-10 14:50:00-05:00,168.23,169.38,short,SPY,us_equity_broad
2016-03-17 12:35:00-04:00,2016-03-17 15:30:00-04:00,174.1,174.47,long,SPY,us_equity_broad
2016-03-29 14:30:00-04:00,2016-03-29 15:30:00-04:00,174.43,174.53,long,SPY,us_equity_broad
2016-04-06 11:10:00-04:00,2016-04-06 14:15:00-04:00,174.73,174.91,long,SPY,us_equity_broad
2016-04-06 15:10:00-04:00,2016-04-06 15:30:00-04:00,175.32,175.47,long,SPY,us_equity_broad
2016-04-07 10:35:00-04:00,2016-04-07 11:05:00-04:00,174.21,173.91,short,SPY,us_equity_broad
2016-04-07 12:35:00-04:00,2016-04-07 13:15:00-04:00,173.88,174.15,short,SPY,us_equity_broad
2016-04-07 14:10:00-04:00,2016-04-07 15:35:00-04:00,173.19,173.34,short,SPY,us_equity_broad
2016-04-11 10:40:00-04:00,2016-04-11 11:05:00-04:00,174.79,174.53,long,SPY,us_equity_broad
2016-04-12 11:50:00-04:00,2016-04-12 15:30:00-04:00,174.8,175.43,long,SPY,us_equity_broad
2016-04-18 10:35:00-04:00,2016-04-18 11:35:00-04:00,177.54,177.65,long,SPY,us_equity_broad
2016-04-18 12:35:00-04:00,2016-04-18 13:20:00-04:00,177.9,177.76,long,SPY,us_equity_broad
2016-04-21 10:10:00-04:00,2016-04-21 10:40:00-04:00,178.47,178.65,short,SPY,us_equity_broad
2016-04-21 14:40:00-04:00,2016-04-21 15:05:00-04:00,177.68,177.91,short,SPY,us_equity_broad
2016-04-29 10:05:00-04:00,2016-04-29 10:40:00-04:00,175.5,175.72,short,SPY,us_equity_broad
2016-04-29 11:05:00-04:00,2016-04-29 13:35:00-04:00,175.39,175.15,short,SPY,us_equity_broad
2016-04-29 14:15:00-04:00,2016-04-29 15:35:00-04:00,174.75,175.45,short,SPY,us_equity_broad
2016-05-03 10:15:00-04:00,2016-05-03 12:05:00-04:00,175.18,175.14,short,SPY,us_equity_broad
2016-05-10 10:50:00-04:00,2016-05-10 15:30:00-04:00,176.77,177.16,long,SPY,us_equity_broad
2016-05-11 15:05:00-04:00,2016-05-11 15:35:00-04:00,176.11,176.0,short,SPY,us_equity_broad
2016-05-12 12:05:00-04:00,2016-05-12 13:10:00-04:00,175.05,175.3,short,SPY,us_equity_broad
2016-05-13 14:25:00-04:00,2016-05-13 15:30:00-04:00,174.31,174.27,short,SPY,us_equity_broad
2016-05-16 10:40:00-04:00,2016-05-16 15:30:00-04:00,175.08,176.07,long,SPY,us_equity_broad
2016-05-17 14:10:00-04:00,2016-05-17 15:30:00-04:00,174.58,174.09,short,SPY,us_equity_broad
2016-05-18 10:35:00-04:00,2016-05-18 11:10:00-04:00,174.71,174.67,long,SPY,us_equity_broad
2016-05-18 13:05:00-04:00,2016-05-18 14:05:00-04:00,175.2,174.59,long,SPY,us_equity_broad
2016-05-19 10:15:00-04:00,2016-05-19 10:35:00-04:00,173.02,173.03,short,SPY,us_equity_broad
2016-05-19 11:15:00-04:00,2016-05-19 12:15:00-04:00,172.97,173.22,short,SPY,us_equity_broad
2016-05-20 10:15:00-04:00,2016-05-20 12:05:00-04:00,175.21,175.14,long,SPY,us_equity_broad
2016-05-24 10:10:00-04:00,2016-05-24 15:30:00-04:00,176.3,177.0,long,SPY,us_equity_broad
2016-05-25 10:35:00-04:00,2016-05-25 11:15:00-04:00,178.25,178.13,long,SPY,us_equity_broad
2016-06-03 10:10:00-04:00,2016-06-03 11:05:00-04:00,178.14,178.27,short,SPY,us_equity_broad
2016-06-14 11:05:00-04:00,2016-06-14 11:40:00-04:00,176.52,176.56,short,SPY,us_equity_broad
2016-06-16 10:05:00-04:00,2016-06-16 11:15:00-04:00,175.32,175.49,short,SPY,us_equity_broad
2016-06-17 10:35:00-04:00,2016-06-17 13:50:00-04:00,176.57,176.7,short,SPY,us_equity_broad
2016-06-27 10:30:00-04:00,2016-06-27 12:35:00-04:00,170.81,170.86,short,SPY,us_equity_broad
2016-06-27 13:10:00-04:00,2016-06-27 15:30:00-04:00,170.91,170.46,short,SPY,us_equity_broad
2016-06-28 10:05:00-04:00,2016-06-28 10:40:00-04:00,172.69,172.57,long,SPY,us_equity_broad
2016-06-28 15:15:00-04:00,2016-06-28 15:30:00-04:00,173.44,173.25,long,SPY,us_equity_broad
2016-06-29 11:05:00-04:00,2016-06-29 15:30:00-04:00,175.95,176.95,long,SPY,us_equity_broad
2016-06-30 12:05:00-04:00,2016-06-30 15:30:00-04:00,178.01,179.02,long,SPY,us_equity_broad
2016-07-01 10:05:00-04:00,2016-07-01 10:35:00-04:00,179.8,180.02,long,SPY,us_equity_broad
2016-07-01 11:05:00-04:00,2016-07-01 11:40:00-04:00,179.85,179.69,long,SPY,us_equity_broad
