date,equity
2016-01-25,100000.0
2016-01-26,99968.76690393916
2016-01-27,99937.95134567152
2016-01-28,99883.80168829238
2016-01-29,101069.06440667814
2016-02-01,101016.55873448317
2016-02-02,101438.67546952624
2016-02-03,101689.76639511317
2016-02-04,101621.37284148135
2016-02-05,102383.22191137433
2016-02-08,102307.6929296295
2016-02-09,102579.70127887145
2016-02-10,102520.51779903292
2016-02-11,102447.0038565191
2016-02-12,102376.53429509603
2016-02-15,102376.53429509603
2016-02-16,102323.08061785714
2016-02-17,102256.32182971473
2016-02-18,102542.01278091855
2016-02-19,102478.9493366558
2016-02-22,102809.34082035442
2016-02-23,102749.95283101151
2016-02-24,102701.32211056155
2016-02-25,102642.58930358168
2016-02-26,102586.5884882572
2016-02-29,102553.95506495645
2016-03-01,102531.15393884489
2016-03-02,102477.72065304096
2016-03-03,102447.41246042604
2016-03-04,102397.17625507154
2016-03-07,102347.66545954152
2016-03-08,102298.53909320408
2016-03-09,102251.45085618099
2016-03-10,102203.87787103519
2016-03-11,102166.32161778279
2016-03-14,102283.3306860269
2016-03-15,102264.78093780464
2016-03-16,102560.99761111889
2016-03-17,102527.20289579619
2016-03-18,102494.70756984965
2016-03-21,102455.26565199418
2016-03-22,102655.5357482403
2016-03-23,102617.43071485855
2016-03-24,102601.37385302383
2016-03-25,102601.37385302383
2016-03-28,102572.65232955595
2016-03-29,102556.6180195128
2016-03-30,102520.67352491632
2016-03-31,102493.92184029485
2016-04-01,102465.1726889323
2016-04-04,102437.45985252262
2016-04-05,102409.77274827677
2016-04-06,102382.58078716832
2016-04-07,102346.52711742141
2016-04-08,102310.50142208477
2016-04-11,102274.51180113839
2016-04-12,102238.00600432444
2016-04-13,102208.96044104247
2016-04-14,102194.26164073253
2016-04-15,102180.0593057136
2016-04-18,102398.38111484879
2016-04-19,102539.47661630827
2016-04-20,102506.184426492
2016-04-21,102492.34625936957
2016-04-22,102458.09979002597
2016-04-25,102424.81681338057
2016-04-26,102391.87695816651
2016-04-27,102358.45371617518
2016-04-28,102323.73309966348
2016-04-29,102288.52202769955
2016-05-02,102253.25354370005
2016-05-03,102217.94910399657
2016-05-04,102183.07681802774
2016-05-05,102149.14224942488
2016-05-06,102115.20507043292
2016-05-09,102183.71245934919
2016-05-10,102150.50178443007
2016-05-11,102426.44237880182
2016-05-12,102412.57244388587
2016-05-13,102379.18455302416
2016-05-16,102662.45024172784
2016-05-17,102627.51914430685
2016-05-18,102591.96062304777
2016-05-19,102556.58959898503
2016-05-20,102716.29622524734
2016-05-23,102682.13576736969
2016-05-24,103066.03575367013
2016-05-25,103051.9331929972
2016-05-26,103018.86407437935
2016-05-27,103115.9287816642
2016-05-30,103115.9287816642
2016-05-31,103084.86899663357
2016-06-01,103185.60445182529
2016-06-02,103155.47925820864
2016-06-03,103204.80225455055
2016-06-06,103353.4784824228
2016-06-07,103341.37766234722
2016-06-08,103329.47977539661
2016-06-09,103448.66013396843
2016-06-10,103420.36017381397
2016-06-13,103391.85450864963
2016-06-14,103363.24576147998
2016-06-15,103335.07054786745
2016-06-16,103305.84937999316
2016-06-17,103491.72275936342
2016-06-20,103484.73003597918
2016-06-21,103460.58801658911
2016-06-22,103448.53159638039
2016-06-23,103418.62680158898
2016-06-24,103382.09824467637
2016-06-27,103705.9223567284
2016-06-28,103665.5566574746
2016-06-29,103625.08899911653
2016-06-30,103618.43559730286
2016-07-01,103722.07231722804
2016-07-04,103722.07231722804
2016-07-05,103857.93582677231
2016-07-06,103818.95864706094
2016-07-07,103781.56326857253
2016-07-08,103988.715344426
2016-07-11,103952.28073860463
2016-07-12,103916.91011527715
2016-07-13,103882.76808939678
2016-07-14,103868.96078512893
2016-07-15,103855.42843094666
2016-07-18,103842.38523994439
2016-07-19,103811.99150816882
2016-07-20,103781.67719370784
2016-07-21,103752.0504734019
2016-07-22,103722.78498442218
2016-07-25,103701.63000081386
2016-07-26,103673.9124065255
2016-07-27,103646.29904252531
2016-07-28,103619.17579234167
2016-07-29,103592.54426550714
2016-08-01,103566.18558666561
2016-08-02,103629.66390694655
2016-08-03,103618.08501694695
2016-08-04,103611.57600266169
2016-08-05,103585.56899568986
2016-08-08,103560.32274550616
2016-08-09,103535.71867611242
2016-08-10,103525.40414261515
2016-08-11,103501.83626075168
2016-08-12,103484.66305936011
2016-08-15,103547.1898786499
2016-08-16,103524.50448105903
2016-08-17,103501.6809327318
2016-08-18,103479.53825840037
2016-08-19,103457.54700535513
2016-08-22,103435.92243252585
2016-08-23,103426.43800704341
2016-08-24,103414.25459392514
2016-08-25,103392.516039253
2016-08-26,103369.69174301205
2016-08-29,103549.58272343368
2016-08-30,103527.05876621668
2016-08-31,103516.8320684376
2016-09-01,103494.45407698257
2016-09-02,103471.9913834451
2016-09-05,103471.9913834451
2016-09-06,103449.74619867708
2016-09-07,103474.36268212504
2016-09-08,103452.41251119363
2016-09-09,103426.54223185113
2016-09-12,104415.07014066266
2016-09-13,104384.88543235729
2016-09-14,104354.6812301136
2016-09-15,104323.5323528909
2016-09-16,104293.32491568988
2016-09-19,104263.227286365
2016-09-20,104250.09792837437
2016-09-21,104220.01687158091
2016-09-22,104206.6375521042
