date,equity
2016-01-25,100000.0
2016-01-26,99956.74744956123
2016-01-27,99913.97227750722
2016-01-28,99851.06452668406
2016-01-29,101027.75067942074
2016-02-01,100966.46717859458
2016-02-02,101369.31334276068
2016-02-03,101611.54063892749
2016-02-04,101524.95446401078
2016-02-05,102266.00156605816
2016-02-08,102171.07387012974
2016-02-09,102422.9572904842
2016-02-10,102347.54746320393
2016-02-11,102254.55420296208
2016-02-12,102165.14861072652
2016-02-15,102165.14861072652
2016-02-16,102102.53815972785
2016-02-17,102017.51120473703
2016-02-18,102283.95593608197
2016-02-19,102202.50702036332
2016-02-22,102513.4611125929
2016-02-23,102435.94957826237
2016-02-24,102378.19325350723
2016-02-25,102301.43626197337
2016-02-26,102227.64661715456
2016-02-29,102188.86297327091
2016-03-01,102154.30059721365
2016-03-02,102083.2983202335
2016-03-03,102046.97530288789
2016-03-04,101979.17945908502
2016-03-07,101912.02380230994
2016-03-08,101845.2243988775
2016-03-09,101780.54035542006
2016-03-10,101715.39881431664
2016-03-11,101669.39544489756
2016-03-14,101770.69832700616
2016-03-15,101740.6780006114
2016-03-16,102017.52746450328
2016-03-17,101975.41294341756
2016-03-18,101934.57866598194
2016-03-21,101878.01598599303
2016-03-22,102059.6005614319
2016-03-23,102004.32888016407
2016-03-24,101977.0356393417
2016-03-25,101977.0356393417
2016-03-28,101939.98075240698
2016-03-29,101912.79078725375
2016-03-30,101860.04759100999
2016-03-31,101818.91236987653
2016-04-01,101781.95282855697
2016-04-04,101746.21190923483
2016-04-05,101710.32918679631
2016-04-06,101668.73695593653
2016-04-07,101616.01293355091
2016-04-08,101563.25948004433
2016-04-11,101510.4891190677
2016-04-12,101457.02739741551
2016-04-13,101419.84986552643
2016-04-14,101394.17819017339
2016-04-15,101368.97990272853
2016-04-18,101573.72349829362
2016-04-19,101699.03688040336
2016-04-20,101649.25175238527
2016-04-21,101624.53874335934
2016-04-22,101573.60649876081
2016-04-25,101523.61213415487
2016-04-26,101473.96795203764
2016-04-27,101423.86823211891
2016-04-28,101372.48396098302
2016-04-29,101320.47051816387
2016-05-02,101268.4199393487
2016-05-03,101216.49849809681
2016-05-04,101164.77241342141
2016-05-05,101114.04090939
2016-05-06,101063.26005607504
2016-05-09,101113.48016109853
2016-05-10,101063.68515650413
2016-05-11,101324.22608360181
2016-05-12,101299.51160423717
2016-05-13,101249.44293297394
2016-05-16,101512.89502475958
2016-05-17,101461.36274847068
2016-05-18,101409.00058272734
2016-05-19,101356.7573600939
2016-05-20,101505.89706777285
2016-05-23,101455.05859406789
2016-05-24,101825.52789588658
2016-05-25,101800.69894582346
2016-05-26,101751.14358672936
2016-05-27,101830.13175623203
2016-05-30,101830.13175623203
2016-05-31,101782.66456828617
2016-06-01,101864.52450325128
2016-06-02,101817.93778818302
2016-06-03,101849.86948277782
2016-06-06,101980.73933631895
2016-06-07,101957.94883411333
2016-06-08,101935.44933102705
2016-06-09,102035.31752950347
2016-06-10,101990.73466779586
2016-06-13,101945.865701412
2016-06-14,101900.79277829555
2016-06-15,101856.13493361401
2016-06-16,101810.30146739242
2016-06-17,101976.23688874634
2016-06-20,101966.98210877058
2016-06-21,101934.78624678148
2016-06-22,101912.03054889759
2016-06-23,101865.7823426373
2016-06-24,101812.6717361463
2016-06-27,102114.1378688608
2016-06-28,102056.95311975371
2016-06-29,102000.05885713725
2016-06-30,101985.17219260271
2016-07-01,102070.46372191946
2016-07-04,102070.46372191946
2016-07-05,102188.42957078764
2016-07-06,102133.26909579098
2016-07-07,102079.7770394309
2016-07-08,102268.92088685193
2016-07-11,102216.72332252758
2016-07-12,102165.65530325868
2016-07-13,102115.80862052963
2016-07-14,102091.86903634746
2016-07-15,102068.20049778
2016-07-18,102044.9931626814
2016-07-19,101998.97874651838
2016-07-20,101953.10454225689
