date,equity
2016-01-25,100000.0
2016-01-26,99989.91519738009
2016-01-27,99979.9412091269
2016-01-28,99965.26495183463
2016-01-29,100240.21442072035
2016-02-01,100226.09927694293
2016-02-02,100319.19695799972
2016-02-03,100374.52179237112
2016-02-04,100354.62305817523
2016-02-05,100524.75890444213
2016-02-08,100503.1094703719
2016-02-09,100562.83214438074
2016-02-10,100545.56600751275
2016-02-11,100524.34089603394
2016-02-12,100503.90588467945
2016-02-15,100503.90588467945
2016-02-16,100489.72006231888
2016-02-17,100470.12724185032
2016-02-18,100530.42403497826
2016-02-19,100511.76519025562
2016-02-22,100583.24642130703
2016-02-23,100565.57057316866
2016-02-24,100552.57312585822
2016-02-25,100535.16074154439
2016-02-26,100518.24173022868
2016-02-29,100509.5494974766
2016-03-01,100501.47582401638
2016-03-02,100485.2459650245
2016-03-03,100477.03733919226
2016-03-04,100461.44756375847
2016-03-07,100446.14724967875
2016-03-08,100430.73136675412
2016-03-09,100415.8896512582
2016-03-10,100400.891682568
2016-03-11,100390.52806518413
2016-03-14,100413.22245643643
2016-03-15,100406.1901351692
2016-03-16,100468.37239554789
2016-03-17,100458.91680000021
2016-03-18,100449.68426638753
2016-03-21,100436.74253421157
2016-03-22,100476.95408045755
2016-03-23,100464.32723983137
2016-03-24,100457.96511977116
2016-03-25,100457.96511977116
2016-03-28,100449.6233806471
2016-03-29,100443.27645299712
2016-03-30,100431.22993163482
2016-03-31,100421.85149483212
2016-04-01,100413.41380034166
2016-04-04,100405.30626627433
2016-04-05,100397.1788526178
2016-04-06,100387.70381149313
2016-04-07,100375.54447114476
2016-04-08,100363.40756175658
2016-04-11,100351.26739057965
2016-04-12,100338.94633468552
2016-04-13,100330.583568094
2016-04-14,100324.56565911457
2016-04-15,100318.66674343593
2016-04-18,100367.14456974204
2016-04-19,100395.25660500638
2016-04-20,100383.86448101315
2016-04-21,100378.06704431544
2016-04-22,100366.38380110025
2016-04-25,100354.91513399135
2016-04-26,100343.53822180573
2016-04-27,100332.01514858945
2016-04-28,100320.20957933695
2016-04-29,100287.73746620212
2016-05-02,100255.42178661762
2016-05-03,100222.30883774592
2016-05-04,100134.85584679735
2016-05-05,100049.1744172473
2016-05-06,99963.6115856389
2016-05-09,99903.90236225881
2016-05-10,99820.66098903821
2016-05-11,99862.0628054858
2016-05-12,99803.88167941634
2016-05-13,99688.5093587453
2016-05-16,100280.66832201174
2016-05-17,100161.36697902929
2016-05-18,100040.14795822807
2016-05-19,99919.36421388593
2016-05-20,100257.8738980973
2016-05-23,100139.99772950233
2016-05-24,100986.84795705788
2016-05-25,100928.5230046802
2016-05-26,100830.14684825996
2016-05-27,100942.84395054466
2016-05-30,100942.84395054466
2016-05-31,100848.62136681733
2016-06-01,101056.64013082717
2016-06-02,100964.04016936208
2016-06-03,100999.00079204692
