,equity_curve
2016-01-04,1.0
2016-01-05,1.0
2016-01-06,1.0
2016-01-07,1.0
2016-01-08,1.0
2016-01-11,1.0
2016-01-12,1.0
2016-01-13,1.0
2016-01-14,1.0
2016-01-15,1.0
2016-01-19,1.0
2016-01-20,1.0
2016-01-21,1.0
2016-01-22,1.0
2016-01-25,1.0
2016-01-26,0.9983685156630987
2016-01-27,0.9983685156630987
2016-01-28,0.9967546651094767
2016-01-29,1.016575267411884
2016-02-01,1.01501479310556
2016-02-02,1.0307386959992244
2016-02-03,1.039939382828725
2016-02-04,1.0383294682061492
2016-02-05,1.066127053202504
2016-02-08,1.0643176018931026
2016-02-09,1.0625048951082552
2016-02-10,1.0607417071564669
2016-02-11,1.0589807931554434
2016-02-12,1.0572989661563073
2016-02-16,1.0556703461653874
2016-02-17,1.0540725094976726
2016-02-18,1.064945941247296
2016-02-19,1.0634140706534203
2016-02-22,1.0701058311000158
2016-02-23,1.0686375974336366
2016-02-24,1.0671130365557369
2016-02-25,1.0656536989793586
2016-02-26,1.0642565357069613
2016-02-29,1.0628746236925264
2016-03-01,1.0628746236925264
2016-03-02,1.0615365999194553
2016-03-03,1.0602445598556631
2016-03-04,1.0589761466351706
2016-03-07,1.0577257048454478
2016-03-08,1.0564924449944524
2016-03-09,1.0553020724843902
2016-03-10,1.0540986438388107
2016-03-11,1.0529041811334805
2016-03-14,1.0571613842456322
2016-03-15,1.0571613842456322
2016-03-16,1.0680816047314723
2016-03-17,1.067001519556219
2016-03-18,1.0659546289494066
2016-03-21,1.0649386226063158
2016-03-22,1.0723952949640547
2016-03-23,1.071405311426343
2016-03-24,1.071405311426343
2016-03-28,1.0704651717853828
2016-03-29,1.0704651717853828
2016-03-30,1.0695234082879983
2016-03-31,1.068608841234992
2016-04-01,1.0676661134169005
2016-04-04,1.06676120625061
2016-04-05,1.0658551440643513
2016-04-06,1.064935270092009
2016-04-07,1.064000128029883
2016-04-08,1.0630633064072117
2016-04-11,1.0621251204365076
2016-04-12,1.061170708357199
2016-04-13,1.0602283161091184
2016-04-14,1.0602283161091184
2016-04-15,1.0602283161091184
2016-04-18,1.0602283161091184
2016-04-19,1.0652389803197042
2016-04-20,1.0643453332515707
2016-04-21,1.0643453332515707
2016-04-22,1.0634204792522788
2016-04-25,1.0625206556538895
2016-04-26,1.0616255343942285
2016-04-27,1.0607051172233708
2016-04-28,1.059753367626038
2016-04-29,1.0587851125083465
2016-05-02,1.0578170510547273
2016-05-03,1.0568599471839784
2016-05-04,1.055913733441211
2016-05-05,1.0549886110783566
2016-05-06,1.0540640523557328
2016-05-09,1.053167903607515
2016-05-10,1.0522690503213603
2016-05-11,1.0522690503213603
2016-05-12,1.0522690503213603
2016-05-13,1.0513699250331578
2016-05-16,1.0616272612418214
2016-05-17,1.0606970188815212
2016-05-18,1.0597536685855868
2016-05-19,1.0588152917041334
2016-05-20,1.0644979038030498
2016-05-23,1.0635806807111379
2016-05-24,1.0771502750651003
2016-05-25,1.0771502750651003
2016-05-26,1.0762491997363257
2016-05-27,1.0799184104098434
2016-05-31,1.0790671164634296
2016-06-01,1.0782344726915067
2016-06-02,1.07740779905681
2016-06-03,1.0793769540706966
2016-06-06,1.0785662026331642
2016-06-07,1.0785662026331642
2016-06-08,1.0785662026331642
2016-06-09,1.0778080578752964
2016-06-10,1.0770260803063954
2016-06-13,1.0762412355614075
2016-06-14,1.0754511167039125
2016-06-15,1.0746686795368419
2016-06-16,1.073859263030623
2016-06-17,1.08061125146648
2016-06-20,1.08061125146648
2016-06-21,1.079787713602645
2016-06-22,1.079787713602645
2016-06-23,1.0789576325746175
2016-06-24,1.077978487453142
2016-06-27,1.0897125369837986
2016-06-28,1.088635469529911
2016-06-29,1.0875601145633664
2016-06-30,1.0875601145633664
2016-07-01,1.0915475101602634
2016-07-05,1.091952059153481
2016-07-06,1.0909126113502219
2016-07-07,1.0899195710358736
2016-07-08,1.0889224245662577
2016-07-11,1.0879590317182923
2016-07-12,1.0870237306423691
2016-07-13,1.0861167821113233
2016-07-14,1.0861167821113233
2016-07-15,1.0861167821113233
2016-07-18,1.0861167821113233
2016-07-19,1.085286156792422
2016-07-20,1.084447799103868
2016-07-21,1.0836288596313277
2016-07-22,1.0828196150139333
2016-07-25,1.0820409163006661
2016-07-26,1.081268809616698
2016-07-27,1.0805050644150438
2016-07-28,1.0797569053934073
2016-07-29,1.0790262311506658
2016-08-01,1.078299259944622
2016-08-02,1.0775566858449472
2016-08-03,1.0775566858449472
2016-08-04,1.0775566858449472
2016-08-05,1.0768360954721474
2016-08-08,1.0761338227417512
2016-08-09,1.0754452335986115
2016-08-10,1.0754452335986115
2016-08-11,1.0747757662682038
2016-08-12,1.0741232943626096
2016-08-15,1.076452008377189
