date,equity
2016-01-07,100000.0
2016-01-08,100023.34218004
2016-01-11,100034.925250792
2016-01-12,100026.828738544
2016-01-13,100035.41132224
2016-01-14,100035.955577272
2016-01-15,100035.955577272
2016-01-18,100035.955577272
2016-01-19,100035.955577272
2016-01-20,100002.661223416
2016-01-21,100002.661223416
2016-01-22,100002.661223416
2016-01-25,100002.661223416
2016-01-26,99994.686169
2016-01-27,99994.686169
2016-01-28,100013.950210528
2016-01-29,100030.214128624
2016-02-01,100030.214128624
2016-02-02,100030.214128624
2016-02-03,100040.23780986399
2016-02-04,100045.10126091998
2016-02-05,100045.10126091998
2016-02-08,100048.52575614398
2016-02-09,100053.51098528798
2016-02-10,100053.51098528798
2016-02-11,100037.73709847199
2016-02-12,100037.73709847199
2016-02-15,100037.73709847199
2016-02-16,100037.73709847199
2016-02-17,100037.73709847199
2016-02-18,100037.73709847199
2016-02-19,100045.60026263198
2016-02-22,100045.60026263198
2016-02-23,100045.60026263198
2016-02-24,100045.06363695998
2016-02-25,100045.06363695998
2016-02-26,100045.06363695998
2016-02-29,100035.64648086399
2016-03-01,100049.38912460799
2016-03-02,100049.38912460799
2016-03-03,100049.38912460799
2016-03-04,100049.38912460799
2016-03-07,100049.38912460799
2016-03-08,100049.38912460799
2016-03-09,100051.205434928
2016-03-10,100051.205434928
2016-03-11,100064.901164228
2016-03-14,100064.901164228
2016-03-15,100064.901164228
2016-03-16,100064.901164228
2016-03-17,100064.901164228
2016-03-18,100064.901164228
2016-03-21,100064.901164228
2016-03-22,100064.901164228
2016-03-23,100064.901164228
2016-03-24,100060.99643176999
2016-03-25,100060.99643176999
2016-03-28,100060.99643176999
2016-03-29,100063.801525006
2016-03-30,100063.801525006
2016-03-31,100060.006107556
2016-04-01,100053.350809368
2016-04-04,100053.350809368
2016-04-05,100047.905459194
2016-04-06,100049.17019158599
2016-04-07,100049.17019158599
2016-04-08,100063.52490257198
2016-04-11,100068.41956157198
2016-04-12,100071.44454166199
2016-04-13,100071.44454166199
2016-04-14,100071.44454166199
2016-04-15,100068.96851566999
2016-04-18,100061.98265175198
2016-04-19,100061.98265175198
2016-04-20,100061.98265175198
2016-04-21,100061.98265175198
2016-04-22,100064.01638723598
2016-04-25,100064.01638723598
2016-04-26,100064.01638723598
2016-04-27,100064.40009825598
2016-04-28,100064.40009825598
2016-04-29,100060.27418540999
2016-05-02,100061.31851720398
2016-05-03,100061.31851720398
2016-05-04,100059.39291015799
2016-05-05,100059.39291015799
2016-05-06,100057.68769147799
2016-05-09,100057.68769147799
2016-05-10,100057.68769147799
2016-05-11,100057.68769147799
2016-05-12,100061.04191624199
2016-05-13,100054.27641010999
2016-05-16,100056.64112721199
2016-05-17,100056.64112721199
2016-05-18,100055.59587489399
2016-05-19,100055.59587489399
2016-05-20,100055.59587489399
2016-05-23,100055.59587489399
2016-05-24,100055.760546126
2016-05-25,100055.760546126
2016-05-26,100055.760546126
2016-05-27,100054.82406143399
2016-05-30,100054.82406143399
2016-05-31,100054.82406143399
2016-06-01,100054.65744830598
2016-06-02,100054.65744830598
2016-06-03,100054.65744830598
2016-06-06,100054.65744830598
2016-06-07,100054.65744830598
2016-06-08,100054.65744830598
2016-06-09,100054.65744830598
2016-06-10,100054.65744830598
2016-06-13,100049.65096361398
2016-06-14,100048.71487034598
2016-06-15,100048.71487034598
2016-06-16,100041.83903089198
2016-06-17,100041.83903089198
2016-06-20,100058.17257372198
2016-06-21,100062.18606456598
2016-06-22,100062.18606456598
2016-06-23,100062.34943614798
2016-06-24,100062.34943614798
2016-06-27,100060.75457831199
2016-06-28,100073.79009355199
2016-06-29,100073.79009355199
2016-06-30,100073.79009355199
2016-07-01,100073.79009355199
2016-07-04,100073.79009355199
2016-07-05,100073.79009355199
2016-07-06,100070.87369754199
2016-07-07,100070.87369754199
2016-07-08,100073.566839774
2016-07-11,100073.566839774
2016-07-12,100073.566839774
2016-07-13,100073.566839774
2016-07-14,100083.513705294
2016-07-15,100084.96058471399
2016-07-18,100094.507400194
2016-07-19,100094.507400194
2016-07-20,100094.507400194
2016-07-21,100094.507400194
2016-07-22,100095.55417119399
2016-07-25,100095.55417119399
2016-07-26,100094.000936634
2016-07-27,100094.000936634
2016-07-28,100096.647590874
2016-07-29,100096.647590874
2016-08-01,100096.647590874
2016-08-02,100093.494303494
2016-08-03,100091.24133581399
2016-08-04,100091.24133581399
2016-08-05,100091.24133581399
2016-08-08,100091.24133581399
2016-08-09,100091.38772317399
2016-08-10,100091.38772317399
2016-08-11,100092.134188374
2016-08-12,100092.134188374
2016-08-15,100092.134188374
2016-08-16,100092.134188374
2016-08-17,100090.58055071399
2016-08-18,100090.58055071399
2016-08-19,100090.58055071399
2016-08-22,100090.58055071399
2016-08-23,100090.58055071399
2016-08-24,100089.12671567399
2016-08-25,100087.77314751399
2016-08-26,100087.77314751399
2016-08-29,100086.91973503398
2016-08-30,100086.91973503398
2016-08-31,100087.46612239398
2016-09-01,100091.61251531397
2016-09-02,100091.61251531397
2016-09-05,100089.95881371398
2016-09-06,100089.95881371398
2016-09-07,100089.95881371398
2016-09-08,100089.95881371398
2016-09-09,100088.00516771399
2016-09-12,100078.05305627399
2016-09-13,100078.05305627399
2016-09-14,100079.40047501399
2016-09-15,100076.44811337399
2016-09-16,100076.44811337399
2016-09-19,100082.29512901399
2016-09-20,100087.34220303399
2016-09-21,100093.58923813398
2016-09-22,100093.58923813398
2016-09-23,100093.58923813398
2016-09-26,100087.33603415398
2016-09-27,100094.48287187397
2016-09-28,100094.48287187397
2016-09-29,100094.48287187397
2016-09-30,100090.32988195398
2016-10-03,100090.32988195398
2016-10-04,100091.77647781398
2016-10-05,100092.82336557399
2016-10-06,100092.82336557399
2016-10-07,100092.82336557399
2016-10-10,100095.17014769399
2016-10-11,100090.61677135399
2016-10-12,100088.76393155399
2016-10-13,100088.76393155399
2016-10-14,100088.76393155399
2016-10-17,100086.31131415398
2016-10-18,100093.95847435397
2016-10-19,100090.80572073397
2016-10-20,100090.80572073397
2016-10-21,100090.80572073397
2016-10-24,100090.80572073397
2016-10-25,100092.75252509398
2016-10-26,100090.29969919397
2016-10-27,100090.29969919397
2016-10-28,100083.84713739397
2016-10-31,100083.99448941396
2016-11-01,100086.54180251397
2016-11-02,100084.39453803196
2016-11-03,100080.26758546596
2016-11-04,100080.32069405996
2016-11-07,100096.21357636196
2016-11-08,100096.21357636196
2016-11-09,100096.21357636196
2016-11-10,100096.21357636196
2016-11-11,100095.95997484196
2016-11-14,100095.95997484196
2016-11-15,100100.60627046195
2016-11-16,100100.60627046195
2016-11-17,100100.60627046195
2016-11-18,100100.60627046195
2016-11-21,100110.47741441795
2016-11-22,100110.47741441795
2016-11-23,100110.47741441795
2016-11-24,100110.47741441795
2016-11-25,100110.47741441795
2016-11-28,100110.47741441795
2016-11-29,100123.44009462395
2016-11-30,100123.44009462395
2016-12-01,100119.36620286395
2016-12-02,100104.80991444395
2016-12-05,100104.80991444395
2016-12-06,100104.80991444395
2016-12-07,100104.80991444395
2016-12-08,100104.80991444395
2016-12-09,100104.80991444395
2016-12-12,100104.80991444395
2016-12-13,100120.90935068595
2016-12-14,100120.90935068595
2016-12-15,100113.92126809395
2016-12-16,100113.92126809395
2016-12-19,100127.61930265395
2016-12-20,100127.61930265395
2016-12-21,100127.61930265395
2016-12-22,100125.38483130996
2016-12-23,100124.18158900995
2016-12-26,100124.18158900995
2016-12-27,100124.18158900995
2016-12-28,100124.18158900995
2016-12-29,100115.45978396996
2016-12-30,100123.81984181996
2017-01-02,100180.60305721597
2017-01-03,100180.60305721597
2017-01-04,100180.60305721597
2017-01-05,100180.60305721597
2017-01-06,100180.60305721597
2017-01-09,100180.60305721597
2017-01-10,100187.23696346796
2017-01-11,100169.79569026796
2017-01-12,100169.79569026796
2017-01-13,100169.79569026796
2017-01-16,100169.79569026796
2017-01-17,100169.79569026796
2017-01-18,100176.38775225196
2017-01-19,100176.38775225196
2017-01-20,100177.72847955197
2017-01-23,100177.72847955197
2017-01-24,100171.25406631996
2017-01-25,100171.25406631996
