date,equity
2016-01-07,100000.0
2016-01-08,101184.444
2016-01-11,101790.702
2016-01-12,101382.122
2016-01-13,101829.49399999999
2016-01-14,101868.04599999999
2016-01-15,101868.04599999999
2016-01-18,101868.04599999999
2016-01-19,101868.04599999999
2016-01-20,100110.563
2016-01-21,100110.563
2016-01-22,100110.563
2016-01-25,100110.563
2016-01-26,99704.289
2016-01-27,99704.289
2016-01-28,100712.55100000002
2016-01-29,101570.79700000002
2016-02-01,101570.79700000002
2016-02-02,101570.79700000002
2016-02-03,102104.37400000001
2016-02-04,102367.499
2016-02-05,102367.499
2016-02-08,102559.838
2016-02-09,102839.988
2016-02-10,102839.988
2016-02-11,101989.143
2016-02-12,101989.143
2016-02-15,101989.143
2016-02-16,101989.143
2016-02-17,101989.143
2016-02-18,101989.143
2016-02-19,102406.505
2016-02-22,102406.505
2016-02-23,102406.505
2016-02-24,102388.38000000002
2016-02-25,102388.38000000002
2016-02-26,102388.38000000002
2016-02-29,101914.67600000002
2016-03-01,102632.17400000003
2016-03-02,102632.17400000003
2016-03-03,102632.17400000003
2016-03-04,102632.17400000003
2016-03-07,102632.17400000003
2016-03-08,102632.17400000003
2016-03-09,102741.67900000003
2016-03-10,102741.67900000003
2016-03-11,103502.06200000003
2016-03-14,103502.06200000003
2016-03-15,103502.06200000003
2016-03-16,103502.06200000003
2016-03-17,103502.06200000003
2016-03-18,103502.06200000003
2016-03-21,103502.06200000003
2016-03-22,103502.06200000003
2016-03-23,103502.06200000003
2016-03-24,103299.67900000003
2016-03-25,103299.67900000003
2016-03-28,103299.67900000003
2016-03-29,103461.19500000004
2016-03-30,103461.19500000004
2016-03-31,103267.41400000003
2016-04-01,102921.08200000004
2016-04-04,102921.08200000004
2016-04-05,102640.38800000004
2016-04-06,102717.28500000003
2016-04-07,102717.28500000003
2016-04-08,103499.31700000004
2016-04-11,103772.69000000003
2016-04-12,103946.41700000002
2016-04-13,103946.41700000002
2016-04-14,103946.41700000002
2016-04-15,103824.15200000002
2016-04-18,103462.03700000003
2016-04-19,103462.03700000003
2016-04-20,103462.03700000003
2016-04-21,103462.03700000003
2016-04-22,103578.81800000003
2016-04-25,103578.81800000003
2016-04-26,103578.81800000003
2016-04-27,103608.44900000004
2016-04-28,103608.44900000004
2016-04-29,103398.79300000003
2016-05-02,103463.95000000004
2016-05-03,103463.95000000004
2016-05-04,103370.61700000004
2016-05-05,103370.61700000004
2016-05-06,103288.46800000005
2016-05-09,103288.46800000005
2016-05-10,103288.46800000005
2016-05-11,103288.46800000005
2016-05-12,103476.57400000004
2016-05-13,103124.96100000004
2016-05-16,103261.25100000005
2016-05-17,103261.25100000005
2016-05-18,103214.64100000005
2016-05-19,103214.64100000005
2016-05-20,103214.64100000005
2016-05-23,103214.64100000005
2016-05-24,103232.93100000006
2016-05-25,103232.93100000006
2016-05-26,103232.93100000006
2016-05-27,103193.11800000006
2016-05-30,103193.11800000006
2016-05-31,103193.11800000006
2016-06-01,103193.69400000006
2016-06-02,103193.69400000006
2016-06-03,103193.69400000006
2016-06-06,103193.69400000006
2016-06-07,103193.69400000006
2016-06-08,103193.69400000006
2016-06-09,103193.69400000006
2016-06-10,103193.69400000006
2016-06-13,102941.26900000007
2016-06-14,102901.31800000007
2016-06-15,102901.31800000007
2016-06-16,102548.09800000007
2016-06-17,102548.09800000007
2016-06-20,103415.67600000008
2016-06-21,103636.27500000007
2016-06-22,103636.27500000007
2016-06-23,103654.19300000007
2016-06-24,103654.19300000007
2016-06-27,103577.18000000007
2016-06-28,104303.78500000005
2016-06-29,104303.78500000005
2016-06-30,104303.78500000005
2016-07-01,104303.78500000005
2016-07-04,104303.78500000005
2016-07-05,104303.78500000005
2016-07-06,104158.61800000005
2016-07-07,104158.61800000005
2016-07-08,104309.73700000005
2016-07-11,104309.73700000005
2016-07-12,104309.73700000005
2016-07-13,104309.73700000005
2016-07-14,104881.96300000006
2016-07-15,104973.25000000007
2016-07-18,105525.74900000007
2016-07-19,105525.74900000007
2016-07-20,105525.74900000007
2016-07-21,105525.74900000007
2016-07-22,105594.59800000007
2016-07-25,105594.59800000007
2016-07-26,105515.64600000008
2016-07-27,105515.64600000008
2016-07-28,105675.25400000007
2016-07-29,105675.25400000007
2016-08-01,105675.25400000007
2016-08-02,105505.42200000008
2016-08-03,105386.08300000009
2016-08-04,105386.08300000009
2016-08-05,105386.08300000009
2016-08-08,105386.08300000009
2016-08-09,105403.56700000008
2016-08-10,105403.56700000008
2016-08-11,105454.98200000008
2016-08-12,105454.98200000008
2016-08-15,105454.98200000008
2016-08-16,105454.98200000008
2016-08-17,105376.72500000008
2016-08-18,105376.72500000008
2016-08-19,105376.72500000008
2016-08-22,105376.72500000008
2016-08-23,105376.72500000008
2016-08-24,105304.35600000007
2016-08-25,105237.35900000007
2016-08-26,105237.35900000007
2016-08-29,105198.37400000007
2016-08-30,105198.37400000007
2016-08-31,105238.34700000007
2016-09-01,105481.43100000008
2016-09-02,105481.43100000008
2016-09-05,105397.54400000008
2016-09-06,105397.54400000008
2016-09-07,105397.54400000008
2016-09-08,105397.54400000008
2016-09-09,105296.7670000001
2016-09-12,104731.8840000001
2016-09-13,104731.8840000001
2016-09-14,104818.2560000001
2016-09-15,104658.38900000008
2016-09-16,104658.38900000008
2016-09-19,104999.75700000009
2016-09-20,105297.24800000008
2016-09-21,105663.90000000008
2016-09-22,105663.90000000008
2016-09-23,105663.90000000008
2016-09-26,105317.98800000008
2016-09-27,105734.65800000007
2016-09-28,105734.65800000007
2016-09-29,105734.65800000007
