date,ret
2016-01-04,100000.0
2016-01-05,101417.02451394759
2016-01-06,101417.02451394759
2016-01-07,101417.02451394759
2016-01-08,103357.35142478015
2016-01-11,106075.8323774134
2016-01-12,107188.1078507678
2016-01-13,108401.99416719409
2016-01-14,108478.68218412035
2016-01-15,108478.68218412035
2016-01-19,108478.68218412035
2016-01-20,105847.8784580562
2016-01-21,105847.8784580562
2016-01-22,108915.65475176314
2016-01-25,108915.65475176314
2016-01-26,108997.99748577623
2016-01-27,108997.99748577623
2016-01-28,108997.99748577623
2016-01-29,112255.08021720947
2016-02-01,112255.08021720947
2016-02-02,112255.08021720947
2016-02-03,116714.68322072795
2016-02-04,116714.68322072795
2016-02-05,116714.68322072795
2016-02-08,114631.66940371803
2016-02-09,113128.98830128672
2016-02-10,114981.97400251342
2016-02-11,114981.97400251342
2016-02-12,117010.3955203358
2016-02-16,117010.3955203358
2016-02-17,117010.3955203358
2016-02-18,117010.3955203358
2016-02-19,116285.73250917494
2016-02-22,116285.73250917494
2016-02-23,116285.73250917494
2016-02-24,112923.67254247531
2016-02-25,112923.67254247531
2016-02-26,114209.80586723392
2016-02-29,117554.56559549032
2016-03-01,118884.47895731931
2016-03-02,118884.47895731931
2016-03-03,118884.47895731931
2016-03-04,118884.47895731931
2016-03-07,117737.63680821983
2016-03-08,117737.63680821983
2016-03-09,120502.19299417868
2016-03-10,120075.07518770634
2016-03-11,120075.07518770634
2016-03-14,120075.07518770634
2016-03-15,115111.01062944531
2016-03-16,112803.71606897465
2016-03-17,112803.71606897465
2016-03-18,112803.71606897465
2016-03-21,112803.71606897465
2016-03-22,112803.71606897465
2016-03-23,112803.71606897465
2016-03-24,111151.68601944605
2016-03-28,111151.68601944605
2016-03-29,111151.68601944605
2016-03-30,111151.68601944605
2016-03-31,111478.33103070247
2016-04-01,110098.28646091725
2016-04-04,110098.28646091725
2016-04-05,109059.52801045038
2016-04-06,109059.52801045038
2016-04-07,109059.52801045038
2016-04-08,113676.98029435427
2016-04-11,113676.98029435427
2016-04-12,114429.47539007339
2016-04-13,114429.47539007339
