date,equity
2016-01-04,100000.0
2016-01-05,100494.72411266628
2016-01-06,99743.13944958647
2016-01-07,97850.41868653585
2016-01-08,98842.44615786974
2016-01-11,100276.274422672
2016-01-12,100739.43092967653
2016-01-13,101650.90559150178
2016-01-14,101808.32096225907
2016-01-15,101808.32096225907
2016-01-19,102905.4729287243
2016-01-20,100801.73706395752
2016-01-21,100801.73706395752
2016-01-22,102962.42649467068
2016-01-25,102813.1136764898
2016-01-26,103371.13385687265
2016-01-27,103371.13385687265
2016-01-28,104644.92723452361
2016-01-29,106156.08112996811
2016-02-01,106156.08112996811
2016-02-02,106156.08112996811
2016-02-03,107770.63635954612
2016-02-04,107770.63635954612
2016-02-05,107770.63635954612
2016-02-08,106237.83923425223
2016-02-09,104785.91248960931
2016-02-10,105364.37261143532
2016-02-11,103423.66545366039
2016-02-12,104225.23798765546
2016-02-16,104225.23798765546
2016-02-17,104935.9232904303
2016-02-18,104935.9232904303
2016-02-19,104546.01846145073
2016-02-22,104546.01846145073
2016-02-23,104546.01846145073
2016-02-24,102850.1045371943
2016-02-25,102850.1045371943
2016-02-26,103142.95488451725
2016-02-29,104681.10782687228
2016-03-01,106445.29446107178
2016-03-02,106445.29446107178
2016-03-03,106445.29446107178
2016-03-04,106445.29446107178
2016-03-07,106030.32226815203
2016-03-08,106030.32226815203
2016-03-09,107443.59466262755
2016-03-10,107571.73295904488
2016-03-11,108493.73795518762
2016-03-14,108493.73795518762
2016-03-15,106708.21868862982
2016-03-16,106032.37055461537
2016-03-17,106032.37055461537
2016-03-18,106032.37055461537
2016-03-21,106007.94792673059
2016-03-22,106007.94792673059
2016-03-23,106007.94792673059
2016-03-24,104875.4898996661
2016-03-28,104875.4898996661
2016-03-29,104803.61620782698
2016-03-30,104803.61620782698
2016-03-31,105102.86218507467
2016-04-01,103754.55075380504
2016-04-04,103754.55075380504
2016-04-05,102105.22039311513
2016-04-06,101835.03985948737
2016-04-07,101835.03985948737
2016-04-08,104255.74201456107
2016-04-11,105396.1657477446
2016-04-12,105812.37070062706
2016-04-13,105812.37070062706
2016-04-14,105812.37070062706
2016-04-15,105475.30468908188
2016-04-18,105300.41542245245
2016-04-19,105775.243481115
2016-04-20,105775.243481115
2016-04-21,105640.69780226341
2016-04-22,105302.51615157857
2016-04-25,105175.35060601318
2016-04-26,106406.15281343549
2016-04-27,106406.15281343549
2016-04-28,106406.15281343549
2016-04-29,106566.8106026462
2016-05-02,106135.8610181147
2016-05-03,104412.716960676
2016-05-04,103985.78458569048
2016-05-05,104688.6157263023
2016-05-06,104148.52695198511
2016-05-09,104148.52695198511
2016-05-10,105357.60011238103
2016-05-11,105357.60011238103
