date,equity
2016-01-04,100000.0
2016-01-05,99996.88956870399
2016-01-06,99977.73077049339
2016-01-07,99886.0271668443
2016-01-08,100031.79779474688
2016-01-11,100043.94964462034
2016-01-12,100103.73722238134
2016-01-13,100152.15918842975
2016-01-14,100146.77359555487
2016-01-15,100128.30521585686
2016-01-18,100128.30521585686
2016-01-19,100128.30521585686
2016-01-20,99919.96447074683
2016-01-21,99919.96447074683
2016-01-22,100006.10025099207
2016-01-25,100005.65278343453
2016-01-26,100004.32970961941
2016-01-27,100006.54430478942
2016-01-28,100058.6007756119
2016-01-29,100143.71896774998
2016-02-01,100143.71896774998
2016-02-02,100176.30819712198
2016-02-03,100210.7376242064
2016-02-04,100233.113274296
2016-02-05,100246.04486104002
2016-02-08,100137.85155805213
2016-02-09,100050.33143217428
2016-02-10,100050.33143217428
2016-02-11,99985.5148882416
2016-02-12,99983.14223151159
2016-02-15,99983.14223151159
2016-02-16,99983.14223151159
2016-02-17,99983.14223151159
2016-02-18,99983.14223151159
2016-02-19,99964.48498450468
2016-02-22,99964.48498450468
2016-02-23,99964.48498450468
2016-02-24,99909.5738850466
2016-02-25,99956.66270475459
2016-02-26,99971.56068417859
2016-02-29,99974.10965446518
2016-03-01,100104.50362881138
2016-03-02,100104.50362881138
2016-03-03,100104.50362881138
2016-03-04,100179.15786288699
2016-03-07,100177.12531830501
2016-03-08,100170.98535192749
2016-03-09,100196.43692622925
2016-03-10,100202.60740962416
2016-03-11,100262.58945270379
2016-03-14,100278.71867644778
2016-03-15,100285.33989027578
2016-03-16,100267.60987519908
2016-03-17,100268.26035129908
2016-03-18,100268.06112041108
2016-03-21,100264.72562939106
2016-03-22,100262.69593915076
2016-03-23,100262.69593915076
2016-03-24,100210.82841603163
2016-03-25,100210.82841603163
2016-03-28,100212.15875507762
2016-03-29,100206.55412439985
2016-03-30,100222.84406646185
2016-03-31,100211.80567559566
2016-04-01,100175.09424046362
2016-04-04,100196.96420965562
2016-04-05,100122.46886549723
2016-04-06,100116.0325107281
2016-04-07,100114.92048170809
2016-04-08,100180.80297518632
2016-04-11,100321.4142542394
2016-04-12,100333.44053099967
2016-04-13,100376.24242020767
2016-04-14,100376.24242020767
2016-04-15,100389.38908742812
2016-04-18,100369.4703354333
2016-04-19,100369.4703354333
2016-04-20,100382.7224835614
2016-04-21,100382.7224835614
2016-04-22,100381.37593454213
2016-04-25,100379.51040101534
2016-04-26,100393.82461922088
2016-04-27,100393.85862089084
2016-04-28,100389.69490652083
2016-04-29,100361.61643270675
2016-05-02,100356.47380308037
2016-05-03,100354.06332925436
2016-05-04,100298.88506390728
2016-05-05,100288.64430226535
2016-05-06,100270.04805947126
2016-05-09,100270.04805947126
2016-05-10,100287.602196734
2016-05-11,100299.422539184
2016-05-12,100326.39588974044
2016-05-13,100296.05682048098
2016-05-16,100317.13339704293
2016-05-17,100317.13339704293
2016-05-18,100299.16945322767
2016-05-19,100258.41696486168
2016-05-20,100268.22658955725
2016-05-23,100273.12602121125
2016-05-24,100291.11919753934
2016-05-25,100293.60147024135
2016-05-26,100306.16348023334
2016-05-27,100300.34273395369
2016-05-30,100300.34273395369
2016-05-31,100314.18479689569
2016-06-01,100315.42517601521
2016-06-02,100331.21566878322
2016-06-03,100331.21566878322
2016-06-06,100343.21453866313
2016-06-07,100351.38693646312
2016-06-08,100353.50836142007
2016-06-09,100353.50836142007
2016-06-10,100330.08159715078
2016-06-13,100285.15230875056
2016-06-14,100256.85846003988
2016-06-15,100265.78597558616
2016-06-16,100235.4415106155
2016-06-17,100229.6312116515
2016-06-20,100316.03686650014
2016-06-21,100328.08055559949
2016-06-22,100329.9670978372
2016-06-23,100442.73534791364
2016-06-24,100476.29364340963
2016-06-27,100459.7926682854
2016-06-28,100554.7880531645
2016-06-29,100554.7880531645
2016-06-30,100554.7880531645
2016-07-01,100554.7880531645
2016-07-04,100554.7880531645
2016-07-05,100554.7880531645
2016-07-06,100514.61515024707
2016-07-07,100514.61515024707
2016-07-08,100670.47779272296
2016-07-11,100670.47779272296
2016-07-12,100670.60739009896
2016-07-13,100670.90460585013
2016-07-14,100866.29501748708
2016-07-15,100924.31211376369
2016-07-18,101017.05652478912
2016-07-19,101015.22839438912
2016-07-20,101058.91889495075
2016-07-21,101051.08725712824
2016-07-22,101105.50392302392
2016-07-25,101114.48007014663
2016-07-26,101112.43010038183
2016-07-27,101120.7358773088
2016-07-28,101123.92751865425
2016-07-29,101101.29796879769
2016-08-01,101099.02906632969
2016-08-02,101016.17499664334
2016-08-03,100900.87475538069
2016-08-04,100898.5957275007
2016-08-05,100914.3413572716
2016-08-08,100915.2122918616
2016-08-09,100962.57509636707
2016-08-10,100983.66746180161
2016-08-11,101113.99909877636
2016-08-12,101134.54377744837
2016-08-15,101150.12196755612
2016-08-16,101153.93337567609
2016-08-17,101125.58411655224
2016-08-18,101115.70252919135
2016-08-19,101111.43649339734
2016-08-22,101120.14589612732
2016-08-23,101120.59099993533
2016-08-24,101081.4825933851
2016-08-25,100975.23889655682
2016-08-26,100999.16192991081
2016-08-29,100989.3259614581
2016-08-30,101039.87040065127
2016-08-31,101002.79223249426
