entry_time,exit_time,entry_price,exit_price,stop_price,direction,instrument,basket
2016-01-07 19:25:00-05:00,2016-01-08 04:15:00-05:00,23.75,24.11,,long,EEM,em_regional
2016-01-08 17:50:00-05:00,2016-01-11 04:35:00-05:00,24.05,23.66,,long,EEM,em_regional
2016-01-11 17:05:00-05:00,2016-01-12 04:00:00-05:00,23.51,23.38,,long,EEM,em_regional
2016-01-13 19:25:00-05:00,2016-01-14 04:05:00-05:00,23.29,23.31,,long,EEM,em_regional
2016-01-19 19:30:00-05:00,2016-01-20 04:20:00-05:00,23.0,22.24,,long,EEM,em_regional
2016-01-25 17:00:00-05:00,2016-01-26 04:05:00-05:00,22.95,22.79,,long,EEM,em_regional
2016-02-02 19:35:00-05:00,2016-02-03 05:05:00-05:00,23.33,23.33,,long,EEM,em_regional
2016-02-05 17:30:00-05:00,2016-02-08 04:10:00-05:00,23.8,23.89,,long,EEM,em_regional
2016-02-10 19:45:00-05:00,2016-02-11 04:00:00-05:00,23.33,22.98,,long,EEM,em_regional
2016-02-18 17:55:00-05:00,2016-02-19 04:00:00-05:00,24.32,24.19,,long,EEM,em_regional
2016-02-23 17:25:00-05:00,2016-02-24 04:50:00-05:00,24.07,23.96,,long,EEM,em_regional
2016-02-26 16:55:00-05:00,2016-02-29 05:35:00-05:00,23.94,23.98,,long,EEM,em_regional
2016-03-08 19:55:00-05:00,2016-03-09 04:55:00-05:00,25.67,25.69,,long,EEM,em_regional
2016-03-23 17:25:00-04:00,2016-03-24 04:05:00-04:00,26.66,26.55,,long,EEM,em_regional
2016-04-04 19:45:00-04:00,2016-04-05 04:20:00-04:00,26.8,26.51,,long,EEM,em_regional
2016-04-07 16:40:00-04:00,2016-04-08 04:35:00-04:00,26.15,26.55,,long,EEM,em_regional
2016-04-21 19:40:00-04:00,2016-04-22 06:15:00-04:00,27.63,27.65,,long,EEM,em_regional
2016-04-25 16:50:00-04:00,2016-04-26 08:05:00-04:00,27.42,27.37,,long,EEM,em_regional
2016-05-03 19:30:00-04:00,2016-05-04 04:20:00-04:00,26.57,26.53,,long,EEM,em_regional
2016-05-04 16:35:00-04:00,2016-05-05 06:25:00-04:00,26.19,26.27,,long,EEM,em_regional
2016-05-05 19:45:00-04:00,2016-05-06 04:30:00-04:00,26.07,26.06,,long,EEM,em_regional
