entry_time,exit_time,entry_price,exit_price,stop_price,direction,instrument,basket
2016-01-04 18:40:00-05:00,2016-01-05 07:15:00-05:00,12.01,11.94,,long,EWZ,em_regional
2016-01-07 17:05:00-05:00,2016-01-08 06:00:00-05:00,11.38,11.57,,long,EWZ,em_regional
2016-01-08 16:45:00-05:00,2016-01-11 06:25:00-05:00,11.33,11.47,,long,EWZ,em_regional
2016-01-11 16:15:00-05:00,2016-01-12 07:10:00-05:00,11.22,11.34,,long,EWZ,em_regional
2016-01-12 18:40:00-05:00,2016-01-13 06:50:00-05:00,11.28,11.41,,long,EWZ,em_regional
2016-01-13 16:55:00-05:00,2016-01-14 06:20:00-05:00,10.97,11.0,,long,EWZ,em_regional
2016-01-19 18:50:00-05:00,2016-01-20 04:00:00-05:00,10.79,10.54,,long,EWZ,em_regional
2016-01-21 16:10:00-05:00,2016-01-22 05:30:00-05:00,10.28,10.49,,long,EWZ,em_regional
2016-01-25 19:25:00-05:00,2016-01-26 06:50:00-05:00,10.26,10.48,,long,EWZ,em_regional
2016-02-02 17:30:00-05:00,2016-02-03 05:25:00-05:00,11.09,11.0,,long,EWZ,em_regional
2016-02-05 17:00:00-05:00,2016-02-09 07:05:00-05:00,11.86,11.54,,long,EWZ,em_regional
2016-02-11 16:10:00-05:00,2016-02-12 07:15:00-05:00,11.21,11.35,,long,EWZ,em_regional
2016-02-18 17:05:00-05:00,2016-02-19 07:15:00-05:00,11.68,11.59,,long,EWZ,em_regional
2016-02-23 17:45:00-05:00,2016-02-24 07:05:00-05:00,12.1,11.91,,long,EWZ,em_regional
2016-02-25 16:00:00-05:00,2016-02-26 05:25:00-05:00,12.05,12.24,,long,EWZ,em_regional
2016-02-26 17:05:00-05:00,2016-02-29 07:55:00-05:00,11.91,12.02,,long,EWZ,em_regional
2016-03-09 18:55:00-05:00,2016-03-10 05:50:00-05:00,15.22,15.18,,long,EWZ,em_regional
2016-03-14 19:55:00-04:00,2016-03-15 06:25:00-04:00,14.95,14.9,,long,EWZ,em_regional
2016-03-15 19:25:00-04:00,2016-03-16 07:45:00-04:00,14.15,14.0,,long,EWZ,em_regional
2016-03-23 18:25:00-04:00,2016-03-24 05:20:00-04:00,15.24,15.05,,long,EWZ,em_regional
2016-03-30 19:30:00-04:00,2016-03-31 07:45:00-04:00,15.96,15.89,,long,EWZ,em_regional
2016-03-31 16:15:00-04:00,2016-04-01 08:00:00-04:00,15.68,15.48,,long,EWZ,em_regional
2016-04-04 18:20:00-04:00,2016-04-05 04:00:00-04:00,15.16,15.04,,long,EWZ,em_regional
2016-04-14 17:20:00-04:00,2016-04-15 06:35:00-04:00,16.97,17.02,,long,EWZ,em_regional
2016-04-21 19:35:00-04:00,2016-04-22 05:05:00-04:00,16.62,16.44,,long,EWZ,em_regional
2016-04-25 16:55:00-04:00,2016-04-26 07:20:00-04:00,16.4,16.6,,long,EWZ,em_regional
2016-04-29 17:20:00-04:00,2016-05-02 07:35:00-04:00,17.47,17.22,,long,EWZ,em_regional
2016-05-03 17:25:00-04:00,2016-05-04 04:55:00-04:00,16.47,16.17,,long,EWZ,em_regional
2016-05-05 17:15:00-04:00,2016-05-06 08:10:00-04:00,16.4,16.23,,long,EWZ,em_regional
2016-05-11 19:55:00-04:00,2016-05-12 05:35:00-04:00,17.27,17.46,,long,EWZ,em_regional
2016-05-13 17:35:00-04:00,2016-05-16 06:15:00-04:00,16.47,16.33,,long,EWZ,em_regional
2016-05-17 16:35:00-04:00,2016-05-18 06:40:00-04:00,16.37,16.17,,long,EWZ,em_regional
2016-05-18 18:40:00-04:00,2016-05-19 04:00:00-04:00,15.88,15.79,,long,EWZ,em_regional
2016-05-24 16:05:00-04:00,2016-05-25 04:30:00-04:00,15.52,15.57,,long,EWZ,em_regional
2016-05-25 17:00:00-04:00,2016-05-26 04:15:00-04:00,15.51,15.72,,long,EWZ,em_regional
2016-05-26 17:20:00-04:00,2016-05-27 08:00:00-04:00,15.62,15.51,,long,EWZ,em_regional
2016-05-27 17:55:00-04:00,2016-05-31 08:05:00-04:00,15.28,15.34,,long,EWZ,em_regional
2016-05-31 17:55:00-04:00,2016-06-01 08:00:00-04:00,15.09,15.03,,long,EWZ,em_regional
2016-06-09 16:55:00-04:00,2016-06-10 05:05:00-04:00,16.89,16.69,,long,EWZ,em_regional
2016-06-10 16:25:00-04:00,2016-06-13 06:05:00-04:00,16.17,15.7,,long,EWZ,em_regional
2016-06-14 17:05:00-04:00,2016-06-15 08:05:00-04:00,15.74,15.86,,long,EWZ,em_regional
2016-06-22 19:50:00-04:00,2016-06-23 08:00:00-04:00,16.7,17.12,,long,EWZ,em_regional
2016-06-27 16:20:00-04:00,2016-06-28 08:00:00-04:00,16.36,16.67,,long,EWZ,em_regional
2016-07-05 16:40:00-04:00,2016-07-06 07:10:00-04:00,17.65,17.45,,long,EWZ,em_regional
2016-07-07 19:20:00-04:00,2016-07-08 08:00:00-04:00,17.48,17.4,,long,EWZ,em_regional
2016-07-12 16:45:00-04:00,2016-07-13 08:00:00-04:00,18.43,18.44,,long,EWZ,em_regional
2016-07-21 18:35:00-04:00,2016-07-22 07:05:00-04:00,19.42,19.42,,long,EWZ,em_regional
2016-07-25 16:20:00-04:00,2016-07-26 08:05:00-04:00,19.38,19.44,,long,EWZ,em_regional
2016-08-01 16:15:00-04:00,2016-08-02 07:05:00-04:00,19.46,19.42,,long,EWZ,em_regional
2016-08-02 17:00:00-04:00,2016-08-03 08:15:00-04:00,19.35,19.24,,long,EWZ,em_regional
2016-08-10 16:10:00-04:00,2016-08-11 08:00:00-04:00,20.38,20.34,,long,EWZ,em_regional
2016-08-16 19:50:00-04:00,2016-08-17 07:55:00-04:00,20.56,20.48,,long,EWZ,em_regional
2016-08-18 16:45:00-04:00,2016-08-19 08:05:00-04:00,20.45,20.32,,long,EWZ,em_regional
2016-08-22 17:00:00-04:00,2016-08-23 05:35:00-04:00,20.16,20.18,,long,EWZ,em_regional
2016-08-23 17:15:00-04:00,2016-08-24 07:00:00-04:00,19.97,20.02,,long,EWZ,em_regional
2016-08-25 19:55:00-04:00,2016-08-26 09:20:00-04:00,19.98,20.15,,long,EWZ,em_regional
2016-08-26 17:25:00-04:00,2016-08-29 08:30:00-04:00,19.71,19.66,,long,EWZ,em_regional
2016-08-31 19:40:00-04:00,2016-09-01 08:25:00-04:00,19.93,20.08,,long,EWZ,em_regional
2016-09-09 16:25:00-04:00,2016-09-12 05:10:00-04:00,19.75,19.49,,long,EWZ,em_regional
2016-09-13 17:05:00-04:00,2016-09-14 07:55:00-04:00,19.13,19.39,,long,EWZ,em_regional
2016-09-19 16:40:00-04:00,2016-09-20 08:00:00-04:00,19.63,19.76,,long,EWZ,em_regional
2016-09-20 16:45:00-04:00,2016-09-21 07:35:00-04:00,19.78,20.03,,long,EWZ,em_regional
2016-09-22 16:40:00-04:00,2016-09-23 08:00:00-04:00,20.49,20.48,,long,EWZ,em_regional
2016-09-23 17:55:00-04:00,2016-09-26 07:40:00-04:00,20.3,20.04,,long,EWZ,em_regional
2016-09-26 19:40:00-04:00,2016-09-27 04:00:00-04:00,20.01,19.92,,long,EWZ,em_regional
2016-09-29 17:05:00-04:00,2016-09-30 08:10:00-04:00,20.04,20.11,,long,EWZ,em_regional
2016-09-30 17:20:00-04:00,2016-10-03 07:55:00-04:00,20.04,20.16,,long,EWZ,em_regional
2016-10-04 16:30:00-04:00,2016-10-05 08:00:00-04:00,20.39,20.34,,long,EWZ,em_regional
2016-10-14 16:15:00-04:00,2016-10-17 06:55:00-04:00,21.51,21.51,,long,EWZ,em_regional
2016-10-19 19:50:00-04:00,2016-10-20 05:40:00-04:00,21.99,22.0,,long,EWZ,em_regional
2016-10-24 19:15:00-04:00,2016-10-25 07:30:00-04:00,22.76,22.85,,long,EWZ,em_regional
2016-10-27 16:15:00-04:00,2016-10-28 07:45:00-04:00,22.57,22.36,,long,EWZ,em_regional
2016-10-28 17:15:00-04:00,2016-10-31 07:10:00-04:00,22.38,22.42,,long,EWZ,em_regional
2016-11-01 16:55:00-04:00,2016-11-02 07:15:00-04:00,21.78,21.58,,long,EWZ,em_regional
2016-11-02 19:45:00-04:00,2016-11-03 07:05:00-04:00,21.44,21.6,,long,EWZ,em_regional
2016-11-03 19:15:00-04:00,2016-11-04 06:15:00-04:00,21.22,20.93,,long,EWZ,em_regional
2016-11-10 19:20:00-05:00,2016-11-11 06:10:00-05:00,19.99,19.12,,long,EWZ,em_regional
2016-11-17 17:25:00-05:00,2016-11-18 06:00:00-05:00,19.35,19.15,,long,EWZ,em_regional
2016-11-18 16:20:00-05:00,2016-11-21 07:05:00-05:00,19.47,19.93,,long,EWZ,em_regional
2016-11-22 17:35:00-05:00,2016-11-23 07:00:00-05:00,20.27,20.15,,long,EWZ,em_regional
2016-11-29 16:50:00-05:00,2016-11-30 06:10:00-05:00,19.85,20.0,,long,EWZ,em_regional
2016-11-30 17:25:00-05:00,2016-12-01 06:40:00-05:00,20.01,19.72,,long,EWZ,em_regional
2016-12-01 17:55:00-05:00,2016-12-02 04:00:00-05:00,18.8,18.62,,long,EWZ,em_regional
2016-12-12 16:05:00-05:00,2016-12-13 06:00:00-05:00,19.38,19.39,,long,EWZ,em_regional
2016-12-14 16:35:00-05:00,2016-12-15 06:05:00-05:00,18.8,18.76,,long,EWZ,em_regional
2016-12-16 17:20:00-05:00,2016-12-19 08:25:00-05:00,18.84,19.03,,long,EWZ,em_regional
2016-12-19 18:10:00-05:00,2016-12-20 06:10:00-05:00,18.59,18.65,,long,EWZ,em_regional
2016-12-21 16:05:00-05:00,2016-12-22 07:45:00-05:00,18.89,18.93,,long,EWZ,em_regional
2016-12-30 17:05:00-05:00,2017-01-03 07:00:00-05:00,20.15,20.19,,long,EWZ,em_regional
2017-01-06 17:15:00-05:00,2017-01-09 08:05:00-05:00,21.07,21.02,,long,EWZ,em_regional
2017-01-09 16:50:00-05:00,2017-01-10 06:50:00-05:00,21.08,21.41,,long,EWZ,em_regional
2017-01-18 19:45:00-05:00,2017-01-19 08:05:00-05:00,21.59,21.83,,long,EWZ,em_regional
2017-01-30 16:10:00-05:00,2017-01-31 07:25:00-05:00,22.43,22.58,,long,EWZ,em_regional
2017-01-31 16:10:00-05:00,2017-02-01 07:10:00-05:00,22.32,22.65,,long,EWZ,em_regional
2017-02-06 16:25:00-05:00,2017-02-07 06:30:00-05:00,22.42,22.48,,long,EWZ,em_regional
2017-02-16 19:35:00-05:00,2017-02-17 07:10:00-05:00,23.83,23.83,,long,EWZ,em_regional
2017-02-23 16:45:00-05:00,2017-02-24 07:00:00-05:00,23.94,23.48,,long,EWZ,em_regional
2017-02-24 17:40:00-05:00,2017-02-27 08:10:00-05:00,23.28,23.22,,long,EWZ,em_regional
2017-02-28 16:40:00-05:00,2017-03-01 09:00:00-05:00,22.84,23.18,,long,EWZ,em_regional
2017-03-02 17:05:00-05:00,2017-03-03 07:20:00-05:00,22.64,22.76,,long,EWZ,em_regional
2017-03-06 17:50:00-05:00,2017-03-07 08:55:00-05:00,23.05,23.29,,long,EWZ,em_regional
2017-03-07 16:40:00-05:00,2017-03-08 08:00:00-05:00,22.96,22.85,,long,EWZ,em_regional
2017-03-08 18:15:00-05:00,2017-03-09 04:20:00-05:00,22.39,22.28,,long,EWZ,em_regional
2017-03-09 19:40:00-05:00,2017-03-10 07:10:00-05:00,21.97,22.28,,long,EWZ,em_regional
2017-03-14 19:50:00-04:00,2017-03-15 08:20:00-04:00,22.25,22.33,,long,EWZ,em_regional
2017-03-16 16:20:00-04:00,2017-03-17 08:25:00-04:00,22.88,22.96,,long,EWZ,em_regional
2017-03-17 17:35:00-04:00,2017-03-20 08:00:00-04:00,22.59,22.59,,long,EWZ,em_regional
2017-03-21 19:55:00-04:00,2017-03-22 07:55:00-04:00,22.26,22.16,,long,EWZ,em_regional
2017-03-30 17:55:00-04:00,2017-03-31 04:30:00-04:00,22.64,22.61,,long,EWZ,em_regional
2017-04-05 19:10:00-04:00,2017-04-06 07:55:00-04:00,22.63,22.67,,long,EWZ,em_regional
2017-04-06 17:15:00-04:00,2017-04-07 07:25:00-04:00,22.32,22.28,,long,EWZ,em_regional
2017-04-11 16:30:00-04:00,2017-04-12 04:25:00-04:00,22.44,22.94,,long,EWZ,em_regional
2017-04-13 18:30:00-04:00,2017-04-17 05:30:00-04:00,21.86,21.78,,long,EWZ,em_regional
2017-04-19 16:15:00-04:00,2017-04-20 07:35:00-04:00,22.03,22.22,,long,EWZ,em_regional
2017-04-20 16:10:00-04:00,2017-04-21 09:25:00-04:00,22.02,22.04,,long,EWZ,em_regional
2017-04-21 17:40:00-04:00,2017-04-24 04:00:00-04:00,21.89,22.25,,long,EWZ,em_regional
2017-04-27 16:55:00-04:00,2017-04-28 08:00:00-04:00,22.24,22.25,,long,EWZ,em_regional
2017-05-03 16:30:00-04:00,2017-05-04 08:25:00-04:00,22.9,22.68,,long,EWZ,em_regional
2017-05-04 16:25:00-04:00,2017-05-05 08:00:00-04:00,22.38,22.3,,long,EWZ,em_regional
2017-05-08 16:35:00-04:00,2017-05-09 08:05:00-04:00,22.46,22.7,,long,EWZ,em_regional
2017-05-17 19:55:00-04:00,2017-05-18 04:00:00-04:00,21.01,21.96,,long,EWZ,em_regional
2017-05-25 17:20:00-04:00,2017-05-26 08:20:00-04:00,21.15,21.23,,long,EWZ,em_regional
2017-05-31 18:00:00-04:00,2017-06-01 08:10:00-04:00,21.3,21.39,,long,EWZ,em_regional
2017-06-01 16:45:00-04:00,2017-06-02 07:45:00-04:00,21.15,21.21,,long,EWZ,em_regional
2017-06-02 17:45:00-04:00,2017-06-05 07:05:00-04:00,21.24,21.16,,long,EWZ,em_regional
2017-06-09 16:45:00-04:00,2017-06-12 06:35:00-04:00,20.7,20.67,,long,EWZ,em_regional
2017-06-12 18:35:00-04:00,2017-06-13 07:55:00-04:00,20.46,20.47,,long,EWZ,em_regional
2017-06-20 18:25:00-04:00,2017-06-21 08:00:00-04:00,19.98,20.08,,long,EWZ,em_regional
2017-06-21 17:20:00-04:00,2017-06-22 08:20:00-04:00,20.07,20.21,,long,EWZ,em_regional
2017-06-27 19:15:00-04:00,2017-06-28 08:00:00-04:00,20.59,20.44,,long,EWZ,em_regional
2017-07-06 16:50:00-04:00,2017-07-07 04:00:00-04:00,20.68,20.72,,long,EWZ,em_regional
2017-07-07 16:05:00-04:00,2017-07-10 08:00:00-04:00,20.78,20.79,,long,EWZ,em_regional
2017-07-21 16:45:00-04:00,2017-07-24 06:55:00-04:00,22.61,23.05,,long,EWZ,em_regional
2017-07-25 16:20:00-04:00,2017-07-26 08:20:00-04:00,22.65,22.7,,long,EWZ,em_regional
2017-07-27 18:10:00-04:00,2017-07-28 09:10:00-04:00,22.61,22.59,,long,EWZ,em_regional
2017-08-10 17:55:00-04:00,2017-08-11 06:15:00-04:00,22.94,22.83,,long,EWZ,em_regional
2017-08-17 19:25:00-04:00,2017-08-18 08:00:00-04:00,23.31,23.45,,long,EWZ,em_regional
2017-08-21 19:45:00-04:00,2017-08-22 08:00:00-04:00,23.95,23.89,,long,EWZ,em_regional
2017-08-31 16:50:00-04:00,2017-09-01 08:05:00-04:00,24.34,24.54,,long,EWZ,em_regional
2017-09-05 19:50:00-04:00,2017-09-06 08:00:00-04:00,25.0,25.21,,long,EWZ,em_regional
2017-09-08 17:15:00-04:00,2017-09-11 04:50:00-04:00,25.68,25.72,,long,EWZ,em_regional
2017-09-21 16:00:00-04:00,2017-09-22 07:10:00-04:00,26.06,26.05,,long,EWZ,em_regional
2017-09-25 17:25:00-04:00,2017-09-26 07:50:00-04:00,25.5,25.5,,long,EWZ,em_regional
