entry_time,exit_time,entry_price,exit_price,stop_price,direction,instrument,basket
2016-01-05 19:50:00-05:00,2016-01-06 04:05:00-05:00,139.63,138.25,,long,DIA,us_equity_broad
2016-01-07 19:55:00-05:00,2016-01-08 04:05:00-05:00,134.43,135.95,,long,DIA,us_equity_broad
2016-01-08 16:55:00-05:00,2016-01-11 04:35:00-05:00,132.77,133.15,,long,DIA,us_equity_broad
2016-01-11 19:40:00-05:00,2016-01-12 06:00:00-05:00,133.56,134.24,,long,DIA,us_equity_broad
2016-01-12 19:55:00-05:00,2016-01-13 04:10:00-05:00,134.38,135.15,,long,DIA,us_equity_broad
2016-01-13 19:50:00-05:00,2016-01-14 05:45:00-05:00,131.59,131.47,,long,DIA,us_equity_broad
2016-01-19 19:10:00-05:00,2016-01-20 04:00:00-05:00,129.42,127.49,,long,DIA,us_equity_broad
2016-01-22 17:15:00-05:00,2016-01-25 07:50:00-05:00,130.74,130.69,,long,DIA,us_equity_broad
2016-01-25 19:55:00-05:00,2016-01-26 06:00:00-05:00,128.98,129.1,,long,DIA,us_equity_broad
2016-01-27 19:55:00-05:00,2016-01-28 04:00:00-05:00,129.42,130.43,,long,DIA,us_equity_broad
2016-01-28 19:50:00-05:00,2016-01-29 04:05:00-05:00,130.64,131.86,,long,DIA,us_equity_broad
2016-02-02 19:45:00-05:00,2016-02-03 07:10:00-05:00,131.24,132.04,,long,DIA,us_equity_broad
2016-02-05 17:35:00-05:00,2016-02-08 07:00:00-05:00,131.74,130.49,,long,DIA,us_equity_broad
2016-02-10 19:55:00-05:00,2016-02-11 04:00:00-05:00,129.06,128.75,,long,DIA,us_equity_broad
2016-02-18 19:55:00-05:00,2016-02-19 06:15:00-05:00,133.89,133.87,,long,DIA,us_equity_broad
2016-02-23 19:55:00-05:00,2016-02-24 07:15:00-05:00,134.05,132.85,,long,DIA,us_equity_broad
2016-02-26 17:35:00-05:00,2016-02-29 07:05:00-05:00,135.79,135.59,,long,DIA,us_equity_broad
2016-02-29 19:55:00-05:00,2016-03-01 06:20:00-05:00,134.92,136.04,,long,DIA,us_equity_broad
