entry_time,exit_time,entry_price,exit_price,stop_price,direction,instrument,basket
2016-01-07 19:55:00-05:00,2016-01-08 04:00:00-05:00,165.07,167.03,,long,SPY,us_equity_broad
2016-01-08 17:55:00-05:00,2016-01-11 04:00:00-05:00,163.38,164.37,,long,SPY,us_equity_broad
2016-01-11 19:55:00-05:00,2016-01-12 04:00:00-05:00,163.77,163.12,,long,SPY,us_equity_broad
2016-01-12 19:55:00-05:00,2016-01-13 04:00:00-05:00,165.08,165.82,,long,SPY,us_equity_broad
2016-01-13 19:55:00-05:00,2016-01-14 04:00:00-05:00,160.75,160.82,,long,SPY,us_equity_broad
2016-01-19 19:55:00-05:00,2016-01-20 04:00:00-05:00,159.41,156.66,,long,SPY,us_equity_broad
2016-01-25 19:55:00-05:00,2016-01-26 04:00:00-05:00,159.4,158.76,,long,SPY,us_equity_broad
2016-01-27 19:55:00-05:00,2016-01-28 04:00:00-05:00,159.84,161.47,,long,SPY,us_equity_broad
2016-01-28 19:55:00-05:00,2016-01-29 04:00:00-05:00,160.45,161.83,,long,SPY,us_equity_broad
2016-02-02 19:55:00-05:00,2016-02-03 04:00:00-05:00,161.68,162.54,,long,SPY,us_equity_broad
2016-02-03 19:55:00-05:00,2016-02-04 04:00:00-05:00,162.8,163.23,,long,SPY,us_equity_broad
2016-02-05 18:00:00-05:00,2016-02-08 04:00:00-05:00,159.8,160.1,,long,SPY,us_equity_broad
2016-02-08 19:55:00-05:00,2016-02-09 04:00:00-05:00,157.47,157.91,,long,SPY,us_equity_broad
2016-02-10 19:55:00-05:00,2016-02-11 04:00:00-05:00,156.55,155.26,,long,SPY,us_equity_broad
2016-02-18 19:55:00-05:00,2016-02-19 04:00:00-05:00,163.41,164.09,,long,SPY,us_equity_broad
2016-02-23 19:55:00-05:00,2016-02-24 04:00:00-05:00,163.47,163.46,,long,SPY,us_equity_broad
2016-02-26 17:50:00-05:00,2016-02-29 04:00:00-05:00,165.81,165.05,,long,SPY,us_equity_broad
2016-02-29 19:55:00-05:00,2016-03-01 04:00:00-05:00,164.48,165.64,,long,SPY,us_equity_broad
2016-03-08 19:55:00-05:00,2016-03-09 04:00:00-05:00,169.08,169.28,,long,SPY,us_equity_broad
2016-03-10 19:55:00-05:00,2016-03-11 04:00:00-05:00,169.91,171.17,,long,SPY,us_equity_broad
2016-03-23 19:55:00-04:00,2016-03-24 04:00:00-04:00,173.01,172.68,,long,SPY,us_equity_broad
2016-03-28 19:55:00-04:00,2016-03-29 04:00:00-04:00,172.97,173.25,,long,SPY,us_equity_broad
2016-03-30 19:55:00-04:00,2016-03-31 04:00:00-04:00,175.24,174.91,,long,SPY,us_equity_broad
2016-03-31 19:55:00-04:00,2016-04-01 04:00:00-04:00,175.11,174.52,,long,SPY,us_equity_broad
2016-04-04 19:55:00-04:00,2016-04-05 04:00:00-04:00,175.17,174.7,,long,SPY,us_equity_broad
2016-04-05 19:55:00-04:00,2016-04-06 04:00:00-04:00,174.28,174.43,,long,SPY,us_equity_broad
2016-04-07 19:55:00-04:00,2016-04-08 04:00:00-04:00,173.17,174.5,,long,SPY,us_equity_broad
