entry_time,exit_time,entry_price,exit_price,stop_price,direction,instrument,basket
2016-01-07 19:55:00-05:00,2016-01-08 08:30:00-05:00,149.6,151.09,,long,VOO,us_equity_broad
2016-01-08 17:50:00-05:00,2016-01-11 08:00:00-05:00,148.2,148.51,,long,VOO,us_equity_broad
2016-01-11 19:25:00-05:00,2016-01-12 04:00:00-05:00,148.3,148.28,,long,VOO,us_equity_broad
2016-01-12 19:45:00-05:00,2016-01-13 08:30:00-05:00,149.43,150.15,,long,VOO,us_equity_broad
2016-01-13 18:20:00-05:00,2016-01-14 08:00:00-05:00,145.96,146.38,,long,VOO,us_equity_broad
2016-01-19 17:15:00-05:00,2016-01-20 07:15:00-05:00,144.71,142.03,,long,VOO,us_equity_broad
2016-01-25 16:15:00-05:00,2016-01-26 07:50:00-05:00,144.71,144.97,,long,VOO,us_equity_broad
2016-01-27 18:30:00-05:00,2016-01-28 08:15:00-05:00,145.37,145.57,,long,VOO,us_equity_broad
2016-01-28 18:00:00-05:00,2016-01-29 08:00:00-05:00,145.4,146.91,,long,VOO,us_equity_broad
2016-02-02 16:30:00-05:00,2016-02-03 07:25:00-05:00,146.74,147.24,,long,VOO,us_equity_broad
2016-02-03 16:00:00-05:00,2016-02-04 08:50:00-05:00,147.56,146.65,,long,VOO,us_equity_broad
2016-02-05 16:05:00-05:00,2016-02-08 04:55:00-05:00,145.07,143.04,,long,VOO,us_equity_broad
2016-02-08 19:55:00-05:00,2016-02-09 08:35:00-05:00,142.5,141.69,,long,VOO,us_equity_broad
2016-02-10 19:45:00-05:00,2016-02-11 04:00:00-05:00,142.19,140.91,,long,VOO,us_equity_broad
2016-02-18 19:05:00-05:00,2016-02-19 05:30:00-05:00,148.26,148.56,,long,VOO,us_equity_broad
2016-02-23 18:35:00-05:00,2016-02-24 09:15:00-05:00,148.21,146.99,,long,VOO,us_equity_broad
2016-02-26 17:20:00-05:00,2016-02-29 08:35:00-05:00,150.38,150.63,,long,VOO,us_equity_broad
2016-02-29 19:55:00-05:00,2016-03-01 04:35:00-05:00,149.08,150.07,,long,VOO,us_equity_broad
2016-03-08 18:20:00-05:00,2016-03-09 04:20:00-05:00,153.3,154.0,,long,VOO,us_equity_broad
2016-03-10 18:30:00-05:00,2016-03-11 07:30:00-05:00,154.08,155.38,,long,VOO,us_equity_broad
2016-03-23 16:00:00-04:00,2016-03-24 05:25:00-04:00,157.76,157.17,,long,VOO,us_equity_broad
2016-03-28 16:00:00-04:00,2016-03-29 06:30:00-04:00,157.71,157.45,,long,VOO,us_equity_broad
2016-03-30 19:25:00-04:00,2016-03-31 07:15:00-04:00,159.74,159.82,,long,VOO,us_equity_broad
2016-03-31 16:05:00-04:00,2016-04-01 08:00:00-04:00,159.57,158.86,,long,VOO,us_equity_broad
2016-04-04 18:30:00-04:00,2016-04-05 04:30:00-04:00,159.7,158.57,,long,VOO,us_equity_broad
2016-04-05 16:45:00-04:00,2016-04-06 09:20:00-04:00,158.7,158.54,,long,VOO,us_equity_broad
2016-04-07 19:00:00-04:00,2016-04-08 06:45:00-04:00,158.0,159.03,,long,VOO,us_equity_broad
2016-04-08 16:00:00-04:00,2016-04-11 09:20:00-04:00,158.65,159.48,,long,VOO,us_equity_broad
2016-04-11 19:55:00-04:00,2016-04-12 04:05:00-04:00,158.03,158.13,,long,VOO,us_equity_broad
2016-04-14 18:05:00-04:00,2016-04-15 08:00:00-04:00,161.47,161.09,,long,VOO,us_equity_broad
2016-04-15 17:20:00-04:00,2016-04-18 06:25:00-04:00,161.28,161.0,,long,VOO,us_equity_broad
2016-04-21 19:25:00-04:00,2016-04-22 07:00:00-04:00,161.74,162.17,,long,VOO,us_equity_broad
2016-04-26 19:15:00-04:00,2016-04-27 08:20:00-04:00,161.96,161.99,,long,VOO,us_equity_broad
2016-04-28 19:55:00-04:00,2016-04-29 08:25:00-04:00,161.22,160.99,,long,VOO,us_equity_broad
2016-04-29 16:00:00-04:00,2016-05-02 07:55:00-04:00,160.27,160.52,,long,VOO,us_equity_broad
2016-05-03 19:40:00-04:00,2016-05-04 05:00:00-04:00,160.15,159.39,,long,VOO,us_equity_broad
2016-05-05 18:50:00-04:00,2016-05-06 05:35:00-04:00,158.64,158.77,,long,VOO,us_equity_broad
2016-05-11 19:00:00-04:00,2016-05-12 07:00:00-04:00,160.22,160.99,,long,VOO,us_equity_broad
2016-05-12 16:40:00-04:00,2016-05-13 08:30:00-04:00,160.18,159.96,,long,VOO,us_equity_broad
2016-05-13 16:00:00-04:00,2016-05-16 07:15:00-04:00,158.9,159.02,,long,VOO,us_equity_broad
2016-05-17 16:50:00-04:00,2016-05-18 08:40:00-04:00,159.03,158.47,,long,VOO,us_equity_broad
2016-05-23 16:40:00-04:00,2016-05-24 08:25:00-04:00,159.08,159.99,,long,VOO,us_equity_broad
2016-05-26 18:20:00-04:00,2016-05-27 09:10:00-04:00,162.62,162.63,,long,VOO,us_equity_broad
2016-05-31 18:50:00-04:00,2016-06-01 05:20:00-04:00,163.0,162.76,,long,VOO,us_equity_broad
2016-06-10 17:15:00-04:00,2016-06-13 07:35:00-04:00,163.17,162.72,,long,VOO,us_equity_broad
2016-06-13 18:40:00-04:00,2016-06-14 04:40:00-04:00,161.35,161.11,,long,VOO,us_equity_broad
2016-06-15 18:20:00-04:00,2016-06-16 04:15:00-04:00,161.02,160.66,,long,VOO,us_equity_broad
2016-06-17 17:40:00-04:00,2016-06-20 05:30:00-04:00,160.73,162.84,,long,VOO,us_equity_broad
2016-06-20 19:55:00-04:00,2016-06-21 08:30:00-04:00,162.36,162.6,,long,VOO,us_equity_broad
2016-06-22 19:05:00-04:00,2016-06-23 05:05:00-04:00,163.04,163.57,,long,VOO,us_equity_broad
