entry_time,exit_time,entry_price,exit_price,stop_price,direction,instrument,basket
2016-01-20 16:00:00-05:00,2016-01-22 09:25:00-05:00,48.8,49.49,,long,DVY,us_factor
2016-01-25 16:00:00-05:00,2016-01-29 09:25:00-05:00,49.08,50.5,,long,DVY,us_factor
2016-02-02 16:00:00-05:00,2016-02-04 08:10:00-05:00,51.01,51.56,,long,DVY,us_factor
2016-02-04 16:25:00-05:00,2016-02-05 08:30:00-05:00,51.59,51.48,,long,DVY,us_factor
2016-02-05 16:00:00-05:00,2016-02-08 08:00:00-05:00,51.41,51.37,,long,DVY,us_factor
2016-02-11 16:00:00-05:00,2016-02-25 09:25:00-05:00,50.57,53.06,,long,DVY,us_factor
2016-03-30 16:00:00-04:00,2016-04-04 08:40:00-04:00,56.66,57.03,,long,DVY,us_factor
2016-04-04 16:00:00-04:00,2016-04-06 08:00:00-04:00,56.62,56.21,,long,DVY,us_factor
2016-04-14 16:00:00-04:00,2016-04-20 08:00:00-04:00,56.65,57.55,,long,DVY,us_factor
2016-04-20 16:00:00-04:00,2016-05-31 09:25:00-04:00,56.91,57.55,,long,DVY,us_factor
2016-05-31 16:10:00-04:00,2016-06-06 08:00:00-04:00,57.61,58.14,,long,DVY,us_factor
2016-06-10 16:40:00-04:00,2016-06-17 08:40:00-04:00,58.47,58.14,,long,DVY,us_factor
2016-06-21 18:40:00-04:00,2016-06-22 08:05:00-04:00,58.67,58.67,,long,DVY,us_factor
2016-06-22 16:00:00-04:00,2016-06-23 09:25:00-04:00,58.5,58.88,,long,DVY,us_factor
2016-06-27 19:35:00-04:00,2016-07-08 08:20:00-04:00,56.89,59.9,,long,DVY,us_factor
2016-07-20 16:00:00-04:00,2016-07-25 08:00:00-04:00,60.9,61.18,,long,DVY,us_factor
2016-07-25 16:00:00-04:00,2016-08-19 08:00:00-04:00,60.92,61.07,,long,DVY,us_factor
2016-08-19 16:00:00-04:00,2016-08-22 08:45:00-04:00,60.79,60.83,,long,DVY,us_factor
2016-08-22 16:00:00-04:00,2016-08-29 09:00:00-04:00,60.73,60.23,,long,DVY,us_factor
2016-09-09 17:10:00-04:00,2016-09-12 07:35:00-04:00,59.37,58.67,,long,DVY,us_factor
2016-09-26 17:20:00-04:00,2016-09-30 08:25:00-04:00,60.38,60.27,,long,DVY,us_factor
2016-10-04 16:25:00-04:00,2016-10-07 08:05:00-04:00,59.39,59.58,,long,DVY,us_factor
2016-10-07 16:00:00-04:00,2016-10-12 08:25:00-04:00,59.37,59.0,,long,DVY,us_factor
