entry_time,exit_time,entry_price,exit_price,stop_price,direction,instrument,basket
2016-01-08 16:00:00-05:00,2016-01-11 07:05:00-05:00,21.36,21.36,,long,IWF,us_factor
2016-01-11 16:00:00-05:00,2016-01-12 09:05:00-05:00,21.36,21.66,,long,IWF,us_factor
2016-02-23 16:00:00-05:00,2016-02-29 09:25:00-05:00,21.28,21.65,,long,IWF,us_factor
2016-02-29 16:00:00-05:00,2016-03-04 08:35:00-05:00,21.43,22.16,,long,IWF,us_factor
2016-03-30 16:00:00-04:00,2016-04-13 07:15:00-04:00,22.9,23.16,,long,IWF,us_factor
2016-04-21 16:15:00-04:00,2016-04-28 08:30:00-04:00,23.09,22.99,,long,IWF,us_factor
2016-04-28 16:00:00-04:00,2016-05-19 08:50:00-04:00,22.82,22.46,,long,IWF,us_factor
2016-06-13 16:00:00-04:00,2016-07-15 09:25:00-04:00,22.91,23.96,,long,IWF,us_factor
2016-07-15 16:05:00-04:00,2016-08-12 09:25:00-04:00,23.78,24.28,,long,IWF,us_factor
2016-09-13 16:00:00-04:00,2016-09-15 08:30:00-04:00,23.53,23.7,,long,IWF,us_factor
2016-09-19 16:00:00-04:00,2016-09-22 08:20:00-04:00,23.75,24.12,,long,IWF,us_factor
2016-11-10 16:00:00-05:00,2016-11-11 09:15:00-05:00,23.72,23.67,,long,IWF,us_factor
2017-02-28 16:10:00-05:00,2017-03-01 09:05:00-05:00,26.14,26.35,,long,IWF,us_factor
2017-03-10 16:00:00-05:00,2017-03-13 09:25:00-04:00,26.35,26.33,,long,IWF,us_factor
2017-03-14 16:25:00-04:00,2017-03-23 09:15:00-04:00,26.32,26.38,,long,IWF,us_factor
2017-03-23 16:10:00-04:00,2017-03-24 08:45:00-04:00,26.19,26.28,,long,IWF,us_factor
2017-03-24 16:00:00-04:00,2017-03-27 08:40:00-04:00,26.22,25.99,,long,IWF,us_factor
2017-04-03 16:00:00-04:00,2017-04-05 08:35:00-04:00,26.41,26.44,,long,IWF,us_factor
2017-04-05 16:00:00-04:00,2017-04-07 08:55:00-04:00,26.29,26.33,,long,IWF,us_factor
2017-04-10 16:05:00-04:00,2017-04-11 08:50:00-04:00,26.4,26.38,,long,IWF,us_factor
2017-04-28 16:00:00-04:00,2017-05-10 08:30:00-04:00,27.05,27.31,,long,IWF,us_factor
2017-06-05 16:05:00-04:00,2017-06-07 09:25:00-04:00,28.13,28.09,,long,IWF,us_factor
2017-06-26 16:00:00-04:00,2017-07-06 08:00:00-04:00,28.03,27.66,,long,IWF,us_factor
2017-07-06 16:00:00-04:00,2017-07-11 09:20:00-04:00,27.49,27.79,,long,IWF,us_factor
2017-08-03 16:00:00-04:00,2017-08-10 09:05:00-04:00,28.46,28.45,,long,IWF,us_factor
2017-08-10 16:00:00-04:00,2017-08-14 09:20:00-04:00,28.08,28.37,,long,IWF,us_factor
2017-09-01 16:10:00-04:00,2017-09-05 08:00:00-04:00,28.94,28.9,,long,IWF,us_factor
2017-09-05 16:00:00-04:00,2017-09-11 09:25:00-04:00,28.76,28.98,,long,IWF,us_factor
2017-10-24 16:00:00-04:00,2017-10-25 08:55:00-04:00,30.01,29.97,,long,IWF,us_factor
2017-10-25 16:35:00-04:00,2017-10-27 09:15:00-04:00,29.93,30.14,,long,IWF,us_factor
2017-10-30 16:00:00-04:00,2017-11-01 09:25:00-04:00,30.34,30.53,,long,IWF,us_factor
2017-11-01 16:55:00-04:00,2017-11-02 08:55:00-04:00,30.39,30.41,,long,IWF,us_factor
2017-11-07 16:00:00-05:00,2017-11-08 08:10:00-05:00,30.65,30.64,,long,IWF,us_factor
2017-11-15 19:35:00-05:00,2017-11-17 08:40:00-05:00,30.43,30.68,,long,IWF,us_factor
2017-11-17 16:05:00-05:00,2017-11-27 09:25:00-05:00,30.64,31.11,,long,IWF,us_factor
2017-11-27 16:00:00-05:00,2017-11-29 09:05:00-05:00,31.1,31.31,,long,IWF,us_factor
2017-11-29 16:00:00-05:00,2017-11-30 08:45:00-05:00,31.02,31.12,,long,IWF,us_factor
2017-12-01 16:00:00-05:00,2017-12-04 09:10:00-05:00,31.2,31.39,,long,IWF,us_factor
2017-12-04 16:00:00-05:00,2017-12-05 09:15:00-05:00,31.0,31.04,,long,IWF,us_factor
2017-12-05 16:00:00-05:00,2017-12-06 06:45:00-05:00,30.96,30.95,,long,IWF,us_factor
2017-12-19 16:10:00-05:00,2017-12-20 08:15:00-05:00,31.79,31.78,,long,IWF,us_factor
2017-12-20 16:05:00-05:00,2017-12-22 08:40:00-05:00,31.74,31.75,,long,IWF,us_factor
2017-12-22 16:00:00-05:00,2017-12-29 08:20:00-05:00,31.7,31.75,,long,IWF,us_factor
2017-12-29 16:05:00-05:00,2018-01-02 09:05:00-05:00,31.54,31.7,,long,IWF,us_factor
2018-01-16 17:10:00-05:00,2018-01-17 08:45:00-05:00,33.04,33.13,,long,IWF,us_factor
2018-01-18 17:30:00-05:00,2018-01-25 08:30:00-05:00,33.35,33.97,,long,IWF,us_factor
2018-01-25 16:00:00-05:00,2018-01-29 08:50:00-05:00,33.86,34.26,,long,IWF,us_factor
2018-01-29 16:10:00-05:00,2018-01-30 09:25:00-05:00,34.07,33.84,,long,IWF,us_factor
2018-01-31 16:25:00-05:00,2018-02-01 08:30:00-05:00,33.79,33.73,,long,IWF,us_factor
2018-02-02 16:00:00-05:00,2018-02-05 08:20:00-05:00,33.02,31.96,,long,IWF,us_factor
2018-02-05 16:05:00-05:00,2018-02-07 08:20:00-05:00,31.47,32.38,,long,IWF,us_factor
2018-02-07 18:35:00-05:00,2018-02-08 07:00:00-05:00,31.68,32.12,,long,IWF,us_factor
2018-02-08 17:25:00-05:00,2018-02-09 08:20:00-05:00,30.98,31.18,,long,IWF,us_factor
2018-02-21 16:30:00-05:00,2018-02-22 07:00:00-05:00,32.56,32.85,,long,IWF,us_factor
2018-02-22 16:00:00-05:00,2018-02-23 08:50:00-05:00,32.76,32.96,,long,IWF,us_factor
2018-03-01 16:00:00-05:00,2018-03-02 07:30:00-05:00,32.53,32.78,,long,IWF,us_factor
2018-03-06 16:00:00-05:00,2018-03-12 09:20:00-04:00,33.13,33.99,,long,IWF,us_factor
2018-03-12 16:00:00-04:00,2018-03-13 08:00:00-04:00,33.96,33.96,,long,IWF,us_factor
2018-03-13 17:20:00-04:00,2018-03-14 09:05:00-04:00,33.7,33.84,,long,IWF,us_factor
2018-03-14 16:00:00-04:00,2018-03-16 09:20:00-04:00,33.6,33.63,,long,IWF,us_factor
2018-03-16 16:05:00-04:00,2018-03-20 08:45:00-04:00,33.58,33.18,,long,IWF,us_factor
2018-03-22 16:00:00-04:00,2018-03-26 09:10:00-04:00,32.21,32.01,,long,IWF,us_factor
2018-03-27 16:00:00-04:00,2018-03-28 08:25:00-04:00,31.75,31.83,,long,IWF,us_factor
2018-03-28 16:05:00-04:00,2018-04-04 08:50:00-04:00,31.53,31.23,,long,IWF,us_factor
2018-04-05 16:00:00-04:00,2018-04-09 08:45:00-04:00,32.26,31.7,,long,IWF,us_factor
2018-04-09 16:00:00-04:00,2018-04-11 08:50:00-04:00,31.58,31.9,,long,IWF,us_factor
2018-04-24 16:00:00-04:00,2018-04-25 08:45:00-04:00,31.75,31.69,,long,IWF,us_factor
2018-04-27 16:00:00-04:00,2018-04-30 09:00:00-04:00,32.34,32.44,,long,IWF,us_factor
2018-04-30 17:30:00-04:00,2018-05-01 08:00:00-04:00,32.11,32.11,,long,IWF,us_factor
2018-05-02 16:00:00-04:00,2018-05-03 08:45:00-04:00,32.15,32.01,,long,IWF,us_factor
2018-05-15 16:00:00-04:00,2018-05-16 09:25:00-04:00,33.2,33.2,,long,IWF,us_factor
2018-05-17 16:00:00-04:00,2018-05-21 09:20:00-04:00,33.32,33.52,,long,IWF,us_factor
2018-05-29 16:00:00-04:00,2018-05-30 09:05:00-04:00,33.3,33.5,,long,IWF,us_factor
2018-06-21 16:00:00-04:00,2018-06-25 09:00:00-04:00,34.47,34.29,,long,IWF,us_factor
2018-06-25 16:00:00-04:00,2018-06-26 09:00:00-04:00,33.8,33.87,,long,IWF,us_factor
2018-06-29 16:00:00-04:00,2018-07-06 09:05:00-04:00,33.84,33.88,,long,IWF,us_factor
2018-08-03 16:00:00-04:00,2018-08-06 08:00:00-04:00,35.38,35.39,,long,IWF,us_factor
2018-08-13 16:35:00-04:00,2018-08-15 08:55:00-04:00,35.55,35.45,,long,IWF,us_factor
2018-08-15 16:05:00-04:00,2018-08-17 09:05:00-04:00,35.41,35.49,,long,IWF,us_factor
2018-08-20 16:00:00-04:00,2018-08-21 09:25:00-04:00,35.66,35.72,,long,IWF,us_factor
2018-09-05 17:10:00-04:00,2018-09-06 09:15:00-04:00,36.33,36.37,,long,IWF,us_factor
2018-09-06 16:20:00-04:00,2018-09-07 09:25:00-04:00,36.09,36.26,,long,IWF,us_factor
2018-09-10 16:00:00-04:00,2018-09-12 09:10:00-04:00,36.23,36.48,,long,IWF,us_factor
2018-09-17 16:00:00-04:00,2018-09-18 08:00:00-04:00,36.29,36.07,,long,IWF,us_factor
2018-09-19 16:00:00-04:00,2018-09-20 08:00:00-04:00,36.48,36.48,,long,IWF,us_factor
2018-10-03 17:00:00-04:00,2018-10-04 09:25:00-04:00,36.93,36.95,,long,IWF,us_factor
2018-10-04 16:00:00-04:00,2018-10-05 08:25:00-04:00,36.36,36.32,,long,IWF,us_factor
2018-10-05 16:00:00-04:00,2018-10-09 09:05:00-04:00,36.05,35.85,,long,IWF,us_factor
