entry_time,exit_time,entry_price,exit_price,stop_price,direction,instrument,basket
2016-01-07 16:00:00-05:00,2016-01-08 09:20:00-05:00,52.52,53.78,,long,QUAL,us_factor
2016-01-08 16:00:00-05:00,2016-01-11 08:55:00-05:00,51.92,51.92,,long,QUAL,us_factor
2016-01-11 16:00:00-05:00,2016-01-15 09:25:00-05:00,51.98,50.98,,long,QUAL,us_factor
2016-01-27 16:00:00-05:00,2016-04-11 08:00:00-04:00,51.16,56.45,,long,QUAL,us_factor
2016-04-11 16:00:00-04:00,2016-06-28 09:25:00-04:00,56.04,55.19,,long,QUAL,us_factor
2016-12-14 16:00:00-05:00,2016-12-15 09:25:00-05:00,60.44,60.49,,long,QUAL,us_factor
2017-03-29 16:15:00-04:00,2017-04-04 07:35:00-04:00,63.76,63.44,,long,QUAL,us_factor
2017-06-30 16:00:00-04:00,2017-07-13 09:25:00-04:00,65.43,65.83,,long,QUAL,us_factor
2017-08-10 16:00:00-04:00,2017-08-15 08:00:00-04:00,65.38,66.02,,long,QUAL,us_factor
2017-08-15 16:00:00-04:00,2017-08-23 09:25:00-04:00,65.98,64.48,,long,QUAL,us_factor
2017-08-28 16:00:00-04:00,2017-09-06 07:50:00-04:00,65.63,66.12,,long,QUAL,us_factor
2017-12-20 16:00:00-05:00,2018-01-24 07:50:00-05:00,73.87,78.12,,long,QUAL,us_factor
2018-01-24 16:00:00-05:00,2018-01-26 09:25:00-05:00,77.83,77.86,,long,QUAL,us_factor
2018-01-30 16:00:00-05:00,2018-02-05 07:55:00-05:00,77.13,74.57,,long,QUAL,us_factor
2018-02-05 16:00:00-05:00,2018-02-12 08:00:00-05:00,72.54,72.02,,long,QUAL,us_factor
2018-04-09 16:00:00-04:00,2018-05-14 08:00:00-04:00,72.75,75.16,,long,QUAL,us_factor
2018-05-14 16:00:00-04:00,2018-05-22 08:05:00-04:00,75.08,75.32,,long,QUAL,us_factor
2018-05-22 16:00:00-04:00,2018-06-19 07:30:00-04:00,75.07,75.79,,long,QUAL,us_factor
2018-06-26 16:15:00-04:00,2018-06-27 07:50:00-04:00,74.89,74.79,,long,QUAL,us_factor
2018-06-27 16:00:00-04:00,2018-07-12 08:00:00-04:00,74.05,76.24,,long,QUAL,us_factor
2018-08-08 16:00:00-04:00,2018-08-17 08:00:00-04:00,78.42,78.24,,long,QUAL,us_factor
2018-09-25 16:00:00-04:00,2018-09-26 09:25:00-04:00,81.16,81.32,,long,QUAL,us_factor
2018-09-26 16:00:00-04:00,2018-09-28 07:10:00-04:00,81.01,81.12,,long,QUAL,us_factor
2018-10-12 16:00:00-04:00,2018-10-19 08:00:00-04:00,76.69,76.65,,long,QUAL,us_factor
2018-10-19 16:00:00-04:00,2018-10-22 08:00:00-04:00,76.53,76.29,,long,QUAL,us_factor
2018-10-22 16:00:00-04:00,2018-10-23 08:00:00-04:00,76.15,76.15,,long,QUAL,us_factor
2018-10-26 16:00:00-04:00,2018-11-06 09:25:00-05:00,73.38,76.06,,long,QUAL,us_factor
2018-11-20 16:00:00-05:00,2018-11-28 09:10:00-05:00,73.13,74.16,,long,QUAL,us_factor
2018-12-18 16:00:00-05:00,2018-12-31 08:00:00-05:00,70.21,68.68,,long,QUAL,us_factor
2019-02-06 16:00:00-05:00,2019-02-11 09:05:00-05:00,76.31,75.69,,long,QUAL,us_factor
