entry_time,exit_time,entry_price,exit_price,stop_price,direction,instrument,basket
2016-01-07 17:30:00-05:00,2016-01-08 08:55:00-05:00,59.64,60.04,,long,VTV,us_factor
2016-01-08 16:00:00-05:00,2016-01-11 08:20:00-05:00,59.33,59.33,,long,VTV,us_factor
2016-01-11 16:00:00-05:00,2016-01-13 08:30:00-05:00,59.26,59.66,,long,VTV,us_factor
2016-01-13 16:20:00-05:00,2016-01-14 09:25:00-05:00,58.41,58.67,,long,VTV,us_factor
2016-02-11 16:00:00-05:00,2016-02-12 09:25:00-05:00,56.87,57.44,,long,VTV,us_factor
2016-03-10 16:05:00-05:00,2016-03-14 08:25:00-04:00,62.2,63.22,,long,VTV,us_factor
2016-04-21 16:00:00-04:00,2016-04-28 09:10:00-04:00,65.35,65.66,,long,VTV,us_factor
2016-04-28 16:00:00-04:00,2016-04-29 08:00:00-04:00,65.36,65.36,,long,VTV,us_factor
2016-04-29 16:00:00-04:00,2016-05-02 08:30:00-04:00,64.99,64.99,,long,VTV,us_factor
2016-05-03 16:00:00-04:00,2016-05-05 08:25:00-04:00,64.79,64.29,,long,VTV,us_factor
2016-05-05 18:35:00-04:00,2016-05-06 08:40:00-04:00,63.93,63.97,,long,VTV,us_factor
2016-05-09 16:05:00-04:00,2016-05-11 08:10:00-04:00,64.35,65.15,,long,VTV,us_factor
2016-05-11 16:00:00-04:00,2016-05-12 08:50:00-04:00,64.75,64.75,,long,VTV,us_factor
2016-05-12 16:00:00-04:00,2016-05-19 08:05:00-04:00,64.79,64.26,,long,VTV,us_factor
2016-05-26 16:00:00-04:00,2016-05-27 08:05:00-04:00,65.49,65.49,,long,VTV,us_factor
2016-06-10 16:00:00-04:00,2016-06-13 08:10:00-04:00,65.95,65.95,,long,VTV,us_factor
2016-06-13 16:00:00-04:00,2016-06-14 08:00:00-04:00,65.43,65.26,,long,VTV,us_factor
2016-06-14 16:00:00-04:00,2016-06-15 08:30:00-04:00,65.18,65.18,,long,VTV,us_factor
2016-06-15 16:00:00-04:00,2016-06-23 08:25:00-04:00,65.1,65.87,,long,VTV,us_factor
2016-07-25 16:00:00-04:00,2016-08-01 08:20:00-04:00,68.44,68.29,,long,VTV,us_factor
2016-08-01 16:00:00-04:00,2016-08-22 08:05:00-04:00,68.01,68.61,,long,VTV,us_factor
2016-09-16 16:00:00-04:00,2016-09-19 08:00:00-04:00,67.41,67.6,,long,VTV,us_factor
2016-09-19 16:00:00-04:00,2016-10-04 08:30:00-04:00,67.53,68.23,,long,VTV,us_factor
2016-10-04 16:00:00-04:00,2016-10-20 08:20:00-04:00,67.87,67.83,,long,VTV,us_factor
2016-12-14 16:15:00-05:00,2016-12-15 09:25:00-05:00,74.46,74.01,,long,VTV,us_factor
2016-12-16 16:00:00-05:00,2016-12-20 08:25:00-05:00,74.09,74.28,,long,VTV,us_factor
2016-12-22 16:00:00-05:00,2017-01-03 08:00:00-05:00,74.33,73.81,,long,VTV,us_factor
2017-01-05 16:10:00-05:00,2017-01-09 08:00:00-05:00,74.28,74.48,,long,VTV,us_factor
2017-01-09 16:00:00-05:00,2017-01-25 09:25:00-05:00,73.98,74.48,,long,VTV,us_factor
2017-01-26 16:00:00-05:00,2017-01-30 08:00:00-05:00,74.68,74.52,,long,VTV,us_factor
2017-01-30 17:20:00-05:00,2017-02-01 08:50:00-05:00,74.1,74.16,,long,VTV,us_factor
2017-02-01 16:00:00-05:00,2017-02-06 08:00:00-05:00,73.84,74.49,,long,VTV,us_factor
2017-02-06 18:15:00-05:00,2017-02-07 08:15:00-05:00,74.4,74.37,,long,VTV,us_factor
2017-02-07 16:00:00-05:00,2017-02-10 08:00:00-05:00,74.23,75.05,,long,VTV,us_factor
2017-03-07 16:05:00-05:00,2017-03-10 08:00:00-05:00,76.78,76.74,,long,VTV,us_factor
2017-03-10 16:00:00-05:00,2017-03-14 08:05:00-04:00,76.88,76.64,,long,VTV,us_factor
2017-03-14 16:00:00-04:00,2017-03-15 08:40:00-04:00,76.52,76.46,,long,VTV,us_factor
2017-03-24 16:00:00-04:00,2017-03-27 08:00:00-04:00,75.46,75.17,,long,VTV,us_factor
2017-04-05 16:00:00-04:00,2017-04-06 09:25:00-04:00,75.64,75.74,,long,VTV,us_factor
2017-04-10 16:10:00-04:00,2017-04-18 08:20:00-04:00,75.78,75.27,,long,VTV,us_factor
2017-04-18 18:30:00-04:00,2017-04-25 09:20:00-04:00,75.12,76.35,,long,VTV,us_factor
2017-04-28 17:10:00-04:00,2017-05-04 09:10:00-04:00,75.83,76.11,,long,VTV,us_factor
2017-05-04 16:00:00-04:00,2017-05-05 07:45:00-04:00,75.98,76.06,,long,VTV,us_factor
2017-05-08 16:00:00-04:00,2017-05-15 09:00:00-04:00,76.23,75.69,,long,VTV,us_factor
2017-05-16 16:10:00-04:00,2017-05-17 07:35:00-04:00,75.97,75.75,,long,VTV,us_factor
2017-05-17 16:00:00-04:00,2017-05-18 07:45:00-04:00,74.73,74.56,,long,VTV,us_factor
2017-05-31 16:00:00-04:00,2017-06-12 09:25:00-04:00,76.13,77.4,,long,VTV,us_factor
2017-06-14 17:35:00-04:00,2017-06-15 08:00:00-04:00,77.7,77.31,,long,VTV,us_factor
2017-07-05 16:00:00-04:00,2017-07-12 08:50:00-04:00,77.9,77.59,,long,VTV,us_factor
2017-07-24 16:20:00-04:00,2017-08-01 09:15:00-04:00,78.19,79.12,,long,VTV,us_factor
2017-08-01 16:20:00-04:00,2017-08-08 09:25:00-04:00,78.79,78.84,,long,VTV,us_factor
2017-08-08 16:15:00-04:00,2017-08-10 09:20:00-04:00,78.77,78.52,,long,VTV,us_factor
2017-08-10 17:55:00-04:00,2017-08-11 09:10:00-04:00,77.59,78.03,,long,VTV,us_factor
2017-08-11 16:10:00-04:00,2017-08-18 09:20:00-04:00,77.88,77.34,,long,VTV,us_factor
2017-09-05 16:00:00-04:00,2017-09-08 06:45:00-04:00,77.72,77.63,,long,VTV,us_factor
2017-09-27 16:10:00-04:00,2017-10-05 08:25:00-04:00,80.3,81.39,,long,VTV,us_factor
2017-10-23 16:05:00-04:00,2017-10-27 09:25:00-04:00,82.62,82.54,,long,VTV,us_factor
2017-12-19 16:00:00-05:00,2017-12-26 08:20:00-05:00,86.1,86.43,,long,VTV,us_factor
2017-12-26 16:00:00-05:00,2018-01-02 07:00:00-05:00,86.36,86.0,,long,VTV,us_factor
2018-01-02 16:00:00-05:00,2018-01-09 07:50:00-05:00,86.6,87.98,,long,VTV,us_factor
2018-01-16 16:00:00-05:00,2018-01-17 07:00:00-05:00,89.08,89.1,,long,VTV,us_factor
2018-01-18 16:00:00-05:00,2018-01-26 08:20:00-05:00,89.73,91.45,,long,VTV,us_factor
2018-02-05 19:35:00-05:00,2018-02-06 06:55:00-05:00,84.67,82.94,,long,VTV,us_factor
2018-02-08 18:45:00-05:00,2018-02-09 07:05:00-05:00,83.23,84.24,,long,VTV,us_factor
2018-02-22 16:00:00-05:00,2018-02-26 08:00:00-05:00,86.07,87.38,,long,VTV,us_factor
2018-03-12 16:00:00-04:00,2018-03-22 07:00:00-04:00,88.02,85.65,,long,VTV,us_factor
2018-03-22 19:00:00-04:00,2018-03-28 08:10:00-04:00,83.87,83.25,,long,VTV,us_factor
2018-03-28 16:00:00-04:00,2018-04-02 08:30:00-04:00,83.27,83.91,,long,VTV,us_factor
