date,equity
2016-01-19,100000.0
2016-01-20,98045.55208143246
2016-01-21,98367.85615937498
2016-01-22,105196.22605581896
2016-01-25,103368.02876409728
2016-01-26,104859.5120216096
2016-01-27,103446.82101806428
2016-01-28,104522.96287734104
2016-01-29,105872.33766671624
2016-02-01,106312.80658000217
2016-02-02,103716.43800969137
2016-02-03,104135.01113290644
2016-02-04,103771.44195037778
2016-02-05,102494.02257167011
2016-02-08,99027.11559311047
2016-02-09,99027.11559311047
2016-02-10,98414.11232569015
2016-02-11,93707.12983357804
2016-02-12,93707.12983357804
2016-02-16,96971.59498309097
2016-02-17,99708.5388240174
2016-02-18,99858.29292940245
2016-02-19,100725.68433436273
2016-02-22,102671.10494786194
2016-02-23,101174.43051607245
2016-02-24,101539.09184851438
2016-02-25,103782.26901551642
2016-02-26,103344.07886211865
2016-02-29,102327.66986665443
2016-03-01,107478.44934673562
2016-03-02,107954.89348246167
2016-03-03,108896.3143196497
2016-03-04,108513.79327968406
2016-03-07,108409.84954081019
2016-03-08,106201.46125289169
2016-03-09,107022.73097296913
2016-03-10,108085.16711441847
2016-03-11,111354.865436127
2016-03-14,111788.75065547178
2016-03-15,110985.17459143513
2016-03-16,113033.74720623242
2016-03-17,114473.27326264749
2016-03-18,114893.70395067424
2016-03-21,116427.76185378476
2016-03-22,117052.40092088348
2016-03-23,114677.2483886167
2016-03-24,114944.30664081372
2016-03-28,115673.27777585006
2016-03-29,118775.05482246855
2016-03-30,119984.05665780653
2016-03-31,119626.65589502748
2016-04-01,121111.57179497946
2016-04-04,119608.0654232231
2016-04-05,116659.45850185426
2016-04-06,120238.25476362713
2016-04-07,115515.15210561678
2016-04-08,117021.25461086228
2016-04-11,116131.04007609036
2016-04-12,118012.39000780343
2016-04-13,120665.40017356124
2016-04-14,120833.02586458981
2016-04-15,121498.51257787226
2016-04-18,124747.41257006771
2016-04-19,124307.64017009542
2016-04-20,123989.99416860178
2016-04-21,123144.4951651528
2016-04-22,124270.9570580809
2016-04-25,123637.27482949803
2016-04-26,124705.42663439174
2016-04-27,126147.01320264638
2016-04-28,123008.9320373201
2016-04-29,121054.07537651967
2016-05-02,124362.2267265998
2016-05-03,121650.40411296945
2016-05-04,120970.61295771207
2016-05-05,121061.00506246409
2016-05-06,123416.14015731604
2016-05-09,124694.72076319769
2016-05-10,127645.70285705288
2016-05-11,125737.31975354967
2016-05-12,126293.01864501054
2016-05-13,124469.23950889357
2016-05-16,127092.57415370396
2016-05-17,124386.07317640133
2016-05-18,124623.84788080037
2016-05-19,124362.27525270902
2016-05-20,126311.15442632914
2016-05-23,126730.43894666045
2016-05-24,129140.77776276215
2016-05-25,130086.12944699607
2016-05-26,130796.26351177563
2016-05-27,132395.2638796909
2016-05-31,132504.07260188044
2016-06-01,132858.27959977655
2016-06-02,134373.55826200845
2016-06-03,134601.11953068295
2016-06-06,135315.19919934482
2016-06-07,135197.8958116378
2016-06-08,134893.3083878586
2016-06-09,133800.4713447889
2016-06-10,128816.39677313248
2016-06-13,118900.77230892223
2016-06-14,120531.31811231392
2016-06-15,121343.63860944293
2016-06-16,123449.21801316584
2016-06-17,123558.50665005975
2016-06-20,128383.42997905094
2016-06-21,127923.7048595996
2016-06-22,125622.06546832569
2016-06-23,125622.06546832569
2016-06-24,108429.01140579145
2016-06-27,108429.01140579145
2016-06-28,108429.01140579145
2016-06-29,109945.59075018788
2016-06-30,110969.19862083043
2016-07-01,111747.06386336526
2016-07-05,111211.4769361576
2016-07-06,111937.85532400748
2016-07-07,112432.26440055683
2016-07-08,114291.5954275856
2016-07-11,114287.13737813731
2016-07-12,114811.31225081842
2016-07-13,115579.05307586558
2016-07-14,115611.94810763784
2016-07-15,115771.19561177811
2016-07-18,116683.37201474931
2016-07-19,116719.76036397381
2016-07-20,117980.93666242804
2016-07-21,116647.62361704823
2016-07-22,117638.95397443623
2016-07-25,117919.037045476
2016-07-26,118369.16079414352
2016-07-27,119411.29664562049
2016-07-28,120312.8270665877
2016-07-29,122088.95616759059
2016-08-01,122796.10522070424
2016-08-02,121105.1526031159
2016-08-03,122135.03462238434
2016-08-04,123358.24590000522
2016-08-05,124939.45804070738
2016-08-08,125950.2812241393
2016-08-09,126727.70627241023
2016-08-10,125648.46013908995
2016-08-11,125876.88715236488
2016-08-12,126306.79273824184
2016-08-15,126998.9129270749
2016-08-16,125438.96229070093
2016-08-17,126516.74954638294
2016-08-18,127304.18967784366
2016-08-19,127064.93079556793
2016-08-22,126920.67563559579
2016-08-23,127044.31656341976
2016-08-24,126002.02027306826
2016-08-25,125958.80489143252
2016-08-26,125799.88770525152
2016-08-29,126851.73908426933
2016-08-30,127261.11133631665
2016-08-31,126912.97222091378
2016-09-01,127212.83145336919
2016-09-02,129190.05141019596
2016-09-06,130403.47341182888
2016-09-07,131024.02554716235
2016-09-08,130845.02115384789
2016-09-09,122838.35696398874
2016-09-12,127252.32987213848
2016-09-13,123457.70284509403
2016-09-14,124134.66595535785
2016-09-15,126551.35375584749
2016-09-16,126940.76402948886
2016-09-19,127745.18562146177
2016-09-20,127970.0737603303
2016-09-21,130512.5452463726
2016-09-22,131420.5339640828
2016-09-23,131188.53410322513
2016-09-26,129726.10565102214
2016-09-27,132732.49691778712
2016-09-28,133296.21298139603
2016-09-29,129938.53095694445
2016-09-30,132427.52844577163
2016-10-03,132680.6653766582
2016-10-04,132844.42368613236
2016-10-05,133388.71263521604
2016-10-06,133793.22925113371
2016-10-07,133721.8943663927
2016-10-10,134833.17520172003
2016-10-11,131763.49191017877
2016-10-12,131703.64531706963
2016-10-13,129862.61752062514
2016-10-14,130549.74957130468
2016-10-17,130878.15333023698
2016-10-18,133622.55874067012
2016-10-19,135030.45385098137
2016-10-20,135828.72323259263
2016-10-21,136991.60479686665
2016-10-24,139087.6551582473
2016-10-25,138536.40162074106
2016-10-26,137195.41375379259
2016-10-27,136181.38050582958
2016-10-28,133753.67439936032
2016-10-31,132310.9607138648
2016-11-01,130596.12078447231
2016-11-02,128845.53586484097
2016-11-03,128845.53586484097
2016-11-04,128845.53586484097
2016-11-07,128845.53586484097
2016-11-08,128845.53586484097
2016-11-09,128845.53586484097
2016-11-10,127268.21762103311
2016-11-11,128530.39401012158
2016-11-14,128739.65747009059
2016-11-15,131103.92537045782
2016-11-16,130771.65373820363
2016-11-17,132264.6965746156
2016-11-18,132508.27889355252
2016-11-21,135039.26131980316
2016-11-22,134731.26379840638
2016-11-23,134648.34142540078
2016-11-25,134987.18150782608
2016-11-28,134532.06309332696
2016-11-29,134869.97973134412
2016-11-30,134851.5340133463
2016-12-01,132945.06649885574
2016-12-02,132909.80353086398
2016-12-05,136549.70023891347
2016-12-06,138157.39653672656
2016-12-07,137966.91129665702
2016-12-08,137824.4218728576
2016-12-09,138400.22777694752
2016-12-12,137976.49042594165
2016-12-13,137521.15283312704
2016-12-14,137631.3794513859
2016-12-15,138374.59041783458
2016-12-16,139064.12710782723
2016-12-19,140989.07776561246
2016-12-20,141948.04293186901
2016-12-21,142766.7130929461
2016-12-22,141817.53614327314
2016-12-23,142051.6541426269
2016-12-27,142759.20897923206
2016-12-28,140917.02707868366
2016-12-29,140084.7053762527
2016-12-30,138952.18707540666
2017-01-03,142840.6672929427
2017-01-04,146004.13176234072
2017-01-05,146170.3660572238
2017-01-06,146875.70884635576
2017-01-09,146983.13600765355
2017-01-10,147338.8484199432
