entry_time,exit_time,position,entry_price,exit_price,exit_reason,risk,shares,gross_pnl,fees,net_pnl,equity_before,equity
2018-02-02,2018-02-09,cash,100,99.98546999999999,rebalance,0.0145,1,-14.01,4.96,-14.01,96429.3,96415.29
2018-02-09,2018-02-12,vixlong,100,98.99819384076208,rebalance,1.0018,1,-965.89,14.01,-965.89,96415.29,95449.39
2018-02-12,2018-02-14,vixlong,100,96.78127424162415,rebalance,3.2187,1,-3072.25,1.3,-3072.25,95449.39,92377.14
2018-02-14,2018-02-15,vixshort,100,100.38093638267942,rebalance,0.3809,1,351.9,15.14,351.9,92377.14,92729.04
2018-02-15,2018-02-21,vixlong,100,101.36636857621066,rebalance,1.3664,1,1267.02,13.5,1267.02,92729.04,93996.06
2018-02-21,2018-02-23,vixshort,100,101.89427029402283,rebalance,1.8943,1,1780.54,14.22,1780.54,93996.06,95776.6
2018-02-23,2018-02-27,vixshort,100,97.91175462589813,rebalance,2.0882,1,-2000.05,2.3,-2000.05,95776.6,93776.55
2018-02-27,2018-03-01,vixshort,100,98.3256628317935,rebalance,1.6743,1,-1570.14,1.82,-1570.14,93776.55,92206.41
2018-03-01,2018-03-02,cash,100,99.99020499999999,rebalance,0.0098,1,-9.03,7.94,-9.03,92206.41,92197.38
2018-03-02,2018-03-07,vixshort,100,100.96693379188466,rebalance,0.9669,1,891.49,9.03,891.49,92197.38,93088.87
2018-03-07,2018-03-08,vixshort,100,100.65269733246467,rebalance,0.6527,1,607.59,1.21,607.59,93088.87,93696.46
2018-03-08,2018-03-13,vixshort,100,100.12845411975724,rebalance,0.1285,1,120.36,4.7,120.36,93696.46,93816.81
2018-03-13,2018-03-19,vixshort,100,98.79400316828645,rebalance,1.206,1,-1131.43,3.73,-1131.43,93816.81,92685.39
2018-03-19,2018-03-22,vixshort,100,98.1521756746132,rebalance,1.8478,1,-1712.66,1.71,-1712.66,92685.39,90972.72
2018-03-22,2018-03-26,cash,100,99.989485,rebalance,0.0105,1,-9.57,7.96,-9.57,90972.72,90963.16
2018-03-26,2018-03-29,vixlong,100,101.20888931399561,rebalance,1.2089,1,1099.64,9.57,1099.64,90963.16,92062.8
2018-03-29,2018-04-02,vixshort,100,98.97989797241674,rebalance,1.0201,1,-939.13,14.72,-939.13,92062.8,91123.67
2018-04-02,2018-04-04,vixlong,100,98.54325987799632,rebalance,1.4567,1,-1327.44,14.9,-1327.44,91123.67,89796.23
2018-04-04,2018-04-06,vixshort,100,99.78242688501619,rebalance,0.2176,1,-195.37,14.61,-195.37,89796.23,89600.86
2018-04-06,2018-04-11,vixlong,100,99.98291656300863,rebalance,0.0171,1,-15.31,14.04,-15.31,89600.86,89585.55
2018-04-11,2018-04-13,vixshort,100,100.85844219215583,rebalance,0.8584,1,769.04,14.16,769.04,89585.55,90354.59
2018-04-13,2018-04-20,vixshort,100,100.49851725007987,rebalance,0.4985,1,450.43,0.99,450.43,90354.59,90805.02
2018-04-20,2018-05-04,vixshort,100,100.76816181173294,rebalance,0.7682,1,697.53,3.5,697.53,90805.02,91502.55
2018-05-04,2018-05-09,vixshort,100,100.77822249515118,rebalance,0.7782,1,712.09,1.26,712.09,91502.55,92214.65
2018-05-09,2018-05-23,vixshort,100,101.42729067865137,rebalance,1.4273,1,1316.17,0.93,1316.17,92214.65,93530.82
2018-05-23,2018-05-29,vixshort,100,98.42279450925209,rebalance,1.5772,1,-1475.17,0.96,-1475.17,93530.82,92055.65
2018-05-29,2018-05-30,vixshort,100,100.80217241913985,rebalance,0.8022,1,738.45,2.69,738.45,92055.65,92794.09
2018-05-30,2018-06-04,vixshort,100,101.12963207447817,rebalance,1.1296,1,1048.23,1.27,1048.23,92794.09,93842.32
2018-06-04,2018-06-06,vixshort,100,100.52617071706979,rebalance,0.5262,1,493.77,1.48,493.77,93842.32,94336.09
2018-06-06,2018-06-07,vixshort,100,99.92054830048872,rebalance,0.0795,1,-74.95,3.48,-74.95,94336.09,94261.14
2018-06-07,2018-06-21,vixshort,100,99.45874700419947,rebalance,0.5413,1,-510.19,3.01,-510.19,94261.14,93750.95
2018-06-21,2018-06-25,vixshort,100,98.16010849561395,rebalance,1.8399,1,-1724.92,1.4,-1724.92,93750.95,92026.03
2018-06-25,2018-06-26,vixshort,100,100.74351145891963,rebalance,0.7435,1,684.22,1.97,684.22,92026.03,92710.26
2018-06-26,2018-06-27,vixshort,100,99.22886172576722,rebalance,0.7711,1,-714.92,0.94,-714.92,92710.26,91995.33
2018-06-27,2018-06-29,vixshort,100,100.57196673229727,rebalance,0.572,1,526.18,1.22,526.18,91995.33,92521.52
2018-06-29,2018-07-06,vixshort,100,101.3219889409537,rebalance,1.322,1,1223.12,1.06,1223.12,92521.52,93744.64
2018-07-06,2018-07-13,vixshort,100,101.06916023064116,rebalance,1.0692,1,1002.28,1.79,1002.28,93744.64,94746.92
2018-07-13,2018-07-30,vixshort,100,99.6167583213851,rebalance,0.3832,1,-363.11,1.0,-363.11,94746.92,94383.81
2018-07-30,2018-08-02,vixshort,100,100.71774438648396,rebalance,0.7177,1,677.43,1.14,677.43,94383.81,95061.25
