date,equity
2016-06-14,102744.20999999999
2016-06-15,103461.29
2016-06-16,105295.36
2016-06-17,105405.68
2016-06-20,110218.39
2016-06-21,110218.39
2016-06-22,110218.39
2016-06-23,110218.39
2016-06-24,110218.39
2016-06-27,110218.39
2016-06-28,110218.39
2016-06-29,111977.90999999999
2016-06-30,114255.86
2016-07-01,116565.23
2016-07-04,116565.23
2016-07-05,116565.23
2016-07-06,116565.23
2016-07-07,116565.23
2016-07-08,116565.23
2016-07-11,116565.23
2016-07-12,116565.23
2016-07-13,116565.23
2016-07-14,116565.23
2016-07-15,116565.23
2016-07-18,116565.23
2016-07-19,116565.23
2016-07-20,116565.23
2016-07-21,116565.23
2016-07-22,116565.23
2016-07-25,116565.23
2016-07-26,116565.23
2016-07-27,116565.23
2016-07-28,116565.23
2016-07-29,116565.23
2016-08-01,116565.23
2016-08-02,116565.23
2016-08-03,116565.23
2016-08-04,116565.23
2016-08-05,116565.23
2016-08-08,116565.23
2016-08-09,116565.23
2016-08-10,116565.23
2016-08-11,116565.23
2016-08-12,116565.23
2016-08-15,116565.23
2016-08-16,116565.23
2016-08-17,116565.23
2016-08-18,116565.23
2016-08-19,116565.23
2016-08-22,116565.23
2016-08-23,116565.23
2016-08-24,116565.23
2016-08-25,116565.23
2016-08-26,116565.23
2016-08-29,116565.23
2016-08-30,116565.23
2016-08-31,116565.23
2016-09-01,116565.23
2016-09-02,116565.23
2016-09-05,116565.23
2016-09-06,116565.23
2016-09-07,116565.23
2016-09-08,116565.23
2016-09-09,116565.23
2016-09-12,116565.23
2016-09-13,116565.23
2016-09-14,116565.23
2016-09-15,119358.51
2016-09-16,120368.58
2016-09-19,122426.12999999999
2016-09-20,122426.12999999999
2016-09-21,122426.12999999999
2016-09-22,122426.12999999999
2016-09-23,122426.12999999999
2016-09-26,122426.12999999999
2016-09-27,122426.12999999999
2016-09-28,122426.12999999999
2016-09-29,122426.12999999999
2016-09-30,122426.12999999999
2016-10-03,122426.12999999999
2016-10-04,122426.12999999999
2016-10-05,122426.12999999999
2016-10-06,122426.12999999999
2016-10-07,122426.12999999999
