date,equity
2016-06-14,100204.97
2016-06-15,100258.53
2016-06-16,100395.52
2016-06-17,100403.76
2016-06-20,100763.23
2016-06-21,100763.23
2016-06-22,100763.23
2016-06-23,100763.23
2016-06-24,100763.23
2016-06-27,100763.23
2016-06-28,100763.23
2016-06-29,100884.19
2016-06-30,101040.79
2016-07-01,101199.55
2016-07-04,101199.55
2016-07-05,101199.55
2016-07-06,101199.55
2016-07-07,101199.55
2016-07-08,101199.55
2016-07-11,101199.55
2016-07-12,101199.55
2016-07-13,101199.55
2016-07-14,101199.55
2016-07-15,101199.55
2016-07-18,101199.55
2016-07-19,101199.55
2016-07-20,101199.55
2016-07-21,101199.55
2016-07-22,101199.55
2016-07-25,101199.55
2016-07-26,101199.55
2016-07-27,101199.55
2016-07-28,101199.55
2016-07-29,101199.55
2016-08-01,101199.55
2016-08-02,101199.55
2016-08-03,101199.55
2016-08-04,101199.55
2016-08-05,101199.55
2016-08-08,101199.55
2016-08-09,101199.55
2016-08-10,101199.55
2016-08-11,101199.55
2016-08-12,101199.55
2016-08-15,101199.55
2016-08-16,101199.55
2016-08-17,101199.55
2016-08-18,101199.55
2016-08-19,101199.55
2016-08-22,101199.55
2016-08-23,101199.55
2016-08-24,101199.55
2016-08-25,101199.55
2016-08-26,101199.55
2016-08-29,101199.55
2016-08-30,101199.55
2016-08-31,101199.55
2016-09-01,101199.55
2016-09-02,101199.55
2016-09-05,101199.55
2016-09-06,101199.55
2016-09-07,101199.55
2016-09-08,101199.55
2016-09-09,101199.55
2016-09-12,101199.55
2016-09-13,101199.55
2016-09-14,101199.55
2016-09-15,101380.99
2016-09-16,101446.6
2016-09-19,101580.25
2016-09-20,101580.25
2016-09-21,101580.25
2016-09-22,101580.25
2016-09-23,101580.25
2016-09-26,101580.25
2016-09-27,101580.25
2016-09-28,101580.25
2016-09-29,101580.25
2016-09-30,101580.25
2016-10-03,101580.25
2016-10-04,101580.25
2016-10-05,101580.25
2016-10-06,101580.25
2016-10-07,101580.25
2016-10-10,101580.25
2016-10-11,101580.25
2016-10-12,101580.25
2016-10-13,101580.25
2016-10-14,101580.25
2016-10-17,101580.25
2016-10-18,101580.25
2016-10-19,101580.25
2016-10-20,101580.25
2016-10-21,101580.25
2016-10-24,101580.25
2016-10-25,101580.25
2016-10-26,101580.25
2016-10-27,101580.25
2016-10-28,101580.25
2016-10-31,101580.25
2016-11-01,101580.25
2016-11-02,101484.62
2016-11-03,101222.55
2016-11-04,101205.03
2016-11-07,101800.71
2016-11-08,101938.68000000001
2016-11-09,102069.35
2016-11-10,101911.67
2016-11-11,101911.67
2016-11-14,101911.67
2016-11-15,101911.67
2016-11-16,101911.67
2016-11-17,101911.67
2016-11-18,101911.67
2016-11-21,101911.67
2016-11-22,101911.67
2016-11-23,101911.67
2016-11-24,101911.67
2016-11-25,101911.67
2016-11-28,101911.67
2016-11-29,101911.67
2016-11-30,101911.67
2016-12-01,101911.67
2016-12-02,101911.67
2016-12-05,101911.67
2016-12-06,101911.67
2016-12-07,101911.67
2016-12-08,101911.67
2016-12-09,101911.67
2016-12-12,101911.67
2016-12-13,101911.67
2016-12-14,101911.67
2016-12-15,101911.67
2016-12-16,101911.67
2016-12-19,101911.67
2016-12-20,101911.67
2016-12-21,101911.67
2016-12-22,101911.67
2016-12-23,101911.67
2016-12-26,101911.67
2016-12-27,101911.67
2016-12-28,101911.67
2016-12-29,101911.67
2016-12-30,101911.67
2017-01-02,101911.67
2017-01-03,101911.67
2017-01-04,101911.67
2017-01-05,101911.67
2017-01-06,101911.67
2017-01-09,101911.67
2017-01-10,101911.67
2017-01-11,101911.67
2017-01-12,101911.67
2017-01-13,101911.67
2017-01-16,101911.67
2017-01-17,101911.67
2017-01-18,101911.67
2017-01-19,101911.67
2017-01-20,101911.67
2017-01-23,101911.67
2017-01-24,101911.67
2017-01-25,101911.67
2017-01-26,101911.67
2017-01-27,101911.67
2017-01-30,101911.67
2017-01-31,101911.67
2017-02-01,101911.67
2017-02-02,101911.67
2017-02-03,101911.67
2017-02-06,101911.67
2017-02-07,101911.67
2017-02-08,101911.67
2017-02-09,101911.67
2017-02-10,101911.67
2017-02-13,101911.67
2017-02-14,101911.67
2017-02-15,101911.67
2017-02-16,101911.67
2017-02-17,101911.67
2017-02-20,101911.67
2017-02-21,101911.67
2017-02-22,101911.67
2017-02-23,101911.67
2017-02-24,101911.67
2017-02-27,101911.67
2017-02-28,101911.67
2017-03-01,101911.67
2017-03-02,101911.67
2017-03-03,101911.67
2017-03-06,101911.67
2017-03-07,101911.67
2017-03-08,101911.67
2017-03-09,101911.67
2017-03-10,101911.67
2017-03-13,101911.67
2017-03-14,101911.67
2017-03-15,101911.67
2017-03-16,101911.67
2017-03-17,101911.67
2017-03-20,101911.67
2017-03-21,101911.67
2017-03-22,101911.67
2017-03-23,101911.67
2017-03-24,101911.67
2017-03-27,101911.67
2017-03-28,101911.67
2017-03-29,101911.67
2017-03-30,101911.67
2017-03-31,101911.67
2017-04-03,101911.67
2017-04-04,101911.67
2017-04-05,101911.67
2017-04-06,101911.67
2017-04-07,101911.67
2017-04-10,101911.67
2017-04-11,101911.67
2017-04-12,101911.67
2017-04-13,101911.67
2017-04-14,101911.67
2017-04-17,101911.67
2017-04-18,101911.67
2017-04-19,101911.67
2017-04-20,101911.67
2017-04-21,101911.67
2017-04-24,101911.67
2017-04-25,101911.67
2017-04-26,101911.67
2017-04-27,101911.67
2017-04-28,101911.67
2017-05-01,101911.67
2017-05-02,101911.67
2017-05-03,101911.67
2017-05-04,101911.67
2017-05-05,101911.67
2017-05-08,101911.67
2017-05-09,101911.67
2017-05-10,101911.67
2017-05-11,101911.67
2017-05-12,101911.67
2017-05-15,101911.67
2017-05-16,101911.67
2017-05-17,101911.67
2017-05-18,101911.67
2017-05-19,101911.67
2017-05-22,101911.67
2017-05-23,101911.67
2017-05-24,101911.67
2017-05-25,101911.67
2017-05-26,101911.67
2017-05-29,101911.67
2017-05-30,101911.67
2017-05-31,101911.67
2017-06-01,101911.67
2017-06-02,101911.67
2017-06-05,101911.67
2017-06-06,101911.67
2017-06-07,101911.67
2017-06-08,101911.67
2017-06-09,101911.67
2017-06-12,101911.67
2017-06-13,101911.67
2017-06-14,101911.67
2017-06-15,101911.67
2017-06-16,101911.67
2017-06-19,101911.67
2017-06-20,101911.67
2017-06-21,101911.67
2017-06-22,101911.67
2017-06-23,101911.67
2017-06-26,101911.67
2017-06-27,101911.67
2017-06-28,101911.67
2017-06-29,101911.67
2017-06-30,101911.67
2017-07-03,101911.67
2017-07-04,101911.67
2017-07-05,101911.67
2017-07-06,101911.67
2017-07-07,101911.67
2017-07-10,101911.67
2017-07-11,101911.67
2017-07-12,101911.67
2017-07-13,101911.67
2017-07-14,101911.67
2017-07-17,101911.67
2017-07-18,101911.67
2017-07-19,101911.67
2017-07-20,101911.67
2017-07-21,101911.67
2017-07-24,101911.67
2017-07-25,101911.67
2017-07-26,101911.67
2017-07-27,101911.67
2017-07-28,101911.67
2017-07-31,101911.67
2017-08-01,101911.67
2017-08-02,101911.67
2017-08-03,101911.67
2017-08-04,101911.67
2017-08-07,101911.67
2017-08-08,101911.67
2017-08-09,101911.67
2017-08-10,101911.67
2017-08-11,101911.67
2017-08-14,101911.67
2017-08-15,101911.67
2017-08-16,101911.67
2017-08-17,101911.67
2017-08-18,101911.67
2017-08-21,101911.67
2017-08-22,101911.67
2017-08-23,101911.67
2017-08-24,101911.67
2017-08-25,101911.67
2017-08-28,101911.67
2017-08-29,101911.67
2017-08-30,101911.67
2017-08-31,101911.67
