entry_time,exit_time,direction,instrument,entry_price,exit_price,pct_return_gross,exit_reason,stop_price
2016-06-14,2016-06-20,long,SVXY,48.13,55.54,0.153958,signal,38.504
2016-06-29,2016-07-01,long,SVXY,46.57,50.61,0.086751,signal,37.256
2016-09-15,2016-09-19,long,SVXY,62.04,66.74,0.075758,signal,49.632
2016-11-02,2016-11-10,long,SVXY,69.46,74.0,0.065361,signal,55.568
2018-02-13,2018-02-15,long,SVXY,22.0,25.82,0.173636,signal,17.6
2018-02-22,2018-02-26,long,SVXY,24.66,27.3,0.107056,signal,19.728
2018-03-23,2018-03-29,long,SVXY,23.64,23.48,-0.006768,signal,18.912
2018-10-11,2018-10-16,long,SVXY,25.92,26.43,0.019676,signal,20.736
2018-10-23,2018-11-01,long,SVXY,24.32,24.68,0.014803,signal,19.456
2018-11-07,2018-11-09,long,SVXY,25.6,25.72,0.004687,signal,20.48
2018-11-26,2018-11-28,long,SVXY,23.98,24.97,0.041284,signal,19.184
2018-12-18,2019-01-02,long,SVXY,22.53,21.5,-0.045717,signal,18.024
2019-05-08,2019-05-14,long,SVXY,25.16,24.98,-0.007154,signal,20.128
2019-06-03,2019-06-05,long,SVXY,24.96,25.8,0.033654,signal,19.968
2019-08-06,2019-08-08,long,SVXY,25.31,26.31,0.03951,signal,20.248
2019-08-19,2019-08-21,long,SVXY,25.57,26.28,0.027767,signal,20.456
2019-09-04,2019-09-06,long,SVXY,25.22,26.38,0.045995,signal,20.176
2019-10-03,2019-10-07,long,SVXY,25.27,26.26,0.039177,signal,20.216
2020-01-28,2020-02-04,long,SVXY,32.12,32.44,0.009963,signal,25.696
2020-02-25,2020-03-05,long,SVXY,29.79,23.832,-0.2,stop_loss,23.832
2020-03-18,2020-03-20,long,SVXY,13.55,14.04,0.036162,signal,10.84
2020-03-26,2020-03-26,long,SVXY,15.23,15.68,0.029547,signal,12.184
2020-04-08,2020-04-08,long,SVXY,15.92,16.03,0.00691,signal,12.736
2020-04-22,2020-04-23,long,SVXY,15.31,15.45,0.009144,signal,12.248
2020-06-22,2020-06-30,long,SVXY,15.19,15.75,0.036866,signal,12.152
2020-09-10,2020-09-14,long,SVXY,17.24,17.75,0.029582,signal,13.792
2020-09-25,2020-09-29,long,SVXY,17.3,17.75,0.026012,signal,13.84
2020-11-04,2020-11-11,long,SVXY,17.89,19.79,0.106205,signal,14.312
2021-01-05,2021-01-07,long,SVXY,19.58,20.79,0.061798,signal,15.664
2021-02-26,2021-03-02,long,SVXY,20.16,20.87,0.035218,signal,16.128
2021-05-12,2021-05-14,long,SVXY,23.97,24.75,0.032541,signal,19.176
2021-05-21,2021-05-25,long,SVXY,24.45,24.94,0.020041,signal,19.56
2021-06-21,2021-06-23,long,SVXY,26.18,27.47,0.049274,signal,20.944
2021-07-20,2021-07-22,long,SVXY,25.29,26.84,0.061289,signal,20.232
2021-08-19,2021-08-23,long,SVXY,26.61,28.28,0.062758,signal,21.288
2021-09-13,2021-09-16,long,SVXY,28.64,29.03,0.013617,signal,22.912
2021-09-29,2021-10-05,long,SVXY,27.49,27.8,0.011277,signal,21.992
2021-11-29,2021-12-07,long,SVXY,28.6,27.99,-0.021329,signal,22.88
2021-12-15,2021-12-21,long,SVXY,28.41,28.48,0.002464,signal,22.728
2022-01-20,2022-02-01,long,SVXY,29.45,29.15,-0.010187,signal,23.56
2022-02-14,2022-02-16,long,SVXY,26.39,28.04,0.062524,signal,21.112
2022-03-04,2022-03-16,long,SVXY,24.28,25.46,0.0486,signal,19.424
2022-04-25,2022-05-04,long,SVXY,25.34,25.84,0.019732,signal,20.272
2022-05-20,2022-05-25,long,SVXY,24.26,24.22,-0.001649,signal,19.408
2022-08-29,2022-09-08,long,SVXY,26.2,27.14,0.035878,signal,20.96
2022-09-21,2022-10-28,long,SVXY,26.36,26.23,-0.004932,signal,21.088
2023-02-22,2023-02-27,long,SVXY,30.86,31.87,0.032728,signal,24.688
2023-03-10,2023-03-21,long,SVXY,31.22,30.67,-0.017617,signal,24.976
2023-05-25,2023-05-30,long,SVXY,34.85,35.96,0.031851,signal,27.88
2023-09-27,2023-09-29,long,SVXY,42.29,43.17,0.020809,signal,33.832
2023-10-16,2023-10-24,long,SVXY,41.82,41.49,-0.007891,signal,33.456
2024-04-16,2024-04-18,long,SVXY,51.43,52.12,0.013416,signal,41.144
2024-07-25,2024-07-29,long,SVXY,57.77,59.28,0.026138,signal,46.216
2024-08-09,2024-08-13,long,SVXY,46.01,50.79,0.10389,signal,36.808
2024-09-04,2024-09-10,long,SVXY,47.71,49.18,0.030811,signal,38.168
2024-10-04,2024-10-11,long,SVXY,48.02,47.69,-0.006872,signal,38.416
2024-11-01,2024-11-06,long,SVXY,46.53,51.09,0.098001,signal,37.224
2024-12-19,2024-12-23,long,SVXY,48.99,50.66,0.034089,signal,39.192
2025-01-13,2025-01-15,long,SVXY,47.2,51.04,0.081356,signal,37.76
2025-02-04,2025-02-06,long,SVXY,50.4,51.57,0.023214,signal,40.32
2025-02-24,2025-03-24,long,SVXY,50.79,48.91,-0.037015,signal,40.632
2025-04-07,2025-04-11,long,SVXY,34.95,34.63,-0.009156,signal,27.96
2025-04-22,2025-04-29,long,SVXY,35.23,37.88,0.07522,signal,28.184
2025-08-04,2025-08-06,long,SVXY,44.12,45.49,0.031052,signal,35.296
2025-10-13,2025-10-20,long,SVXY,48.94,49.58,0.013077,signal,39.152
2025-11-05,2025-11-10,long,SVXY,48.79,50.34,0.031769,signal,39.032
2025-11-21,2025-11-25,long,SVXY,46.38,49.26,0.062096,signal,37.104
2026-01-21,2026-01-23,long,SVXY,53.55,55.04,0.027824,signal,42.84
2026-02-05,2026-02-09,long,SVXY,52.73,54.74,0.038119,signal,42.184
2026-02-23,2026-02-25,long,SVXY,52.75,53.8,0.019905,signal,42.2
2026-03-10,2026-03-16,long,SVXY,48.84,48.53,-0.006347,signal,39.072
2026-03-25,2026-03-31,long,SVXY,46.98,45.8,-0.025117,end_of_data,37.584
