entry_time,exit_time,position,entry_price,exit_price,exit_reason,risk,shares,gross_pnl,fees,net_pnl,equity_before,equity,regime,entry_vix,exit_vix,days_held,is_pre_2018
2016-06-13,2016-06-20,long,49.05,55.54,signal,2.4525,968,6282.32,21.02,6261.3,100000.0,106261.3,normal,20.97,18.37,5,True
2016-06-28,2016-07-01,long,45.43,50.61,signal,2.2715,1111,5754.98,23.97,5731.01,106261.3,111992.32,normal,18.75,14.77,3,True
2016-09-14,2016-09-19,long,62.06,66.74,signal,3.103,857,4010.76,18.87,3991.89,111992.32,115984.2,normal,18.14,15.53,3,True
2016-11-01,2016-11-10,long,69.83,74.0,signal,3.4915,788,3285.96,17.51,3268.45,115984.2,119252.65,normal,18.56,14.74,7,True
2018-02-12,2018-02-15,long,22.68,25.82,signal,1.134,2497,7840.58,52.15,7788.43,119252.65,127041.09,normal,25.61,19.13,3,True
2018-02-21,2018-02-26,long,24.1,27.3,signal,1.205,2503,8009.6,52.38,7957.22,127041.09,134998.31,normal,20.02,15.8,3,True
2018-03-22,2018-03-29,long,23.44,23.48,signal,1.172,5471,218.84,113.9,104.94,134998.31,135103.25,normal,23.34,19.97,5,False
2018-10-10,2018-10-16,long,25.82,26.43,signal,1.291,4970,3031.7,103.88,2927.82,135103.25,138031.07,normal,22.96,17.62,4,False
2018-10-22,2018-11-01,long,25.42,24.68,signal,1.271,5158,-3816.92,107.56,-3924.48,138031.07,134106.6,normal,19.64,19.34,8,False
2018-11-06,2018-11-09,long,25.12,25.72,signal,1.256,5071,3042.6,105.89,2936.71,134106.6,137043.31,normal,19.91,17.36,3,False
2018-11-23,2018-11-28,long,23.72,24.97,signal,1.186,5488,6860.0,114.48,6745.52,137043.31,143788.83,normal,21.52,18.49,3,False
2018-12-17,2019-01-02,long,22.3,21.5,signal,1.115,6125,-4900.0,127.18,-5027.18,143788.83,138761.65,normal,24.52,23.22,10,False
2019-05-07,2019-05-14,long,24.91,24.98,signal,1.2455,5291,370.37,110.37,260.0,138761.65,139021.65,normal,19.32,18.06,5,False
2019-05-31,2019-06-05,long,24.91,25.8,signal,1.2455,5301,4717.89,110.7,4607.19,139021.65,143628.84,normal,18.71,16.09,3,False
