date,equity
2016-01-04,100000.0
2016-01-05,100107.13519200971
2016-01-06,100168.10037809509
2016-01-07,100883.14464576663
2016-01-08,101099.12140994873
2016-01-11,101230.9940228301
2016-01-12,101383.27408596684
2016-01-13,101881.57830906246
2016-01-14,102341.27238697838
2016-01-15,102058.86406982428
2016-01-18,102058.86406982428
2016-01-19,102220.1660070261
2016-01-20,103803.5255675625
2016-01-21,103635.52819360321
2016-01-22,103366.67651716262
2016-01-25,103551.3363893381
2016-01-26,103646.86872103391
2016-01-27,103902.23511303915
2016-01-28,103245.72438078563
2016-01-29,103890.43403730687
2016-02-01,104125.00589088388
2016-02-02,103466.7083726612
2016-02-03,103466.7083726612
2016-02-04,104030.88245480767
2016-02-05,105687.26207447957
2016-02-08,105534.2196421677
2016-02-09,104978.88900505617
2016-02-10,104689.31694453454
2016-02-11,103154.85798597732
2016-02-12,103413.92950914067
2016-02-15,103413.92950914067
2016-02-16,103443.8385523443
2016-02-17,103700.33896185757
2016-02-18,103427.22754376932
2016-02-19,102994.56850861912
2016-02-22,102369.59361561507
2016-02-23,102580.94369340072
2016-02-24,103697.3013832104
2016-02-25,104050.8559054095
2016-02-26,104562.19781344794
2016-02-29,104391.76693718813
2016-03-01,104850.1649984658
2016-03-02,105598.53504687293
2016-03-03,105217.18291076183
2016-03-04,105229.97004984732
2016-03-07,105130.3033928776
2016-03-08,104372.16701057515
2016-03-09,104327.09459381526
2016-03-10,104996.74884062773
2016-03-11,105104.29050562953
2016-03-14,105104.29050562953
2016-03-15,104993.09683273867
2016-03-16,105692.80029221816
2016-03-17,106478.16889058518
2016-03-18,107002.40832092114
2016-03-21,106563.47005333978
2016-03-22,106848.53234240349
2016-03-23,106658.44082213641
2016-03-24,106178.26235014517
2016-03-25,106178.26235014517
2016-03-28,105620.38696511358
2016-03-29,106459.26845672532
2016-03-30,106703.36731710343
2016-03-31,107208.13754956785
2016-04-01,108024.40912455483
2016-04-04,108376.93952385665
2016-04-05,107865.1147610626
2016-04-06,108151.36014090455
2016-04-07,108266.29813785711
2016-04-08,108439.08213387273
2016-04-11,108676.68947703243
2016-04-12,109480.63051066318
2016-04-13,109544.91277560193
2016-04-14,109064.98176631998
2016-04-15,109414.68288024966
2016-04-18,109780.43138067277
2016-04-19,109968.02473624967
2016-04-20,109860.27569584677
2016-04-21,109292.60605934834
2016-04-22,109800.0508121358
2016-04-25,109894.33125614011
2016-04-26,109889.43238062959
2016-04-27,109655.46156435832
2016-04-28,109591.39437102532
2016-04-29,109351.22824266864
2016-05-02,109292.4726898039
2016-05-03,109076.54081880616
2016-05-04,108501.26455338561
2016-05-05,109015.89150983012
2016-05-06,109080.35951116934
2016-05-09,108718.69912467807
2016-05-10,108806.38361299338
2016-05-11,108174.61170933644
2016-05-12,108300.24715022772
2016-05-13,108361.61841581485
2016-05-16,108061.68062599692
2016-05-17,108322.55567635295
2016-05-18,107261.77406193339
2016-05-19,106367.29414152296
2016-05-20,105569.15954797977
2016-05-23,105758.89270015295
2016-05-24,105300.94976761454
2016-05-25,105473.6756426282
2016-05-26,105491.7841571437
2016-05-27,105181.37844704514
2016-05-30,105181.37844704514
2016-05-31,105425.0598732233
2016-06-01,105851.56906599391
2016-06-02,106053.71072096465
2016-06-03,105794.2246970199
2016-06-06,105686.92682918701
2016-06-07,106182.00793890335
2016-06-08,105716.07125920485
2016-06-09,106103.34120110222
2016-06-10,106639.56222696326
2016-06-13,106503.31045556362
2016-06-14,106243.82273675175
2016-06-15,105925.95270647717
2016-06-16,106890.64500980961
2016-06-17,106587.33926352837
2016-06-20,106198.90164917553
2016-06-21,106176.05635212205
2016-06-22,105578.37973171109
2016-06-23,105582.30093569067
2016-06-24,106489.55373222544
2016-06-27,107123.47768147709
2016-06-28,106607.54890481368
2016-06-29,107014.83505662411
2016-06-30,106847.41678509595
2016-07-01,107009.95636591582
2016-07-04,107009.95636591582
2016-07-05,107923.11541463833
2016-07-06,108056.02582014195
2016-07-07,107857.190809672
2016-07-08,108140.38571574396
2016-07-11,107979.58402501015
2016-07-12,107622.06848617208
2016-07-13,107959.6716459268
2016-07-14,108331.18590709739
2016-07-15,108363.87447187616
2016-07-18,108363.50643342355
2016-07-19,107960.14755010081
2016-07-20,108414.03157099671
2016-07-21,108580.86721292202
2016-07-22,108580.86721292202
2016-07-25,108896.11800305099
2016-07-26,109205.62710658976
2016-07-27,109282.38955790095
2016-07-28,109678.47581624275
2016-07-29,109893.91594192575
2016-08-01,109911.80892582602
2016-08-02,110074.95579549554
2016-08-03,110024.16287920218
2016-08-04,109907.99361019552
2016-08-05,110313.08586548563
2016-08-08,110198.73022025003
2016-08-09,110189.07175927536
2016-08-10,109278.9668904493
2016-08-11,109280.05016365997
2016-08-12,109546.5576144755
2016-08-15,109963.72084905446
2016-08-16,109663.50246005272
2016-08-17,109074.09150146399
2016-08-18,108198.11498172843
2016-08-19,108099.39429366177
2016-08-22,107979.28462052088
2016-08-23,109410.67717680696
2016-08-24,109159.45490685402
2016-08-25,108950.03312020577
2016-08-26,110215.49680445701
2016-08-29,109949.87874699215
2016-08-30,109880.32527889966
2016-08-31,109910.15594367444
2016-09-01,109656.21177141253
2016-09-02,109325.89035371355
2016-09-05,109325.89035371355
2016-09-06,109006.98993451356
2016-09-07,109192.16370604924
2016-09-08,109806.0914291848
2016-09-09,110825.09074820112
2016-09-12,111884.37397412176
2016-09-13,111480.61882418123
2016-09-14,111785.7122932921
2016-09-15,111171.23308843935
2016-09-16,110427.22595664854
2016-09-19,109989.34097456836
2016-09-20,109880.50110262258
2016-09-21,109472.70830983768
2016-09-22,109451.05185751885
2016-09-23,109348.87210390755
2016-09-26,109294.6951933435
2016-09-27,110094.33397583748
2016-09-28,110717.30690078024
2016-09-29,111548.08428848413
2016-09-30,112058.12789260679
2016-10-03,111921.38929100503
2016-10-04,111511.55933141673
2016-10-05,111511.55933141673
2016-10-06,110871.87456490222
2016-10-07,110577.6675761022
2016-10-10,111282.06025287716
2016-10-11,111308.58382325643
2016-10-12,110751.21976889778
2016-10-13,110483.91789239831
2016-10-14,111020.02273264792
2016-10-17,111161.91605892299
2016-10-18,111575.4736089658
2016-10-19,111815.55508112488
2016-10-20,111546.10006266375
2016-10-21,111842.80783648099
2016-10-24,111827.27969665063
2016-10-25,112015.81590988272
2016-10-26,111749.48322497938
2016-10-27,112070.6248447474
2016-10-28,111683.80844672763
2016-10-31,111330.3062760823
2016-11-01,112003.98521749755
2016-11-02,112114.39504785006
2016-11-03,111907.76618442709
2016-11-04,112718.74640943357
2016-11-07,112621.62098214646
2016-11-08,113077.71278637534
2016-11-09,113502.34097895873
2016-11-10,114070.82433635062
2016-11-11,113440.21767553157
2016-11-14,112949.26918691787
2016-11-15,113413.75811894107
2016-11-16,113120.1668706414
2016-11-17,113881.58364093106
2016-11-18,115303.49974800965
2016-11-21,114190.44684803231
2016-11-22,114646.16696469916
2016-11-23,114755.81547468995
2016-11-24,114755.81547468995
2016-11-25,114642.35075404783
2016-11-28,114284.55875521438
2016-11-29,114115.72119577797
2016-11-30,113637.56360049183
2016-12-01,114026.90796927517
2016-12-02,114400.78519466992
2016-12-05,114340.54103882215
2016-12-06,114034.64627418746
2016-12-07,114357.1860924912
2016-12-08,114984.52493557018
2016-12-09,114871.18050835113
2016-12-12,113792.08555302004
2016-12-13,113631.177325244
2016-12-14,114714.12551160775
2016-12-15,114919.22399124256
2016-12-16,115341.47419982751
2016-12-19,115280.7685030991
2016-12-20,115677.26026134842
2016-12-21,115969.54098714294
2016-12-22,116313.35922064414
2016-12-23,116874.81816089274
2016-12-26,116874.81816089274
2016-12-27,117236.50115460061
2016-12-28,117026.1931545333
2016-12-29,117242.19149663454
2016-12-30,117281.09831169335
2017-01-02,117281.09831169335
2017-01-03,118616.89574538099
2017-01-04,118810.41328733708
2017-01-05,118678.84244559144
2017-01-06,118502.58956735805
2017-01-09,119371.29486519238
2017-01-10,119463.82970863732
2017-01-11,119219.4465734458
2017-01-12,118804.76341516175
2017-01-13,118845.58978135537
2017-01-16,118845.58978135537
2017-01-17,118415.10714643107
2017-01-18,118316.30525904651
2017-01-19,118284.78108428864
2017-01-20,118165.4987513532
2017-01-23,118865.88484275632
2017-01-24,118493.94345686241
2017-01-25,118473.8489558009
2017-01-26,117832.65272311773
2017-01-27,117472.51007937657
2017-01-30,116904.51274178614
2017-01-31,117178.17036315947
2017-02-01,117074.6303146262
2017-02-02,117445.89903736296
2017-02-03,117126.37611185209
2017-02-06,116447.58745886027
2017-02-07,116330.1250052464
2017-02-08,116428.14947271754
2017-02-09,116353.12467060625
2017-02-10,116613.13235210124
2017-02-13,116074.84281810619
2017-02-14,116138.16308647228
2017-02-15,115608.58002632679
2017-02-16,115829.15216427384
2017-02-17,115227.6434107288
2017-02-20,115227.6434107288
2017-02-21,116483.77768636087
2017-02-22,115923.54228455892
2017-02-23,115385.68318394062
2017-02-24,115205.45970934645
2017-02-27,114694.76514826658
2017-02-28,115447.90649971363
2017-03-01,116526.76804046932
2017-03-02,116292.94734792376
2017-03-03,116003.30880284595
2017-03-06,116432.28953823203
2017-03-07,116520.59465205469
2017-03-08,116336.29307687518
2017-03-09,115635.52795324753
2017-03-10,115493.0745436942
2017-03-13,115318.42767752387
2017-03-14,115536.99689622404
2017-03-15,116732.99636929839
2017-03-16,116621.24340717137
2017-03-17,116350.17078750781
2017-03-20,116293.88927640993
2017-03-21,116405.86025029155
2017-03-22,116393.23179945722
2017-03-23,116606.08528575387
2017-03-24,117149.99129445505
2017-03-27,117404.56465007138
2017-03-28,117003.42611744755
2017-03-29,117327.90788015602
2017-03-30,117155.67975714008
2017-03-31,116994.61250047333
2017-04-03,117122.66695033907
2017-04-04,117135.9214743475
2017-04-05,116752.78429207954
2017-04-06,116380.15400966252
2017-04-07,116497.20300750181
2017-04-10,116773.6394252915
2017-04-11,116773.6394252915
2017-04-12,117080.67264960284
2017-04-13,117203.58862598361
2017-04-14,117203.58862598361
