date,equity
2016-01-04,100000.0
2016-01-05,100085.37615433146
2016-01-06,100105.88045037839
2016-01-07,100860.96433500006
2016-01-08,101065.56995036735
2016-01-11,101185.40849933059
2016-01-12,101320.09681166416
2016-01-13,101868.88004170416
2016-01-14,102384.49194381747
2016-01-15,101973.44841731747
2016-01-18,101973.44841731747
2016-01-19,102127.20317878747
2016-01-20,103892.12458987541
2016-01-21,103634.77994803587
2016-01-22,103225.21724361196
2016-01-25,103369.67292988912
2016-01-26,103441.6980765535
2016-01-27,104099.57908304951
2016-01-28,103354.85326527807
2016-01-29,103979.1424297117
2016-02-01,104180.3970629737
2016-02-02,103412.74857053223
2016-02-03,103412.74857053223
2016-02-04,103919.26609093648
2016-02-05,106427.15209634468
2016-02-08,106040.22652208238
2016-02-09,105356.45597476297
2016-02-10,105028.10166563964
2016-02-11,102824.70262351379
2016-02-12,103025.0426263799
2016-02-15,103025.0426263799
2016-02-16,103006.17088567928
2016-02-17,103188.82137752675
2016-02-18,102574.45272744042
2016-02-19,102075.13043261759
2016-02-22,101285.03355528558
2016-02-23,101450.56967487864
2016-02-24,102631.32356677075
2016-02-25,102966.85712539873
2016-02-26,103489.67423814145
2016-02-29,103195.59859876687
2016-03-01,103722.62341073246
2016-03-02,104633.50841509152
2016-03-03,104067.84945544405
2016-03-04,104026.13691746695
2016-03-07,103828.30515865589
2016-03-08,102558.63241740549
2016-03-09,102414.62006725908
2016-03-10,103343.46917145653
2016-03-11,103424.49184486445
2016-03-14,103424.49184486445
2016-03-15,103079.00219488589
2016-03-16,104003.21823681609
2016-03-17,105058.85148935838
2016-03-18,105669.66283601544
2016-03-21,104911.18061762853
2016-03-22,105283.47912295473
2016-03-23,104025.96732425506
2016-03-24,102301.875234139
2016-03-25,102301.875234139
2016-03-28,101375.92878339221
2016-03-29,102542.57380247484
2016-03-30,102877.32053932124
2016-03-31,103637.52817400075
2016-04-01,104949.89298643601
2016-04-04,105497.2573411567
2016-04-05,104443.67901149069
2016-04-06,104818.68146781248
2016-04-07,104951.85804388038
2016-04-08,105150.70328506241
2016-04-11,105503.2653445321
2016-04-12,106921.87705860696
2016-04-13,106935.12322327014
2016-04-14,105920.0332595854
2016-04-15,106464.55586964815
2016-04-18,107060.7141583803
2016-04-19,107322.52211667123
2016-04-20,107067.09859806493
2016-04-21,106036.16236322047
2016-04-22,106735.53110049848
2016-04-25,106836.66266205296
2016-04-26,106661.56486050488
2016-04-27,106147.41776493166
2016-04-28,105862.04309637539
2016-04-29,105311.83300297763
2016-05-02,105111.72465322487
2016-05-03,104567.28991158438
2016-05-04,103553.00574127238
2016-05-05,104261.70251038247
2016-05-06,104256.07094331627
2016-05-09,103581.72074228132
2016-05-10,103618.52163515231
2016-05-11,102491.78285886551
2016-05-12,102596.68177902649
2016-05-13,102573.9038875523
2016-05-16,102013.6268687713
2016-05-17,102383.44109415766
2016-05-18,100456.79313387926
2016-05-19,98890.98783336843
2016-05-20,97312.47456228104
2016-05-23,97545.36981561291
2016-05-24,96514.2089171886
2016-05-25,96757.23500021087
2016-05-26,96723.38169350647
2016-05-27,96078.31564121581
2016-05-30,96078.31564121581
2016-05-31,96491.82543511005
2016-06-01,97376.94002911242
2016-06-02,97716.43166076351
2016-06-03,96956.06027129694
2016-06-06,96592.12524216695
2016-06-07,97689.62280541586
2016-06-08,96588.13521699025
2016-06-09,97274.00916191016
2016-06-10,98123.15761305342
2016-06-13,97508.11155826662
2016-06-14,97032.67649374969
2016-06-15,96509.87535708377
2016-06-16,97731.94937456703
2016-06-17,96695.90826865355
2016-06-20,96073.5242513764
2016-06-21,95973.57791501832
2016-06-22,95075.5546509749
2016-06-23,94945.070043845
2016-06-24,96508.74554466936
2016-06-27,97011.61652554775
2016-06-28,96514.78649870318
2016-06-29,96816.42581192998
2016-06-30,96638.1327950252
2016-07-01,96734.91586818013
2016-07-04,96734.91586818013
2016-07-05,97440.6970032772
2016-07-06,97493.76154231385
2016-07-07,97318.2543537982
2016-07-08,97500.72910880108
2016-07-11,97337.55445305759
2016-07-12,97017.82622689258
2016-07-13,97238.36498333712
2016-07-14,97469.62867982744
2016-07-15,97472.32464278468
2016-07-18,97430.03796454813
2016-07-19,96875.76795063776
2016-07-20,97350.96037848861
2016-07-21,97510.56937359498
2016-07-22,97510.56937359498
2016-07-25,97878.27475684587
2016-07-26,98315.89145210173
2016-07-27,98348.80217027594
2016-07-28,98918.41720593696
2016-07-29,99258.53589860181
2016-08-01,99193.68301190846
2016-08-02,99470.28681431059
2016-08-03,99219.58622340343
2016-08-04,98803.93563522014
2016-08-05,99579.2286804026
2016-08-08,99107.51903729053
2016-08-09,98955.79024205767
2016-08-10,96817.30749166745
2016-08-11,96708.70212169271
2016-08-12,97095.32317985539
2016-08-15,97988.72536368924
2016-08-16,97174.8740571897
2016-08-17,95628.72731916109
2016-08-18,93661.15963371602
2016-08-19,93288.27800158728
2016-08-22,92932.41089123301
2016-08-23,95606.63639898869
2016-08-24,95098.06994673693
2016-08-25,94675.00346341172
2016-08-26,96585.45867136511
2016-08-29,96071.79984463856
2016-08-30,95899.11243367523
2016-08-31,95868.88769341026
2016-09-01,95331.30768721472
2016-09-02,94575.11004780786
2016-09-05,94575.11004780786
2016-09-06,93894.25758352199
2016-09-07,94103.71792922192
2016-09-08,95054.72585191815
2016-09-09,98893.07272663941
2016-09-12,101344.67293177656
2016-09-13,100703.08367319591
2016-09-14,101059.82946777329
2016-09-15,100151.36583755173
2016-09-16,98911.36542199887
2016-09-19,98184.02556978719
2016-09-20,97915.94899836827
2016-09-21,97262.48352370865
2016-09-22,97181.31506860006
2016-09-23,97002.43193535908
2016-09-26,96848.15096186004
2016-09-27,97733.5710983309
2016-09-28,98270.36028872558
2016-09-29,99040.39121361743
2016-09-30,99515.43486425321
2016-10-03,99275.0268608139
2016-10-04,98734.94759710655
2016-10-05,98734.94759710655
2016-10-06,97885.18306850229
2016-10-07,97386.03451351446
2016-10-10,98194.03058787287
2016-10-11,98150.9970280467
2016-10-12,97433.56533895519
2016-10-13,97079.51151331584
2016-10-14,97650.11107470863
2016-10-17,97734.62951341776
2016-10-18,98252.70971939413
2016-10-19,98488.73129125158
2016-10-20,97990.5173367556
2016-10-21,98321.23710374771
2016-10-24,98277.34283278482
2016-10-25,98430.85795310306
2016-10-26,98014.88884188893
2016-10-27,98323.01544079467
