date,equity
2016-01-04,100000.0
2016-01-05,100016.08852877177
2016-01-06,99961.24886818364
2016-01-07,100453.07030584473
2016-01-08,100570.1383132815
2016-01-11,100627.40554582223
2016-01-12,100681.05197709758
2016-01-13,101100.15908514147
2016-01-14,101503.87104953983
2016-01-15,101060.3699240399
2016-01-18,101060.3699240399
2016-01-19,101143.54323296555
2016-01-20,102534.6118754416
2016-01-21,102241.38468814339
2016-01-22,101779.19160163122
2016-01-25,101808.01782283714
2016-01-26,101825.24591790863
2016-01-27,101835.04470635198
2016-01-28,100989.27641196601
2016-01-29,101420.83082321336
2016-02-01,101551.35421626794
2016-02-02,100667.28454804685
2016-02-03,100667.28454804685
2016-02-04,101157.74856575782
2016-02-05,102694.38649342756
2016-02-08,102203.79616172804
2016-02-09,101401.21193520719
2016-02-10,100962.6516940854
2016-02-11,99085.211546649
2016-02-12,99207.32211539021
2016-02-15,99207.32211539021
2016-02-16,99119.44464350311
2016-02-17,99154.28837078942
2016-02-18,98602.28713506028
2016-02-19,98026.86000481618
2016-02-22,97197.23672408922
2016-02-23,97261.76325951774
2016-02-24,98234.2258758301
2016-02-25,98423.24272426109
2016-02-26,98776.82505729521
2016-02-29,98446.4574681515
2016-03-01,98773.37311419962
2016-03-02,99426.23746625864
2016-03-03,98912.4870616458
2016-03-04,98819.2268404469
2016-03-07,98646.31721993283
2016-03-08,97718.44591235032
2016-03-09,97554.66891466785
2016-03-10,98065.5466561103
2016-03-11,98037.24900476492
2016-03-14,98037.24900476492
2016-03-15,97709.28537859289
2016-03-16,98112.24807160872
2016-03-17,98757.5954044298
2016-03-18,99055.10841049532
2016-03-21,98392.29794887532
2016-03-22,98578.5254107213
2016-03-23,98131.85415458004
2016-03-24,97398.55331974108
2016-03-25,97398.55331974108
2016-03-28,96741.46322282885
2016-03-29,97419.4390735551
2016-03-30,97550.24815274194
2016-03-31,97902.61783742711
2016-04-01,98578.28337029103
2016-04-04,98817.4244918275
2016-04-05,98091.9766972838
2016-04-06,98250.76845428995
2016-04-07,98263.5378107925
2016-04-08,98263.69093271563
2016-04-11,98359.38180967353
2016-04-12,98991.30619185531
2016-04-13,98921.06464423543
2016-04-14,98317.420959524
2016-04-15,98526.50093936424
2016-04-18,98768.36104317536
2016-04-19,98822.39660208028
2016-04-20,98611.90553160907
2016-04-21,97942.84258288902
2016-04-22,98279.24503158504
2016-04-25,98295.44176994538
2016-04-26,98089.10549313936
2016-04-27,97758.95038725287
2016-04-28,97529.17475255023
2016-04-29,97198.10895557443
2016-05-02,97033.68617173072
2016-05-03,96661.74457074245
2016-05-04,96020.72003633023
2016-05-05,96372.71061275578
2016-05-06,96282.70872697113
2016-05-09,95792.34288284794
2016-05-10,95722.45484406753
2016-05-11,94987.72174734375
