entry_time,exit_time,entry_price,exit_price,stop_price,direction,instrument,basket
2016-01-04 09:30:00-05:00,2016-01-04 09:50:00-05:00,63.6,63.62,,short,MTUM,us_factor
2016-01-04 09:50:00-05:00,2016-01-04 10:00:00-05:00,63.62,63.31,,long,MTUM,us_factor
2016-01-04 10:00:00-05:00,2016-01-04 13:00:00-05:00,63.31,63.36,,short,MTUM,us_factor
2016-01-04 13:00:00-05:00,2016-01-04 13:20:00-05:00,63.36,63.25,,long,MTUM,us_factor
2016-01-04 13:20:00-05:00,2016-01-04 13:35:00-05:00,63.25,63.34,,short,MTUM,us_factor
2016-01-04 13:35:00-05:00,2016-01-04 13:45:00-05:00,63.34,63.27,,long,MTUM,us_factor
2016-01-04 13:45:00-05:00,2016-01-04 14:20:00-05:00,63.27,63.32,,short,MTUM,us_factor
2016-01-04 14:20:00-05:00,2016-01-04 14:30:00-05:00,63.32,63.19,,long,MTUM,us_factor
2016-01-04 14:30:00-05:00,2016-01-04 15:45:00-05:00,63.19,63.47,,short,MTUM,us_factor
2016-01-04 15:45:00-05:00,2016-01-04 15:55:00-05:00,63.47,63.59,,long,MTUM,us_factor
2016-01-07 09:30:00-05:00,2016-01-07 12:35:00-05:00,62.54,62.74,,long,MTUM,us_factor
2016-01-07 12:35:00-05:00,2016-01-07 12:45:00-05:00,62.74,62.79,,short,MTUM,us_factor
2016-01-07 12:45:00-05:00,2016-01-07 12:55:00-05:00,62.79,62.7,,long,MTUM,us_factor
2016-01-07 12:55:00-05:00,2016-01-07 15:55:00-05:00,62.7,62.11,,short,MTUM,us_factor
2016-01-15 09:30:00-05:00,2016-01-15 15:55:00-05:00,60.05,60.12,,long,MTUM,us_factor
2016-01-20 09:30:00-05:00,2016-01-20 09:40:00-05:00,59.89,59.64,,long,MTUM,us_factor
2016-01-20 09:40:00-05:00,2016-01-20 13:00:00-05:00,59.64,58.91,,short,MTUM,us_factor
2016-01-20 13:00:00-05:00,2016-01-20 13:10:00-05:00,58.91,58.77,,long,MTUM,us_factor
2016-01-20 13:10:00-05:00,2016-01-20 13:30:00-05:00,58.77,58.94,,short,MTUM,us_factor
2016-01-20 13:30:00-05:00,2016-01-20 15:55:00-05:00,58.94,59.97,,long,MTUM,us_factor
2016-01-27 09:30:00-05:00,2016-01-27 11:20:00-05:00,61.16,61.03,,short,MTUM,us_factor
2016-01-27 11:20:00-05:00,2016-01-27 13:15:00-05:00,61.03,61.22,,long,MTUM,us_factor
2016-01-27 13:15:00-05:00,2016-01-27 15:55:00-05:00,61.22,60.34,,short,MTUM,us_factor
2016-02-05 09:30:00-05:00,2016-02-05 15:55:00-05:00,60.2,58.77,,short,MTUM,us_factor
2016-02-08 09:30:00-05:00,2016-02-08 09:40:00-05:00,57.44,57.61,,short,MTUM,us_factor
2016-02-08 09:40:00-05:00,2016-02-08 09:50:00-05:00,57.61,57.38,,long,MTUM,us_factor
2016-02-08 09:50:00-05:00,2016-02-08 10:00:00-05:00,57.38,57.61,,short,MTUM,us_factor
2016-02-08 10:00:00-05:00,2016-02-08 10:10:00-05:00,57.61,57.42,,long,MTUM,us_factor
2016-02-08 10:10:00-05:00,2016-02-08 12:20:00-05:00,57.42,57.22,,short,MTUM,us_factor
2016-02-08 12:20:00-05:00,2016-02-08 12:35:00-05:00,57.22,57.18,,long,MTUM,us_factor
2016-02-08 12:35:00-05:00,2016-02-08 15:15:00-05:00,57.18,57.05,,short,MTUM,us_factor
2016-02-08 15:15:00-05:00,2016-02-08 15:55:00-05:00,57.05,57.48,,long,MTUM,us_factor
2016-02-09 09:30:00-05:00,2016-02-09 10:40:00-05:00,57.01,57.63,,long,MTUM,us_factor
2016-02-09 10:40:00-05:00,2016-02-09 11:05:00-05:00,57.63,57.72,,short,MTUM,us_factor
2016-02-09 11:05:00-05:00,2016-02-09 11:50:00-05:00,57.72,57.65,,long,MTUM,us_factor
2016-02-09 11:50:00-05:00,2016-02-09 14:05:00-05:00,57.65,57.73,,short,MTUM,us_factor
2016-02-09 14:05:00-05:00,2016-02-09 14:15:00-05:00,57.73,57.63,,long,MTUM,us_factor
2016-02-09 14:15:00-05:00,2016-02-09 14:35:00-05:00,57.63,57.84,,short,MTUM,us_factor
2016-02-09 14:35:00-05:00,2016-02-09 15:55:00-05:00,57.84,57.71,,long,MTUM,us_factor
2016-02-11 09:30:00-05:00,2016-02-11 09:45:00-05:00,57.66,57.58,,long,MTUM,us_factor
2016-02-11 09:45:00-05:00,2016-02-11 09:55:00-05:00,57.58,57.91,,short,MTUM,us_factor
2016-02-11 09:55:00-05:00,2016-02-11 10:25:00-05:00,57.91,57.63,,long,MTUM,us_factor
2016-02-11 10:25:00-05:00,2016-02-11 12:00:00-05:00,57.63,57.62,,short,MTUM,us_factor
2016-02-11 12:00:00-05:00,2016-02-11 12:20:00-05:00,57.62,57.54,,long,MTUM,us_factor
2016-02-11 12:20:00-05:00,2016-02-11 12:30:00-05:00,57.54,57.56,,short,MTUM,us_factor
2016-02-11 12:30:00-05:00,2016-02-11 12:40:00-05:00,57.56,57.55,,long,MTUM,us_factor
2016-02-11 12:40:00-05:00,2016-02-11 12:50:00-05:00,57.55,57.7,,short,MTUM,us_factor
2016-02-11 12:50:00-05:00,2016-02-11 13:55:00-05:00,57.7,57.58,,long,MTUM,us_factor
2016-02-11 13:55:00-05:00,2016-02-11 14:05:00-05:00,57.58,57.63,,short,MTUM,us_factor
2016-02-11 14:05:00-05:00,2016-02-11 14:15:00-05:00,57.63,57.45,,long,MTUM,us_factor
2016-02-11 14:15:00-05:00,2016-02-11 14:35:00-05:00,57.45,57.63,,short,MTUM,us_factor
2016-02-11 14:35:00-05:00,2016-02-11 15:55:00-05:00,57.63,57.97,,long,MTUM,us_factor
2016-02-18 09:30:00-05:00,2016-02-18 09:50:00-05:00,60.59,60.65,,short,MTUM,us_factor
2016-02-18 09:50:00-05:00,2016-02-18 10:15:00-05:00,60.65,60.58,,long,MTUM,us_factor
2016-02-18 10:15:00-05:00,2016-02-18 10:25:00-05:00,60.58,60.63,,short,MTUM,us_factor
2016-02-18 10:25:00-05:00,2016-02-18 10:40:00-05:00,60.63,60.45,,long,MTUM,us_factor
2016-02-18 10:40:00-05:00,2016-02-18 12:00:00-05:00,60.45,60.56,,short,MTUM,us_factor
2016-02-18 12:00:00-05:00,2016-02-18 12:10:00-05:00,60.56,60.52,,long,MTUM,us_factor
2016-02-18 12:10:00-05:00,2016-02-18 12:25:00-05:00,60.52,60.59,,short,MTUM,us_factor
2016-02-18 12:25:00-05:00,2016-02-18 12:35:00-05:00,60.59,60.51,,long,MTUM,us_factor
2016-02-18 12:35:00-05:00,2016-02-18 14:30:00-05:00,60.51,60.46,,short,MTUM,us_factor
2016-02-18 14:30:00-05:00,2016-02-18 14:40:00-05:00,60.46,60.42,,long,MTUM,us_factor
2016-02-18 14:40:00-05:00,2016-02-18 14:50:00-05:00,60.42,60.44,,short,MTUM,us_factor
2016-02-18 14:50:00-05:00,2016-02-18 15:00:00-05:00,60.44,60.38,,long,MTUM,us_factor
2016-02-18 15:00:00-05:00,2016-02-18 15:55:00-05:00,60.38,60.17,,short,MTUM,us_factor
2016-03-23 09:30:00-04:00,2016-03-23 09:45:00-04:00,63.64,63.75,,short,MTUM,us_factor
2016-03-23 09:45:00-04:00,2016-03-23 11:25:00-04:00,63.75,63.87,,long,MTUM,us_factor
2016-03-23 11:25:00-04:00,2016-03-23 11:40:00-04:00,63.87,63.88,,short,MTUM,us_factor
2016-03-23 11:40:00-04:00,2016-03-23 11:50:00-04:00,63.88,63.8,,long,MTUM,us_factor
2016-03-23 11:50:00-04:00,2016-03-23 12:10:00-04:00,63.8,63.91,,short,MTUM,us_factor
2016-03-23 12:10:00-04:00,2016-03-23 14:50:00-04:00,63.91,63.84,,long,MTUM,us_factor
2016-03-23 14:50:00-04:00,2016-03-23 15:45:00-04:00,63.84,63.9,,short,MTUM,us_factor
2016-03-23 15:45:00-04:00,2016-03-23 15:55:00-04:00,63.9,63.84,,long,MTUM,us_factor
2016-03-24 09:30:00-04:00,2016-03-24 10:25:00-04:00,63.62,63.65,,long,MTUM,us_factor
2016-03-24 10:25:00-04:00,2016-03-24 10:35:00-04:00,63.65,63.69,,short,MTUM,us_factor
2016-03-24 10:35:00-04:00,2016-03-24 11:15:00-04:00,63.69,63.69,,long,MTUM,us_factor
2016-03-24 11:15:00-04:00,2016-03-24 11:35:00-04:00,63.69,63.7,,short,MTUM,us_factor
2016-03-24 11:35:00-04:00,2016-03-24 11:45:00-04:00,63.7,63.59,,long,MTUM,us_factor
2016-03-24 11:45:00-04:00,2016-03-24 12:10:00-04:00,63.59,63.7,,short,MTUM,us_factor
2016-03-24 12:10:00-04:00,2016-03-24 12:25:00-04:00,63.7,63.59,,long,MTUM,us_factor
2016-03-24 12:25:00-04:00,2016-03-24 14:40:00-04:00,63.59,63.73,,short,MTUM,us_factor
2016-03-24 14:40:00-04:00,2016-03-24 15:55:00-04:00,63.73,63.8,,long,MTUM,us_factor
2016-06-13 09:30:00-04:00,2016-06-13 09:45:00-04:00,66.95,66.83,,long,MTUM,us_factor
2016-06-13 09:45:00-04:00,2016-06-13 10:00:00-04:00,66.83,66.97,,short,MTUM,us_factor
2016-06-13 10:00:00-04:00,2016-06-13 10:10:00-04:00,66.97,66.85,,long,MTUM,us_factor
2016-06-13 10:10:00-04:00,2016-06-13 10:30:00-04:00,66.85,66.96,,short,MTUM,us_factor
2016-06-13 10:30:00-04:00,2016-06-13 10:40:00-04:00,66.96,66.92,,long,MTUM,us_factor
2016-06-13 10:40:00-04:00,2016-06-13 15:55:00-04:00,66.92,66.49,,short,MTUM,us_factor
2016-06-17 09:30:00-04:00,2016-06-17 10:15:00-04:00,66.45,66.25,,short,MTUM,us_factor
2016-06-17 10:15:00-04:00,2016-06-17 10:25:00-04:00,66.25,66.11,,long,MTUM,us_factor
2016-06-17 10:25:00-04:00,2016-06-17 12:05:00-04:00,66.11,66.18,,short,MTUM,us_factor
2016-06-17 12:05:00-04:00,2016-06-17 12:45:00-04:00,66.18,66.14,,long,MTUM,us_factor
2016-06-17 12:45:00-04:00,2016-06-17 12:55:00-04:00,66.14,66.17,,short,MTUM,us_factor
2016-06-17 12:55:00-04:00,2016-06-17 13:05:00-04:00,66.17,66.16,,long,MTUM,us_factor
2016-06-17 13:05:00-04:00,2016-06-17 13:15:00-04:00,66.16,66.25,,short,MTUM,us_factor
2016-06-17 13:15:00-04:00,2016-06-17 15:55:00-04:00,66.25,66.28,,long,MTUM,us_factor
2016-06-24 09:30:00-04:00,2016-06-24 12:10:00-04:00,65.75,66.22,,long,MTUM,us_factor
2016-06-24 12:10:00-04:00,2016-06-24 12:30:00-04:00,66.22,66.34,,short,MTUM,us_factor
2016-06-24 12:30:00-04:00,2016-06-24 12:40:00-04:00,66.34,66.15,,long,MTUM,us_factor
2016-06-24 12:40:00-04:00,2016-06-24 13:35:00-04:00,66.15,66.32,,short,MTUM,us_factor
2016-06-24 13:35:00-04:00,2016-06-24 13:45:00-04:00,66.32,66.25,,long,MTUM,us_factor
2016-06-24 13:45:00-04:00,2016-06-24 15:55:00-04:00,66.25,65.81,,short,MTUM,us_factor
2016-09-09 09:30:00-04:00,2016-09-09 15:55:00-04:00,68.54,67.29,,short,MTUM,us_factor
2016-09-12 09:30:00-04:00,2016-09-12 15:55:00-04:00,67.21,68.31,,long,MTUM,us_factor
2016-09-16 09:30:00-04:00,2016-09-16 10:35:00-04:00,67.89,67.88,,short,MTUM,us_factor
2016-09-16 10:35:00-04:00,2016-09-16 11:00:00-04:00,67.88,67.84,,long,MTUM,us_factor
2016-09-16 11:00:00-04:00,2016-09-16 11:10:00-04:00,67.84,67.87,,short,MTUM,us_factor
2016-09-16 11:10:00-04:00,2016-09-16 11:25:00-04:00,67.87,67.81,,long,MTUM,us_factor
2016-09-16 11:25:00-04:00,2016-09-16 11:35:00-04:00,67.81,67.86,,short,MTUM,us_factor
2016-09-16 11:35:00-04:00,2016-09-16 13:25:00-04:00,67.86,67.86,,long,MTUM,us_factor
2016-09-16 13:25:00-04:00,2016-09-16 14:05:00-04:00,67.86,67.88,,short,MTUM,us_factor
2016-09-16 14:05:00-04:00,2016-09-16 15:55:00-04:00,67.88,68.0,,long,MTUM,us_factor
2016-11-10 09:30:00-05:00,2016-11-10 10:45:00-05:00,67.55,66.65,,short,MTUM,us_factor
2016-11-10 10:45:00-05:00,2016-11-10 10:55:00-05:00,66.65,66.56,,long,MTUM,us_factor
2016-11-10 10:55:00-05:00,2016-11-10 11:20:00-05:00,66.56,66.72,,short,MTUM,us_factor
2016-11-10 11:20:00-05:00,2016-11-10 15:55:00-05:00,66.72,66.88,,long,MTUM,us_factor
2016-11-14 09:30:00-05:00,2016-11-14 13:35:00-05:00,66.67,66.37,,short,MTUM,us_factor
2016-11-14 13:35:00-05:00,2016-11-14 13:45:00-05:00,66.37,66.25,,long,MTUM,us_factor
2016-11-14 13:45:00-05:00,2016-11-14 14:55:00-05:00,66.25,66.4,,short,MTUM,us_factor
2016-11-14 14:55:00-05:00,2016-11-14 15:35:00-05:00,66.4,66.29,,long,MTUM,us_factor
2016-11-14 15:35:00-05:00,2016-11-14 15:55:00-05:00,66.29,66.25,,short,MTUM,us_factor
2016-11-23 09:30:00-05:00,2016-11-23 10:25:00-05:00,67.77,67.79,,short,MTUM,us_factor
2016-11-23 10:25:00-05:00,2016-11-23 10:35:00-05:00,67.79,67.75,,long,MTUM,us_factor
2016-11-23 10:35:00-05:00,2016-11-23 12:40:00-05:00,67.75,67.77,,short,MTUM,us_factor
2016-11-23 12:40:00-05:00,2016-11-23 13:30:00-05:00,67.77,67.74,,long,MTUM,us_factor
2016-11-23 13:30:00-05:00,2016-11-23 13:40:00-05:00,67.74,67.76,,short,MTUM,us_factor
2016-11-23 13:40:00-05:00,2016-11-23 13:50:00-05:00,67.76,67.7,,long,MTUM,us_factor
2016-11-23 13:50:00-05:00,2016-11-23 14:30:00-05:00,67.7,67.76,,short,MTUM,us_factor
2016-11-23 14:30:00-05:00,2016-11-23 14:40:00-05:00,67.76,67.73,,long,MTUM,us_factor
2016-11-23 14:40:00-05:00,2016-11-23 14:50:00-05:00,67.73,67.76,,short,MTUM,us_factor
2016-11-23 14:50:00-05:00,2016-11-23 15:15:00-05:00,67.76,67.73,,long,MTUM,us_factor
2016-11-23 15:15:00-05:00,2016-11-23 15:30:00-05:00,67.73,67.75,,short,MTUM,us_factor
2016-11-23 15:30:00-05:00,2016-11-23 15:55:00-05:00,67.75,67.84,,long,MTUM,us_factor
2017-01-13 09:30:00-05:00,2017-01-13 14:05:00-05:00,69.52,69.59,,long,MTUM,us_factor
2017-01-13 14:05:00-05:00,2017-01-13 14:40:00-05:00,69.59,69.63,,short,MTUM,us_factor
