date,equity
2016-08-01,100000.0
2016-08-02,99774.92
2016-08-03,99907.32
2016-08-04,100582.56
2016-08-05,100317.76
2016-08-08,100913.56
2016-08-09,101376.96
2016-08-10,101681.48
2016-08-11,101522.6
2016-08-12,101959.52
2016-08-15,102078.68
2016-08-16,101813.88
2016-08-17,102118.4
2016-08-18,102356.72
2016-08-19,101880.08
2016-08-22,102012.48
2016-08-23,102105.16
2016-08-24,101760.92
2016-08-25,101747.68
2016-08-26,101615.28
2016-08-29,102118.4
2016-08-30,102078.68
2016-08-31,101707.96
2016-09-01,101588.8
2016-09-02,101880.08
2016-09-05,101880.08
2016-09-06,102502.36
2016-09-07,102793.64
2016-09-08,102330.24
2016-09-09,101324.0
2016-09-12,101310.76
2016-09-13,100185.36
2016-09-14,100383.96
2016-09-15,100794.4
2016-09-16,100516.36
2016-09-19,100873.84
2016-09-20,100979.76
2016-09-21,102078.68
2016-09-22,102475.88
2016-09-23,102158.12
2016-09-26,101840.36
2016-09-27,102131.64
2016-09-28,102237.56
2016-09-29,101827.12
2016-09-30,102102.102012808
2016-10-03,102300.702012808
2016-10-04,101863.782012808
2016-10-05,101890.262012808
2016-10-06,101704.902012808
2016-10-07,101784.342012808
2016-10-10,102168.302012808
2016-10-11,101347.422012808
2016-10-12,101347.422012808
2016-10-13,101585.742012808
2016-10-14,101082.622012808
2016-10-17,101109.102012808
2016-10-18,101267.982012808
2016-10-19,101400.382012808
2016-10-20,101479.822012808
2016-10-21,101903.50201280799
2016-10-24,101890.262012808
2016-10-25,101943.222012808
2016-10-26,101347.422012808
2016-10-27,100473.582012808
2016-10-28,100235.262012808
2016-10-31,100341.182012808
2016-11-01,100235.262012808
2016-11-02,100129.342012808
2016-11-03,100394.14201280799
2016-11-04,100142.582012808
2016-11-07,100950.222012808
2016-11-08,101215.022012808
2016-11-09,99718.902012808
2016-11-10,96038.182012808
2016-11-11,95482.102012808
2016-11-14,95005.462012808
2016-11-15,96633.982012808
2016-11-16,96567.782012808
2016-11-17,96369.182012808
2016-11-18,95826.342012808
2016-11-21,96250.022012808
2016-11-22,96673.702012808
2016-11-23,95945.50201280799
2016-11-24,95945.50201280799
2016-11-25,96011.702012808
2016-11-28,96342.702012808
2016-11-29,96250.022012808
2016-11-30,95982.333338736
2016-12-01,95453.13333873599
2016-12-02,95506.053338736
2016-12-05,95916.18333873598
2016-12-06,96379.233338736
2016-12-07,96948.12333873598
2016-12-08,96881.97333873599
2016-12-09,96485.073338736
2016-12-12,96723.21333873598
2016-12-13,97027.50333873599
2016-12-14,96180.78333873599
2016-12-15,96008.793338736
2016-12-16,96194.013338736
2016-12-19,96630.603338736
2016-12-20,96802.59333873598
2016-12-21,97120.113338736
2016-12-22,97146.573338736
2016-12-23,97292.103338736
2016-12-26,97292.103338736
2016-12-27,97212.72333873599
2016-12-28,97345.023338736
2016-12-29,97569.93333873598
2016-12-30,97411.173338736
2017-01-02,97411.173338736
2017-01-03,97741.923338736
2017-01-04,98350.50333873599
2017-01-05,99117.84333873598
2017-01-06,99064.923338736
2017-01-09,98945.853338736
2017-01-10,98787.09333873598
2017-01-11,98879.703338736
2017-01-12,99078.15333873598
2017-01-13,99117.84333873598
2017-01-16,99117.84333873598
2017-01-17,99527.97333873599
2017-01-18,98853.243338736
2017-01-19,98588.643338736
2017-01-20,98720.94333873599
2017-01-23,99183.993338736
2017-01-24,98853.243338736
