entry_time,exit_time,position,instrument,entry_price,exit_price,exit_reason,risk,shares,gross_pnl,fees,net_pnl,equity_before,equity
2002-02-28,2002-04-30,long,IEF_proxy,79.8869,78.4195,rebalance,3.9943,125,-183.43,2.0,-185.43,100000.0,99814.57
2002-05-31,2002-12-02,long,TLT_proxy,60.8765,65.08,rebalance,3.0438,163,685.17,1.98,683.19,99814.57,100497.76
2002-05-31,2003-09-01,long,IEF_proxy,78.7018,81.741,rebalance,3.9351,127,385.98,2.0,383.98,100497.76,100881.74
2002-12-31,2003-09-01,long,TLT_proxy,67.0701,63.9268,rebalance,3.3535,150,-471.49,2.01,-473.51,100881.74,100408.23
2003-12-31,2004-02-02,long,TLT_proxy,65.0614,66.1402,rebalance,3.2531,154,166.13,2.0,164.13,100408.23,100572.36
2004-04-30,2004-05-31,long,TLT_proxy,63.7408,63.4246,rebalance,3.187,157,-49.65,2.0,-51.65,100572.36,100520.71
2004-09-30,2004-11-01,long,IEF_proxy,83.5674,84.1315,rebalance,4.1784,120,67.69,2.01,65.68,100520.71,100586.39
2004-11-30,2004-12-31,long,IEF_proxy,82.0555,82.9294,rebalance,4.1028,122,106.61,2.0,104.61,100586.39,100691.01
2005-01-31,2005-02-28,long,IEF_proxy,83.4457,82.0313,rebalance,4.1723,120,-169.73,2.0,-171.73,100691.01,100519.27
2004-08-31,2005-03-31,long,TLT_proxy,66.9772,66.289,rebalance,3.3489,150,-103.23,2.01,-105.24,100519.27,100414.03
2005-05-31,2005-10-31,long,IEF_proxy,84.1983,80.6999,rebalance,4.2099,119,-416.31,2.0,-418.31,100414.03,99995.72
2005-05-31,2005-11-30,long,TLT_proxy,69.9159,66.8284,rebalance,3.4958,143,-441.52,2.0,-443.52,99995.72,99552.2
2006-01-02,2006-02-28,long,TLT_proxy,67.9629,67.3119,rebalance,3.3981,146,-95.04,1.98,-97.03,99552.2,99455.17
2006-11-30,2007-01-31,long,TLT_proxy,68.0745,65.545,rebalance,3.4037,146,-369.31,1.99,-371.3,99455.17,99083.87
2007-01-01,2007-01-31,long,IEF_proxy,79.7102,79.0168,rebalance,3.9855,124,-85.99,1.98,-87.97,99083.87,98995.9
2007-04-30,2007-10-31,long,TLT_proxy,66.5121,67.0143,rebalance,3.3256,148,74.32,1.97,72.36,98995.9,99068.26
2007-04-30,2009-12-31,long,IEF_proxy,80.1677,84.1606,rebalance,4.0084,123,491.13,1.97,489.16,99068.26,99557.42
2007-12-31,2009-12-31,long,TLT_proxy,69.2649,68.6697,rebalance,3.4632,143,-85.11,1.98,-87.09,99557.42,99470.33
2010-06-30,2011-08-01,long,IEF_proxy,89.8851,90.6909,rebalance,4.4943,110,88.64,1.98,86.66,99585.29,99671.95
2010-06-30,2011-08-01,long,TLT_proxy,75.8863,76.7791,rebalance,3.7943,131,116.95,1.99,114.97,99470.33,99585.29
2011-08-31,2013-02-28,long,IEF_proxy,94.6836,96.8842,rebalance,4.7342,105,231.06,1.99,229.07,99671.95,99901.03
2011-09-30,2013-02-28,long,TLT_proxy,84.8885,86.4695,rebalance,4.2444,117,184.97,1.99,182.99,99901.03,100084.01
2013-04-01,2013-07-01,long,TLT_proxy,86.2277,80.7966,rebalance,4.3114,116,-630.01,2.0,-632.01,100084.01,99452.01
2013-04-01,2013-07-01,long,IEF_proxy,97.1457,92.5921,rebalance,4.8573,102,-464.47,1.98,-466.45,99452.01,98985.55
2014-09-01,2015-12-31,long,IEF_proxy,93.4278,93.8012,rebalance,4.6714,105,39.21,1.96,37.25,98985.55,99022.81
2014-07-31,2017-01-02,long,TLT_proxy,81.7824,91.75,rebalance,4.0891,121,1206.08,1.98,1204.1,99022.81,100226.9
2016-03-31,2017-01-02,long,IEF_proxy,97.2203,92.3991,rebalance,4.861,103,-496.59,2.0,-498.59,100226.9,99728.32
2017-01-31,2017-02-28,long,TLT_proxy,92.49,93.96,rebalance,4.6245,107,157.29,1.98,155.31,99728.32,99883.63
2018-01-31,2018-02-28,long,IEF_proxy,90.4641,89.4599,rebalance,4.5232,110,-110.46,1.99,-112.45,99883.63,99771.18
2018-01-01,2018-05-31,long,TLT_proxy,100.18,96.54,rebalance,5.009,99,-360.36,1.98,-362.34,99771.18,99408.84
2019-02-28,2021-03-31,long,TLT_proxy,97.57,114.39,rebalance,4.8785,101,1698.82,1.97,1696.85,99408.84,101105.69
2019-02-28,2021-03-31,long,IEF_proxy,90.4481,96.8582,rebalance,4.5224,111,711.51,2.01,709.51,101105.69,101815.19
2024-01-31,2024-02-29,long,TLT_proxy,87.58,85.61,rebalance,4.379,116,-228.52,2.03,-230.55,101815.19,101584.64
2024-09-30,2025-01-31,long,TLT_proxy,91.26,82.79,rebalance,4.563,111,-940.17,2.03,-942.2,101584.64,100642.44
2024-09-30,2025-01-31,long,IEF_proxy,82.1459,77.4648,rebalance,4.1073,122,-571.1,2.0,-573.1,100642.44,100069.34
2025-06-02,2025-07-31,long,IEF_proxy,78.3202,78.1675,rebalance,3.916,127,-19.4,1.99,-21.39,100069.34,100047.96
2025-03-31,2025-09-01,long,TLT_proxy,86.45,85.27,rebalance,4.3225,115,-135.7,1.99,-137.69,100047.96,99910.27
2002-02-28,2026-01-01,long,SHY_proxy,101.084,113.8568,end_of_data,5.0542,98,1251.74,1.98,1249.76,99910.27,101160.03
