date,equity
2017-02-28,100000.00000000001
2017-03-01,100103.75000000001
2017-03-02,97254.39
2017-03-03,97983.75
2017-03-06,96984.53
2017-03-07,96220.23000000001
2017-03-08,94297.21500000001
2017-03-09,93283.01999999999
2017-03-10,93541.14
2017-03-13,93721.08
2017-03-14,92610.36
2017-03-15,95819.69000000002
2017-03-16,95621.04000000001
2017-03-17,95586.98000000001
2017-03-20,95848.96
2017-03-21,96279.98000000001
2017-03-22,96343.05000000002
2017-03-23,95935.19000000002
2017-03-24,96229.43000000001
2017-03-27,97290.57999999999
2017-03-28,96802.62000000001
2017-03-29,97586.20000000001
2017-03-30,97306.17
2017-03-31,97841.39613449603
2017-04-03,98260.14013449603
2017-04-04,98932.33613449603
2017-04-05,99027.71113449603
2017-04-06,98944.16213449603
2017-04-07,98738.43713449602
2017-04-10,98990.66313449602
2017-04-11,100618.90813449601
2017-04-12,101179.75813449602
2017-04-13,101466.31813449605
2017-04-14,101466.31813449605
2017-04-17,101076.41313449602
2017-04-18,100714.59713449603
2017-04-19,98933.02013449604
2017-04-20,98904.59513449602
2017-04-21,98713.24413449602
2017-04-24,97958.97413449603
2017-04-25,96393.46913449603
2017-04-26,96176.37813449602
2017-04-27,95199.07313449602
2017-04-28,95682.76313449602
2017-05-01,94276.24052108664
2017-05-02,93673.02752108664
2017-05-03,92710.33252108665
2017-05-04,91082.85352108664
2017-05-05,91881.05152108663
2017-05-08,91503.04652108662
2017-05-09,90993.23852108663
2017-05-10,91770.70452108663
2017-05-11,92233.08252108665
2017-05-12,92472.56252108664
2017-05-15,93110.59252108663
2017-05-16,93480.00752108665
2017-05-17,94318.41052108664
2017-05-18,93564.02052108664
2017-05-19,94941.27652108663
2017-05-22,95814.71652108664
2017-05-23,95379.38652108664
2017-05-24,95569.48152108664
2017-05-25,94400.99252108665
2017-05-26,95250.65052108663
2017-05-29,95250.65052108663
2017-05-30,94864.82252108664
2017-05-31,94148.48985835223
2017-06-01,93755.92885835223
2017-06-02,93677.16785835223
2017-06-05,93379.60285835223
2017-06-06,95405.84785835222
2017-06-07,94455.73585835223
2017-06-08,94029.24485835223
2017-06-09,93626.02585835224
2017-06-12,93026.65085835224
2017-06-13,93072.07085835222
2017-06-14,91565.29185835224
2017-06-15,92202.49285835224
2017-06-16,92186.52285835223
2017-06-19,90687.34685835223
2017-06-20,90300.01485835224
2017-06-21,90352.76785835222
2017-06-22,90826.58985835224
2017-06-23,91628.53985835222
2017-06-26,92134.35635835222
2017-06-27,92111.02685835223
2017-06-28,92640.75885835222
2017-06-29,91923.60885835222
2017-06-30,92219.78198189623
2017-07-03,91656.50798189623
2017-07-04,91656.50798189623
2017-07-05,91279.59598189621
2017-07-06,91101.40698189623
2017-07-07,90095.34098189621
2017-07-10,90666.67598189623
2017-07-11,91305.62198189623
2017-07-12,91276.66698189624
2017-07-13,90936.43698189623
2017-07-14,91946.07298189623
2017-07-17,92058.98198189621
2017-07-18,92623.46298189621
