top_pct,top_n,freq,short_win,long_win,median_sharpe,min_sharpe,n_positive,commodities
0.5,4,ME,2,12,0.6432,0.6432,1,0.6432
0.5,4,ME,2,6,0.5852,0.5852,1,0.5852
0.5,4,ME,2,3,0.5753,0.5753,1,0.5753
0.5,4,ME,2,9,0.5619,0.5619,1,0.5619
0.33,2,ME,2,3,0.4771,0.4771,1,0.4771
0.25,2,ME,2,3,0.4771,0.4771,1,0.4771
0.5,4,ME,3,9,0.4732,0.4732,1,0.4732
1.0,7,6ME,1,6,0.4684,0.4684,1,0.4684
1.0,7,6ME,3,6,0.4684,0.4684,1,0.4684
1.0,7,6ME,3,9,0.4684,0.4684,1,0.4684
1.0,7,6ME,3,12,0.4684,0.4684,1,0.4684
1.0,7,6ME,2,3,0.4684,0.4684,1,0.4684
1.0,7,6ME,2,12,0.4684,0.4684,1,0.4684
1.0,7,6ME,2,9,0.4684,0.4684,1,0.4684
1.0,7,6ME,2,6,0.4684,0.4684,1,0.4684
1.0,7,6ME,1,3,0.4684,0.4684,1,0.4684
1.0,7,6ME,1,12,0.4684,0.4684,1,0.4684
1.0,7,6ME,1,9,0.4684,0.4684,1,0.4684
1.0,7,QE,3,12,0.4527,0.4527,1,0.4527
1.0,7,QE,2,12,0.4527,0.4527,1,0.4527
1.0,7,QE,1,12,0.4527,0.4527,1,0.4527
0.5,4,ME,3,12,0.4416,0.4416,1,0.4416
0.5,4,2ME,3,6,0.43,0.43,1,0.43
0.5,4,2ME,3,9,0.4299,0.4299,1,0.4299
0.33,2,ME,2,12,0.4248,0.4248,1,0.4248
0.25,2,ME,2,12,0.4248,0.4248,1,0.4248
0.25,2,2ME,3,6,0.4232,0.4232,1,0.4232
0.33,2,2ME,3,6,0.4232,0.4232,1,0.4232
0.15,1,2ME,3,12,0.4173,0.4173,1,0.4173
0.1,1,2ME,3,12,0.4173,0.4173,1,0.4173
0.25,2,ME,3,12,0.4135,0.4135,1,0.4135
0.33,2,ME,3,12,0.4135,0.4135,1,0.4135
