date,equity
2017-01-31,100000.0
2017-02-01,100636.63500000001
2017-02-02,101150.51500000001
2017-02-03,101572.55
2017-02-06,102894.08500000002
2017-02-07,102475.60500000001
2017-02-08,102770.77000000002
2017-02-09,101951.8
2017-02-10,103011.05500000001
2017-02-13,102402.38
2017-02-14,102824.21
2017-02-15,102903.48500000002
2017-02-16,103132.685
2017-02-17,102292.38500000001
2017-02-20,102292.38500000001
2017-02-21,102399.485
2017-02-22,101807.87000000002
2017-02-23,101891.51
2017-02-24,101503.535
2017-02-27,99822.42
2017-02-28,100259.77000000002
2017-03-01,100946.1
2017-03-02,98865.1
2017-03-03,99416.31000000003
2017-03-06,98621.11000000002
2017-03-07,97950.025
2017-03-08,96810.29500000001
2017-03-09,95838.765
2017-03-10,96566.575
2017-03-13,96908.39000000001
2017-03-14,95575.93
2017-03-15,98481.02500000001
2017-03-16,98072.31
2017-03-17,97638.345
2017-03-20,98024.84
2017-03-21,98188.44
2017-03-22,98078.57
2017-03-23,98141.43500000001
2017-03-24,98312.975
2017-03-27,99089.91
2017-03-28,98772.535
2017-03-29,99303.41500000001
2017-03-30,98718.79500000001
2017-03-31,99461.48500000002
2017-04-03,99845.28
2017-04-04,100518.29000000001
2017-04-05,100342.865
2017-04-06,100594.95500000002
2017-04-07,100124.365
2017-04-10,100206.375
2017-04-11,101283.26000000001
2017-04-12,101483.175
2017-04-13,101326.00500000002
2017-04-14,101326.00500000002
2017-04-17,101107.33500000002
2017-04-18,100804.20499999999
2017-04-19,99457.545
2017-04-20,99584.405
2017-04-21,99363.89000000001
2017-04-24,99146.41500000001
2017-04-25,98059.125
2017-04-26,97754.435
2017-04-27,96462.94
2017-04-28,96938.43
2017-05-01,96025.89500000002
2017-05-02,95874.365
2017-05-03,94739.71
2017-05-04,93104.71500000001
2017-05-05,94455.44
2017-05-08,94352.6
2017-05-09,93812.57
2017-05-10,94899.65000000001
2017-05-11,95283.56
2017-05-12,95839.955
2017-05-15,96444.88
2017-05-16,96750.05
2017-05-17,96672.1
2017-05-18,95523.16500000001
2017-05-19,96592.84500000002
2017-05-22,97498.53
2017-05-23,97035.55
2017-05-24,97461.04000000001
2017-05-25,96663.21
2017-05-26,97109.37
2017-05-29,97109.37
2017-05-30,96168.91
2017-05-31,96049.11500000002
2017-06-01,96012.60500000001
2017-06-02,96223.505
2017-06-05,96341.91
2017-06-06,97714.05000000002
2017-06-07,96750.23
2017-06-08,95708.615
2017-06-09,95420.57
2017-06-12,94953.66
2017-06-13,95072.715
2017-06-14,93297.345
2017-06-15,92370.73000000001
2017-06-16,92849.875
2017-06-19,92081.04500000001
2017-06-20,90638.08
2017-06-21,90459.215
2017-06-22,91517.215
2017-06-23,93177.41500000001
2017-06-26,93661.55000000002
2017-06-27,93134.875
2017-06-28,94274.69
2017-06-29,93661.285
2017-06-30,94275.45000000001
2017-07-03,93574.16500000001
2017-07-04,93574.16500000001
2017-07-05,92893.785
2017-07-06,92607.645
2017-07-07,91761.19000000002
2017-07-10,91992.14500000002
2017-07-11,92473.23000000001
2017-07-12,92870.18500000001
2017-07-13,92348.955
2017-07-14,93423.20500000002
2017-07-17,93862.835
2017-07-18,94344.49
2017-07-19,94489.81000000001
2017-07-20,94053.02
2017-07-21,94220.14000000001
2017-07-24,94072.3
2017-07-25,94436.49500000001
2017-07-26,95310.40000000001
2017-07-27,94786.96
2017-07-28,95372.845
2017-07-31,95443.572076257
2017-08-01,94755.64407625698
2017-08-02,95029.20907625699
2017-08-03,94033.54407625699
2017-08-04,94075.08907625699
2017-08-07,93959.67207625697
2017-08-08,92284.71407625699
2017-08-09,93094.52207625698
2017-08-10,91632.049076257
2017-08-11,91659.844076257
2017-08-14,90756.89607625699
2017-08-15,89705.553076257
2017-08-16,88968.338076257
2017-08-17,88998.82807625699
2017-08-18,90118.099076257
2017-08-21,88590.151076257
2017-08-22,89451.10107625698
2017-08-23,90545.779076257
2017-08-24,90121.95907625699
2017-08-25,90316.474076257
2017-08-28,89627.819076257
2017-08-29,89541.95907625699
2017-08-30,89418.621076257
2017-08-31,91624.045076257
2017-09-01,92033.470076257
2017-09-04,92033.470076257
2017-09-05,92367.405076257
2017-09-06,93040.273076257
2017-09-07,92869.73307625699
2017-09-08,91576.075076257
2017-09-11,92278.260076257
2017-09-12,92464.86807625699
2017-09-13,93500.288076257
2017-09-14,93845.66807625699
2017-09-15,93764.80107625699
2017-09-18,93813.121076257
2017-09-19,93246.80307625698
2017-09-20,93655.66607625698
2017-09-21,93178.48607625699
2017-09-22,93253.53107625699
2017-09-25,95365.73707625699
2017-09-26,94973.477076257
2017-09-27,94567.344076257
2017-09-28,94155.306076257
2017-09-29,94148.071076257
2017-10-02,93695.44807625699
2017-10-03,93662.74307625699
2017-10-04,93585.31807625698
2017-10-05,94646.681076257
2017-10-06,93489.41807625699
2017-10-09,93301.23307625699
2017-10-10,94318.63107625699
2017-10-11,94825.34107625698
2017-10-12,93993.461076257
2017-10-13,94093.94907625699
2017-10-16,94084.609076257
2017-10-17,93675.53407625698
2017-10-18,92971.724076257
2017-10-19,92891.254076257
2017-10-20,92737.80407625699
2017-10-23,92017.789076257
2017-10-24,92348.85707625699
2017-10-25,91199.015076257
2017-10-26,92145.770076257
2017-10-27,93573.35407625699
2017-10-30,94065.683076257
2017-10-31,94167.988076257
2017-11-01,94842.32307625699
2017-11-02,94318.716076257
2017-11-03,95248.41607625698
2017-11-06,97094.64207625699
2017-11-07,97298.792076257
2017-11-08,96435.572076257
2017-11-09,96530.88207625698
2017-11-10,96195.00707625698
2017-11-13,95001.95407625698
2017-11-14,93341.13607625701
2017-11-15,93591.631076257
2017-11-16,93427.503076257
2017-11-17,94615.729076257
2017-11-20,94273.91507625699
2017-11-21,94024.68907625698
2017-11-22,94928.97407625699
2017-11-23,94928.97407625699
2017-11-24,95356.367076257
2017-11-27,94232.44707625698
2017-11-28,93994.289076257
2017-11-29,93222.26407625698
2017-11-30,95052.126076257
2017-12-01,96379.04407625699
2017-12-04,95446.306076257
2017-12-05,95205.892076257
2017-12-06,93190.52507625698
2017-12-07,94312.69607625698
2017-12-08,94851.59007625698
2017-12-11,96218.85907625698
2017-12-12,95993.84007625698
2017-12-13,95933.292076257
2017-12-14,96524.60007625699
2017-12-15,96119.86607625698
2017-12-18,96596.22307625698
2017-12-19,96457.91507625699
2017-12-20,96825.19907625699
2017-12-21,96794.579076257
2017-12-22,97490.48207625699
2017-12-25,97490.48207625699
2017-12-26,98603.567076257
2017-12-27,98295.23307625698
2017-12-28,98836.32807625699
2017-12-29,98792.01307625699
2018-01-01,98792.01307625699
2018-01-02,100202.34207625699
2018-01-03,102096.92907625699
2018-01-04,102586.36407625698
2018-01-05,101887.512076257
2018-01-08,102294.48207625699
2018-01-09,103031.121076257
2018-01-10,103651.51307625699
2018-01-11,104346.113076257
2018-01-12,105518.06507625699
2018-01-15,105518.06507625699
2018-01-16,104725.39807625698
2018-01-17,104509.528076257
2018-01-18,104156.72807625699
2018-01-19,104198.10107625701
2018-01-22,105303.57307625699
2018-01-23,105970.90707625699
2018-01-24,106605.406076257
2018-01-25,106200.10907625698
2018-01-26,107057.898076257
2018-01-29,105514.54107625698
2018-01-30,104417.72307625698
2018-01-31,104302.22182258281
2018-02-01,103887.0318225828
2018-02-02,101616.1093225828
2018-02-05,100103.26932258278
2018-02-06,100258.34182258279
2018-02-07,98870.5118225828
2018-02-08,97958.6168225828
2018-02-09,97998.5818225828
2018-02-12,98838.1618225828
2018-02-13,99251.83682258279
2018-02-14,100752.24182258279
2018-02-15,101198.7018225828
2018-02-16,100976.3018225828
2018-02-19,100976.3018225828
2018-02-20,99924.2068225828
2018-02-21,99587.8568225828
2018-02-22,99960.9368225828
2018-02-23,100365.9818225828
2018-02-26,101032.20682258281
2018-02-27,99216.6568225828
2018-02-28,98828.1368225828
2018-03-01,98787.49682258279
2018-03-02,99253.17682258281
2018-03-05,99235.5318225828
2018-03-06,100143.8768225828
2018-03-07,99672.26182258279
2018-03-08,99875.99182258279
2018-03-09,100306.0818225828
2018-03-12,100332.2918225828
2018-03-13,100179.62182258279
2018-03-14,100427.1118225828
2018-03-15,100108.5618225828
2018-03-16,99923.39182258281
2018-03-19,99757.7818225828
2018-03-20,99508.5968225828
2018-03-21,100770.15182258282
2018-03-22,99631.9368225828
2018-03-23,99709.0668225828
2018-03-26,100804.3868225828
2018-03-27,100040.46182258279
2018-03-28,99514.5368225828
2018-03-29,100156.1518225828
2018-03-30,100156.1518225828
2018-04-02,100394.39182258281
2018-04-03,100082.67682258281
2018-04-04,100330.11682258282
2018-04-05,100238.24182258282
2018-04-06,100062.39182258281
2018-04-09,100728.08682258282
2018-04-10,101352.4968225828
2018-04-11,101696.7918225828
2018-04-12,101035.95682258281
2018-04-13,101476.9468225828
2018-04-16,101415.6968225828
2018-04-17,101671.08682258279
2018-04-18,102466.8068225828
2018-04-19,102226.45682258281
2018-04-20,101605.5418225828
2018-04-23,100238.9818225828
2018-04-24,100680.6168225828
2018-04-25,100072.6018225828
2018-04-26,100319.20682258278
2018-04-27,100636.6818225828
2018-04-30,100070.7568225828
2018-05-01,99628.5668225828
2018-05-02,99704.1268225828
2018-05-03,99954.58682258279
2018-05-04,100125.6168225828
2018-05-07,99981.6068225828
2018-05-08,100052.5718225828
2018-05-09,100088.3218225828
2018-05-10,100941.2268225828
2018-05-11,101017.6568225828
2018-05-14,100845.11682258279
2018-05-15,99382.8018225828
2018-05-16,99529.4318225828
2018-05-17,99374.90182258279
2018-05-18,99442.9268225828
2018-05-21,99730.74682258279
2018-05-22,99755.5968225828
2018-05-23,99487.39682258281
2018-05-24,100015.87182258279
2018-05-25,99627.90182258279
2018-05-28,99627.90182258279
2018-05-29,99016.8068225828
2018-05-30,99642.8818225828
2018-05-31,99247.9168225828
2018-06-01,99228.19682258277
2018-06-04,99690.66182258278
