date,equity
2017-01-31,100000.0
2017-02-01,99878.78
2017-02-02,100776.82
2017-02-03,101004.72
2017-02-06,103647.79000000001
2017-02-07,103329.70999999999
2017-02-08,104049.76000000001
2017-02-09,102411.82
2017-02-10,104043.88
2017-02-13,102923.82
2017-02-14,103216.17000000001
2017-02-15,103374.72
2017-02-16,104222.28
2017-02-17,103092.98999999999
2017-02-20,103092.98999999999
2017-02-21,102691.01999999999
2017-02-22,102286.11
2017-02-23,102745.26
2017-02-24,102747.63
2017-02-27,99644.84
2017-02-28,99968.23000000001
2017-03-01,100497.71
2017-03-02,96400.57
2017-03-03,97405.70000000001
2017-03-06,95815.29999999999
2017-03-07,94700.14000000001
2017-03-08,93750.31
2017-03-09,92520.70999999999
2017-03-10,93976.32999999999
2017-03-13,94335.66
2017-03-14,92773.36
2017-03-15,97416.07
2017-03-16,96922.94
2017-03-17,96898.19
2017-03-20,97444.17
2017-03-21,98549.69
2017-03-22,98556.95999999999
2017-03-23,98228.67000000001
2017-03-24,98474.45999999999
2017-03-27,100514.78
2017-03-28,99328.72
2017-03-29,99774.31
2017-03-30,98767.22
2017-03-31,99539.14
2017-04-03,100306.73
2017-04-04,101101.44
2017-04-05,101139.75
2017-04-06,101027.76000000001
2017-04-07,100313.59
2017-04-10,100542.47
2017-04-11,102955.68
2017-04-12,103809.53
2017-04-13,103981.64
2017-04-14,103981.64
2017-04-17,103544.3
2017-04-18,102840.75
2017-04-19,100536.59
2017-04-20,100563.29999999999
2017-04-21,100511.43
2017-04-24,99525.17000000001
2017-04-25,96572.27
2017-04-26,96287.19
2017-04-27,94774.39
2017-04-28,95498.36
2017-05-01,93381.42000000001
2017-05-02,93337.8
2017-05-03,91814.38
2017-05-04,90490.19
2017-05-05,91635.0
2017-05-08,91364.45999999999
2017-05-09,90965.43
2017-05-10,92004.54000000001
2017-05-11,93193.95
2017-05-12,94306.73999999999
2017-05-15,95030.14
2017-05-16,95867.48999999999
2017-05-17,96943.93
2017-05-18,94613.63
2017-05-19,95715.23000000001
2017-05-22,97202.3
2017-05-23,95822.31999999999
2017-05-24,96965.17
2017-05-25,96245.12
2017-05-26,97234.73
2017-05-29,97234.73
2017-05-30,96715.87
2017-05-31,96703.29000000001
2017-06-01,96468.12
2017-06-02,97441.23000000001
2017-06-05,97515.89
2017-06-06,100162.88
2017-06-07,99467.57999999999
2017-06-08,98097.81
2017-06-09,96646.11
2017-06-12,95712.29000000001
2017-06-13,95950.4
2017-06-14,94377.89
2017-06-15,93886.72
2017-06-16,93547.81
2017-06-19,92756.04000000001
2017-06-20,92399.65
2017-06-21,92917.53
2017-06-22,93930.91
2017-06-23,95013.64
2017-06-26,94295.55
2017-06-27,93988.09
2017-06-28,94743.51
2017-06-29,93192.4
2017-06-30,93382.97
2017-07-03,90942.64000000001
2017-07-04,90942.64000000001
2017-07-05,91106.09
2017-07-06,90468.95
2017-07-07,88613.89000000001
2017-07-10,89529.82
2017-07-11,90329.84
2017-07-12,90669.73000000001
2017-07-13,89627.26999999999
2017-07-14,90965.02
2017-07-17,91682.13
2017-07-18,92580.58
2017-07-19,92709.07
2017-07-20,93035.4
2017-07-21,93758.8
2017-07-24,92976.67
2017-07-25,93478.05
2017-07-26,95128.57
2017-07-27,94341.13
2017-07-28,95415.61
2017-07-31,95462.96666548998
2017-08-01,94087.11066548998
2017-08-02,94407.37066548999
2017-08-03,93615.21066548998
2017-08-04,94184.45066549
2017-08-07,94245.30666548997
2017-08-08,94006.75066548999
2017-08-09,94718.88666548999
2017-08-10,92928.29066549
2017-08-11,93534.85066549
2017-08-14,91728.95466548999
2017-08-15,91668.09866548999
2017-08-16,90744.63866549
2017-08-17,91064.89866548998
2017-08-18,93530.31066548999
2017-08-21,91770.81466548998
2017-08-22,92196.31466548998
2017-08-23,93024.45066549
2017-08-24,92176.81066548999
2017-08-25,92274.15066548999
2017-08-28,91253.35066549
2017-08-29,91016.81066548999
2017-08-30,90121.93466549
2017-08-31,92588.18266548999
2017-09-01,92920.88266549
2017-09-04,92920.88266549
2017-09-05,94139.72266549
2017-09-06,95161.35866549
2017-09-07,95144.37866548999
2017-09-08,93140.44266549
2017-09-11,93734.56266549
2017-09-12,94107.77866548998
2017-09-13,95271.13866549
2017-09-14,95637.79866549
2017-09-15,96221.49466549
2017-09-18,95994.03466549
2017-09-19,95574.41866548997
2017-09-20,96554.19466548998
2017-09-21,96377.67466548999
2017-09-22,96495.35466548998
2017-09-25,98775.16666548999
2017-09-26,98055.46666548998
2017-09-27,98053.45066548997
2017-09-28,97553.47466548998
2017-09-29,97376.95466548999
2017-10-02,95920.73866548997
2017-10-03,95693.27866548998
2017-10-04,95376.37866548999
2017-10-05,96688.85466548998
2017-10-06,94601.19866549
2017-10-09,94710.97866549
2017-10-10,96680.95466548999
2017-10-11,97110.99466548997
2017-10-12,96419.53466549
2017-10-13,97592.81066548999
2017-10-16,98157.51066549
2017-10-17,98149.61066548998
2017-10-18,98103.21066548998
2017-10-19,97294.07066549
2017-10-20,97959.47066549
2017-10-23,97913.07066549
2017-10-24,98964.12666548998
2017-10-25,98738.68266548999
2017-10-26,99303.38266549
2017-10-27,100862.15066548999
2017-10-30,101101.37866548999
2017-10-31,101468.03866548999
2017-11-01,101358.25866549
2017-11-02,102093.59466549
2017-11-03,103239.97466548998
2017-11-06,105700.84666548998
2017-11-07,105460.94666548999
2017-11-08,105030.90666548998
2017-11-09,105351.16666548999
2017-11-10,105165.56666548998
2017-11-13,104691.65066548999
2017-11-14,102860.87466549
2017-11-15,102616.43466549
2017-11-16,102352.99866548998
2017-11-17,104405.35066549
2017-11-20,103656.90266549
2017-11-21,104519.67066548998
2017-11-22,105712.45066548997
2017-11-23,105712.45066548997
2017-11-24,106794.10666548999
2017-11-27,105777.84666548998
2017-11-28,105560.81066548999
2017-11-29,104697.37066548999
2017-11-30,104467.89466548999
2017-12-01,105890.15066548999
2017-12-04,104413.59466549
2017-12-05,104516.14666549
2017-12-06,102138.32266548998
2017-12-07,102729.75466548998
2017-12-08,103807.54266548998
2017-12-11,104565.07066549
2017-12-12,103369.60266548998
2017-12-13,102600.30666548997
2017-12-14,103264.36266548999
2017-12-15,103362.37466548997
2017-12-18,103569.65866548999
2017-12-19,104135.70266548998
2017-12-20,104935.09066548999
2017-12-21,105133.13066549
2017-12-22,105455.40666548998
2017-12-25,105455.40666548998
2017-12-26,107519.52666549
2017-12-27,107486.23866548997
2017-12-28,108147.09866548999
2017-12-29,108479.79866549
2018-01-01,108479.79866549
2018-01-02,109064.16666548999
2018-01-03,110617.05066548998
2018-01-04,110785.67066548998
2018-01-05,110295.44666548999
2018-01-08,110590.82666548999
2018-01-09,111837.23466548999
2018-01-10,112559.45866548998
2018-01-11,112652.25866549
2018-01-12,113829.40266549
2018-01-15,113829.40266549
2018-01-16,112989.49866548998
2018-01-17,113141.13866549
2018-01-18,113018.91866549
2018-01-19,112680.33466549
2018-01-22,113141.13866549
2018-01-23,114475.80666549
2018-01-24,116101.31466548998
2018-01-25,115193.49066548998
2018-01-26,116422.91866549
2018-01-29,115637.31466548998
2018-01-30,114286.33866548998
2018-01-31,114512.23156333162
2018-02-01,114350.29156333159
2018-02-02,111479.54656333159
2018-02-05,111973.00656333158
2018-02-06,111044.57156333158
2018-02-07,109940.01156333162
2018-02-08,110200.1815633316
2018-02-09,109847.5915633316
2018-02-12,110760.01156333159
2018-02-13,111253.14156333159
2018-02-14,113231.63156333158
2018-02-15,113298.8315633316
2018-02-16,112480.4915633316
2018-02-19,112480.4915633316
2018-02-20,111044.7415633316
2018-02-21,110784.9015633316
2018-02-22,111491.7415633316
2018-02-23,111161.5515633316
2018-02-26,111628.9615633316
2018-02-27,110337.4015633316
2018-02-28,110209.14156333159
2018-03-01,110363.78156333158
2018-03-02,110725.0015633316
2018-03-05,110394.8115633316
2018-03-06,112014.9015633316
2018-03-07,110776.7715633316
2018-03-08,110712.39156333159
2018-03-09,111041.7515633316
2018-03-12,110976.2115633316
2018-03-13,111083.73156333159
2018-03-14,111047.89156333159
2018-03-15,110115.89156333159
2018-03-16,109784.8715633316
2018-03-19,109905.8315633316
2018-03-20,109269.8415633316
2018-03-21,111537.3715633316
2018-03-22,110578.16156333158
2018-03-23,111794.0615633316
2018-03-26,112588.8415633316
2018-03-27,111709.7715633316
2018-03-28,110186.0815633316
2018-03-29,110388.01156333162
2018-03-30,110388.01156333162
2018-04-02,111886.8115633316
2018-04-03,110791.54156333162
2018-04-04,110578.66156333161
2018-04-05,110532.5315633316
2018-04-06,110731.3115633316
2018-04-09,111374.60156333161
2018-04-10,111719.0615633316
2018-04-11,112407.6515633316
2018-04-12,111144.9615633316
2018-04-13,112085.92156333159
2018-04-16,112297.64156333159
2018-04-17,112631.48156333159
2018-04-18,114006.66156333158
2018-04-19,114174.7415633316
2018-04-20,113267.13156333158
2018-04-23,111222.1115633316
2018-04-24,111810.48156333159
2018-04-25,110909.01156333159
2018-04-26,110615.82156333158
2018-04-27,110818.2515633316
2018-04-30,109745.38156333161
2018-05-01,108861.00156333158
2018-05-02,109464.3015633316
2018-05-03,109886.5815633316
2018-05-04,110287.6215633316
2018-05-07,110235.5215633316
