date,equity
2016-11-30,100000.0
2016-12-01,101086.12999999999
2016-12-02,101725.03
2016-12-05,102555.6
2016-12-06,106900.12
2016-12-07,109391.83
2016-12-08,109072.37999999999
2016-12-09,107986.24999999999
2016-12-12,108433.47999999998
2016-12-13,110989.08
2016-12-14,108752.93
2016-12-15,109775.17
2016-12-16,109902.94999999998
2016-12-19,109391.83
2016-12-20,110541.85
2016-12-21,111180.74999999999
2016-12-22,110605.73999999999
2016-12-23,112011.32
2016-12-26,112011.32
2016-12-27,112458.55
2016-12-28,110797.40999999999
2016-12-29,111819.65
2016-12-30,112330.76999999999
2017-01-02,112330.76999999999
2017-01-03,113540.45966938199
2017-01-04,114306.29966938199
2017-01-05,115391.23966938198
2017-01-06,115199.779669382
2017-01-09,113285.17966938199
2017-01-10,113348.999669382
2017-01-11,113987.19966938198
2017-01-12,113285.17966938199
2017-01-13,113795.73966938198
2017-01-16,113795.73966938198
2017-01-17,113795.73966938198
2017-01-18,113476.639669382
2017-01-19,113795.73966938198
2017-01-20,114433.93966938199
2017-01-23,114306.29966938199
2017-01-24,115327.419669382
2017-01-25,115199.779669382
2017-01-26,113285.17966938199
2017-01-27,112966.07966938199
2017-01-30,110094.17966938199
2017-01-31,109898.60154347798
2017-02-01,111020.76154347797
2017-02-02,111797.64154347798
2017-02-03,112574.52154347798
2017-02-06,112747.16154347798
2017-02-07,112186.08154347798
2017-02-08,113221.92154347799
2017-02-09,113912.48154347799
2017-02-10,114257.76154347797
2017-02-13,114041.96154347798
2017-02-14,113739.84154347799
2017-02-15,112574.52154347798
2017-02-16,113049.28154347799
2017-02-17,113178.76154347797
2017-02-20,113178.76154347797
2017-02-21,114991.48154347799
2017-02-22,114818.84154347799
2017-02-23,115768.36154347798
2017-02-24,114948.32154347798
2017-02-27,115034.64154347798
2017-02-28,114944.40749255798
2017-03-01,116750.70749255798
2017-03-02,116616.90749255798
2017-03-03,119159.10749255797
2017-03-06,118155.60749255797
