date,equity
2016-11-30,100000.0
2016-12-01,99083.84
2016-12-02,99334.03
2016-12-05,100265.62
2016-12-06,100862.86
2016-12-07,101770.23000000001
2016-12-08,102376.56
2016-12-09,102728.37999999999
2016-12-12,102143.04999999999
2016-12-13,102654.59999999998
2016-12-14,101903.25999999998
2016-12-15,102251.41
2016-12-16,102078.51999999999
2016-12-19,102529.64
2016-12-20,102988.09999999998
2016-12-21,102792.15
2016-12-22,102477.72
2016-12-23,102750.13999999998
2016-12-26,102750.13999999998
2016-12-27,103038.24999999997
2016-12-28,102367.48
2016-12-29,102416.34000000001
2016-12-30,101948.44
2017-01-02,101948.44
2017-01-03,102560.64999999998
2017-01-04,103496.74
2017-01-05,103224.82000000002
2017-01-06,103386.68
2017-01-09,103272.26000000001
2017-01-10,103682.14999999998
2017-01-11,103859.19000000002
2017-01-12,103539.25999999998
2017-01-13,103927.36
2017-01-16,103927.36
2017-01-17,103303.97
2017-01-18,103528.69
2017-01-19,103123.24999999997
2017-01-20,103427.26999999999
2017-01-23,103327.28999999998
2017-01-24,104094.05
2017-01-25,104917.04000000002
2017-01-26,104788.24
2017-01-27,104766.56
2017-01-30,103945.99999999999
2017-01-31,104027.833390666
2017-02-01,103989.613390666
2017-02-02,103916.173390666
2017-02-03,105127.00339066598
2017-02-06,104660.29339066597
2017-02-07,104413.33339066601
2017-02-08,104418.523390666
2017-02-09,105438.16339066598
2017-02-10,106036.333390666
2017-02-13,106422.22339066598
2017-02-14,106781.95339066598
2017-02-15,107280.10339066599
2017-02-16,107115.82339066599
2017-02-17,107191.24339066597
2017-02-20,107191.24339066597
2017-02-21,107955.85339066597
2017-02-22,107657.773390666
2017-02-23,107301.25339066598
2017-02-24,107377.39339066598
2017-02-27,107998.75339066598
2017-02-28,106944.373390666
2017-03-01,108712.27339066599
2017-03-02,107659.54339066599
2017-03-03,107665.57339066597
2017-03-06,107115.52339066599
2017-03-07,106581.913390666
2017-03-08,106100.83339066595
2017-03-09,105865.42339066601
2017-03-10,106300.84339066596
2017-03-13,106490.11339066598
2017-03-14,106050.94339066601
2017-03-15,107342.383390666
2017-03-16,107321.98339066596
2017-03-17,107418.643390666
2017-03-20,107098.573390666
2017-03-21,104918.83339066597
2017-03-22,105079.06339066598
2017-03-23,105294.79339066599
2017-03-24,105297.34339066599
2017-03-27,105246.22339066598
2017-03-28,106039.423390666
2017-03-29,106319.953390666
2017-03-30,106881.10339066599
2017-03-31,106858.45085939199
2017-04-03,106233.040859392
2017-04-04,106160.690859392
2017-04-05,105372.75085939199
2017-04-06,106086.95085939199
2017-04-07,105995.720859392
2017-04-10,106176.760859392
2017-04-11,106636.230859392
2017-04-12,105586.820859392
2017-04-13,104607.00085939199
2017-04-14,104607.00085939199
2017-04-17,105741.18085939198
2017-04-18,105641.33085939198
2017-04-19,105786.35085939197
2017-04-20,106847.850859392
2017-04-21,106571.39085939198
2017-04-24,107827.62085939199
2017-04-25,108587.68085939201
2017-04-26,108770.45085939196
2017-04-27,108828.55085939198
2017-04-28,107911.62085939199
2017-05-01,108279.10085939201
2017-05-02,108069.120859392
2017-05-03,107674.81085939199
2017-05-04,107592.340859392
2017-05-05,108262.62085939197
2017-05-08,107962.07085939198
2017-05-09,107842.90085939199
2017-05-10,108348.59085939199
2017-05-11,107828.42085939198
