entry_time,exit_time,position,instrument,entry_price,exit_price,exit_reason,risk,shares,gross_pnl,fees,net_pnl,equity_before,equity
2017-02-28,2018-01-01,long,Oil,54.0,60.46,rebalance,2.7,185,1195.1,2.0,1193.1,100000.0,101193.1
2018-01-01,2018-02-28,long,TLT,100.18,93.97,rebalance,5.009,101,-627.21,2.02,-629.23,101193.1,100563.87
2017-02-28,2018-08-31,long,Gold,1252.6,1200.3,rebalance,62.63,8,-418.4,2.0,-420.4,100563.87,100143.46
2018-08-31,2018-11-30,long,TLT,97.01,93.11,rebalance,4.8505,103,-401.7,2.0,-403.7,100143.46,99739.77
2018-02-28,2019-01-31,long,Oil,61.43,53.84,rebalance,3.0715,162,-1229.58,1.99,-1231.57,99739.77,98508.2
2017-02-28,2019-02-28,long,SPY,205.1,249.9,rebalance,10.255,48,2150.4,1.97,2148.43,98508.2,100656.63
2018-11-30,2019-04-01,long,Gold,1220.2,1288.4,rebalance,61.01,8,545.6,1.95,543.65,100656.63,101200.28
2019-04-01,2019-07-31,long,SPY,257.39,269.2,rebalance,12.8695,39,460.59,2.01,458.58,101200.28,101658.86
2019-01-31,2020-01-31,long,TLT,98.94,121.13,rebalance,4.947,102,2263.38,2.02,2261.36,101658.86,103920.22
2019-02-28,2020-01-31,long,CorpBond,145.125,163.5312,rebalance,7.2563,71,1306.84,2.06,1304.78,103920.22,105225.0
2020-01-31,2020-03-02,long,Oil,51.58,46.78,rebalance,2.579,204,-979.2,2.1,-981.3,105225.0,104243.7
2020-01-31,2020-03-31,long,SPY,294.02,236.56,rebalance,14.701,35,-2011.1,2.06,-2013.16,104243.7,102230.54
2020-03-31,2020-09-30,long,CorpBond,179.0625,176.2812,rebalance,8.9531,57,-158.53,2.04,-160.57,102230.54,102069.97
2020-09-30,2020-11-02,long,SPY,309.89,306.06,rebalance,15.4945,32,-122.56,1.98,-124.54,102069.97,101945.42
2020-11-02,2021-03-01,long,CorpBond,172.75,160.7188,rebalance,8.6375,59,-709.84,2.04,-711.88,101945.42,101233.54
2020-03-02,2021-03-31,long,TLT,128.2,114.39,rebalance,6.41,78,-1077.18,2.0,-1079.18,101233.54,100154.36
2021-03-31,2023-05-01,long,Oil,59.19,75.65,rebalance,2.9595,169,2781.74,2.0,2779.74,100154.36,102934.1
2023-05-01,2023-06-30,long,CorpBond,129.6562,126.9062,rebalance,6.4828,79,-217.25,2.05,-219.3,102934.1,102714.8
2023-06-30,2023-10-02,long,TLT,91.3,78.0,rebalance,4.565,112,-1489.6,2.05,-1491.65,102714.8,101223.16
2023-10-02,2024-01-31,long,Oil,88.81,76.28,rebalance,4.4405,113,-1415.89,2.01,-1417.9,101223.16,99805.26
2024-01-31,2024-02-29,long,TLT,87.58,85.61,rebalance,4.379,113,-222.61,1.98,-224.59,99805.26,99580.67
2024-02-29,2024-09-02,long,Oil,79.22,74.52,rebalance,3.961,125,-587.5,1.98,-589.48,99580.67,98991.19
2024-09-02,2025-01-31,long,TLT,89.47,82.79,rebalance,4.4735,110,-734.8,1.97,-736.77,98991.19,98254.42
2025-01-31,2025-03-31,long,Oil,72.84,71.87,rebalance,3.642,134,-129.98,1.95,-131.93,98254.42,98122.49
2019-07-31,2025-06-03,long,Gold,1426.1,3220.0,end_of_data,71.305,6,10763.4,1.71,10761.69,98122.49,108884.18
2021-03-01,2025-06-03,long,SPY,362.51,548.23,end_of_data,18.1255,30,5571.6,2.18,5569.42,108884.18,114453.6
2025-03-31,2025-06-03,long,TLT,86.45,85.27,end_of_data,4.3225,132,-155.76,2.28,-158.04,114453.6,114295.56
