top_pct,freq,carry_window,threshold,median_sharpe,min_sharpe,n_positive,em_dm
0.25,6ME,9,0.05,1.1497,1.1497,1,1.1497
0.25,6ME,12,0.05,1.1497,1.1497,1,1.1497
0.5,6ME,12,0.05,1.1471,1.1471,1,1.1471
0.5,6ME,9,0.05,1.1471,1.1471,1,1.1471
0.25,ME,6,0.05,1.0635,1.0635,1,1.0635
0.5,ME,6,0.05,1.0551,1.0551,1,1.0551
0.25,ME,9,0.01,1.0249,1.0249,1,1.0249
0.25,2ME,9,0.05,1.0228,1.0228,1,1.0228
0.25,ME,9,0.02,1.0148,1.0148,1,1.0148
1.0,6ME,12,0.05,0.9742,0.9742,1,0.9742
1.0,6ME,9,0.05,0.9742,0.9742,1,0.9742
0.25,ME,9,0.0,0.9706,0.9706,1,0.9706
1.0,ME,6,0.05,0.9645,0.9645,1,0.9645
0.25,2ME,9,0.02,0.9435,0.9435,1,0.9435
0.25,ME,9,0.05,0.9335,0.9335,1,0.9335
0.5,6ME,12,0.02,0.9231,0.9231,1,0.9231
0.5,6ME,9,0.02,0.9231,0.9231,1,0.9231
0.25,6ME,9,0.02,0.9212,0.9212,1,0.9212
0.25,6ME,12,0.02,0.9212,0.9212,1,0.9212
0.5,ME,9,0.01,0.9162,0.9162,1,0.9162
0.5,ME,9,0.02,0.9018,0.9018,1,0.9018
0.5,2ME,6,0.02,0.8858,0.8858,1,0.8858
0.5,6ME,9,0.0,0.8732,0.8732,1,0.8732
0.5,6ME,12,0.0,0.8732,0.8732,1,0.8732
0.5,6ME,9,0.01,0.8732,0.8732,1,0.8732
0.5,6ME,12,0.01,0.8732,0.8732,1,0.8732
0.5,2ME,6,0.01,0.8731,0.8731,1,0.8731
0.25,2ME,6,0.02,0.8719,0.8719,1,0.8719
0.5,2ME,9,0.05,0.8695,0.8695,1,0.8695
0.5,ME,9,0.0,0.8645,0.8645,1,0.8645
0.25,2ME,6,0.01,0.8594,0.8594,1,0.8594
1.0,QE,3,0.0,0.8557,0.8557,1,0.8557
0.25,6ME,12,0.0,0.8526,0.8526,1,0.8526
0.25,6ME,9,0.0,0.8526,0.8526,1,0.8526
0.25,6ME,12,0.01,0.8526,0.8526,1,0.8526
0.25,6ME,9,0.01,0.8526,0.8526,1,0.8526
0.25,2ME,9,0.0,0.8422,0.8422,1,0.8422
0.25,2ME,3,0.05,0.8385,0.8385,1,0.8385
0.25,ME,6,0.02,0.8361,0.8361,1,0.8361
1.0,ME,9,0.01,0.8351,0.8351,1,0.8351
0.5,2ME,6,0.0,0.8318,0.8318,1,0.8318
1.0,6ME,9,0.02,0.8298,0.8298,1,0.8298
1.0,6ME,12,0.02,0.8298,0.8298,1,0.8298
0.5,QE,3,0.0,0.8242,0.8242,1,0.8242
0.5,ME,6,0.02,0.8231,0.8231,1,0.8231
1.0,QE,3,0.02,0.8228,0.8228,1,0.8228
0.5,ME,9,0.05,0.8224,0.8224,1,0.8224
0.5,ME,3,0.02,0.8171,0.8171,1,0.8171
0.25,QE,9,0.02,0.815,0.815,1,0.815
1.0,QE,3,0.01,0.8146,0.8146,1,0.8146
0.5,QE,3,0.02,0.8138,0.8138,1,0.8138
0.25,ME,6,0.01,0.813,0.813,1,0.813
1.0,ME,9,0.02,0.8129,0.8129,1,0.8129
0.25,2ME,9,0.01,0.8127,0.8127,1,0.8127
0.5,2ME,3,0.05,0.8104,0.8104,1,0.8104
0.5,ME,3,0.01,0.8064,0.8064,1,0.8064
1.0,ME,9,0.0,0.805,0.805,1,0.805
